SYMBOL,category,log2FoldChange
Lncppara,NM,-7.58573269535245
S100a6,NM,-7.92455717152593
Ahnak,NM,-7.13257300296981
Ccbe1,NM,-8.91927067958584
Fhl2,NM,-7.52059408226425
2610035D17Rik,NM,-6.46413754412183
Serpine1,NM,-7.62141489820648
Emp1,NM,-6.77225602585146
Csf1,NM,-9.00021219038615
Ankrd1,NM,-9.44566935862859
Zfp697,NM,-7.18751674007471
Ngf,NM,-8.43366216240035
Osgin1,NM,-8.86246928315644
Tuft1,NM,-6.13155332322863
Onecut2,NM,-7.16491949344703
Axl,NM,-7.80658576160543
Unc5b,NM,-5.82754362778693
Msln,NM,-6.39445791669989
Ccdc9b,NM,-7.68656369442463
Fosl1,NM,-8.40637804384694
Anxa2,NM,-6.28655565275319
Smpd3,NM,-8.34476938363158
Anxa3,NM,-6.69511547247486
Cdh6,NM,-5.54249962935622
Crim1,NM,-5.63607346776691
Pxdc1,NM,-6.97777775011642
Cd44,NM,-8.64967389489454
Pmepa1,NM,-5.09923450885408
Plpp2,NM,-6.65927286864171
Ano1,NM,-7.62591359785136
Hmga2,NM,-5.89645193043185
Cobll1,NM,-6.68036688957274
Nbeal2,NM,-6.04163586877439
Farp1,NM,-6.59967437996993
Egfr,NM,-5.78567338414668
Vps37b,NM,-5.06244768516206
Nfkbiz,NM,-5.05984928404238
Abhd2,NM,-6.35516166320145
Cdh2,NM,-5.75964698598159
Hdac7,NM,-7.63232082100687
Sdc1,NM,-5.99815947147088
Dusp5,NM,-5.60253222690896
Apob,NM,-7.07064159811526
Krt18,NM,-7.18872068850527
Runx2,NM,-8.3066752186161
Lmna,NM,-8.8933458755462
Smad3,NM,-5.20555613103341
Tinagl1,NM,-6.18235871521647
Zmiz1,NM,-7.24406668747018
Igfbp7,NM,-6.62050086237628
Hbegf,NM,-5.17063785948459
Anxa13,NM,-8.82124490852152
Pdgfb,NM,-6.40885774651598
Mmp14,NM,-5.00883429931647
F3,NM,-5.58589326210556
Pea15a,NM,-4.99073963447313
Cdh13,NM,-4.71896133697081
Dagla,NM,-6.18596107346879
Rin3,NM,-5.19415028310297
Krt7,NM,-6.4821363425316
Litaf,NM,-5.02245685398166
Glis3,NM,-5.51042333391857
Cdk18,NM,-5.33534755846777
Cystm1,NM,-5.48225522103359
Tgfbr2,NM,-6.80082643374743
Areg,NM,-7.90757291331308
Lurap1l,NM,-5.80949209242652
Mbp,NM,-6.17690217399811
Lncenc1,ES,7.72226037288427
Pax2,NM,-9.45961456090155
Gjb4,NM,-5.12967907542899
Osbpl5,NM,-6.41459305605545
Nav2,NM,-4.83034770468339
Eps8l2,NM,-6.41359477341871
Tagln2,NM,-5.56748951540573
Gprc5a,NM,-5.11827361562159
Bcar1,NM,-4.31006472092472
Gm45928,NM,-7.33395598015309
Rin1,NM,-5.57804668944086
Eva1c,NM,-6.2597388924771
Plaur,NM,-4.2171375556762
Tm4sf4,NM,-11.460902057647
Epha2,NM,-4.3094424671535
Iffo2,NM,-4.95609048991968
Nol4l,NM,-5.4908531509808
F730043M19Rik,NM,-4.52735620542907
Ehbp1l1,NM,-6.91759580921664
Ets1,NM,-5.56009625732658
S100a7a,NM,-6.71203122771508
Cyp1b1,NM,-6.89289776798965
Gpr39,NM,-6.21799879579585
Dsp,NM,-5.4064537579484
Actn1,NM,-4.2791248126104
Ccnd1,NM,-4.0539410110088
Fhl3,NM,-4.79376524967159
Dglucy,NM,-4.55039622762093
Tsku,NM,-4.83599424473482
Lgals3,NM,-4.5942791448145
Trim65,NM,-6.1387442239711
Cdc42ep2,NM,-6.46241351846707
Lncpint,NM,-4.7640507302767
Rbpj,ES,4.98475689356658
Ptprm,NM,-6.81359900455512
Mboat1,NM,-4.98240126232042
Wnt7b,NM,-4.57048734231204
Acer3,NM,-4.26597011701607
Mef2d,NM,-4.34848143391725
Card19,NM,-5.38703151886501
Pxn,NM,-6.69690719207388
Ppl,NM,-6.93772026776546
Jag1,NM,-5.93839480030931
Myh9,NM,-3.99558722565708
Morrbid,NM,-4.69972186397566
Cdkn1a,NM,-4.49053333094014
Cep170b,NM,-4.65175494030357
Traf4,NM,-4.90988695202892
2900026A02Rik,NM,-4.69377019329423
St3gal4,NM,-4.11428079838196
Kcnn4,NM,-5.9557346237874
Itga2,NM,-10.5629827932811
Rgs20,NM,-6.57285066130742
Clu,NM,-5.18067827413052
Neurl1b,NM,-5.86898462467741
Jarid2,ES,6.75962786506479
Lpcat4,NM,-4.05909529182862
Myo5c,NM,-5.13103301866695
Airn,NM,-4.98794413190665
Gab2,NM,-5.89440816232646
Gadd45g,NM,-4.54372972077922
Maml3,NM,-7.09309536522642
Dio3os,NM,-5.29232232924119
S100a11,NM,-4.05106495853829
Lgals1,NM,-5.25775094024958
Trim71,ES,4.61890978040609
Wwc1,NM,-3.65289527613992
Rnf39,NM,-4.54255019756678
Slc25a40,ES,5.24792560363816
Nradd,NM,-4.53040661182312
Krt80,NM,-8.33342542826355
Pear1,NM,-6.41650968926394
Pias2,ES,6.42975516469736
Foxo6,NM,-6.1886698486184
Enah,ES,4.4800263331915
Shb,NM,-3.99554377980661
Lasp1,NM,-4.01594443209507
Ezr,NM,-3.56142388642466
Cttn,NM,-7.50358079566598
Hprt,NM,-6.93072505708979
Zfp992,ES,7.34099762926738
Hspbap1,ES,4.41541775780472
Rnd3,NM,-4.05387416629757
3110009F21Rik,NM,-8.12241860821745
Amotl2,NM,-3.6250475655417
6820431F20Rik,ES,3.62741715960518
Nmnat3,NM,-4.7209597609715
Plekhg3,NM,-4.47176501565208
Hpcal1,NM,-3.57180070431382
Lamb3,NM,-6.28302938197674
Platr22,ES,5.31728500033736
