sep=;
"Cluster";"category";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"ES";"ES";"GO:0003729";"mRNA binding";"41/551";"345/22669";4.65763771946685e-17;3.08801380800652e-14;2.51022159196529e-14;"Celf1/Cnbp/Dhx36/Eif3a/Eif4g2/Etf1/Fubp3/G3bp2/Hnrnpa2b1/Hnrnpa3/Hnrnpu/Hsp90aa1/Ilf3/Luc7l2/Ncl/Noct/Pabpc1/Pcbp2/Pcf11/Pum1/Pum2/Rbm25/Rbm26/Rbm47/Rbpms/Rpl26/Rps14/Rps5/Rps6/Rsl1d1/Scaf8/Serbp1/Slbp/Srsf3/Syncrip/Taf15/Tardbp/Tsn/Ybx1/Ythdc1/Ythdf3";41
"ES";"ES";"GO:0019787";"ubiquitin-like protein transferase activity";"38/551";"435/22669";1.13322435754117e-11;3.75663874524897e-09;3.05374142663726e-09;"8030462N17Rik/Ccnb1ip1/Cul1/Cul2/Cul3/Dtl/Dzip3/Eloc/Hdac4/Herc4/Huwe1/Kcmf1/Msl2/Nedd4/Pias2/Rbbp6/Rlim/Rnf138/Rnf146/Rnf149/Rnf165/Rnf4/Trim28/Trim71/Triml1/Triml2/Trip12/Ube2d3/Ube2g1/Ube2k/Ube2n/Ube2q2/Ubr5/Ubr7/Xiap/Zfp91/Znrf1/Znrf2";38
"ES";"ES";"GO:0043175";"RNA polymerase core enzyme binding";"13/551";"44/22669";2.34076935877289e-11;5.17310028288809e-09;4.20517161997095e-09;"Brd4/Cdc73/Gtf2e1/Hnrnpu/Ncoa3/Pcf11/Rrn3/Scaf4/Scaf8/Smyd3/Tcof1/Uri1/Wac";13
"ES";"ES";"GO:0003697";"single-stranded DNA binding";"18/551";"109/22669";1.43304546472375e-10;1.90021828622369e-08;1.54467216408118e-08;"Cnbp/Dhx36/Fubp3/Hnrnpa2b1/Hnrnpu/Mcm10/Mcm3/Mcm6/Nabp1/Ncl/Nucks1/Pcbp2/Rnf138/Tdp2/Terf1/Top1/Tsn/Ybx1";18
"ES";"ES";"GO:0001098";"basal transcription machinery binding";"13/551";"59/22669";1.30747682060489e-09;1.05616305954733e-07;8.58546457868113e-08;"Brd4/Cdc73/Crebbp/Gtf2e1/Hnrnpu/Ncoa3/Nop58/Pcf11/Scaf4/Scaf8/Smyd3/Uri1/Wac";13
"ES";"ES";"GO:0001099";"basal RNA polymerase II transcription machinery binding";"13/551";"59/22669";1.30747682060489e-09;1.05616305954733e-07;8.58546457868113e-08;"Brd4/Cdc73/Crebbp/Gtf2e1/Hnrnpu/Ncoa3/Nop58/Pcf11/Scaf4/Scaf8/Smyd3/Uri1/Wac";13
"ES";"ES";"GO:0003712";"transcription coregulator activity";"32/551";"441/22669";4.44147613104344e-08;2.4539155624015e-06;1.99476822727565e-06;"Asxl1/Bclaf1/Cdyl/Cops5/Crebbp/Dnmt3b/Gmnn/Hdac4/Hmgb2/Hnrnpu/Jade1/Kat2b/Kat6b/Kat7/Kdm5b/Med13l/Mier1/Mtdh/Ncoa3/Nrbf2/Pias2/Rbm39/Rbpms/Sfmbt2/Sin3a/Ss18/Taf15/Tcerg1/Trerf1/Trim28/Uri1/Wdr77";32
"ES";"ES";"GO:0034212";"peptide N-acetyltransferase activity";"11/551";"65/22669";4.32410004350131e-07;2.20529102218567e-05;1.79266333787261e-05;"Cdyl/Crebbp/Hat1/Kansl1/Kat2b/Kat6b/Kat7/Naa15/Naa20/Naa30/Ncoa3";11
"ES";"ES";"GO:0008135";"translation factor activity, RNA binding";"11/551";"76/22669";2.17409170521648e-06;9.60948533705685e-05;7.81147335488308e-05;"Eif1a/Eif2s1/Eif3a/Eif3e/Eif4b/Eif4g2/Eif4h/Eif5/Etf1/Gspt1/Hbs1l";11
"ES";"ES";"GO:0045182";"translation regulator activity";"14/551";"127/22669";2.66687592120689e-06;0.000110508670985011;8.98316099774953e-05;"Cnbp/Eif1a/Eif2s1/Eif3a/Eif3e/Eif4b/Eif4g2/Eif4h/Eif5/Etf1/Gspt1/Hbs1l/Rps14/Trim71";14
