paint name,start,H3pSer10,ATRX,H4K8ac,HDAC2,H3K9ac,H3K9me3,H3K9me2,RNAPIISer2-P,H3,H3K36me2,UBTF,LaminB1,RNAPIISer5-P,RYBP,HP1beta,RING1B,H2A.X,H3K4me1,H4K20me2,H3K27me2,JARID2,SF3A66,CBP,H2AK119u1,EZH2,H3K4me2,BRG1,HP1alpha,Fibrillarin,KAP1,H3K27ac,H3K4me3,H3K36ac,H3K14ac,H4K20me1,HP1gamma,H4K20me3,H3K27me3,mH2A1,CHD4,KAT3B/p300,H3K56ac,H3K36me3,RAD51,SUZ12,H4K16ac,MED1,HDAC1,NANOG,POU5F1,ZSCAN4,MuERVL-Gag,OTX1/OTX2,WHSC2/NELF-A,SOX2,KLF4,BRD4,PCNA,RBAP48,HA-tag,ZMYM2/RAMP,SALL4,CPSF6,CyclinT1,rDNA,LINE1,SINEB1,Telomere,MinSat,E-Cadherin,MajSat,Control,Malat1_RNA,LINE1_RNA,SINEB1_RNA,MERVLP1_RNA,MERVLP2_RNA,TERRA_RNA,18k_intron,ITS1_RNA,Rnu3b_RNA,MajSat_sense_RNA,Rnu2_RNA,MajSat_antisense_RNA,polyA_RNA,n_rad_score,n_per_dist(um),c_rad_score,c_surf_dist(um),c_alpha1_dist(um),trans_score,paint
1,3000000,0.0696799999999999,0.0926305,-0.0660454999999999,0.169945,-0.036875,0.360995,0.38397,-0.047713,0.275985,-0.23091,0.0035144999999999,-0.1761,-0.2298,-0.0028945,0.2671,0.23845,-0.0264249999999999,-0.064954,0.4586449999999999,0.43406,-0.0705185,-0.2076349999999999,0.080047,0.18584,-0.0624259999999999,-0.13091,0.19111,0.30157,-0.19227,0.18145,-0.160265,-0.231825,-0.0548639999999999,-0.0017585,0.075679,0.23998,0.21448,0.175595,0.309025,0.2511,0.08986,0.292635,-0.1753299999999999,0.13977,0.0856514999999999,0.1365299999999999,-0.1838199999999999,0.14465,0.16458,0.18993,0.1151,-0.0702985,-0.0295359999999999,0.06967,0.030642,0.038602,-0.047485,0.036372,0.24756,0.0269685,0.2051649999999999,0.31374,-0.089734,0.063825,-0.23029,0.70709,-0.14875,-0.14581,0.026515,-0.246845,0.43652,0.11191,-0.18773,-0.010999,-0.1015099999999999,0.35933,0.369235,-0.11473,0.166455,-0.27153,-0.2197,0.14769,-0.167775,0.26628,-0.17026,0.7324335860770634,1.6201081914221818,0.8467714420406977,0.4140492749302994,0.1917145036240431,0.589054960900671,3.1222
2,4500000,0.20237,0.1481849999999999,0.0818915,0.37402,0.18469,0.33329,0.4257399999999999,0.1953,0.44254,-0.0118325,0.134295,-0.16793,0.0294989999999999,0.2398399999999999,0.353315,0.399115,0.1455749999999999,0.18934,0.579805,0.53364,0.137095,-0.0895425,0.26256,0.29394,0.1541,0.10257,0.37262,0.4167,-0.16627,0.38785,0.0714854999999999,0.0449615,0.11875,0.19619,0.179425,0.33896,0.274485,0.28673,0.32348,0.36674,0.2821999999999999,0.464495,0.0778609999999999,0.3135599999999999,0.2546149999999999,0.3417049999999999,0.007864,0.31969,0.362105,0.3885,0.26502,0.057399,0.1217549999999999,0.2143999999999999,0.25065,0.2264349999999999,0.149815,0.22588,0.3703349999999999,0.1642549999999999,0.36963,0.41046,0.15031,0.22243,-0.233995,0.8256350000000001,0.14229,-0.158665,-0.014233,-0.2502999999999999,0.1425599999999999,0.17694,-0.1504449999999999,0.103185,0.1187399999999999,0.42113,0.44801,-0.1093799999999999,0.302735,-0.27408,-0.21393,0.1750649999999999,0.012958,0.31453,0.0013565,0.7077725660421157,1.8231725700217467,0.8135953319125924,0.5037258016524334,0.2323993882825143,0.5961538461538461,3.7411
3,6000000,0.1885099999999999,0.14131,0.0912169999999999,0.36372,0.18457,0.3935,0.4465399999999999,0.13939,0.4388,-0.04915,0.10565,-0.16344,0.011754,0.20799,0.42117,0.3336199999999999,0.11885,0.18572,0.56589,0.54771,0.1235599999999999,-0.11167,0.26155,0.29203,0.10307,0.10683,0.40662,0.43144,-0.18435,0.39973,0.16234,0.001166,0.12825,0.20168,0.16321,0.38126,0.34573,0.2514699999999999,0.3492099999999999,0.37825,0.2956,0.5141600000000001,0.040096,0.29702,0.18665,0.35141,-0.032284,0.2989199999999999,0.36328,0.39252,0.25706,0.03265,0.10232,0.19153,0.23084,0.17767,0.1112,0.18729,0.35401,0.10708,0.40492,0.42121,0.10243,0.19575,-0.23575,0.8619399999999999,0.082748,-0.16135,-0.033479,-0.2278099999999999,0.0654309999999999,0.15664,-0.15325,0.1040099999999999,0.094439,0.41144,0.42481,-0.10934,0.28551,-0.28019,-0.2242,0.16943,-0.008626,0.30106,-0.02445,0.7112078301130907,1.7929935112982336,0.8057297763658627,0.5258170864132571,0.2479459779367547,0.6245353159851301,4.0198
4,7500000,0.1582299999999999,0.1326299999999999,0.083618,0.3180699999999999,0.10445,0.4411049999999999,0.4102549999999999,0.115365,0.3803499999999999,-0.12713,0.0549109999999999,-0.133805,-0.015711,0.14,0.438025,0.294415,0.0381355,0.112645,0.5096149999999999,0.5191300000000001,0.0123924999999999,-0.13064,0.230185,0.198565,0.0317184999999999,0.0281899999999999,0.38483,0.42438,-0.19897,0.379705,0.1652549999999999,-0.0673645,0.1179,0.1359,0.0807999999999999,0.394405,0.34524,0.1105,0.3369,0.3617899999999999,0.26993,0.505435,-0.022005,0.224,0.082789,0.29417,-0.0578105,0.2473499999999999,0.33919,0.34103,0.2291699999999999,0.0172714999999999,0.069501,0.156195,0.1586899999999999,0.134395,0.0854169999999999,0.15137,0.3194099999999999,0.11245,0.4503549999999999,0.39664,0.0411454999999999,0.163195,-0.2370799999999999,0.974065,-0.0104145,-0.1663,-0.0640034999999999,-0.210055,-0.005958,0.19402,-0.166945,0.1129499999999999,0.0118599999999999,0.38135,0.3901549999999999,-0.1137599999999999,0.2345849999999999,-0.28433,-0.2394449999999999,0.1526949999999999,-0.059252,0.28114,-0.0647095,0.7277061729926395,1.674425409324917,0.8100137790354773,0.5116010851665556,0.2404493536595908,0.6269511264151251,3.9113
5,9000000,0.289495,0.16424,0.25778,0.57314,0.447975,0.2620149999999999,0.44503,0.38021,0.613675,0.159135,0.234155,-0.157405,0.291245,0.46725,0.3871449999999999,0.48552,0.31677,0.375915,0.645685,0.67262,0.310465,0.0315135,0.4545899999999999,0.43361,0.3007499999999999,0.28255,0.5645549999999999,0.47405,-0.14793,0.55854,0.25712,0.312085,0.2822,0.39082,0.31378,0.40693,0.30337,0.37494,0.422325,0.49768,0.43708,0.63533,0.25382,0.452205,0.35593,0.5596949999999999,0.17694,0.489295,0.51777,0.5762,0.39041,0.1761349999999999,0.2294399999999999,0.3564149999999999,0.426735,0.378545,0.3210249999999999,0.3805499999999999,0.4921899999999999,0.2683999999999999,0.506425,0.5126,0.381945,0.36041,-0.23865,0.879985,0.30821,-0.17109,-0.048341,-0.2424799999999999,-0.049655,0.300815,-0.1094699999999999,0.32894,0.25238,0.4602349999999999,0.4886799999999999,-0.1054,0.41239,-0.2802699999999999,-0.22254,0.182325,0.173605,0.3344749999999999,0.097508,0.7050324842664959,1.9160431688945687,0.7871818423940671,0.5723147948474396,0.2573195574820773,0.6095238095238096,3.9023
6,10500000,0.25368,0.158,0.2949199999999999,0.53096,0.29928,0.3232,0.51761,0.22785,0.58968,0.15216,0.19566,-0.16053,0.15319,0.39352,0.38572,0.46216,0.32561,0.4264699999999999,0.6967,0.72755,0.2971,-0.015694,0.43322,0.45816,0.27546,0.30846,0.5869,0.4901,-0.17087,0.49249,0.31836,0.17302,0.3665199999999999,0.46247,0.31725,0.4217,0.34715,0.37526,0.45022,0.4901,0.4376,0.63947,0.2149599999999999,0.40588,0.32316,0.5652,0.13362,0.47544,0.51582,0.5282600000000001,0.37148,0.15088,0.19891,0.33493,0.41213,0.3327699999999999,0.23628,0.34703,0.48775,0.26118,0.5071899999999999,0.52981,0.29562,0.3234599999999999,-0.23924,0.81389,0.2043599999999999,-0.17325,-0.067973,-0.25851,-0.081409,0.40824,-0.12708,0.47993,0.2570199999999999,0.47221,0.49196,-0.10528,0.38406,-0.28411,-0.2347199999999999,0.1840099999999999,0.13622,0.33546,0.050276,0.7138590167514252,1.8677324497357164,0.7861267576225104,0.5532754324143645,0.2572737496932024,0.6098191214470284,4.004
7,12000000,0.302385,0.198875,0.394325,0.661895,0.44294,0.304955,0.5944149999999999,0.3130199999999999,0.71611,0.252745,0.30472,-0.1788949999999999,0.292595,0.4954749999999999,0.4152,0.562175,0.4502049999999999,0.5905100000000001,0.766885,0.8520350000000001,0.4306149999999999,0.02546,0.553685,0.61968,0.3939,0.5342899999999999,0.750225,0.56213,-0.14643,0.61768,0.405455,0.30755,0.502705,0.59982,0.41085,0.4836,0.375105,0.53179,0.561715,0.628695,0.60134,0.7368250000000001,0.3090849999999999,0.4913599999999999,0.46259,0.68347,0.229015,0.6191249999999999,0.62713,0.66311,0.4708199999999999,0.2053699999999999,0.26141,0.41402,0.54341,0.43467,0.355265,0.46755,0.6099749999999999,0.30325,0.5894649999999999,0.6035550000000001,0.37759,0.40839,-0.238185,0.8476600000000001,0.3763999999999999,-0.1692849999999999,-0.0621749999999999,-0.25976,-0.11377,0.38867,-0.11625,0.376,0.323255,0.4892999999999999,0.519795,-0.104845,0.42445,-0.28231,-0.226685,0.188125,0.1786749999999999,0.3511799999999999,0.079395,0.7042844418538816,1.9769517114371475,0.7733300749400819,0.5897546812709492,0.2681279832847766,0.6054639035359801,4.14715
8,13500000,0.26556,0.15581,0.326575,0.5273349999999999,0.3235949999999999,0.34062,0.5936,0.2473049999999999,0.61742,0.16425,0.26928,-0.1834549999999999,0.1588349999999999,0.39716,0.37514,0.52033,0.349435,0.4237449999999999,0.706445,0.8156899999999999,0.34313,0.0060585,0.45114,0.57649,0.3454,0.32925,0.58203,0.5067699999999999,-0.157415,0.507125,0.2335249999999999,0.2006,0.38229,0.48963,0.3629199999999999,0.4236499999999999,0.35355,0.5737099999999999,0.516425,0.4916299999999999,0.46525,0.638935,0.2225949999999999,0.4243749999999999,0.44065,0.605695,0.1596,0.48397,0.527575,0.55752,0.4534049999999999,0.17414,0.18161,0.4104299999999999,0.4593449999999999,0.359305,0.262035,0.39136,0.503245,0.27945,0.4921799999999999,0.474645,0.269835,0.35313,-0.237935,0.95723,0.21749,-0.17373,-0.082197,-0.26003,-0.15081,0.43093,-0.12908,0.288005,0.25949,0.47784,0.520775,-0.1064749999999999,0.40859,-0.28135,-0.2271549999999999,0.18245,0.13745,0.3488699999999999,0.0548804999999999,0.7113170122411585,1.9220726403762975,0.7679727035740412,0.595439051520764,0.279786502932791,0.6328241604477611,4.1677
9,15000000,0.2463899999999999,0.114315,0.199585,0.41268,0.2604649999999999,0.24478,0.5092000000000001,0.292705,0.4905949999999999,0.098641,0.185655,-0.16637,0.168125,0.34721,0.3095699999999999,0.430865,0.28613,0.30422,0.634645,0.6374299999999999,0.2185949999999999,-0.0035744999999999,0.35674,0.43311,0.2588,0.1822799999999999,0.399815,0.39952,-0.18076,0.398815,0.128735,0.1812,0.2079649999999999,0.3477199999999999,0.29648,0.313385,0.23259,0.4539799999999999,0.3511849999999999,0.3298,0.3457449999999999,0.501985,0.1596699999999999,0.40113,0.33635,0.457655,0.095454,0.3272199999999999,0.43613,0.4411899999999999,0.409185,0.10533,0.14981,0.3635899999999999,0.374005,0.358795,0.2188549999999999,0.30472,0.35303,0.217885,0.363435,0.34118,0.2458649999999999,0.2870899999999999,-0.23945,0.8967799999999999,0.2155399999999999,-0.177315,-0.085282,-0.27439,-0.167645,0.38169,-0.128925,0.2192449999999999,0.2177649999999999,0.4551149999999999,0.48576,-0.10777,0.37313,-0.28702,-0.2412,0.17937,0.10677,0.329295,0.052827,0.7213168683347342,1.8404495159015288,0.7651026010197847,0.6007506551230709,0.281521836773536,0.649025069637883,4.13335
10,16500000,0.23875,0.1120599999999999,0.16385,0.3511,0.18069,0.30172,0.4542,0.1241599999999999,0.41984,-0.011205,0.12747,-0.12382,0.000808,0.23526,0.3120699999999999,0.39093,0.1875,0.2117099999999999,0.59407,0.5889,0.1693599999999999,-0.062395,0.28983,0.34723,0.14429,0.091385,0.3855099999999999,0.38727,-0.19278,0.37455,0.1137,0.037998,0.18302,0.2434199999999999,0.2153699999999999,0.3216699999999999,0.31193,0.3412699999999999,0.33923,0.31578,0.2979,0.4627699999999999,0.055994,0.33507,0.2598,0.3957,0.043124,0.27242,0.38499,0.37832,0.2988099999999999,0.066413,0.10159,0.29855,0.27018,0.2454199999999999,0.14625,0.22103,0.327,0.15729,0.37556,0.35915,0.12608,0.21475,-0.2374,1.0753,0.13978,-0.17288,-0.089063,-0.21308,-0.14132,0.25534,-0.1677799999999999,0.21699,0.078038,0.41108,0.43758,-0.11162,0.28834,-0.2858699999999999,-0.25315,0.16216,0.001346,0.30075,-0.010473,0.7354821641591563,1.6879893783570858,0.7714226679855621,0.5841676892140353,0.2689680283641859,0.6674757281553398,4.176
