paint name,start,H3pSer10,ATRX,H4K8ac,HDAC2,H3K9ac,H3K9me3,H3K9me2,RNAPIISer2-P,H3,H3K36me2,UBTF,LaminB1,RNAPIISer5-P,RYBP,HP1beta,RING1B,H2A.X,H3K4me1,H4K20me2,H3K27me2,JARID2,SF3A66,CBP,H2AK119u1,EZH2,H3K4me2,BRG1,HP1alpha,Fibrillarin,KAP1,H3K27ac,H3K4me3,H3K36ac,H3K14ac,H4K20me1,HP1gamma,H4K20me3,H3K27me3,mH2A1,CHD4,KAT3B/p300,H3K56ac,H3K36me3,RAD51,SUZ12,H4K16ac,MED1,HDAC1,NANOG,POU5F1,ZSCAN4,MuERVL-Gag,OTX1/OTX2,WHSC2/NELF-A,SOX2,KLF4,BRD4,PCNA,RBAP48,HA-tag,ZMYM2/RAMP,SALL4,CPSF6,CyclinT1,rDNA,LINE1,SINEB1,Telomere,MinSat,E-Cadherin,MajSat,Control,Malat1_RNA,LINE1_RNA,SINEB1_RNA,MERVLP1_RNA,MERVLP2_RNA,TERRA_RNA,18k_intron,ITS1_RNA,Rnu3b_RNA,MajSat_sense_RNA,Rnu2_RNA,MajSat_antisense_RNA,polyA_RNA,n_rad_score,n_per_dist(um),c_rad_score,c_surf_dist(um),c_alpha1_dist(um),trans_score,paint
1,3000000,0.049384,0.19735,0.2650099999999999,0.1661,0.1198,0.40252,0.39396,-0.028342,0.46146,0.090418,-0.10774,-0.00255,-0.071867,0.17306,0.20745,0.43753,0.15023,0.18474,0.59287,0.61246,0.15327,-0.21606,0.06705,0.21594,0.25364,0.13773,0.20264,0.3774,-0.1636099999999999,0.30074,0.0601289999999999,0.014088,0.27821,0.32848,0.28408,0.36309,0.28779,0.28878,0.38197,0.31569,0.001616,0.40158,0.11735,0.28685,0.0699679999999999,0.31461,0.073807,0.23274,0.18904,0.35231,0.19493,0.13662,0.18649,0.25975,0.12334,0.1601,0.053689,0.17169,0.1372,0.0533309999999999,0.1464099999999999,0.19896,-0.012584,0.10509,-0.20399,0.68671,-0.0347209999999999,-0.17807,-0.17013,-0.10467,0.032369,0.25889,-0.17237,-0.011981,-0.039581,0.42305,0.4649899999999999,-0.076316,0.30348,-0.32511,-0.3181199999999999,0.29378,-0.1128599999999999,0.34711,-0.0281899999999999,0.7586469580667778,1.3493454191594323,0.8350298667101809,0.3568618012426148,0.1650194487697361,0.5539568345323741,3.3996
2,4500000,0.0294814999999999,0.16018,0.272845,0.249905,0.22295,0.3077999999999999,0.3922099999999999,0.0782255,0.51058,0.179525,-0.1071549999999999,-0.004301,0.0927714999999999,0.2537899999999999,0.177885,0.44663,0.222505,0.261165,0.564675,0.602455,0.20909,-0.163065,0.1608099999999999,0.2501799999999999,0.3285249999999999,0.19047,0.243195,0.363535,-0.1899799999999999,0.317175,0.1402549999999999,0.1408849999999999,0.278475,0.35775,0.34257,0.2966,0.299905,0.331105,0.335275,0.32983,0.07853,0.4366,0.2233999999999999,0.34126,0.066087,0.3499,0.1500449999999999,0.2867699999999999,0.240925,0.3607599999999999,0.22945,0.1424099999999999,0.24705,0.280035,0.167565,0.17903,0.13322,0.249415,0.1979899999999999,0.0257195,0.190585,0.24919,0.11721,0.182425,-0.20815,0.63977,0.15006,-0.18083,-0.186545,-0.0677915,-0.14534,0.26418,-0.1326399999999999,0.000592,-0.000456,0.384225,0.44105,-0.0715395,0.30112,-0.328495,-0.3164599999999999,0.25847,-0.067485,0.3192,-5.2e-05,0.7597176219896858,1.3224345771144046,0.8260389400116319,0.3727817399384361,0.1820177036155734,0.5706344317831844,3.6684
3,6000000,-0.0609599999999999,0.0556985,0.0321135,0.0255859999999999,0.068072,0.2288599999999999,0.229165,-0.071806,0.38782,0.0098695,-0.1577,0.003025,-0.1269499999999999,0.12197,0.0525085,0.344095,0.062183,0.034355,0.4696049999999999,0.4767599999999999,0.0263829999999999,-0.21833,-0.0115635,0.0882285,0.18276,-0.0083015,0.0585614999999999,0.18735,-0.1995549999999999,0.1338099999999999,-0.0531079999999999,-0.062264,0.0492115,0.164225,0.197895,0.144705,0.1345399999999999,0.23678,0.1391499999999999,0.1237249999999999,-0.113855,0.2693049999999999,0.038815,0.189605,0.013092,0.142905,0.04477,0.082816,0.100255,0.2682799999999999,0.1702749999999999,0.080333,0.1880449999999999,0.2132549999999999,0.0341985,0.0403855,-0.005141,0.080372,-0.0102249999999999,-0.006749,0.0555245,0.0760834999999999,-0.05135,0.020052,-0.20382,0.5549850000000001,-0.000334,-0.18545,-0.18533,-0.033025,-0.165905,0.13927,-0.175825,-0.06113,-0.075806,0.35916,0.382545,-0.07486,0.2367199999999999,-0.32241,-0.30757,0.24649,-0.14889,0.28741,-0.021704,0.7727752812362658,1.2094449177229103,0.8234868661179664,0.379640788218299,0.183626599747396,0.5963937621832358,3.5857
4,7500000,-0.1698,-0.048735,-0.26323,-0.19397,-0.12766,0.19045,0.0517899999999999,-0.25222,0.20642,-0.2055699999999999,-0.20371,-0.040512,-0.31184,-0.070118,-0.059274,0.13047,-0.15908,-0.17209,0.3385599999999999,0.37222,-0.16776,-0.29619,-0.16687,-0.13974,-0.011489,-0.2343599999999999,-0.17967,0.052507,-0.23242,-0.081506,-0.3076,-0.26043,-0.2018299999999999,-0.050334,-0.016093,0.031601,-0.03308,0.023811,-0.063028,-0.10263,-0.28225,0.14482,-0.1639,0.0604309999999999,-0.068763,-0.063448,-0.14935,-0.13706,-0.13552,0.1263,0.081366,0.009999,0.10505,0.084747,-0.13102,-0.11356,-0.20963,-0.10139,-0.2489,-0.11018,-0.15138,-0.098835,-0.25303,-0.14816,-0.19968,0.50388,-0.20558,-0.19345,-0.18545,0.008483,-0.1204799999999999,0.026853,-0.25059,-0.10243,-0.21849,0.26452,0.28407,-0.099689,0.1381,-0.32473,-0.30944,0.1771599999999999,-0.26794,0.19546,-0.12275,0.7939636541585717,1.0565126793249875,0.8381964083845909,0.3392754101861364,0.1633566239569091,0.6344827586206897,3.3134
5,9000000,0.22813,0.21641,0.64151,0.639875,0.5663549999999999,0.26653,0.556465,0.3818999999999999,0.69823,0.4560399999999999,-0.0378835,-0.0040699999999999,0.4607899999999999,0.61614,0.3075299999999999,0.6571549999999999,0.556025,0.580355,0.66872,0.7391399999999999,0.467585,-0.0213674999999999,0.4746699999999999,0.468515,0.62416,0.582735,0.59816,0.49516,-0.1107249999999999,0.57489,0.49413,0.574185,0.56416,0.5935199999999999,0.59445,0.4775849999999999,0.42506,0.4481449999999999,0.578975,0.651555,0.398215,0.69753,0.58821,0.51595,0.252665,0.673575,0.411935,0.632985,0.48312,0.5645100000000001,0.37854,0.21107,0.36034,0.503595,0.4299849999999999,0.425895,0.45607,0.55631,0.524645,0.212855,0.5228,0.5452349999999999,0.494295,0.4144799999999999,-0.2071199999999999,0.72387,0.467545,-0.17923,-0.1908599999999999,-0.12779,-0.2265299999999999,0.36717,0.0283469999999999,0.121365,0.25876,0.531875,0.5554899999999999,-0.0607529999999999,0.466495,-0.3219349999999999,-0.2996,0.35849,0.210365,0.45542,0.15731,0.7572025929189719,1.4650926433632705,0.7965616738962291,0.4326036323841645,0.2053858476736574,0.5560817686724893,3.7498
6,10500000,0.12916,0.15361,0.55114,0.4574,0.33209,0.32459,0.57465,0.21345,0.64284,0.36096,-0.065945,-0.084544,0.17353,0.4195899999999999,0.21481,0.61216,0.4508,0.46321,0.68976,0.78403,0.3704199999999999,-0.10973,0.32918,0.4515,0.53305,0.4542,0.54411,0.46985,-0.1376099999999999,0.43158,0.3274,0.30578,0.50113,0.62487,0.51437,0.40641,0.40201,0.47267,0.5724600000000001,0.53259,0.27532,0.63472,0.36853,0.45745,0.12579,0.53381,0.2474199999999999,0.4859699999999999,0.38831,0.47957,0.3178,0.17235,0.27868,0.409,0.35603,0.31206,0.2841,0.4174,0.35005,0.13153,0.38821,0.43485,0.28765,0.30116,-0.20865,0.68798,0.26947,-0.18411,-0.20698,-0.11922,-0.25986,0.345,-0.065842,0.1456299999999999,0.18077,0.55042,0.57662,-0.0599,0.43771,-0.3275099999999999,-0.3076,0.33964,0.066704,0.4372899999999999,0.071991,0.7506511868948004,1.4656255609119857,0.8088653424636802,0.3934906390032569,0.18585142655587,0.5615384615384615,3.6095
7,12000000,0.093151,0.12294,0.34853,0.2926749999999999,0.2278649999999999,0.310895,0.48406,0.1044549999999999,0.5346550000000001,0.244585,-0.0879755,-0.0230605,0.0708594999999999,0.289115,0.185215,0.505785,0.322245,0.29365,0.63467,0.6934149999999999,0.317515,-0.155215,0.2002499999999999,0.3589799999999999,0.43356,0.29756,0.3667,0.3941849999999999,-0.158395,0.328705,0.1716349999999999,0.15092,0.380455,0.4917749999999999,0.4341949999999999,0.34924,0.34298,0.5042200000000001,0.47592,0.354345,0.0791165,0.48196,0.2699249999999999,0.366635,0.1135399999999999,0.45972,0.1811849999999999,0.32142,0.25521,0.35988,0.2903949999999999,0.1336549999999999,0.244715,0.336655,0.27548,0.219615,0.14335,0.29878,0.22516,0.086877,0.239585,0.310825,0.1081249999999999,0.179815,-0.20646,0.619775,0.2486049999999999,-0.18606,-0.20116,-0.0909975,-0.24772,0.26641,-0.10913,0.048418,0.055603,0.5021450000000001,0.52625,-0.0686919999999999,0.3709699999999999,-0.32142,-0.306905,0.35002,-0.024595,0.4020249999999999,-0.010334,0.7554738116008397,1.3783876537712394,0.8129749751893192,0.3922628988616531,0.1933145993037979,0.5708812260536399,3.79735
8,13500000,0.079459,0.1143599999999999,0.38459,0.2889199999999999,0.26087,0.33605,0.49543,0.0954899999999999,0.53704,0.25061,-0.12593,-0.0014119999999999,0.076818,0.31301,0.15435,0.50947,0.31569,0.3418,0.67292,0.7172,0.31955,-0.14286,0.23112,0.38575,0.37809,0.31479,0.36109,0.37751,-0.19138,0.35168,0.20885,0.16781,0.40875,0.51451,0.40026,0.33452,0.33205,0.53837,0.49091,0.36675,0.14975,0.49732,0.27349,0.34705,0.14068,0.4540899999999999,0.20985,0.32818,0.26888,0.38495,0.30609,0.12473,0.24739,0.32045,0.25945,0.24069,0.116,0.31268,0.23028,0.087765,0.2375,0.28396,0.13973,0.1768799999999999,-0.20867,0.70657,0.1725,-0.18814,-0.19982,-0.070478,-0.24864,0.24402,-0.094802,0.063664,0.079105,0.4446199999999999,0.49183,-0.07189,0.34202,-0.33291,-0.31851,0.2892099999999999,-0.027643,0.34368,0.052117,0.7649264419049125,1.3404342697149012,0.8027848814020472,0.4062725644407776,0.2063192046299482,0.59375,3.8652
9,15000000,0.17625,0.15084,0.5486,0.4984399999999999,0.45475,0.3336199999999999,0.61445,0.32633,0.6574300000000001,0.41178,-0.066541,-0.066773,0.37259,0.50647,0.2641699999999999,0.6029399999999999,0.50367,0.48801,0.71822,0.79484,0.44017,-0.047787,0.39787,0.50921,0.5384399999999999,0.45888,0.5303800000000001,0.4813199999999999,-0.1533,0.47734,0.3891699999999999,0.40648,0.55428,0.62883,0.53659,0.4444899999999999,0.41201,0.57058,0.60433,0.52546,0.35958,0.64518,0.39701,0.4749,0.1425,0.56471,0.31335,0.52153,0.42994,0.4818699999999999,0.34723,0.14767,0.28894,0.39148,0.35904,0.34152,0.33742,0.45616,0.39723,0.1711599999999999,0.41728,0.48033,0.36466,0.33698,-0.20798,0.8423200000000001,0.36586,-0.18483,-0.20274,-0.1426599999999999,-0.28118,0.34768,-0.004782,0.1136099999999999,0.20393,0.51141,0.5363600000000001,-0.057392,0.44938,-0.32746,-0.31245,0.34814,0.10255,0.4231399999999999,0.11305,0.745166529624044,1.5231389385289569,0.7776595757133117,0.4657060110596771,0.225498743811154,0.5889212827988338,3.9426
10,16500000,0.039964,0.079088,0.35805,0.28922,0.33907,0.27915,0.47067,0.1376,0.5204300000000001,0.28679,-0.1209799999999999,0.067009,0.1416099999999999,0.33446,0.14956,0.51161,0.36096,0.33198,0.60932,0.69393,0.32471,-0.1250099999999999,0.21608,0.3156199999999999,0.40408,0.26731,0.33436,0.32904,-0.1757099999999999,0.31193,0.2214,0.2108699999999999,0.36785,0.46141,0.41122,0.31706,0.29858,0.43483,0.39624,0.33384,0.1521,0.46651,0.28624,0.46418,0.16748,0.47168,0.20646,0.3301199999999999,0.29673,0.3891,0.29625,0.12189,0.26569,0.33469,0.27844,0.2697199999999999,0.18235,0.30348,0.20306,0.11345,0.2517,0.30893,0.17658,0.19266,-0.208,0.83973,0.19085,-0.19187,-0.21569,-0.0515049999999999,-0.29186,0.23248,-0.066622,0.10304,0.098661,0.4637699999999999,0.4636399999999999,-0.068216,0.35528,-0.33409,-0.32543,0.2948699999999999,-0.010256,0.35763,0.06962,0.7674336581267192,1.3304879486929382,0.7858667544390926,0.4457003101794001,0.2145278022963512,0.5989717223650386,3.9573
