sep=;
"Cluster";"Bergmann";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"H3K27me3";"H3K27me3";"GO:0045095";"keratin filament";"7/451";"42/23271";1.47126800640522e-05;0.0055761057442758;0.00554435732940074;"Krt7/Krt75/Krt81/Krt82/Krt84/Krt86/Krt87";7
"H3K27me3";"H3K27me3";"GO:0005667";"transcription regulator complex";"21/451";"460/23271";0.000282475252200957;0.0492722996775651;0.0489917602682081;"Ascl2/Cbx5/Chd5/Hand1/Hnf1b/Hoxa10/Hoxa11/Hoxa9/Hoxb13/Hoxb9/Hoxd12/Jazf1/Mafb/Myocd/Pax2/Prdm16/Sall1/Snf8/Tbx3/Tbx5/Yy1";21
"H3K27me3";"H3K27me3";"GO:0045111";"intermediate filament cytoskeleton";"11/451";"165/23271";0.000390018203252494;0.0492722996775651;0.0489917602682081;"Bfsp2/Hoxa13/Krt7/Krt75/Krt81/Krt82/Krt84/Krt86/Krt87/Nol9/Syce1l";11
"LaminB1";"LaminB1";"GO:0046658";"anchored component of plasma membrane";"4/87";"77/23271";0.000200275555167018;0.01141570664452;0.00969755319756089;"Cd177/Lypd10/Lypd11/Tex101";4
"LaminB1";"LaminB1";"GO:0005583";"fibrillar collagen trimer";"2/87";"11/23271";0.00074344545241631;0.0126894061786289;0.010779550955068;"Col3a1/Col5a2";2
"LaminB1";"LaminB1";"GO:0098643";"banded collagen fibril";"2/87";"11/23271";0.00074344545241631;0.0126894061786289;0.010779550955068;"Col3a1/Col5a2";2
"LaminB1";"LaminB1";"GO:0031225";"anchored component of membrane";"5/87";"198/23271";0.000890484644114311;0.0126894061786289;0.010779550955068;"Cd177/Lypd10/Lypd11/Lypd3/Tex101";5
"LaminB1";"LaminB1";"GO:0044853";"plasma membrane raft";"4/87";"130/23271";0.00144667285525174;0.0164920705498699;0.0140098844929642;"Cd177/Lypd10/Lypd11/Tex101";4
"LaminB1";"LaminB1";"GO:0098644";"complex of collagen trimers";"2/87";"18/23271";0.00203324545131541;0.0193158317874964;0.0164086475018437;"Col3a1/Col5a2";2
"LaminB1";"LaminB1";"GO:0016342";"catenin complex";"2/87";"30/23271";0.00561507809699039;0.0457227787897789;0.0388411417235426;"Cdh19/Cdh9";2
