sep=;
"Cluster";"MLI1";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"H3K27me3";"H3K27me3";"GO:0009952";"anterior/posterior pattern specification";"43/575";"231/23328";2.27549260844099e-25;9.10424592637238e-22;8.4001606082132e-22;"Acvr2b/Aldh1a2/Cdon/Celsr1/Ets2/Foxb1/Foxc2/Foxf1/Gbx2/Hes5/Hes6/Hoxa1/Hoxa10/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc10/Hoxc11/Hoxc13/Hoxc4/Hoxc5/Hoxc6/Hoxc8/Hoxc9/Msx2/Ror2/Tbx3/Tifab/Zbtb16";43
"H3K27me3";"H3K27me3";"GO:0048704";"embryonic skeletal system morphogenesis";"26/575";"108/23328";9.23304037636695e-19;9.23534863646105e-16;8.52112436839971e-16;"Fgfr2/Foxc2/Gsc/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc9/Pax5/Tgfbr2";26
"H3K27me3";"H3K27me3";"GO:0048706";"embryonic skeletal system development";"28/575";"142/23328";1.23626511035674e-17;9.89259341307464e-15;9.12754050951809e-15;"Fgfr2/Foxc2/Gsc/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc5/Hoxc6/Hoxc9/Pax5/Tgfbr2";28
"H3K27me3";"H3K27me3";"GO:0048705";"skeletal system morphogenesis";"35/575";"253/23328";1.334298021896e-16;8.89754397600983e-14;8.20944414524434e-14;"Acvr2b/Barx2/Fgfr2/Foxc2/Gsc/Hottip/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Hoxb1/Hoxb2/Hoxb3/Hoxb4/Hoxb5/Hoxb6/Hoxb7/Hoxb8/Hoxb9/Hoxc11/Hoxc4/Hoxc8/Hoxc9/Msx2/Pax5/Phospho1/Ror2/Tgfbr2/Tifab/Uncx";35
"H3K27me3";"H3K27me3";"GO:0035108";"limb morphogenesis";"20/575";"175/23328";1.37020689877115e-08;6.09133089109262e-06;5.62025215671393e-06;"Aldh1a2/Dicer1/Fgfr2/Gna12/Hotair/Hottip/Hoxa10/Hoxa11/Hoxa13/Hoxa9/Hoxc10/Hoxc11/Msx2/Pitx1/Ror2/Rpgrip1l/Tbx3/Tbx5/Traf3ip1/Zbtb16";20
"H3K27me3";"H3K27me3";"GO:0010951";"negative regulation of endopeptidase activity";"19/575";"182/23328";1.35202990335371e-07;3.86390831665586e-05;3.56508937673794e-05;"Ints1/Serpina11/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3a/Serpina3b/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3j/Serpina3k/Serpina3m/Serpina3n/Serpina5/Serpina9/Sorl1";19
"H3K27me3";"H3K27me3";"GO:0045165";"cell fate commitment";"24/575";"292/23328";3.02037251990657e-07;7.55281903259138e-05;6.96871475481076e-05;"Bcl11b/Cdon/Ets2/Evx1/Fgfr2/Foxc2/Gsc/Hand1/Hes5/Hoxa11/Hoxa13/Hoxa2/Hoxc10/Nfe2l1/Pitx1/Ror2/Rtf2/Runx1/Smad5/Sox1/Tbx3/Tbx5/Tfap2c/Tunar";24
"H3K27me3";"H3K27me3";"GO:0052548";"regulation of endopeptidase activity";"26/575";"346/23328";5.55705560960395e-07;0.000130786938200149;0.000120672408810409;"Casp9/Ctsd/Gper1/Gramd4/Ints1/Mgmt/Ngfr/Serpina11/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3a/Serpina3b/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3j/Serpina3k/Serpina3m/Serpina3n/Serpina5/Serpina9/Sorl1/Uaca";26
"H3K27me3";"H3K27me3";"GO:0043434";"response to peptide hormone";"24/575";"336/23328";3.64752564389241e-06;0.000729687505060676;0.000673256443848983;"Cela2a/Erfe/Foxc2/Gper1/Igf2/Ins2/Pdk2/Plcd1/Ppara/Prlh/Ptpre/Scly/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3k/Serpina3m/Serpina3n/Sorl1";24
"H3K27me3";"H3K27me3";"GO:0061448";"connective tissue development";"21/575";"276/23328";5.57991375715618e-06;0.00106310642582771;0.00098089010257377;"Barx2/Col5a1/Dicer1/Foxc2/Fto/Hand1/Hes5/Hoxa11/Hoxa3/Hoxa5/Hoxb3/Hoxc4/Msx2/Pitx1/Ror2/Runx1/Smad5/Sorl1/Tgfbr2/Uncx/Zbtb16";21
"H3K27me3";"H3K27me3";"GO:0021602";"cranial nerve morphogenesis";"7/575";"30/23328";6.62707533724842e-06;0.00120522401928777;0.0011120168998914;"Hoxa1/Hoxa3/Hoxb1/Hoxb2/Hoxb3/Mafb/Tifab";7
"H3K27me3";"H3K27me3";"GO:0001655";"urogenital system development";"25/575";"376/23328";8.07393355892649e-06;0.0013459920070527;0.00124189846452435;"Acvr2b/Aldh1a2/Cyp4a12a/Cyp4a29/Cys1/Fgfr2/Foxb1/Foxc2/Foxf1/Gcnt3/Hes5/Hoxa11/Hoxa13/Hoxb13/Hoxb7/Hoxc11/Itga3/Kcnj1/Mir125b-1/Myo1e/Rpgrip1l/Rxra/Smad5/Traf3ip1/Zbtb16";25
"H3K27me3";"H3K27me3";"GO:0051346";"negative regulation of hydrolase activity";"26/575";"405/23328";9.94556713368116e-06;0.00158088600890389;0.0014586267204846;"Elfn1/Fzd10/Ints1/Ppp1r9b/Rimbp2/Serpina11/Serpina12/Serpina1a/Serpina1c/Serpina1e/Serpina3a/Serpina3b/Serpina3c/Serpina3f/Serpina3g/Serpina3i/Serpina3j/Serpina3k/Serpina3m/Serpina3n/Serpina5/Serpina9/Sh3bp4/Sorl1/Tmem132d/Tmem225";26
"H3K27me3";"H3K27me3";"GO:0051216";"cartilage development";"17/575";"200/23328";1.02731907601852e-05;0.00158088600890389;0.0014586267204846;"Barx2/Dicer1/Hand1/Hes5/Hoxa11/Hoxa3/Hoxa5/Hoxb3/Hoxc4/Msx2/Pitx1/Ror2/Runx1/Smad5/Tgfbr2/Uncx/Zbtb16";17
"H3K27me3";"H3K27me3";"GO:0048732";"gland development";"28/575";"471/23328";1.88568652404303e-05;0.00268890512460265;0.00248095614832647;"Bcl11b/Bsx/Cadm1/Cdk5rap3/Drd2/Fgfr2/Foxb1/Foxf1/Hoxa13/Hoxa3/Hoxa5/Hoxa9/Hoxb13/Hoxb3/Hoxb9/Hrh2/Igf2/Mad1l1/Mafb/Mki67/Msx2/Pitx1/Rpgrip1l/Runx1/Rxra/Tbx3/Tfap2c/Tgfbr2";28
"H3K27me3";"H3K27me3";"GO:0060216";"definitive hemopoiesis";"6/575";"25/23328";2.59506704439998e-05;0.00346095441488144;0.00319329828937219;"Cdk5rap3/Hoxa9/Hoxb3/Hoxb4/Mpl/Runx1";6
"H3K27me3";"H3K27me3";"GO:0001763";"morphogenesis of a branching structure";"18/575";"241/23328";3.28941620563291e-05;0.0041127981996054;0.00379473112932718;"Celsr1/Clic4/Dicer1/Drd2/Fgfr2/Foxc2/Foxf1/Gbx2/Hoxa11/Hoxa13/Hoxa5/Hoxb13/Hoxb7/Msx2/Rxra/Tbx3/Tfap2c/Tgfbr2";18
"H3K27me3";"H3K27me3";"GO:0061138";"morphogenesis of a branching epithelium";"17/575";"222/23328";3.95179897591513e-05;0.00477141941780231;0.00440241726364006;"Celsr1/Clic4/Dicer1/Fgfr2/Foxc2/Foxf1/Gbx2/Hoxa11/Hoxa13/Hoxa5/Hoxb13/Hoxb7/Msx2/Rxra/Tbx3/Tfap2c/Tgfbr2";17
"H3K27me3";"H3K27me3";"GO:0030099";"myeloid cell differentiation";"25/575";"414/23328";4.05469283192398e-05;0.00477141941780231;0.00440241726364006;"Brd1/Cd81/Cdk5rap3/Ets1/Fli1/Hoxa5/Hoxa7/Hoxa9/Hoxb7/Hoxb8/Irf8/Kat7/Mafb/Mpl/Nfe2l1/Pilrb1/Prdm16/Ror2/Runx1/Sfxn1/Smad5/Tgfbr2/Tirap/Zbtb16/Zfp385a";25
