sep=;
"Cluster";"Purkinje";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"H3K27me3";"H3K27me3";"GO:0007389";"pattern specification process";"25/263";"478/23328";2.29712505739911e-10;6.0405024899047e-07;5.42936902283225e-07;"Aurka/Ccdc39/Dnah11/Evx1/Fgfr2/Hoxa1/Hoxa10/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Irx1/Irx2/Irx3/Pax1/Pax3/Pcsk5/Plxna2/Rfx3/Six2/Six3";25
"H3K27me3";"H3K27me3";"GO:0003002";"regionalization";"22/263";"379/23328";4.17305871496007e-10;6.0405024899047e-07;5.42936902283225e-07;"Aurka/Evx1/Fgfr2/Hoxa1/Hoxa10/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Irx1/Irx2/Irx3/Pax1/Pax3/Pcsk5/Plxna2/Six2/Six3";22
"H3K27me3";"H3K27me3";"GO:0048705";"skeletal system morphogenesis";"18/263";"253/23328";6.92071463503161e-10;6.67848962280551e-07;6.00280932554321e-07;"Fgfr2/Hottip/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Mmp2/Pax1/Six2/Sox11/Sox6/Sox9/Wwox";18
"H3K27me3";"H3K27me3";"GO:0048704";"embryonic skeletal system morphogenesis";"12/263";"108/23328";3.50774738888138e-09;2.03098573816232e-06;1.82550558848732e-06;"Fgfr2/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Six2/Sox11";12
"H3K27me3";"H3K27me3";"GO:0048706";"embryonic skeletal system development";"13/263";"142/23328";8.45427060676744e-09;4.07918556776529e-06;3.66648367367177e-06;"Fgfr2/Hoxa1/Hoxa11/Hoxa2/Hoxa3/Hoxa4/Hoxa5/Hoxa6/Hoxa7/Hoxa9/Pcsk5/Six2/Sox11";13
"H3K27me3";"H3K27me3";"GO:0048732";"gland development";"21/263";"471/23328";1.03715728111988e-07;4.28938618406007e-05;3.85541774274938e-05;"Aurka/Bcl11b/Cadm1/Ccdc39/Fgfr2/Hnf4a/Hoxa13/Hoxa3/Hoxa5/Hoxa9/Hp/Lmo4/Mki67/Mmp2/Pax1/Pax3/Six3/Slc6a3/Sox9/Tcf7l2/Tfap2c";21
"H3K27me3";"H3K27me3";"GO:0045165";"cell fate commitment";"16/263";"292/23328";2.37434284427844e-07;6.87372253418609e-05;6.17829001163822e-05;"Bcl11b/Cyld/Evx1/Fgfr2/Hoxa11/Hoxa13/Hoxa2/Lmo4/Mitf/Pax3/Rtf2/Six2/Sox6/Sox9/Tcf7l2/Tfap2c";16
"H3K27me3";"H3K27me3";"GO:0060562";"epithelial tube morphogenesis";"17/263";"387/23328";2.15103107026134e-06;0.000566112268036963;0.000508837206285746;"Ccdc39/Ctsz/Epha4/Fgfr2/Hoxa11/Hoxa5/Irx1/Irx2/Irx3/Lmo4/Pax3/Rgma/Six2/Sox11/Sox9/Tead1/Tfap2c";17
"H3K27me3";"H3K27me3";"GO:0072070";"loop of Henle development";"4/263";"10/23328";3.14383506219814e-06;0.000758450208755302;0.000681715813487176;"Irx1/Irx2/Irx3/Pou3f3";4
"H3K27me3";"H3K27me3";"GO:0060174";"limb bud formation";"4/263";"11/23328";4.89651418345391e-06;0.00109041604316147;0.000980095794453284;"Fgfr2/Plxna2/Sox11/Sox9";4
"H3K27me3";"H3K27me3";"GO:0071300";"cellular response to retinoic acid";"6/263";"45/23328";1.09261386596974e-05;0.00225936938713027;0.00203078306517082;"Halr1/Hoxa1/Hoxa2/Rorb/Sox9/Tead1";6
"H3K27me3";"H3K27me3";"GO:0043583";"ear development";"12/263";"246/23328";2.49105190383138e-05;0.00428053515003609;0.00384746219103325;"Atp8b1/Epha4/Fgfr2/Grxcr1/Gsdme/Hoxa1/Hoxa13/Hoxa2/Maf/Six2/Sox9/Ush2a";12
"H3K27me3";"H3K27me3";"GO:0003407";"neural retina development";"7/263";"77/23328";2.62353670223919e-05;0.00428053515003609;0.00384746219103325;"Irx5/Irx6/Ntrk2/Rorb/Sdk2/Six3/Sox9";7
"H3K27me3";"H3K27me3";"GO:0001655";"urogenital system development";"15/263";"376/23328";2.66147263214679e-05;0.00428053515003609;0.00384746219103325;"Cenpf/Epha4/Fgfr2/Gcnt1/Hoxa11/Hoxa13/Irx1/Irx2/Irx3/Mmp2/Ndufs6/Pcsk5/Pou3f3/Six2/Sox9";15
"H3K27me3";"H3K27me3";"GO:0007548";"sex differentiation";"13/263";"315/23328";6.51236423133148e-05;0.00692977090428087;0.00622866782124618;"Fancf/Gas2/Hnf4a/Hoxa10/Hoxa11/Hoxa13/Hoxa9/Kit/Mir135a-2/Mmp2/Six3/Sox9/Tcf7l2";13
"H3K27me3";"H3K27me3";"GO:0072079";"nephron tubule formation";"4/263";"20/23328";6.6362202412152e-05;0.00692977090428087;0.00622866782124618;"Irx1/Irx2/Irx3/Sox9";4
"H3K27me3";"H3K27me3";"GO:0048511";"rhythmic process";"12/263";"301/23328";0.000171148697559544;0.012608094796829;0.0113325008045674;"Gas2/Grin2a/Grin2b/Hnf4a/Hnrnpd/Mc3r/Nps/Ntrk2/Prkg2/Rorb/Six3/Zfhx3";12
"H3K27me3";"H3K27me3";"GO:0090596";"sensory organ morphogenesis";"12/263";"311/23328";0.000231159097556945;0.0152092178960762;0.0136704614631762;"Fgfr2/Hoxa1/Hoxa2/Irx5/Irx6/Ntrk2/Rorb/Sdk2/Six2/Six3/Sox11/Sox9";12
"H3K27me3";"H3K27me3";"GO:0030323";"respiratory tube development";"10/263";"225/23328";0.000251274130857811;0.0155628302922183;0.0139882979664989;"Ccbe1/Ccdc39/Ctsz/Fgfr2/Foxp1/Hoxa5/Insc/Pcsk5/Sox11/Sox9";10
"H3K27me3";"H3K27me3";"GO:0032330";"regulation of chondrocyte differentiation";"5/263";"51/23328";0.000269675282464257;0.0156141988546805;0.0140344694368767;"Hoxa11/Maf/Six2/Sox6/Sox9";5
