SYMBOL,Purkinje,MLI1
Xkr4,0,0
Rp1,0,0
Sox17,0,0
Mrpl15,0,0
Lypla1,LaminB1,0
Tcea1,LaminB1,0
Rgs20,LaminB1,0
Atp6v1h,LaminB1,0
Oprk1,LaminB1,0
Npbwr1,LaminB1,0
Rb1cc1,0,LaminB1
Alkal1,0,LaminB1
St18,LaminB1,0
Pcmtd1,LaminB1,0
Sntg1,0,0
Rrs1,LaminB1,0
Adhfe1,LaminB1,0
2610203C22Rik,LaminB1,0
Vxn,0,0
Mybl1,0,0
Vcpip1,0,0
1700034P13Rik,0,0
Sgk3,0,0
Mcmdc2,0,0
Snhg6,0,0
Snord87,0,0
Tcf24,0,0
Ppp1r42,0,0
Cops5,0,0
Cspp1,0,0
Arfgef1,0,0
Cpa6,LaminB1,0
Mir467e,LaminB1,0
Prex2,0,LaminB1
A830018L16Rik,0,0
Mir6341,0,0
Gm17644,0,0
Sulf1,0,0
Slco5a1,0,0
Prdm14,0,0
Ncoa2,0,0
Tram1,0,0
Lactb2,LaminB1,0
Xkr9,LaminB1,0
Gm5523,LaminB1,0
Eya1,0,0
Msc,LaminB1,0
Trpa1,0,0
Kcnb2,0,LaminB1
Terf1,0,0
Sbspon,0,0
4930444P10Rik,0,0
Rdh10,0,0
Rpl7,0,0
Stau2,LaminB1,0
Ube2w,0,0
Eloc,0,0
Tmem70,0,0
D030040B21Rik,0,0
Ly96,0,0
Jph1,LaminB1,0
Gdap1,0,0
Pi15,0,LaminB1
Gm16070,0,LaminB1
Crispld1,0,LaminB1
Crisp4,LaminB1,LaminB1
Defb44-ps,0,LaminB1
Defb18,0,LaminB1
Defb41,0,LaminB1
Gm15825,0,LaminB1
Tfap2d,0,LaminB1
Tfap2b,0,LaminB1
Pkhd1,0,LaminB1
4930486I03Rik,0,LaminB1
Lincmd1,0,LaminB1
Mir206,0,LaminB1
Mir133b,0,LaminB1
Il17a,0,LaminB1
Il17f,0,LaminB1
Mcm3,0,LaminB1
Paqr8,0,LaminB1
6720483E21Rik,0,LaminB1
Efhc1,0,LaminB1
Tram2,0,LaminB1
Tmem14a,0,LaminB1
Gsta3,0,LaminB1
Gm4956,0,LaminB1
Khdc1a,0,LaminB1
Khdc1c,0,LaminB1
Khdc1b,0,LaminB1
Kcnq5,0,LaminB1
Rims1,0,LaminB1
Gm7759,0,LaminB1
Ppp1r14bl,0,LaminB1
Mir30a,0,LaminB1
Mir30c-2,0,LaminB1
Ogfrl1,0,LaminB1
Gm28822,0,LaminB1
B3gat2,0,0
Smap1,0,0
Sdhaf4,0,0
Fam135a,0,0
Col9a1,0,LaminB1
Col19a1,0,LaminB1
Lmbrd1,0,0
Adgrb3,0,0
Gm20172,0,0
4931408C20Rik,0,LaminB1
Gm5524,0,LaminB1
Gm597,LaminB1,0
Mir6342,LaminB1,LaminB1
Gm31465,0,0
Phf3,0,0
LOC115487084,0,0
Ptp4a1,0,0
Gm13363,0,0
Gm29669,LaminB1,0
4931428L18Rik,LaminB1,0
Lgsn,LaminB1,0
Pih1d3,0,0
Gm4850,0,0
Khdrbs2,0,0
Gm9839,0,0
Gm5415,0,0
Prim2,LaminB1,0
1700001G17Rik,LaminB1,0
Rab23,LaminB1,0
Gm32229,LaminB1,0
Bag2,LaminB1,0
Zfp451,0,0
Gm15455,0,0
Bend6,0,0
Dst,0,0
Mir6896,0,0
Imp4,0,0
Ccdc115,0,0
Mir5103,0,0
Ptpn18,0,0
Prss39,0,0
Cfc1,0,0
Prss40,0,0
Amer3,0,0
AA619741,0,0
Arhgef4,0,0
Fam168b,0,0
Plekhb2,0,0
Hs6st1,0,0
Mir6897,0,0
Uggt1,0,0
Neurl3,0,0
Arid5a,0,0
Mir6898,0,0
Kansl3,0,0
Fer1l5,0,0
Lman2l,0,0
Cnnm4,0,0
Cnnm3,0,0
Ankrd23,0,0
Ankrd39,0,0
Sema4c,0,0
Fam178b,0,0
Cox5b,0,0
Actr1b,0,0
4933424G06Rik,0,0
Zap70,0,0
Tmem131,0,0
Vwa3b,0,0
Cnga3,0,0
Inpp4a,0,0
Coa5,0,0
Unc50,0,0
Mgat4a,0,0
4930594C11Rik,0,0
2010300C02Rik,0,0
Tsga10,0,0
Lipt1,0,0
Mrpl30,0,0
Mitd1,0,0
Lyg2,0,0
Lyg1,0,0
Eif5b,0,0
Txndc9,0,0
Rev1,0,0
Gm5099,0,0
Aff3,0,0
Lonrf2,0,0
Chst10,0,0
Nms,0,0
Pdcl3,0,0
Npas2,0,0
Mir6349,0,0
Rpl31,0,0
Tbc1d8,0,0
Cnot11,0,0
Snord89,0,0
Rnf149,0,0
Creg2,0,0
Rfx8,0,0
Gm3646,0,0
1700066B17Rik,0,0
Map4k4,0,0
Il1r2,0,0
Gm16894,0,0
Il1r1,0,0
Il1rl2,0,0
Il1rl1,0,0
Il18r1,0,0
Il18rap,0,0
Slc9a4,0,0
Slc9a2,0,0
Mfsd9,0,0
Tmem182,0,0
4930448I06Rik,H3K27me3,0
Pantr1,H3K27me3,0
Pou3f3,H3K27me3,0
2900092D14Rik,H3K27me3,0
Pantr2,H3K27me3,0
Dalir,H3K27me3,0
Mrps9,0,0
Gpr45,0,0
Tgfbrap1,0,0
AI597479,0,0
Fhl2,0,0
Nck2,0,0
Ecrg4,0,LaminB1
Uxs1,0,LaminB1
Tpp2,0,LaminB1
Mettl21c,0,0
Tex30,0,0
Bivm,0,0
Poglut2,0,0
Ercc5,0,0
Mettl21e,LaminB1,0
Gulp1,LaminB1,0
4930521E06Rik,0,0
Col3a1,LaminB1,0
Col5a2,LaminB1,LaminB1
Wdr75,LaminB1,0
Slc40a1,LaminB1,0
Stk-ps2,LaminB1,0
Dnah7b,LaminB1,0
Dnah7c,LaminB1,LaminB1
Slc39a10,LaminB1,LaminB1
Mir6350,0,LaminB1
C230029F24Rik,LaminB1,0
Tmeff2,0,0
9330175M20Rik,0,0
Cavin2,0,0
Nabp1,0,0
Gm17767,0,0
Myo1b,LaminB1,0
Stat4,LaminB1,0
Stat1,0,0
Gls,0,0
Nab1,0,LaminB1
Gm28178,0,LaminB1
Nemp2,0,0
Mfsd6,0,0
Inpp1,0,0
Hibch,0,0
1700019D03Rik,0,0
Mstn,0,0
1700019A02Rik,0,0
Pms1,0,0
Ormdl1,0,0
Osgepl1,0,0
Asnsd1,0,0
Asdurf,0,0
Dnah7a,0,0
Stk17b,0,0
Mir7681,0,0
Hecw2,0,0
Ccdc150,0,LaminB1
Gtf3c3,0,LaminB1
Pgap1,0,0
Ankrd44,0,0
Sf3b1,0,0
Coq10b,0,0
Hspe1,0,0
Hspd1,0,0
Mob4,0,0
Rftn2,0,0
Mars2,0,0
Boll,0,0
Plcl1,0,0
