,SYMBOL,Granule,Bergmann,MLI1,Purkinje,MLI2+PLI
0,Xkr4,0,0,PolII,PolII,PolII
1,Rp1,0,0,PolII,PolII,PolII
2,Sox17,0,0,PolII,PolII,PolII
3,Mrpl15,0,0,0,PolII,0
4,Lypla1,0,0,0,PolII,0
5,Tcea1,0,0,0,PolII,0
6,Rgs20,0,0,0,PolII,0
7,Atp6v1h,0,0,0,PolII,0
8,Oprk1,0,0,0,0,0
9,Npbwr1,0,0,0,0,0
10,Rb1cc1,0,0,0,0,0
11,Alkal1,0,0,0,0,0
12,St18,0,0,0,0,0
13,Pcmtd1,0,0,0,0,0
14,Sntg1,0,0,PolII,0,PolII
15,Rrs1,0,0,PolII,0,PolII
16,Adhfe1,0,0,PolII,0,PolII
17,2610203C22Rik,0,0,PolII,0,PolII
18,Vxn,0,0,PolII,0,PolII
19,Mybl1,0,0,PolII,0,PolII
20,Vcpip1,0,0,PolII,0,PolII
21,1700034P13Rik,0,0,PolII,0,PolII
22,Sgk3,0,0,PolII,0,PolII
23,Mcmdc2,0,0,PolII,0,PolII
24,Snhg6,0,0,PolII,0,PolII
25,Snord87,0,0,PolII,0,PolII
26,Tcf24,0,0,PolII,0,PolII
27,Ppp1r42,0,0,PolII,0,PolII
28,Cops5,0,0,PolII,0,PolII
29,Cspp1,0,0,PolII,0,PolII
30,Arfgef1,0,0,PolII,0,PolII
31,Cpa6,0,0,PolII,0,PolII
32,Mir467e,0,0,PolII,0,PolII
33,Prex2,0,0,0,0,0
34,A830018L16Rik,0,0,0,0,0
35,Mir6341,0,0,0,0,PolII
36,Gm17644,0,0,0,0,PolII
37,Sulf1,0,0,0,0,PolII
38,Slco5a1,0,0,0,0,PolII
39,Prdm14,0,0,0,0,PolII
40,Ncoa2,0,0,0,0,PolII
41,Tram1,0,0,0,0,PolII
42,Lactb2,0,0,0,0,PolII
43,Xkr9,0,0,0,0,PolII
44,Gm5523,0,0,0,0,PolII
45,Eya1,0,0,0,0,0
46,Msc,0,0,0,0,0
47,Trpa1,0,0,0,0,0
48,Kcnb2,0,0,0,PolII,0
49,Terf1,0,0,0,PolII,0
50,Sbspon,0,0,0,PolII,0
51,4930444P10Rik,0,0,0,PolII,0
52,Rdh10,0,0,0,PolII,0
53,Rpl7,0,0,0,PolII,0
54,Stau2,0,0,PolII,PolII,0
55,Ube2w,0,0,PolII,PolII,PolII
56,Eloc,0,0,PolII,PolII,PolII
57,Tmem70,0,0,PolII,PolII,PolII
58,D030040B21Rik,0,0,PolII,PolII,PolII
59,Ly96,0,0,PolII,PolII,PolII
60,Jph1,0,0,PolII,PolII,PolII
61,Gdap1,0,0,PolII,PolII,PolII
62,Pi15,0,0,0,0,0
63,Gm16070,0,0,0,0,0
64,Crispld1,0,0,0,0,0
65,Crisp4,0,0,0,0,0
66,Defb44-ps,0,0,0,0,0
67,Defb18,0,0,0,0,0
68,Defb41,0,0,0,0,0
69,Gm15825,0,0,0,0,0
70,Tfap2d,0,0,0,0,0
71,Tfap2b,0,0,0,0,0
72,Pkhd1,0,PolII,0,0,0
73,4930486I03Rik,0,0,0,0,0
74,Lincmd1,0,PolII,0,0,0
75,Mir206,0,PolII,0,0,0
76,Mir133b,0,PolII,0,0,0
77,Il17a,0,PolII,0,0,0
78,Il17f,0,PolII,0,0,0
79,Mcm3,0,PolII,0,0,0
80,Paqr8,0,PolII,0,0,0
81,6720483E21Rik,0,PolII,0,0,0
82,Efhc1,0,PolII,0,0,0
83,Tram2,0,PolII,0,0,0
84,Tmem14a,0,PolII,0,0,0
85,Gsta3,0,PolII,0,0,0
86,Gm4956,0,PolII,0,0,0
87,Khdc1a,0,PolII,0,0,0
88,Khdc1c,0,PolII,0,0,0
89,Khdc1b,0,PolII,0,0,0
90,Kcnq5,0,PolII,0,0,0
91,Rims1,0,0,0,0,0
92,Gm7759,0,0,0,0,0
93,Ppp1r14bl,0,0,0,0,0
94,Mir30a,0,0,0,0,0
95,Mir30c-2,0,0,0,0,0
96,Ogfrl1,0,0,0,0,0
