sep=;
"Cluster";"Bergmann";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0006334";"nucleosome assembly";"25/1210";"98/23328";2.07206147586061e-11;1.05157119899926e-07;9.64708200813838e-08;"Asf1a/H1f1/H1f2/H1f3/H1f4/H1f6/H2bc1/H2bc3/H2bc4/H2bc7/H2bc9/H3c1/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/Smyd3";25
"PolII";"PolII";"GO:0048167";"regulation of synaptic plasticity";"50/1210";"365/23328";3.58591690036346e-10;9.09926413467229e-07;8.34763707910927e-07;"Abhd6/Ctnnd2/Drd2/Egr1/Fam107a/Gria1/Grid2/Grik1/Hrh1/Kcnn2/Lrrtm2/Mapk1/Mef2c/Mir101a/Mir125b-2/Mir153/Mir181a-2/Mir181b-2/Mir204/Mir23b/Mir24-1/Mir29a/Mir29b-1/Mir378a/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir467b/Mir9-2/Mir99a/Mirlet7c-1/Nr3c1/Nrgn/Ntrk2/Paip2/Ppp1r9a/Psen1/Scgn/Sipa1l1/Sorcs2/Synpo/Syt7/Unc13c";50
"PolII";"PolII";"GO:1990830";"cellular response to leukemia inhibitory factor";"44/1210";"311/23328";1.47905066047191e-09;2.07750019369301e-06;1.90589232184686e-06;"Abcd4/Eed/Eef1e1/Egln3/Fzd4/Jarid2/Lrba/Mir125b-2/Mir133a-1/Mir181a-2/Mir182/Mir183/Mir204/Mir206/Mir27b/Mir29a/Mir29b-1/Mir302a/Mir302b/Mir302c/Mir302d/Mir34b/Mir34c/Mir367/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir467b/Mir9-2/Mir96/Mir99a/Mtf2/Nefh/Rnmt/Smad7/Spry4/Tfrc";44
"PolII";"PolII";"GO:1990823";"response to leukemia inhibitory factor";"44/1210";"312/23328";1.63743857630976e-09;2.07750019369301e-06;1.90589232184686e-06;"Abcd4/Eed/Eef1e1/Egln3/Fzd4/Jarid2/Lrba/Mir125b-2/Mir133a-1/Mir181a-2/Mir182/Mir183/Mir204/Mir206/Mir27b/Mir29a/Mir29b-1/Mir302a/Mir302b/Mir302c/Mir302d/Mir34b/Mir34c/Mir367/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir467b/Mir9-2/Mir96/Mir99a/Mtf2/Nefh/Rnmt/Smad7/Spry4/Tfrc";44
"PolII";"PolII";"GO:0065004";"protein-DNA complex assembly";"30/1210";"171/23328";4.14006597737846e-09;4.20216696703914e-06;3.85505511956736e-06;"Asf1a/Cenpo/Esr1/Gtf2a2/H1f1/H1f2/H1f3/H1f4/H1f6/H2bc1/H2bc3/H2bc4/H2bc7/H2bc9/H3c1/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/Mcm3/Smyd3/Tcf4";30
"PolII";"PolII";"GO:0034728";"nucleosome organization";"26/1210";"137/23328";8.15630314688951e-09;6.89887307841071e-06;6.32900505591093e-06;"Asf1a/Brdt/H1f1/H1f2/H1f3/H1f4/H1f6/H2bc1/H2bc3/H2bc4/H2bc7/H2bc9/H3c1/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/Smyd3";26
"PolII";"PolII";"GO:0071824";"protein-DNA complex subunit organization";"32/1210";"214/23328";6.78975052272141e-08;3.73776709660488e-05;3.42901609920319e-05;"Asf1a/Brdt/Cenpo/Esr1/Gtf2a2/Gtf2e1/H1f1/H1f2/H1f3/H1f4/H1f6/H2bc1/H2bc3/H2bc4/H2bc7/H2bc9/H3c1/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/Mcm3/Smyd3/Tcf4";32
"PolII";"PolII";"GO:0000038";"very long-chain fatty acid metabolic process";"11/1210";"34/23328";6.62504200443408e-07;0.000280184068104191;0.000257040006891333;"Abcd4/Acot2/Acot3/Acot4/Acot5/Acox2/Acsbg1/Elovl4/Elovl6/Hacd1/Hacd2";11
"PolII";"PolII";"GO:0006323";"DNA packaging";"28/1210";"199/23328";1.53917129948593e-06;0.000600868795760853;0.000551235194949495;"Asf1a/H1f1/H1f2/H1f3/H1f4/H1f6/H2bc1/H2bc3/H2bc4/H2bc7/H2bc9/H3c1/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/Incenp/Ncapg2/Smc5/Smyd3";28
"PolII";"PolII";"GO:0007605";"sensory perception of sound";"34/1210";"274/23328";2.32617740358275e-06;0.000843239308798747;0.000773585162108759;"Atp8b1/Cdc14a/Clrn1/Coch/Dcdc2a/Fzd4/Hexa/Lhfpl3/Loxhd1/Mir125b-2/Mir181a-2/Mir182/Mir183/Mir206/Mir23b/Mir24-1/Mir27b/Mir29a/Mir29b-1/Mir34c/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir96/Nav2/Pgap1/Ripor2";34
