sep=;
"Cluster";"Bergmann";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0000786";"nucleosome";"22/1187";"88/23271";3.66444030229414e-10;1.11655060499961e-07;9.87807062248615e-08;"H1f1/H1f2/H1f3/H1f4/H1f6/H2ac10/H2bc1/H2bc3/H2bc9/H3c1/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8";22
"PolII";"PolII";"GO:0044815";"DNA packaging complex";"23/1187";"96/23271";3.67286383223555e-10;1.11655060499961e-07;9.87807062248615e-08;"H1f1/H1f2/H1f3/H1f4/H1f6/H2ac10/H2bc1/H2bc3/H2bc9/H3c1/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/Ncapg2";23
"PolII";"PolII";"GO:0016442";"RISC complex";"22/1187";"120/23271";1.6000472704266e-07;1.94565748083875e-05;1.72131401092209e-05;"Dcp2/Mir101a/Mir122/Mir1a-2/Mir29a/Mir34c/Mir466g/Mir466m/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir5128/Mir669f/Mir669o/Mirlet7c-1";22
"PolII";"PolII";"GO:0031332";"RNAi effector complex";"22/1187";"120/23271";1.6000472704266e-07;1.94565748083875e-05;1.72131401092209e-05;"Dcp2/Mir101a/Mir122/Mir1a-2/Mir29a/Mir34c/Mir466g/Mir466m/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir5128/Mir669f/Mir669o/Mirlet7c-1";22
"PolII";"PolII";"GO:0032993";"protein-DNA complex";"28/1187";"186/23271";2.73400934132347e-07;2.77046279920778e-05;2.4510153919584e-05;"Esr1/Gtf2e1/H1f1/H1f2/H1f3/H1f4/H1f6/H2ac10/H2bc1/H2bc3/H2bc9/H3c1/H3c2/H3c3/H3c4/H3c6/H3c7/H3c8/H4c1/H4c2/H4c3/H4c4/H4c6/H4c8/Max/Pola1/Prpf19/Tcf7l2";28
"PolII";"PolII";"GO:0014069";"postsynaptic density";"43/1187";"400/23271";3.50551850552581e-06;0.000304479321622813;0.000269371422003562;"Abhd17b/Adam10/Akap9/Ank2/Cap2/Cryab/Ctnnd2/Dagla/Dlg2/Dnajc6/Drd2/Erc1/Fabp5/Frmpd4/Gap43/Gphn/Gria1/Gria4/Grid2/Grik1/Iqsec1/Itga8/Lrrtm2/Magi2/Mapk1/Mib1/Mir99a/Nefh/Nr3c1/Nrgn/Ntrk2/Numb/Picalm/Plcb4/Plekha5/Ppp1r9a/Ptch1/Rheb/Rpl5/Rps14/Sipa1l1/Snap91/Sorcs2";43
"PolII";"PolII";"GO:0032279";"asymmetric synapse";"43/1187";"405/23271";4.81619220179821e-06;0.000366030607336664;0.000323825554620906;"Abhd17b/Adam10/Akap9/Ank2/Cap2/Cryab/Ctnnd2/Dagla/Dlg2/Dnajc6/Drd2/Erc1/Fabp5/Frmpd4/Gap43/Gphn/Gria1/Gria4/Grid2/Grik1/Iqsec1/Itga8/Lrrtm2/Magi2/Mapk1/Mib1/Mir99a/Nefh/Nr3c1/Nrgn/Ntrk2/Numb/Picalm/Plcb4/Plekha5/Ppp1r9a/Ptch1/Rheb/Rpl5/Rps14/Sipa1l1/Snap91/Sorcs2";43
"PolII";"PolII";"GO:0098858";"actin-based cell projection";"25/1187";"221/23271";0.00016722413295111;0.009242933894025;0.00817718008976243;"Atp8b1/Cd44/Cdc14a/Cib2/Clrn1/Ctsl/Cxadr/Cyfip1/Dock4/Gap43/Gpm6a/Kitl/Lipc/Loxhd1/Muc4/Myo1e/Myo5a/Nf2/Ppp1r9a/Ripor2/Rufy3/Slc26a2/Ube2k/Utrn/Vcam1";25
"PolII";"PolII";"GO:0098982";"GABA-ergic synapse";"15/1187";"105/23271";0.000280614247193922;0.0142177885244921;0.0125784105540434;"Abhd6/Atp2b1/Drd2/Erc1/Gabbr2/Gabra4/Gabrb1/Gabrg3/Gap43/Gphn/Lrrtm2/Magi2/Nrg2/Plcb1/Syt7";15
"PolII";"PolII";"GO:0043197";"dendritic spine";"22/1187";"195/23271";0.00041616786098146;0.0194638507289791;0.017219577081905;"Abl2/Actn1/Adam10/Apba1/Cryab/Cyfip1/Drd2/Frmpd4/Gria1/Gria4/Grid2/Kcnn2/Mob4/Nr3c1/Nrgn/Ntrk2/Palmd/Ppp1r9a/Sipa1l1/Slc1a2/Syne1/Synpo";22
"PolII";"PolII";"GO:0044309";"neuron spine";"22/1187";"200/23271";0.000589302626006797;0.0255925711865809;0.0226416272097348;"Abl2/Actn1/Adam10/Apba1/Cryab/Cyfip1/Drd2/Frmpd4/Gria1/Gria4/Grid2/Kcnn2/Mob4/Nr3c1/Nrgn/Ntrk2/Palmd/Ppp1r9a/Sipa1l1/Slc1a2/Syne1/Synpo";22
"PolII";"PolII";"GO:0097060";"synaptic membrane";"40/1187";"470/23271";0.00112782655115149;0.0428574089437567;0.0379157478709482;"Abhd17b/Abhd6/Adam10/Akap9/Ank2/Apba1/Atp2b1/Cryab/Dagla/Dlg2/Drd2/Fcho2/Gabbr2/Gabra4/Gabrb1/Gabrg3/Ghsr/Gphn/Gpm6a/Gria1/Gria4/Grid2/Grik1/Itga8/Lrrtm2/Magi2/Ncam1/Nipsnap1/Nrgn/Ntrk2/Picalm/Psen1/Slc1a2/Slc6a5/Snap91/Sorcs2/Stx11/Syne1/Syt7/Unc13c";40
"PolII";"PolII";"GO:0030027";"lamellipodium";"19/1187";"171/23271";0.00119875965580354;0.0428732865134444;0.0379297946820812;"Abl2/Ablim3/Apc/Arhgap31/Carmil1/Cd44/Cdc42bpa/Clrn1/Ctnna1/Cyfip1/Dpysl3/Kitl/Mylk/Nf2/Pik3ca/Plce1/Pld1/Ppp1r9a/Rufy3";19
"SF3A66";"SF3A66";"GO:0042611";"MHC protein complex";"18/2547";"23/23271";9.4090530381604e-14;6.81215439962813e-11;5.16012277145428e-11;"H2-Aa/H2-Ab1/H2-D1/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-K1/H2-Oa/H2-Ob/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T23";18
"SF3A66";"SF3A66";"GO:0031300";"intrinsic component of organelle membrane";"87/2547";"403/23271";3.59393137001633e-10;1.30100315594591e-07;9.85493812515005e-08;"Abhd17a/Aqp2/Atf6b/Atp13a2/Atp6v0a1/Atp6v1g2/B4galnt1/Bak1/Ccdc51/Cln3/Coa3/Cpt1c/Dmpk/Dnajc5/Dolk/Dolpp1/Dpm2/Emc1/Emc10/Emc3/Emc8/Ergic1/Esyt1/Fis1/Gfy/Gpaa1/Gramd1a/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T23/H2-T3/Itpr3/Lemd2/Majin/Mfng/Micos10/Micos13/Mymk/Nfe2l1/Oxa1l/P2rx4/P2rx7/Pcsk4/Pex10/Pgap3/Pigs/Pink1/Preb/Ptprs/Qsox2/Rab26/Rab3a/Rab5b/Rce1/Rdh1/Rdh16/Rdh16f2/Rdh19/Rdh9/Rer1/Rfng/Rhot2/Slc17a7/Slc22a17/Slc25a19/Slc30a3/Slc35b2/Slc8a2/Sppl2b/Syne4/Syt11/Syt5/Tap1/Tap2/Tapbp/Tm7sf2/Tomm40/Vamp2/Yif1a/Yif1b";87
"SF3A66";"SF3A66";"GO:0005882";"intermediate filament";"33/2547";"129/23271";2.34466152133868e-06;0.000282922490241535;0.000214310289932887;"BC024139/Eppk1/Evpl/Fam83h/Fbf1/Gfap/Iffo2/Jup/Krt1/Krt10/Krt14/Krt16/Krt17/Krt18/Krt2/Krt222/Krt24/Krt25/Krt26/Krt27/Krt28/Krt4/Krt42/Krt73/Krt76/Krt77/Krt79/Krt8/Lmnb2/Plec/Prph/Tchp/Vmac";33
"SF3A66";"SF3A66";"GO:0034364";"high-density lipoprotein particle";"12/2547";"26/23271";6.36264036939826e-06;0.00065807880392062;0.000498486561271653;"Apoc1/Apoc2/Apoc4/Apoe/Apof/Apom/Lcat/Pltp/Saa1/Saa2/Saa3/Saa4";12
"SF3A66";"SF3A66";"GO:0044391";"ribosomal subunit";"43/2547";"198/23271";8.2249981843117e-06;0.000722322791803478;0.000547150588150061;"2810006K23Rik/Larp4/Mpv17l2/Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl28/Mrpl34/Mrpl38/Mrpl45/Mrpl48/Mrpl49/Mrpl52/Mrpl54/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps2/Mrps34/Mrps7/Rpl13a/Rpl18/Rpl19/Rpl23a/Rpl27/Rpl28/Rpl36/Rpl3l/Rpl7a/Rpl7l1/Rpl8/Rps11/Rps15/Rps16/Rps18/Rps19/Rps2/Rps26/Rps28/Rps9";43
"SF3A66";"SF3A66";"GO:0098576";"lumenal side of membrane";"10/2547";"20/23271";1.58629392929924e-05;0.000958259862432717;0.000725870003383899;"Aqp2/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Nucb1/Sppl2b";10
"SF3A66";"SF3A66";"GO:0045111";"intermediate filament cytoskeleton";"37/2547";"165/23271";1.61457975465484e-05;0.000958259862432717;0.000725870003383899;"BC024139/Eppk1/Evpl/Exosc4/Fam83h/Fbf1/Gfap/Iffo2/Jup/Krt1/Krt10/Krt14/Krt16/Krt17/Krt18/Krt2/Krt222/Krt24/Krt25/Krt26/Krt27/Krt28/Krt4/Krt42/Krt73/Krt76/Krt77/Krt79/Krt8/Lmnb2/Mmp14/Ndor1/Plec/Prph/Sap30bp/Tchp/Vmac";37
"SF3A66";"SF3A66";"GO:1990777";"lipoprotein particle";"13/2547";"34/23271";3.15306424343388e-05;0.00142676157015383;0.00108075425712437;"Apobr/Apoc1/Apoc2/Apoc4/Apoe/Apof/Apom/Lcat/Pltp/Saa1/Saa2/Saa3/Saa4";13
"SF3A66";"SF3A66";"GO:0005891";"voltage-gated calcium channel complex";"14/2547";"40/23271";4.99607810833311e-05;0.00203215723949132;0.00153933399502032;"Cacna1a/Cacna1h/Cacna2d2/Cacnb1/Cacnb3/Cacng2/Cacng6/Cacng8/Catsper1/Catsperd/Catsperg1/Catsperg2/Catsperz/Stac3";14
"SF3A66";"SF3A66";"GO:0097525";"spliceosomal snRNP complex";"17/2547";"55/23271";5.05232462856957e-05;0.00203215723949132;0.00153933399502032;"Cd2bp2/Ddx23/Ddx39b/Eftud2/Lsm2/Lsm4/Lsm7/Luc7l/Prpf31/Prpf40b/Prpf8/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpc/Snrpd2";17
"SF3A66";"SF3A66";"GO:0012506";"vesicle membrane";"64/2547";"363/23271";8.20120427399777e-05;0.00312509047072336;0.0023672174109434;"Abca3/Ap1g2/Ap1s1/Ap2a1/Ap2s1/Aqp5/Aspscr1/Atp13a2/Atp6v0a1/Atp6v1g2/Calm3/Cope/Copz2/Dbh/Dnajc5/Doc2a/Flot2/Grb2/Grin1/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Hyal3/Itpr3/Izumo1/Kdelr1/Kdelr3/Necap2/Pcsk4/Prrt1/Ptprs/Rab26/Rab3a/Rab5b/Rapgef1/Ryr1/Scyl1/Sec16a/Sgta/Slc17a7/Slc26a6/Slc2a4/Slc30a3/Slc5a6/Sycn/Syngr3/Syngr4/Syt11/Syt5/Tap1/Tapbp/Tepsin/Tmem184a/Tmem190/Tmem95/Traf2/Trim72/Vamp2/Vgf/Zg16";64
"SF3A66";"SF3A66";"GO:0005761";"mitochondrial ribosome";"23/2547";"92/23271";0.000110885617778218;0.00351370555115604;0.00266158853177129;"2810006K23Rik/Mpv17l2/Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl28/Mrpl34/Mrpl38/Mrpl45/Mrpl48/Mrpl49/Mrpl52/Mrpl54/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps2/Mrps34/Mrps7/Ndufa7";23
"SF3A66";"SF3A66";"GO:0008180";"COP9 signalosome";"12/2547";"34/23271";0.000156406078602998;0.00420038990700729;0.00318174344511602;"Cops6/Dynll1/Flot1/Gps1/Grb2/Hsp90ab1/Hspa1a/Hspa1b/Hspa1l/Myh9/Nckipsd/Wdr6";12
