sep=;
"Cluster";"Bergmann";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0042578";"phosphoric ester hydrolase activity";"41/1128";"357/22669";5.8574878500561e-07;0.000533617143140111;0.000497578178420555;"Cdc14a/Cdc14b/Cdc25b/Cdc25c/Ctdp1/Dnajc6/Dusp5/Dusp6/Enpp2/Gnaq/Gpcpd1/Gpld1/Hdhd2/Impa1/Impa2/Lrrc39/Mppe1/Mtmr7/Pde3a/Pde6a/Pde7b/Pdp1/Pfkfb3/Pgap1/Phlpp1/Plcb1/Plcb4/Plce1/Plcl1/Pld1/Plpp3/Pon1/Pon3/Ppm1f/Ppp2r1b/Ppp6c/Ptpn2/Ptprg/Ptprn2/Rpap2/Tdp2";41
"PolII";"PolII";"GO:0052689";"carboxylic ester hydrolase activity";"21/1128";"164/22669";6.76413838874313e-05;0.0205404335738166;0.0191531918586516;"Abhd3/Abhd6/Acot1/Acot2/Acot3/Acot4/Acot5/Acot6/Dtd2/Enpp2/Lipc/Nceh1/Ndst1/Pafah1b2/Pgap1/Pla1a/Pon1/Pon2/Pon3/Ptrhd1/Siae";21
"PolII";"PolII";"GO:0000287";"magnesium ion binding";"23/1128";"197/22669";0.000131035276950458;0.0251753633259863;0.0234750918066566;"Abl2/Adprh/Atp8b1/Atp9b/Cdc42bpa/Cib2/Csnk1a1/Dck/Exd2/Fen1/Gem/Idh3a/Impa1/Lats1/Mast4/Nek6/Pdp1/Pgm3/Prps2/Rheb/Sik2/Sik3/Tdp2";23
"PolII";"PolII";"GO:0008013";"beta-catenin binding";"14/1128";"90/22669";0.000138219617192443;0.0251753633259863;0.0234750918066566;"Apc/Ctnna1/Ctnnd2/Cxadr/Esr1/Foxo1/Foxo3/Nf2/Numb/Psen1/Rora/Smad7/Tcf4/Tcf7l2";14
"PolII";"PolII";"GO:0031492";"nucleosomal DNA binding";"6/1128";"18/22669";0.000165809198634377;0.0251753633259863;0.0234750918066566;"H1f1/H1f2/H1f3/H1f4/H1f6/Hmgn3";6
"PolII";"PolII";"GO:0047617";"acyl-CoA hydrolase activity";"7/1128";"26/22669";0.00021174515010407;0.0275571188206868;0.0256959903960879;"Acot1/Acot13/Acot2/Acot3/Acot4/Acot5/Acot6";7
"SF3A66";"SF3A66";"GO:0046977";"TAP binding";"11/2488";"12/22669";2.94686189536706e-10;2.24725825011875e-07;2.01240657384735e-07;"H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Tap1/Tap2/Tapbp";11
"SF3A66";"SF3A66";"GO:0042605";"peptide antigen binding";"22/2488";"46/22669";4.04183138510567e-10;2.24725825011875e-07;2.01240657384735e-07;"Gm11127/Gm7030/Gm8909/H2-Aa/H2-Ab1/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Tap1/Tap2";22
"SF3A66";"SF3A66";"GO:0030881";"beta-2-microglobulin binding";"10/2488";"12/22669";1.33600893699722e-08;4.95213979313635e-06;4.43461212069954e-06;"Fcgrt/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-T23";10
"SF3A66";"SF3A66";"GO:0042608";"T cell receptor binding";"10/2488";"17/22669";2.33680638926826e-06;0.000562926688367536;0.000504097545622576;"Eps8l1/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-T23";10
"SF3A66";"SF3A66";"GO:0042610";"CD8 receptor binding";"8/2488";"11/22669";2.5311451815087e-06;0.000562926688367536;0.000504097545622576;"H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7";8
"SF3A66";"SF3A66";"GO:0003735";"structural constituent of ribosome";"37/2488";"158/22669";6.03339275774391e-06;0.00111818879110187;0.00100133149979399;"Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl28/Mrpl34/Mrpl49/Mrpl52/Mrpl54/Mrps12/Mrps18a/Mrps18b/Mrps2/Mrps34/Mrps7/Ndufa7/Rpl13a/Rpl18/Rpl19/Rpl23a/Rpl27/Rpl28/Rpl36/Rpl3l/Rpl41/Rpl7l1/Rpl8/Rps11/Rps15/Rps16/Rps18/Rps19/Rps2/Rps26/Rps28/Rps9";37
"SF3A66";"SF3A66";"GO:0016810";"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds";"30/2488";"131/22669";6.84538198008666e-05;0.0104464500046958;0.00935473466910475;"Acer1/Adat3/Brms1/Cad/Cda/Ddah2/Gls2/Hdac10/Hdac5/Hdac7/Klk1/Klk1b16/Klk1b21/Klk1b22/Klk1b24/Klk1b26/Klk1b27/Klk1b3/Klk1b4/Klk1b5/Mier2/Oplah/Padi1/Padi2/Padi3/Pglyrp1/Pglyrp2/Pycrl/Sirt2/Sirt7";30
"SF3A66";"SF3A66";"GO:0042288";"MHC class I protein binding";"9/2488";"19/22669";7.51543165805455e-05;0.0104464500046958;0.00935473466910475;"Atp5b/H2-K1/H2-T23/Pilra/Pilrb1/Pilrb2/Tap1/Tap2/Tubb5";9
"SF3A66";"SF3A66";"GO:0045182";"translation regulator activity";"29/2488";"127/22669";9.47788102133874e-05;0.0117104485508096;0.0104866379487561;"2810006K23Rik/Abcf1/Cirbp/Denr/Eef1d/Eef2/Eif1/Eif1ad/Eif2b4/Eif3c/Eif3d/Eif3k/Eif3l/Eif4a1/Eif4a3/Eif4b/Eif4g3/Eif5a/Fxr2/Gtpbp2/Mif4gd/Mrpl58/Rara/Rps9/Samd4b/Shmt2/Tsfm/Tufm/Ybx2";29
"SF3A66";"SF3A66";"GO:0090079";"translation regulator activity, nucleic acid binding";"23/2488";"95/22669";0.000193823889006841;0.019593833143237;0.0175461625837772;"2810006K23Rik/Abcf1/Denr/Eef1d/Eef2/Eif1/Eif1ad/Eif2b4/Eif3c/Eif3d/Eif3k/Eif3l/Eif4a1/Eif4b/Eif4g3/Eif5a/Gtpbp2/Mif4gd/Mrpl58/Rara/Shmt2/Tsfm/Tufm";23
"SF3A66";"SF3A66";"GO:0017171";"serine hydrolase activity";"41/2488";"212/22669";0.000219254695396198;0.020317601773381;0.018194293144281;"Ache/Acr/C2/Cela1/Cfb/Cfd/Clpp/Ctrl/Ctsa/Dpp7/Dpp9/Elane/Hpn/Klk1/Klk1b16/Klk1b21/Klk1b22/Klk1b24/Klk1b26/Klk1b27/Klk1b3/Klk1b4/Klk1b5/Lipe/Lonp1/Mmp9/Pcsk4/Prss28/Prss29/Prss34/Prss36/Prss53/Prss8/Prtn3/Rhbdd2/Rhbdl1/Tmprss12/Tmprss9/Tpsab1/Tpsb2/Tpsg1";41
"SF3A66";"SF3A66";"GO:0003712";"transcription coregulator activity";"72/2488";"441/22669";0.000377692657598348;0.0302886410970592;0.0271233003387145;"Actn4/Ajuba/Atxn7l3/Bicral/Brca1/Camta2/Ccdc62/Daxx/Ddit3/Ddx17/Dpf1/Dpf2/Drap1/Dyrk1b/Edf1/Eid2/Eid2b/Elane/Erf/Ezh1/Fus/Gm21992/Gps2/Hdac5/Hdac7/Hdgfl2/Hmga1/Hmga1b/Hspa1a/Hyal2/Irf2bp1/Jmjd6/Jup/Kat5/Kat8/Kmt2d/Mamstr/Map3k10/Med1/Med11/Med16/Med22/Med24/Mier2/Mpnd/Nab2/Naca/Ncoa3/Nfe2l1/Notch1/Nupr1/Pa2g4/Parp10/Phf12/Pias4/Prmt5/Psmc3ip/Psmd9/Rbfox2/Rbm14/Rrp1b/Ruvbl2/Rxrb/Sirt7/Ski/Taf11/Taf6/Tgfb1i1/Wbp2/Zbtb32/Zfp541/Zmynd8";72
"SF3A66";"SF3A66";"GO:0016887";"ATPase activity";"67/2488";"404/22669";0.000381331812373048;0.0302886410970592;0.0271233003387145;"Abca17/Abca2/Abca3/Abca7/Abcc10/Abcc6/Abcf1/Atp13a2/Atp2a1/Atp5b/Atp5d/Atp6v1g2/Chd3/Chtf18/Clpp/Ddx17/Ddx39b/Ddx49/Dhx16/Dhx34/Dhx8/Dmc1/Dnah2/Eif4a1/Eif4a3/Entpd2/Ercc2/Gins2/Gm960/Hspa1a/Hspa1b/Hspa1l/Kif17/Kif18b/Kif1c/Kif22/Kif5a/Kifc1/Kifc2/Kifc5b/Lonp1/Mcm7/Mov10l1/Msh5/Myh14/Myh6/Myh7/Myh9/Myo15/Myo1a/Myo1f/Myo1h/Pex6/Psmc4/Recql4/Recql5/Rnf213/Ruvbl2/Setx/Skiv2l/Srcap/Tap1/Tap2/Tdrd12/Top2a/Tor4a/Upf1";67
"SF3A66";"SF3A66";"GO:0001221";"transcription cofactor binding";"16/2488";"59/22669";0.000460987625106627;0.0320386399449106;0.0286904140362414;"Baiap2/Cdc5l/Fam89b/Hdac5/Hnf1a/Mafk/Med25/Nr1d1/Per1/Phf12/Rela/Tead2/Trp53/Ube2i/Zbtb7a/Zfp568";16
"SF3A66";"SF3A66";"GO:0008236";"serine-type peptidase activity";"39/2488";"207/22669";0.000529407683656435;0.0327056302347753;0.0292876999262566;"Acr/C2/Cela1/Cfb/Cfd/Clpp/Ctrl/Ctsa/Dpp7/Dpp9/Elane/Hpn/Klk1/Klk1b16/Klk1b21/Klk1b22/Klk1b24/Klk1b26/Klk1b27/Klk1b3/Klk1b4/Klk1b5/Lonp1/Mmp9/Pcsk4/Prss28/Prss29/Prss34/Prss36/Prss53/Prss8/Prtn3/Rhbdd2/Rhbdl1/Tmprss12/Tmprss9/Tpsab1/Tpsb2/Tpsg1";39
"SF3A66";"SF3A66";"GO:0004864";"protein phosphatase inhibitor activity";"12/2488";"39/22669";0.000679700410299667;0.0393886022072813;0.0352722621053466;"2810408A11Rik/Elfn1/Elfn2/Ppp1r10/Ppp1r14a/Ppp1r14b/Ppp1r1b/Ppp1r26/Ppp1r27/Ppp1r35/Ppp1r37/Styxl1";12
