sep=;
"Cluster";"Granule";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0002028";"regulation of sodium ion transport";"20/1564";"93/23328";2.81190477560523e-06;0.0154626643610532;0.0144472707470833;"Adrb2/Akt3/Ank3/Cnksr3/Cntn1/Commd1/Fgf14/Nedd4/Nedd4l/Nkain1/Nos1/Plcb1/Ptpn3/Scnn1b/Slc8a1/Snta1/Stoml1/Tesc/Wnk1/Wnk2";20
"PolII";"PolII";"GO:0035725";"sodium ion transmembrane transport";"25/1564";"143/23328";9.11967516152829e-06;0.0181806073614509;0.0169867333833408;"Ank3/Ano6/Cnksr3/Commd1/Fgf14/Hcn4/Kcnk1/Nalcn/Nedd4/Nedd4l/Nos1/Plcb1/Ptpn3/Scnn1b/Slc24a1/Slc24a4/Slc4a4/Slc6a5/Slc6a7/Slc8a1/Snta1/Stoml1/Tesc/Wnk1/Wnk2";25
"PolII";"PolII";"GO:0007409";"axonogenesis";"58/1564";"482/23328";1.12059150290565e-05;0.0181806073614509;0.0169867333833408;"Ank3/Apc/Auts2/B3gnt2/Bcl11a/Cdh4/Creb1/Csf1r/Cxcr4/Disc1/Dock7/Egr2/Epha2/Ephb1/Fbxo45/Foxp1/Gfra3/Gli2/Isl2/Islr2/Kif5c/Klf7/Lhx2/Limk1/Lrtm2/Map2/Map2k1/Neo1/Nptn/Numb/Pak2/Pla2g10/Plxnc1/Plxnd1/Prtg/Psen1/Ptch1/Ptprm/Rab10/Rab11a/Robo3/Rpl4/Rufy3/Sema7a/Sin3a/Slit1/Snap91/Tnn/Tnr/Trpv2/Ttc8/Ulk2/Unc5a/Vcl/Wdr36/Zfyve27/Zic2/Zswim8";58
"PolII";"PolII";"GO:0006814";"sodium ion transport";"34/1564";"234/23328";1.70052934092684e-05;0.0187024216915134;0.0174742815011872;"Adrb2/Akt3/Ank3/Ano6/Chp2/Cnksr3/Cntn1/Commd1/Commd3/Fgf14/Hcn4/Kcnk1/Klhl3/Nalcn/Nedd4/Nedd4l/Nkain1/Nos1/Plcb1/Ptpn3/Scnn1b/Slc23a1/Slc24a1/Slc24a4/Slc4a4/Slc5a11/Slc6a5/Slc6a7/Slc8a1/Snta1/Stoml1/Tesc/Wnk1/Wnk2";34
"PolII";"PolII";"GO:1990778";"protein localization to cell periphery";"45/1564";"363/23328";5.11154376382233e-05;0.0411012770038655;0.0384022612830788;"Adam10/Ank3/Cacng3/Camk2a/Camk2g/Cltc/Cnst/Commd1/Csk/Csrp3/Dlg1/Dpp6/Efr3b/Epb41/Epha2/Epm2a/Gga2/Gpr158/Kcnip4/Kif1b/Map2k1/Mrap2/Numb/Pid1/Pigw/Plk1/Ptch1/Ptpn9/Rab10/Rab11a/Rab12/Rab15/Rab31/Rab8b/Rapgef6/Scp2/Snap25/Tesc/Tmem59/Tspan15/Tspan17/Ttc7b/Ttc8/Washc1/Zfyve27";45
"PolII";"PolII";"GO:0009896";"positive regulation of catabolic process";"54/1564";"463/23328";5.2320228955639e-05;0.0411012770038655;0.0384022612830788;"Adrb2/Angptl3/Apc/Apoa1/Apoa4/Apoa5/Arih1/Atpif1/Csnk1a1/Disc1/Dnd1/Ecscr/Edem2/Entpd5/Epm2a/Fbxo22/Fbxw8/Gclc/Grsf1/Itch/Lrrk2/Map2k1/Mettl3/Nanos1/Ndfip1/Nedd4/Nedd4l/Oaz2/Pafah1b2/Pias1/Pip4k2a/Plk1/Prxl2c/Psen1/Psen2/Pum1/Rab12/Rab3gap1/Ralb/Rc3h1/Rnf14/Sctr/Sesn2/Slc4a4/Snx1/Snx33/Tmem59/Tnrc6a/Trim67/Trp53inp2/Ubqln1/Ulk2/Ythdf2/Zc3h12d";54
"PolII";"PolII";"GO:1902305";"regulation of sodium ion transmembrane transport";"14/1564";"64/23328";6.99249510041871e-05;0.0424352844831694;0.039648667903705;"Ank3/Cnksr3/Commd1/Fgf14/Nedd4/Nedd4l/Nos1/Plcb1/Ptpn3/Snta1/Stoml1/Tesc/Wnk1/Wnk2";14
"PolII";"PolII";"GO:0046777";"protein autophosphorylation";"33/1564";"241/23328";7.46438024575355e-05;0.0424352844831694;0.039648667903705;"Aak1/Camk2a/Camk2g/Camk4/Clk3/Csf1r/Csk/Csnk1g1/Dyrk1a/Ephb1/Fgfr4/Grk5/Hk1/Hspa8/Hspa9/Htatip2/Lrrk2/Mob1b/Musk/Myo3a/Nek6/Pak2/Pdgfrb/Peak1/Riok2/Smg1/Taok3/Tnk2/Ttk/Ulk2/Ulk3/Wnk1/Wnk2";33
"PolII";"PolII";"GO:0043010";"camera-type eye development";"45/1564";"370/23328";8.06971276611627e-05;0.0424352844831694;0.039648667903705;"Apc/Bbs4/Bfsp1/Bfsp2/Cacna1c/Cdk20/Cdon/Chd7/Cryga/Crygb/Crygc/Crygd/Cryge/Dlg1/Epha2/Ephb1/Fzd5/Gje1/Hps1/Ift122/Jag1/Kmt2c/Lctl/Lhx2/Megf11/Mir23b/Mir24-1/Mir27b/Ninj1/Nr2e3/Pde6a/Pdgfrb/Phactr4/Ptprm/Rab3gap1/Rax/Rho/Rpgrip1/Smad3/Sos1/Stra6/Tmem231/Ttc8/Twsg1/Vsx2";45
"PolII";"PolII";"GO:0006979";"response to oxidative stress";"48/1564";"409/23328";0.0001145286669115;0.0484456261035644;0.0452643257647798;"Abcc1/Ankrd2/Apex1/Apoa4/Camk2g/Coq7/Crygd/Cyp11a1/Egln1/Ercc6l2/Fancc/Fancd2/Foxp1/Fut8/Gclc/Ggt7/Hk3/Idh1/Lancl1/Lrrk2/Map2k1/Msrb2/Ncf1/Ndufa12/Neil1/Ngb/Nme5/Pdgfrb/Pla2r1/Pml/Ppargc1b/Prdx3/Psen1/Pxdn/Rad52/Ralbp1/Rnf7/Sesn2/Sin3a/Slc8a1/Tldc2/Tpo/Txn1/Txndc2/Uaca/Ubqln1/Vkorc1l1/Xrcc1";48
