sep=;
"Cluster";"Granule";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0030133";"transport vesicle";"46/1575";"339/23271";5.23103094455284e-06;0.00339493908301479;0.00310558047655558;"Adam10/Aph1b/Cadm1/Calm1/Car4/Cltb/Cltc/Cnst/Cplx3/Cyp19a1/Dbi/Disc1/Dmxl2/Dtnbp1/Erc1/Fgfr4/Hspa8/Kif3c/Kirrel3/Lrrk2/Nrgn/Oprd1/Pde4b/Pebp1/Pi4k2a/Psen1/Psen2/Rab10/Rab11a/Rab12/Rab15/Rab27a/Rab2a/Rab8b/Scamp2/Scamp5/Sec23b/Sec24c/Snap25/Snap91/Spg21/Syn2/Syt17/Tmem163/Unc13c/Vdac2";46
"PolII";"PolII";"GO:0030427";"site of polarized growth";"30/1575";"216/23271";0.000141535238689267;0.0199319863631128;0.0182331364995468;"Abitram/Ang/Apc/Auts2/Calm1/Crtac1/Cxcr4/Disc1/Dtnbp1/Fez1/Katna1/Kif3c/Kif5c/Lamp5/Limk1/Lrrk2/Map2/Myo9a/Pi4k2a/Psen1/Psen2/Ptch1/Rufy3/Slc2a13/Snap25/Sncb/Tnk2/Trpv2/Zfyve27/Zpr1";30
"PolII";"PolII";"GO:0071782";"endoplasmic reticulum tubular network";"8/1575";"25/23271";0.000165093112705324;0.0199319863631128;0.0182331364995468;"Asph/Parp16/Rab10/Rab3gap1/Reep2/Reep3/Reep5/Zfyve27";8
"PolII";"PolII";"GO:0030426";"growth cone";"29/1575";"209/23271";0.000184271060367761;0.0199319863631128;0.0182331364995468;"Abitram/Ang/Apc/Auts2/Calm1/Crtac1/Cxcr4/Disc1/Dtnbp1/Fez1/Katna1/Kif3c/Kif5c/Lamp5/Limk1/Lrrk2/Map2/Myo9a/Psen1/Psen2/Ptch1/Rufy3/Slc2a13/Snap25/Sncb/Tnk2/Trpv2/Zfyve27/Zpr1";29
"PolII";"PolII";"GO:0000776";"kinetochore";"21/1575";"136/23271";0.000322457636104653;0.02989642940456;0.0273482867312818;"Ahctf1/Apc/Cenpo/Cenpv/Cfdp1/Clasp1/Csnk1a1/Dctn5/Dsn1/Meikin/Nde1/Nup43/Phf2/Plk1/Psen1/Psen2/Seh1l/Sin3a/Ttk/Xpo1/Zwilch";21
"PolII";"PolII";"GO:0014069";"postsynaptic density";"45/1575";"400/23271";0.000572469281767059;0.0337756876242565;0.0308969066905858;"Adam10/Add1/Atp2b2/Bcl11a/Cacna1c/Cacng3/Cadm1/Camk2a/Camk2g/Chrna3/Cnksr2/Disc1/Dlg1/Dnajc6/Dtnbp1/Egln1/Eif3a/Epb41/Erc1/Fbxo45/Grm1/Hspa8/Insyn1/Lrp8/Lrrtm2/Map2/Map2k1/Nos1/Nrgn/Numb/Oprd1/Pak2/Pde4b/Pkp4/Plcb4/Ptch1/Pura/Rpl4/Slc8a1/Snap91/Snx1/Sos1/Syn2/Tanc1/Tmem108";45
"PolII";"PolII";"GO:0005875";"microtubule associated complex";"22/1575";"154/23271";0.000705906145877297;0.0354304560936156;0.0324106353690686;"Actl10/Actl7a/Actl7b/Cfap70/Dctn5/Disc1/Dnah5/Dnal1/Dynlrb1/Fntb/Kif1b/Kif20a/Kif23/Kif26b/Kif28/Kif3c/Kif5c/Lrp8/Map2/Nde1/Snx4/Tctex1d2";22
"PolII";"PolII";"GO:0032279";"asymmetric synapse";"45/1575";"405/23271";0.00074381817619341;0.0354304560936156;0.0324106353690686;"Adam10/Add1/Atp2b2/Bcl11a/Cacna1c/Cacng3/Cadm1/Camk2a/Camk2g/Chrna3/Cnksr2/Disc1/Dlg1/Dnajc6/Dtnbp1/Egln1/Eif3a/Epb41/Erc1/Fbxo45/Grm1/Hspa8/Insyn1/Lrp8/Lrrtm2/Map2/Map2k1/Nos1/Nrgn/Numb/Oprd1/Pak2/Pde4b/Pkp4/Plcb4/Ptch1/Pura/Rpl4/Slc8a1/Snap91/Snx1/Sos1/Syn2/Tanc1/Tmem108";45
"PolII";"PolII";"GO:0099523";"presynaptic cytosol";"7/1575";"24/23271";0.000798039811950831;0.0354304560936156;0.0324106353690686;"Camk2a/Ctbp2/Fbxo45/Hspa8/Lrrk2/Prkcb/Sncb";7
"PolII";"PolII";"GO:0005874";"microtubule";"47/1575";"430/23271";0.000818885734058913;0.0354304560936156;0.0324106353690686;"Abraxas2/Apc/Appbp2/Cct4/Cct6a/Cdk1/Cep162/Cep170/Clasp1/Clip2/Cltc/Disc1/Dlg1/Dnah5/Dnal1/Dynlrb1/Dyrk1a/Eif3a/Eml5/Fam161a/Fam161b/Fez1/Hspa8/Katna1/Kif1b/Kif20a/Kif23/Kif26b/Kif28/Kif3c/Kif5c/Lrrc49/Map1lc3a/Map2/Map2k1/Mapre1/Mtus2/Nde1/Plk1/Rab11a/Reep2/Reep3/Rnf4/Sctr/Slc8a1/Srprb/Tppp2";47
