sep=;
"Cluster";"MLI1";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0030900";"forebrain development";"77/2621";"393/23328";7.61006789890336e-07;0.00458354389550949;0.00409581864916767;"Agtpbp1/Aldh1a2/Aplp2/App/Aspm/Atg7/Atoh1/Bbs4/Bmerb1/Bmp4/Bmpr1a/Ccdc141/Chd7/Ctnnb1/Dab1/Dock7/Dpcd/Ext1/Fezf1/Fezf2/Fgf8/Fgfr1/Gdf7/Gdpd5/Gnaq/Gsk3b/Gsx1/Hesx1/Hnrnpk/Hook3/Htt/Id2/Ikzf1/Kif3a/Kirrel3/Lef1/Lhx2/Lrrk2/Mettl3/Mir9-2/Mrtfb/Nde1/Neurog2/Nfib/Ntrk2/Numb/Pcm1/Pfdn1/Plcb1/Plxna4/Pou3f2/Pou3f3/Prop1/Psen1/Pten/Rapgef2/Rax/Rfx4/Rnf7/Rpgrip1l/Rtn4rl2/Sall3/Secisbp2/Setd2/Slc6a3/Src/Tacc1/Tbx19/Tnr/Ttc21b/Ttc8/Uchl5/Ulk4/Uqcrq/Wnt5a/Wnt7a/Xrcc1";77
"PolII";"PolII";"GO:0048167";"regulation of synaptic plasticity";"71/2621";"365/23328";2.64210014119494e-06;0.00574794418001886;0.00513631755331518;"Abhd6/Adcy8/App/Atp2b2/Bcl2l1/Bdnf/Braf/Cd38/Crh/Ctnnd2/Egr1/Fam107a/Grid2/Gsk3b/Hnrnpk/Hrh1/Htt/Igsf11/Lrrtm2/Mef2c/Mir101b/Mir125a/Mir130a/Mir138-1/Mir181a-2/Mir181b-2/Mir1983/Mir23b/Mir24-1/Mir29a/Mir29b-1/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir467b/Mir484/Mir486/Mir7-1/Mir9-2/Mirlet7e/Mylk2/Nlgn1/Nrgn/Ntrk2/P2rx3/Paip2/Psen1/Pten/Rab11a/Rab5a/Rapgef2/Rgs14/Shank2/Shisa9/Sipa1l1/Slc24a1/Slc24a2/Sorcs3/Star/Stau1/Stau2/Tnr/Unc13c/Zdhhc2";71
"PolII";"PolII";"GO:0007409";"axonogenesis";"88/2621";"482/23328";2.86299726715202e-06;0.00574794418001886;0.00513631755331518;"Afg3l2/Apbb1/App/Atg7/Atl1/Atoh1/Auts2/B4galt6/Bcl2/Bdnf/Braf/Ccdc141/Cck/Cdkl3/Cntn4/Cobl/Col25a1/Crppa/Cyfip1/Dab1/Dock7/Dscam/Dscaml1/Ext1/Fezf1/Fezf2/Fgf8/Flrt2/Foxp1/Gap43/Gata3/Gdf7/Gdnf/Gsk3b/Ilk/Kif3a/Lama2/Lamc2/Lgr4/Lhx2/Lhx4/Lrrc4c/Lrtm1/Lrtm2/Map2/Map2k1/Mir9-2/Neo1/Neurog2/Nfib/Nkx6-1/Ntrk2/Numb/Olfr160/Picalm/Pla2g10/Plppr4/Plxna4/Plxnd1/Pou3f2/Pou4f3/Prtg/Psen1/Ptch1/Pten/Ptprz1/Rab11a/Robo3/Rpl4/Sema4d/Sipa1l1/Skil/Snap91/Tbce/Tiam2/Tnn/Tnr/Trak1/Trpv2/Ttc8/Unc5a/Unc5b/Ust/Vcl/Vim/Wnt5a/Wnt7a/Zswim8";88
"PolII";"PolII";"GO:0001655";"urogenital system development";"72/2621";"376/23328";4.04400379672154e-06;0.00608925871691346;0.00544131352964137;"Adamts1/Adamts16/Adamts6/Agtr1a/Ahi1/Ahr/Aldh1a2/Anxa4/Asxl1/Bcl2/Bdnf/Bmp4/Bmp6/Cat/Cc2d2a/Cer1/Cntrl/Cplane1/Ctnnb1/Ctnnd1/Cys1/Dchs1/Ednra/Egr1/Ext1/Fem1b/Fgf8/Fgfr1/Fmn1/Gata3/Gdnf/Grem1/Hc/Hs2st1/Id2/Ilk/Irx3/Itga8/Kif3a/Kirrel3/Klhl3/Lgr4/Lrrk2/Maged1/Mef2c/Ndufs6/Nek1/Nfia/Pbx1/Pgf/Plag1/Plaur/Plxnd1/Pou3f3/Prom1/Psap/Ptch1/Pten/Pygo1/Rln1/Rpgrip1l/Serpinb5/Sfrp1/Smad3/Smad5/Smad6/Sox17/Sox4/Ttc8/Ube3a/Wnt5a/Wt1";72
"PolII";"PolII";"GO:0045927";"positive regulation of growth";"61/2621";"312/23328";1.10021925986863e-05;0.00809967307958187;0.0072378039368215;"Adam10/Adam17/Adnp2/Agr2/Ahi1/Ahr/Avp/Bbs4/Bcl2/Bdnf/Bmpr1a/Ccn4/Cd38/Chd7/Cyfip1/Dscam/Fgf8/Fgfr1/Foxs1/Ghrl/Ghsr/Gpr21/Gsk3b/Hbegf/Hnrnpk/Ikzf1/Il9/Ilk/Lef1/Map2k5/Mef2c/Mir155/Mir21a/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Nedd4l/Nipbl/Picalm/Plcb1/Pou3f2/Rab11a/Rpl4/Rps6kb1/Sema4d/Sfrp1/Sgk1/Sh3glb1/Slc6a3/Tbx2/Trim32/Trpv2/Usp47/Wt1";61
"PolII";"PolII";"GO:2001237";"negative regulation of extrinsic apoptotic signaling pathway";"27/2621";"101/23328";1.26831012163714e-05;0.00809967307958187;0.0072378039368215;"Agap2/Bcl2/Bcl2l1/Bmp4/Ctnna1/Eya3/Faiml/Gclc/Gdnf/Gsk3b/Hmgb2/Htt/Lgals3/Map2k5/Raf1/Rps6kb1/Sgk3/Sgms1/Sh3rf1/Src/Tert/Tnfaip3/Tnfrsf22/Tnfrsf23/Unc5b/Zc3hc1/Zmynd11";27
"PolII";"PolII";"GO:0045862";"positive regulation of proteolysis";"65/2621";"344/23328";1.80542966064425e-05;0.00809967307958187;0.0072378039368215;"Adam9/Agtpbp1/Ankib1/App/Arih1/Arrb1/Asph/Atg7/Atpif1/Btrc/Ccbe1/Cck/Ccn2/Cln6/Cop1/Csnk1a1/Ctnnd1/Cyct/Cyfip2/Dap/Ddrgk1/Ecscr/Edem1/Fbxo22/Fgfr4/Gclc/Gsk3b/Il33/Jak2/Klhl40/Lrrk2/Lyn/Malt1/Nkd2/Oga/Pdcd6/Perp/Pias1/Picalm/Plgrkt/Plk1/Pmaip1/Pparg/Ppp2ca/Prelid1/Psen1/Pten/Rnf144a/Rnf180/Rnf7/Rnft1/Rps3/Smad3/Socs4/Src/Tnfrsf1b/Tnfrsf23/Tnfsf10/Tnp2/Trim32/Uaca/Ubqln1/Vsir/Wdr35/Zyg11b";65
"PolII";"PolII";"GO:2001233";"regulation of apoptotic signaling pathway";"75/2621";"413/23328";1.82049461613818e-05;0.00809967307958187;0.0072378039368215;"Agap2/Asah2/Atpif1/Avp/Bcl2/Bcl2l1/Bdnf/Bmp4/Ctnna1/Ctnnb1/Cyct/Dapk2/Ddias/Eef1e1/Eya3/Faiml/Fbh1/Fem1b/Fgfr1/Fignl1/Gclc/Gdnf/Gsk3b/Higd1a/Hmgb2/Hnrnpk/Htt/Jak2/Lgals3/Lrrk2/Maged1/Map2k1/Map2k5/Mpv17l/Nck2/Parp1/Pdcd7/Plagl2/Plaur/Pmaip1/Prelid1/Prkra/Psen1/Pten/Ptpn1/Ptpn2/Raf1/Rps3/Rps6kb1/Rps7/Rrn3/Sfrp1/Sgk3/Sgms1/Sh3glb1/Sh3rf1/Skil/Smad3/Snai1/Src/Tert/Tnfaip3/Tnfrsf22/Tnfrsf23/Tnfsf10/Traf1/Trim32/Txndc12/Ubqln1/Unc5b/Usp47/Vhl/Wdr35/Zc3hc1/Zmynd11";75
"PolII";"PolII";"GO:0033689";"negative regulation of osteoblast proliferation";"7/2621";"10/23328";1.97681311138422e-05;0.00809967307958187;0.0072378039368215;"Ahr/Bcl2/Grem1/Nell1/Sfrp1/Smad3/Tnn";7
"PolII";"PolII";"GO:0001657";"ureteric bud development";"27/2621";"104/23328";2.25632845006819e-05;0.00809967307958187;0.0072378039368215;"Adamts16/Agtr1a/Bcl2/Bdnf/Bmp4/Cat/Cer1/Ctnnb1/Dchs1/Fgf8/Fgfr1/Fmn1/Gata3/Gdnf/Grem1/Hs2st1/Ilk/Lgr4/Maged1/Pbx1/Pgf/Ptch1/Sfrp1/Smad3/Smad5/Smad6/Wt1";27
