sep=;
"Cluster";"MLI1";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0032279";"asymmetric synapse";"75/2633";"405/23271";1.15115542555395e-05;0.00271355071402665;0.00241567221459215;"Adam10/Adcy8/Add1/Akap9/Ank2/Arfgef2/Arhgef9/Arrb1/Atp2b2/Cacng3/Camk2g/Cast/Clstn2/Ctnnb1/Ctnnd1/Ctnnd2/Dab1/Dlg2/Dlgap1/Drosha/Dtnbp1/Epb41/Erc2/Exoc4/Fabp5/Frmpd4/Gap43/Gria2/Grid1/Grid2/Gsk3b/Hnrnpk/Htt/Igsf11/Iqsec1/Itga8/Itpr1/Lrrc4/Lrrc4c/Lrrtm2/Lyn/Lzts3/Map2/Map2k1/Mylk2/Nck2/Nlgn1/Nr3c2/Nrgn/Ntrk2/Numb/Oprd1/Pdzd2/Picalm/Pkp4/Plcb4/Plppr4/Ppp2ca/Ptch1/Ptprz1/Pura/Rgs14/Rgs7bp/Rpl14/Rpl4/Rps3/Shank2/Shisa9/Sipa1l1/Snap91/Sorcs3/Src/Syn2/Synj2bp/Zdhhc2";75
"PolII";"PolII";"GO:0098984";"neuron to neuron synapse";"79/2633";"433/23271";1.19346792470603e-05;0.00271355071402665;0.00241567221459215;"Adam10/Adcy8/Add1/Akap7/Akap9/Ank2/Arfgef2/Arhgef9/Arrb1/Atp2b2/Cacng3/Camk2g/Cast/Clstn2/Ctnnb1/Ctnnd1/Ctnnd2/Dab1/Dlg2/Dlgap1/Drosha/Dtnbp1/Epb41/Erc2/Exoc4/Fabp5/Frmpd4/Gap43/Gria2/Grid1/Grid2/Gsk3b/Hnrnpk/Htt/Igsf11/Iqsec1/Itga8/Itpr1/Lrrc4/Lrrc4c/Lrrtm2/Lyn/Lzts3/Map2/Map2k1/Mylk2/Nck2/Nlgn1/Nr3c2/Nrgn/Ntrk2/Numb/Oprd1/P2rx3/Pdzd2/Picalm/Pkp4/Plcb4/Plppr4/Ppp2ca/Ptch1/Ptprz1/Pura/Rgs14/Rgs7bp/Rpl14/Rpl4/Rps3/Shank2/Shisa9/Sipa1l1/Snap91/Sorcs3/Src/Syn2/Synj2bp/Syt9/Tnr/Zdhhc2";79
"PolII";"PolII";"GO:0014069";"postsynaptic density";"74/2633";"400/23271";1.36018409158408e-05;0.00271355071402665;0.00241567221459215;"Adam10/Adcy8/Add1/Akap9/Ank2/Arhgef9/Arrb1/Atp2b2/Cacng3/Camk2g/Cast/Clstn2/Ctnnb1/Ctnnd1/Ctnnd2/Dab1/Dlg2/Dlgap1/Drosha/Dtnbp1/Epb41/Erc2/Exoc4/Fabp5/Frmpd4/Gap43/Gria2/Grid1/Grid2/Gsk3b/Hnrnpk/Htt/Igsf11/Iqsec1/Itga8/Itpr1/Lrrc4/Lrrc4c/Lrrtm2/Lyn/Lzts3/Map2/Map2k1/Mylk2/Nck2/Nlgn1/Nr3c2/Nrgn/Ntrk2/Numb/Oprd1/Pdzd2/Picalm/Pkp4/Plcb4/Plppr4/Ppp2ca/Ptch1/Ptprz1/Pura/Rgs14/Rgs7bp/Rpl14/Rpl4/Rps3/Shank2/Shisa9/Sipa1l1/Snap91/Sorcs3/Src/Syn2/Synj2bp/Zdhhc2";74
"PolII";"PolII";"GO:0016442";"RISC complex";"30/2633";"120/23271";2.0709144370011e-05;0.00271355071402665;0.00241567221459215;"Dhx9/Eif4e/Mir101b/Mir122/Mir15b/Mir16-2/Mir21a/Mir29a/Mir326/Mir466g/Mir466m/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir467e/Mir486/Mir5099/Mir5128/Mir669f/Mir669o/Mir7-1/Snd1/Tnrc6a";30
"PolII";"PolII";"GO:0031332";"RNAi effector complex";"30/2633";"120/23271";2.0709144370011e-05;0.00271355071402665;0.00241567221459215;"Dhx9/Eif4e/Mir101b/Mir122/Mir15b/Mir16-2/Mir21a/Mir29a/Mir326/Mir466g/Mir466m/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir467e/Mir486/Mir5099/Mir5128/Mir669f/Mir669o/Mir7-1/Snd1/Tnrc6a";30
"PolII";"PolII";"GO:0030057";"desmosome";"11/2633";"24/23271";2.32590061202284e-05;0.00271355071402665;0.00241567221459215;"Dsc1/Dsc2/Dsc3/Dsg1a/Dsg1b/Dsg1c/Dsg2/Dsg3/Dsg4/Dsp/Pkp4";11
"PolII";"PolII";"GO:0098685";"Schaffer collateral - CA1 synapse";"28/2633";"113/23271";4.57000669699309e-05;0.00457000669699309;0.00406833678890212;"Adcy8/Adora2b/Apbb1/Cacng3/Ctnnb1/Ctnnd1/Dtnbp1/Ghrl/Ghsr/Gria2/Gsk3b/Iqsec1/Itpr1/Lrrc4/Lrrc4c/Lrrtm2/Nrxn1/P2rx3/Picalm/Plat/Plcg1/Prkci/Ptpra/Rab11a/Snap91/Syn2/Tnr/Wnt7a";28
"PolII";"PolII";"GO:0034451";"centriolar satellite";"25/2633";"97/23271";5.71985561496125e-05;0.00500487366309109;0.00445546647902245;"Bbs4/C2cd5/Ccdc13/Cep72/Ddhd2/Dlgap5/Fnip2/Gsdmc/Gsdmc2/Gsdmc3/Gsdmc4/Hook3/Ift43/Itgb1bp1/Nek1/Nek6/Odf2l/Patj/Pcm1/Plk1/Prkcq/Pxk/Rab11a/Sass6/Ythdf2";25
"PolII";"PolII";"GO:1990913";"sperm head plasma membrane";"8/2633";"18/23271";0.000407482488117151;0.0285237741682006;0.0253925929437214;"Adam20/Adam21/Adam24/Adam25/Adam39/Adam4/Opn4/Rho";8
"PolII";"PolII";"GO:0030017";"sarcomere";"37/2633";"188/23271";0.000546678436934409;0.0323649861622208;0.028812138057195;"Abcc9/Actc1/Ank1/Ank2/Bin1/Csrp3/Ctnnb1/Fbxl22/Fhl2/Fhl5/Fkbp1b/Habp4/Jph1/Kat2b/Klhl40/Ldb3/Lman1/Mef2c/Myl12a/Myl12b/Myl3/Myom1/Myoz1/Palld/Ppp3cb/Psen1/Rpl4/Ryr3/Scn1a/Slc2a1/Smtnl1/Synpo2l/Timp4/Tpm1/Trim32/Ttn/Vcl";37
"SF3A66";"SF3A66";"GO:0042611";"MHC protein complex";"18/2597";"23/23271";1.32158203088625e-13;9.59468554423421e-11;7.24783408517619e-11;"H2-Aa/H2-Ab1/H2-D1/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-K1/H2-Oa/H2-Ob/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T23";18
"SF3A66";"SF3A66";"GO:0042824";"MHC class I peptide loading complex";"12/2597";"15/23271";1.19988751371958e-09;4.35559167480206e-07;3.29021786656789e-07;"Calr/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Tap1/Tap2/Tapbp";12
"SF3A66";"SF3A66";"GO:0005840";"ribosome";"57/2597";"234/23271";8.70842859315034e-09;2.10743971954238e-06;1.59196185860748e-06;"Abcf1/Aurkaip1/Dap3/Eef2/Gadd45gip1/Isg15/Larp4/Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl20/Mrpl24/Mrpl28/Mrpl34/Mrpl38/Mrpl45/Mrpl49/Mrpl54/Mrpl58/Mrps12/Mrps18a/Mrps18b/Mrps2/Mrps21/Mrps34/Mrps7/Ndufa7/Nufip2/Rpl13a/Rpl18/Rpl19/Rpl22/Rpl23a/Rpl26/Rpl27/Rpl36/Rpl37rt/Rpl3l/Rpl41/Rpl6/Rpl7a/Rpl7l1/Rpl8/Rplp0/Rps10/Rps11/Rps15/Rps16/Rps18/Rps19/Rps2/Rps26/Rps28/Rps9/Uba52";57
"SF3A66";"SF3A66";"GO:0030141";"secretory granule";"82/2597";"401/23271";3.75123072728436e-08;6.80848377002111e-06;5.14313476030303e-06;"Abca3/Acr/Akt2/Ap2a1/Arsa/Atp8b3/Baiap2/Bsg/Calr/Capn11/Capzb/Cbarp/Cel/Cep131/Dbh/Dkkl1/Dynll1/Ece1/Elane/Flot2/Fstl3/Hgs/Itpr3/Izumo1/Kcnj11/Klk1/Klk15/Klk1b1/Klk1b11/Klk1b16/Klk1b21/Klk1b22/Klk1b24/Klk1b26/Klk1b27/Klk1b3/Klk1b4/Klk1b5/Klk1b8/Klk1b9/Klk4/Klk5/Klk6/Klk7/Klk8/Krtdap/Lrp1/Ly6k/Lyzl6/Napsa/Ncs1/Notch1/Nudt1/Pcsk4/Pla2g1b/Pomt1/Ppfia3/Prkaca/Prss57/Prtn3/Rab26/Rab4b/Serpine1/Slc2a4/Stx4a/Stxbp1/Sycn/Syt5/Tbxa2r/Tcirg1/Tgfb1/Tmem184a/Tmem95/Tnf/Tor1a/Tsks/Unc13d/Vamp2/Vegfa/Vgf/Zg16/Zpbp2";82
