sep=;
"Cluster";"MLI1";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0005543";"phospholipid binding";"81/2556";"448/22669";1.14942259478121e-05;0.0126321543166455;0.0117483088371848;"Amph/Anxa11/Anxa2/Anxa4/Anxa7/Apob/Arfip2/Asap1/Avil/BC053393/Bin1/C2cd5/Cadps/Cgas/Clint1/Cln6/Clvs1/Cpne8/Cps1/Dab1/Dennd1a/Dennd1b/Dok7/Dppa1/Epb41/Esyt3/Fermt2/Frmpd4/Gap43/Gm12169/Gm28042/Golph3/Gsdmc/Gsdmc2/Gsdmc3/Gsdmc4/Havcr1/Hcn1/Hs1bp3/Itpr1/Krit1/Mapkap1/Mbl2/Nr5a1/Nrgn/Osbpl5/Osbpl8/Picalm/Pla2g10/Pla2g4b/Pla2g4e/Plcb1/Pld1/Plekha2/Plekha3/Prkci/Psap/Psd2/Ptafr/Pxk/Rapgef2/Rasa2/Sbf2/Sestd1/Sgk3/Snap91/Snx13/Snx14/Snx16/Snx29/Syt9/Sytl2/Timd2/Tirap/Tpp1/Unc13c/Vps36/Wdfy3/Zcchc2/Zfyve1/Zfyve9";81
"PolII";"PolII";"GO:0045295";"gamma-catenin binding";"8/2556";"15/22669";7.99164980680593e-05;0.0286823313235717;0.0266754884490092;"Ctnna1/Dsc3/Dsg1a/Dsg1b/Dsg1c/Lef1/Ptprk/Ptprt";8
"PolII";"PolII";"GO:0008237";"metallopeptidase activity";"39/2556";"187/22669";0.000104394290531653;0.0286823313235717;0.0266754884490092;"Adam10/Adam12/Adam17/Adam19/Adam21/Adam24/Adam25/Adam32/Adam5/Adam9/Adamts1/Adamts16/Adamts2/Adamts5/Adamts6/Afg3l2/Agtpbp1/Aopep/Clca1/Clca2/Clca3a1/Clca4a/Cops5/Cpa1/Cpa2/Cpa4/Cpa5/Cpa6/Erap1/Ermp1/Lnpep/Mep1b/Metap1/Mmp21/Nln/Papln/Thsd4/Vash1/Xpnpep1";39
"PolII";"PolII";"GO:0061659";"ubiquitin-like protein ligase activity";"56/2556";"307/22669";0.000191227627113617;0.0332316915331932;0.0309065394173944;"Ankib1/Arel1/Arih1/Bfar/Btrc/Ccnc/Cop1/D7Ertd443e/Dtx3/Fbxl22/Fbxo4/Hecw1/Herc2/Hltf/Med10/Med18/Med23/Med6/Med7/Mkrn1/Mkrn2/Mylip/Nedd4/Nedd4l/Pdzrn3/Peli2/Pias1/Rbbp6/Rc3h2/Rnf114/Rnf125/Rnf138/Rnf144a/Rnf150/Rnf152/Rnf170/Rnf180/Rnf7/Rnft1/Sh3rf1/Trim27/Trim3/Trim32/Trim43a/Trim43b/Trim43c/Trim55/Trim59/Trim9/Trip12/Ube2cbp/Ube3a/Ubox5/Ubr3/Ufl1/Uhrf2";56
"PolII";"PolII";"GO:0043621";"protein self-association";"18/2556";"66/22669";0.000270418743795948;0.0332316915331932;0.0309065394173944;"Atxn1/Ccdc88c/Dyrk1a/Id1/Lzts3/Malt1/Mbl2/Pparg/Proc/Pth1r/Rsad2/Slc2a1/Smtnl1/Sptbn5/Tnfaip3/Trim32/Ttn/Vps41";18
"PolII";"PolII";"GO:0008020";"G protein-coupled photoreceptor activity";"6/2556";"10/22669";0.000286525265814322;0.0332316915331932;0.0309065394173944;"Gpr52/Gpr88/Opn1sw/Opn4/Rho/Rrh";6
"PolII";"PolII";"GO:0034452";"dynactin binding";"6/2556";"10/22669";0.000286525265814322;0.0332316915331932;0.0309065394173944;"Bbs4/Bicd2/Gsk3b/Hook3/Htt/Sptbn5";6
"PolII";"PolII";"GO:0061630";"ubiquitin protein ligase activity";"54/2556";"299/22669";0.000317825412978116;0.0332316915331932;0.0309065394173944;"Ankib1/Arel1/Arih1/Bfar/Btrc/Ccnc/Cop1/D7Ertd443e/Dtx3/Fbxl22/Fbxo4/Hecw1/Herc2/Hltf/Med10/Med18/Med23/Med6/Med7/Mkrn1/Mkrn2/Mylip/Nedd4/Nedd4l/Pdzrn3/Peli2/Rbbp6/Rc3h2/Rnf114/Rnf125/Rnf138/Rnf144a/Rnf150/Rnf152/Rnf170/Rnf180/Rnf7/Rnft1/Sh3rf1/Trim27/Trim3/Trim32/Trim43a/Trim43b/Trim43c/Trim55/Trim59/Trim9/Trip12/Ube2cbp/Ube3a/Ubox5/Ubr3/Uhrf2";54
"PolII";"PolII";"GO:0004540";"ribonuclease activity";"26/2556";"114/22669";0.000332619296510578;0.0332316915331932;0.0309065394173944;"Ang/Ang2/Ang4/Angel1/Cnot7/Cpsf3/Dbr1/Dis3l/Drosha/Ear14/Ear4/Ear6/Ern2/Parn/Rcl1/Rnase1/Rnase2a/Rnase2b/Rnase4/Rnase6/Rnaseh1/Rnasel/Rpp14/Rpp38/Snd1/Zc3h12d";26
"PolII";"PolII";"GO:0030165";"PDZ domain binding";"26/2556";"115/22669";0.000384393000754138;0.0352039923190665;0.0327408424326551;"Adam17/Atp2b2/Cacng3/Ccdc88c/Clcn3/Dlg2/Erc2/Exoc4/Gria2/Grid2/Kcnj12/Kidins220/Kirrel3/Lin7c/Lnx2/Lzts3/Nlgn1/Plekha2/Psen1/Pten/Rapgef2/Rps6kb1/Shisa9/Slc34a1/Slc9a3/Sntg2";26
