sep=;
"Cluster";"MLI2.PLI";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0031503";"protein-containing complex localization";"61/3021";"259/23328";1.98931148033397e-06;0.0120194199641778;0.0112197167490836;"Abce1/Adam22/Akap6/Anks1b/Ap2b1/Cep72/Ddx25/Dlg2/Dnmt3b/Eny2/Exoc3/Grip2/Gsk3b/Hhex/Ift52/Ift57/Ift74/Ift80/Iqsec1/Iws1/Kif5c/Lca5/Lca5l/Magi2/Map2k1/Mapk10/Myo6/Nedd4/Nlgn1/Nmd3/Nme7/Npm1/Nptn/Nrxn1/Nsun2/Numb/Nup107/Nup155/Nxf1/Pcm1/Ppp3r1/Rae1/Ralb/Ralgapa2/Riok2/Rrs1/Sdad1/Sem1/Snap23/Snap25/Ssx2ip/Stxbp6/Synj2bp/Thoc1/Thoc3/Ttc21b/Ttc26/Washc5/Wdr35/Xpo1/Zfp365";61
"PolII";"PolII";"GO:0010498";"proteasomal protein catabolic process";"93/3021";"470/23328";1.69566420601497e-05;0.0428603190157839;0.0400086393990435;"Alad/Anapc10/Ankib1/Birc2/Ccar2/Cdc26/Commd1/Crbn/Dab2ip/Derl1/Dlgap1/Dnaaf4/Dnajb9/E330034G19Rik/Ecpas/Fbxl13/Fbxl2/Fbxl21/Fbxl22/Fbxl3/Fbxl4/Fbxl7/Fbxo31/Fbxo48/Fbxo9/Fbxw11/Gclc/Gsk3b/Hecw1/Hecw2/Herc2/Hfe/Il33/Klhl42/Mdm2/Mtm1/Nedd4/Nedd4l/Nkd2/Nub1/Os9/Pcnp/Peli1/Pias1/Plaa/Plk2/Psma2/Psma3/Psmb7/Psmd12/Rchy1/Rhbdf1/Rmnd5a/Rnf103/Rnf139/Rnf180/Rnf217/Rnft1/Rybp/Sel1l2/Sgtb/Sh3rf2/Skp2/Spsb4/Stt3b/Tmem67/Tmf1/Trib1/Trim13/Trim25/Trim38/Trim71/Trim9/Ubb/Ube2b/Ube2cbp/Ube2g1/Ube2h/Ube2w/Ubr1/Ubr2/Ubxn1/Ubxn2a/Ufl1/Usp13/Usp14/Usp25/Usp44/Usp7/Vhl/Xpo1/Znrf1/Zyg11b";93
"PolII";"PolII";"GO:0031023";"microtubule organizing center organization";"35/3021";"132/23328";2.1281191169704e-05;0.0428603190157839;0.0400086393990435;"Alms1/BC034090/Bcas3/Ccp110/Cep63/Cep68/Cep72/Cetn1/Chek1/Chmp3/Chmp5/Ckap5/Clasp1/Dync1li1/Fbxw11/Haus1/Haus6/Hepacam2/Kat2b/Kif11/Mcph1/Mdm1/Npm1/Pard6g/Pcm1/Plk2/Plk4/Sgo1/Ssx2ip/Tmem67/Trim37/Usp33/Vps4b/Xpo1/Xrcc2";35
"SF3A66";"SF3A66";"GO:0048002";"antigen processing and presentation of peptide antigen";"28/2501";"72/23328";4.02890996665762e-10;1.13616429067406e-06;1.033095976619e-06;"Bag6/Calr/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-DMa/H2-DMb1/H2-DMb2/H2-K1/H2-Oa/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Ifi30/Pycard/Tap1/Tapbp";28
"SF3A66";"SF3A66";"GO:0002474";"antigen processing and presentation of peptide antigen via MHC class I";"23/2501";"51/23328";4.4299732863014e-10;1.13616429067406e-06;1.033095976619e-06;"Bag6/Calr/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Ifi30/Tap1/Tapbp";23
"SF3A66";"SF3A66";"GO:0002486";"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent";"18/2501";"33/23328";6.99507830677314e-10;1.13616429067406e-06;1.033095976619e-06;"Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3";18
"SF3A66";"SF3A66";"GO:0002483";"antigen processing and presentation of endogenous peptide antigen";"20/2501";"41/23328";1.07813799858892e-09;1.13616429067406e-06;1.033095976619e-06;"Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Tap1/Tapbp";20
"SF3A66";"SF3A66";"GO:0019885";"antigen processing and presentation of endogenous peptide antigen via MHC class I";"20/2501";"41/23328";1.07813799858892e-09;1.13616429067406e-06;1.033095976619e-06;"Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Tap1/Tapbp";20
"SF3A66";"SF3A66";"GO:0002476";"antigen processing and presentation of endogenous peptide antigen via MHC class Ib";"18/2501";"34/23328";1.33711332123713e-09;1.13616429067406e-06;1.033095976619e-06;"Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3";18
"SF3A66";"SF3A66";"GO:0002484";"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway";"18/2501";"34/23328";1.33711332123713e-09;1.13616429067406e-06;1.033095976619e-06;"Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3";18
