sep=;
"Cluster";"MLI2.PLI";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0014069";"postsynaptic density";"79/3023";"400/23271";8.34402085665934e-05;0.0308732422054931;0.0274915571655372;"Abhd17b/Abhd17c/Abi1/Actn2/Actr2/Adam22/Adra2a/Akap9/Ank2/Anks1b/Atp2b2/Bcl11a/Cacna1c/Cdkl5/Chrm1/Chrm3/Cpeb4/Ctnnd1/Ctnnd2/Dab1/Dclk1/Dgki/Dlg2/Dlg5/Dlgap1/Dmtn/Dst/Dtnbp1/Erc2/Gap43/Gng3/Grid2/Grip2/Grm3/Gsk3b/Hspa8/Igsf11/Insyn1/Iqsec1/Lrp4/Lrp8/Lrrc4c/Lyn/Magi2/Map2/Map2k1/Mapk10/Mib1/Mir99a/Myo6/Ncoa2/Nlgn1/Nrcam/Nrgn/Ntrk2/Numb/Pde4b/Picalm/Pkp4/Plcb4/Plekha5/Ptch1/Ptprz1/Rgs14/Rgs7bp/Rnf112/Rpl4/Shank2/Sipa1l1/Slc8a3/Smo/Snap91/Sorcs2/Synj2bp/Tanc1/Tmem108/Usp50/Usp8/Zdhhc2";79
"PolII";"PolII";"GO:0098984";"neuron to neuron synapse";"84/3023";"433/23271";9.65233424608595e-05;0.0308732422054931;0.0274915571655372;"Abhd17b/Abhd17c/Abi1/Actn2/Actr2/Adam22/Adra2a/Akap7/Akap9/Ank2/Anks1b/Atp2b2/Bcl11a/Cacna1c/Cdkl5/Chrm1/Chrm3/Cpeb4/Ctnnd1/Ctnnd2/Dab1/Dclk1/Dgki/Dlg2/Dlg5/Dlgap1/Dmtn/Dst/Dtnbp1/Erc2/Gap43/Gng3/Grid2/Grip2/Grm3/Gsk3b/Hspa8/Igsf11/Insyn1/Iqsec1/Lrp4/Lrp8/Lrrc4c/Lyn/Magi2/Map2/Map2k1/Mapk10/Mib1/Mir99a/Myo6/Ncoa2/Nlgn1/Nrcam/Nrgn/Ntrk2/Numb/P2rx3/Pde4b/Penk/Picalm/Pkp4/Plcb4/Plekha5/Ptch1/Ptprz1/Rgs14/Rgs7bp/Rnf112/Rpl4/Rs1/Shank2/Sipa1l1/Slc8a3/Smo/Snap91/Sorcs2/Synj2bp/Tanc1/Tmem108/Tnr/Usp50/Usp8/Zdhhc2";84
"PolII";"PolII";"GO:0032279";"asymmetric synapse";"79/3023";"405/23271";0.000127399899059806;0.0308732422054931;0.0274915571655372;"Abhd17b/Abhd17c/Abi1/Actn2/Actr2/Adam22/Adra2a/Akap9/Ank2/Anks1b/Atp2b2/Bcl11a/Cacna1c/Cdkl5/Chrm1/Chrm3/Cpeb4/Ctnnd1/Ctnnd2/Dab1/Dclk1/Dgki/Dlg2/Dlg5/Dlgap1/Dmtn/Dst/Dtnbp1/Erc2/Gap43/Gng3/Grid2/Grip2/Grm3/Gsk3b/Hspa8/Igsf11/Insyn1/Iqsec1/Lrp4/Lrp8/Lrrc4c/Lyn/Magi2/Map2/Map2k1/Mapk10/Mib1/Mir99a/Myo6/Ncoa2/Nlgn1/Nrcam/Nrgn/Ntrk2/Numb/Pde4b/Picalm/Pkp4/Plcb4/Plekha5/Ptch1/Ptprz1/Rgs14/Rgs7bp/Rnf112/Rpl4/Shank2/Sipa1l1/Slc8a3/Smo/Snap91/Sorcs2/Synj2bp/Tanc1/Tmem108/Usp50/Usp8/Zdhhc2";79
"PolII";"PolII";"GO:0000151";"ubiquitin ligase complex";"59/3023";"285/23271";0.00017310483660214;0.031461804052439;0.0280156511869253;"Anapc10/Anapc13/Ankib1/Cacybp/Ccnc/Cdc26/Commd1/Crbn/Dcaf5/Depdc5/Derl1/Elobl/Eloc/Fbxl13/Fbxl2/Fbxl21/Fbxl22/Fbxl3/Fbxl4/Fbxl7/Fbxo31/Fbxo32/Fbxo48/Fbxo9/Fbxw11/Fem1c/Gan/Klhl42/Klhl8/Med10/Med21/Med6/Med7/Mkln1/Nedd4/Otulin/Pcgf5/Pdcd6/Phc3/Rchy1/Rmnd5a/Rnf11/Rnf217/Rnf7/Sel1l2/Skp2/Spsb4/Ube2b/Ube2cbp/Ube2d2a/Ube2e1/Ube2l6/Ube2n/Ubr1/Ubr2/Vhl/Ypel5/Zyg11a/Zyg11b";59
"SF3A66";"SF3A66";"GO:0042611";"MHC protein complex";"14/2516";"23/23271";9.12131303790805e-09;6.55822407425589e-06;5.15594221195434e-06;"H2-D1/H2-DMa/H2-DMb1/H2-DMb2/H2-K1/H2-Oa/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T23";14
"SF3A66";"SF3A66";"GO:0042824";"MHC class I peptide loading complex";"11/2516";"15/23271";2.08521247266982e-08;7.496338839248e-06;5.89346893591417e-06;"Calr/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Tap1/Tapbp";11
"SF3A66";"SF3A66";"GO:0098576";"lumenal side of membrane";"11/2516";"20/23271";1.52967577778345e-06;0.000274959221056575;0.00021616734017624;"Aqp2/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-Q9/H2-T23/H2-T3/Nucb1/Sppl2b/Sppl3";11
"SF3A66";"SF3A66";"GO:0005840";"ribosome";"48/2516";"234/23271";9.36361646917754e-06;0.000925741431725417;0.000727799061322815;"Aurkaip1/Dap3/Eef2/Gadd45gip1/Isg15/Larp4/Mief1/Mpv17l2/Mrpl10/Mrpl11/Mrpl12/Mrpl2/Mrpl20/Mrpl24/Mrpl28/Mrpl34/Mrpl45/Mrpl49/Mrpl54/Mrps12/Mrps2/Mrps21/Mrps34/Mtg1/Ndufa7/Rpl12/Rpl13a/Rpl18/Rpl23/Rpl23a/Rpl27/Rpl3/Rpl37rt/Rpl3l/Rpl41/Rpl6/Rpl7l1/Rpl8/Rplp0/Rps10/Rps11/Rps15/Rps16/Rps18/Rps19/Rps2/Rps28/Rps9";48
"SF3A66";"SF3A66";"GO:0031300";"intrinsic component of organelle membrane";"72/2516";"403/23271";1.28908351627669e-05;0.000925741431725417;0.000727799061322815;"Aqp2/Atf6b/Atp13a2/Atp6v0a1/Atp6v1g2/Bet1l/Calr/Cln3/Clstn1/Coa3/Cpt1c/Cux1/Dmpk/Dolpp1/Dpm2/Dpm3/Dusp18/Emc1/Esyt1/Gfy/Gpaa1/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T23/H2-T3/Lemd2/Majin/Mfn2/Micos10/Mymk/P2rx4/P2rx7/Pcsk4/Pex10/Pgap3/Ptprs/Qsox2/Rab26/Rab3a/Rce1/Rdh16/Rdh16f2/Rdh19/Rer1/Rfng/Rhot2/Sfxn2/Slc17a7/Sppl2b/Sppl3/Sun2/Syne4/Syngr1/Syt11/Syt5/Tap1/Tapbp/Tex261/Tm7sf2/Tmem201/Tomm40/Vamp2/Xbp1/Yif1a/Yif1b";72
"SF3A66";"SF3A66";"GO:0016328";"lateral plasma membrane";"20/2516";"66/23271";1.3075929054333e-05;0.000925741431725417;0.000727799061322815;"Abcc6/Atp1b2/Atp6v1b1/Axin1/Ceacam1/Ceacam2/Cldn13/Cldn3/Cldn4/Cldn5/Cldn7/Dvl1/Dvl2/Erbb3/Iqgap3/Mark2/Pkd1/Slc16a3/Sptan1/Tbcd";20
