sep=;
"Cluster";"MLI2.PLI";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0019787";"ubiquitin-like protein transferase activity";"93/2940";"435/22669";6.16049469506093e-07;0.000689975405846824;0.000631612824525194;"8030462N17Rik/Aktip/Ankib1/Birc2/Birc3/Birc6/Bspry/Ccnc/Dtx3/Egr2/Eloc/Fbxl22/Fbxl3/Fbxw11/Gm5434/Hectd2/Hecw1/Hecw2/Herc2/Jade2/Kcmf1/Klhl42/Malt1/Mdm2/Med10/Med21/Med6/Med7/Mib1/Mkrn1/Mycbp2/Nedd4/Nedd4l/Nfx1/Nsmce2/Pdzrn3/Peli1/Pex12/Pias1/Pias2/Pja2/Rc3h2/Rchy1/Rmnd5a/Rnf103/Rnf11/Rnf112/Rnf139/Rnf146/Rnf152/Rnf180/Rnf181/Rnf183/Rnf217/Rnf220/Rnf7/Rnft1/Sel1l2/Sh3rf2/Tnfaip3/Trim13/Trim23/Trim25/Trim32/Trim36/Trim37/Trim38/Trim42/Trim43b/Trim43c/Trim59/Trim71/Trim9/Ube2b/Ube2cbp/Ube2d2a/Ube2e1/Ube2e2/Ube2g1/Ube2h/Ube2l6/Ube2n/Ube2ql1/Ube2w/Ubox5/Ubr1/Ubr2/Ufc1/Ufl1/Uhrf2/Wdsub1/Znrf1/Zswim2";93
"PolII";"PolII";"GO:0031731";"CCR6 chemokine receptor binding";"12/2940";"21/22669";2.08885534326663e-06;0.000888904996349834;0.000813715663951822;"Defb14/Defb3/Defb37/Defb38/Defb39/Defb4/Defb40/Defb46/Defb5/Defb6/Defb7/Defb8";12
"PolII";"PolII";"GO:1901681";"sulfur compound binding";"60/2940";"260/22669";5.0106604345638e-06;0.00140298492167787;0.00128431138506978;"Abi3bp/Acaca/Acadl/Acbd5/Acbd7/Acot11/Adamts1/Adamts5/Ang/Anxa6/Aoc1/Apoh/App/Bmp7/Bmt2/Ccl5/Ccn1/Colq/Crispld2/Cxcl10/Dbi/Dhtkd1/Dpysl3/Eci2/Eci3/Ecm2/F2/Fgf1/Fgf10/Fgfbp3/Fstl1/Glra1/Grem1/Gsta1/Gsta2/Gsta4/H1f1/Hnf4a/Hpse2/Impg1/Impg2/Insr/Lancl1/Lrpap1/Ltbp2/Mettl17/Mettl3/Mmp7/Nav2/Ptch1/Rspo3/Rtn4rl1/Ryr2/Scp2/Slc6a6/Slit1/Smoc1/Smoc2/Thbs2/Tkt";60
"PolII";"PolII";"GO:0043621";"protein self-association";"21/2940";"66/22669";5.57928808853187e-05;0.008926860941651;0.00817176932064668;"Acvr2a/Bcl10/Ccl5/Ctsh/Dmtn/Dyrk1a/Flt3/Malt1/Mbl2/Proc/Rnf112/Ryr2/Slc2a1/Smtnl1/Tcf4/Tmem43/Tnfaip3/Trim32/Zfp639/Zfyve27/Zswim2";21
"PolII";"PolII";"GO:0042056";"chemoattractant activity";"14/2940";"38/22669";0.000168357675353629;0.0209511773773405;0.0191789913209865;"App/Ccl5/Cxcl10/Defb14/Defb3/Defb4/Defb46/Defb5/Defb6/Defb7/Defb8/Fgf10/Ntf3/Wnt5a";14
"PolII";"PolII";"GO:0005537";"mannose binding";"10/2940";"24/22669";0.00045879384438262;0.0481185392362786;0.04404836204524;"Cd209a/Cd209b/Cd209c/Cd209d/Cd209e/Cd209f/Cln5/Lman1/Lman2/Mbl2";10
"PolII";"PolII";"GO:0043177";"organic acid binding";"50/2940";"241/22669";0.000472592796070593;0.0481185392362786;0.04404836204524;"Acaca/Acox2/Acox3/Akr1cl/Aldh5a1/Castor1/Cemip/Cps1/Cyp26a1/Cyp26b1/Cyp26c1/Ddah1/Fabp1/Gad2/Gclc/Gfpt1/Gldc/Glra1/Habp4/Hba-a1/Hba-a2/Hba-x/Hbq1a/Hbq1b/Hdc/Hmgcs1/Hnf4a/Hspa8/Impg1/Impg2/Insr/Mat2a/Mthfs/Mtr/P4ha1/P4ha2/Pam/Pck1/Phyh/Pygl/Ryr2/Scp2/Sesn1/Slc1a3/Slc6a6/Stard5/Thnsl2/Tnfaip6/Ubr1/Ubr2";50
"SF3A66";"SF3A66";"GO:0030548";"acetylcholine receptor regulator activity";"15/2454";"23/22669";6.62813503351676e-10;3.07552451091505e-07;2.87178685996669e-07;"Agrn/Ly6a/Ly6c1/Ly6c2/Ly6e/Ly6f/Ly6g2/Ly6g6d/Ly6g6e/Ly6g6g/Ly6i/Ly6m/Lynx1/Slurp1/Slurp2";15
"SF3A66";"SF3A66";"GO:0099602";"neurotransmitter receptor regulator activity";"15/2454";"23/22669";6.62813503351676e-10;3.07552451091505e-07;2.87178685996669e-07;"Agrn/Ly6a/Ly6c1/Ly6c2/Ly6e/Ly6f/Ly6g2/Ly6g6d/Ly6g6e/Ly6g6g/Ly6i/Ly6m/Lynx1/Slurp1/Slurp2";15
"SF3A66";"SF3A66";"GO:0030550";"acetylcholine receptor inhibitor activity";"12/2454";"15/22669";8.40307243419412e-10;3.07552451091505e-07;2.87178685996669e-07;"Ly6a/Ly6c1/Ly6c2/Ly6e/Ly6f/Ly6g2/Ly6g6d/Ly6g6g/Ly6i/Ly6m/Lynx1/Slurp2";12
