sep=;
"Cluster";"Purkinje";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0007605";"sensory perception of sound";"44/1843";"274/23328";5.08857780232142e-06;0.0286995788050928;0.0273872613718626;"Aqp4/Atp2b2/Chd7/Coch/Dcdc2a/Diaph1/Fam107b/Hexa/Kcnma1/Mcoln3/Mir151/Mir181a-2/Mir199a-2/Mir23b/Mir24-1/Mir27b/Mir29a/Mir29b-1/Mir331/Mir34c/Mir455/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir501/Mir532/Nav2/Pkhd1l1/Pou4f3/Ripor2/Slc12a2/Slc17a8/Srrm4/Tecta/Thrb/Tmprss3/Whrn";44
"SF3A66";"SF3A66";"GO:0048002";"antigen processing and presentation of peptide antigen";"35/2676";"72/23328";5.752876686041e-15;3.43044036788625e-11;3.02480200492366e-11;"Abcb9/Bag6/Calr/Gm11127/Gm7030/Gm8909/H2-Aa/H2-Ab1/H2-Bl/H2-D1/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-K1/H2-Oa/H2-Ob/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Ifi30/Pycard/Tap1/Tap2/Tapbp/Unc93b1";35
"SF3A66";"SF3A66";"GO:0001916";"positive regulation of T cell mediated cytotoxicity";"21/2676";"51/23328";6.10684369527398e-08;3.0345924129099e-05;2.67576177700821e-05;"Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Nectin2/Tap2";21
"SF3A66";"SF3A66";"GO:0002703";"regulation of leukocyte mediated immunity";"60/2676";"261/23328";9.41405309959081e-08;4.00971418806143e-05;3.53557858890647e-05;"Ager/Arrb2/Cd177/Cd40/Ceacam1/Clcf1/Fes/Foxj1/Gfer/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Itgam/Jak3/Kmt5b/Kmt5c/Lag3/Lta/Lypd10/Lypd11/Mad2l2/Nectin2/Nppa/Pagr1a/Pla2g3/Pld2/Pram1/Ptpn6/Scimp/Sphk2/Spn/Stat6/Stx4a/Supt6/Tap1/Tap2/Tbx21/Ticam1/Tnf/Tnfsf13/Tnfsfm13/Trpm4/Tyrobp/Unc13d";60
"SF3A66";"SF3A66";"GO:0019372";"lipoxygenase pathway";"9/2676";"11/23328";1.50441291368734e-07;5.98054280287839e-05;5.2733631606093e-05;"Alox12/Alox12b/Alox12e/Alox15/Alox8/Aloxe3/Gpx1/Gpx4/Pla2g3";9
"SF3A66";"SF3A66";"GO:0010498";"proteasomal protein catabolic process";"92/2676";"470/23328";1.79911399302526e-07;6.70507296275602e-05;5.91221999681657e-05;"Agap3/Ankzf1/Apoe/Arih2/Arrb2/Axin1/Bag6/Cbfa2t3/Ccnf/Cdc34/Csnk1d/Csnk1e/Dda1/Ddit3/Dnajb2/Dvl1/Fbxl15/Fbxl16/Fbxl18/Fbxl19/Fbxl20/Fbxl6/Fbxl8/Fbxo17/Fbxo2/Fbxo27/Fbxo44/Fbxo6/Fzr1/Gba/Get4/Gid4/Gpx1/Gsk3a/Hsp90ab1/Hspa1a/Hspa1b/Hspbp1/Kat5/Kctd13/Lrrc29/Man1b1/Nccrp1/Nfe2l1/Nploc4/Nupr1/Os9/Osbpl7/Pkd1/Ppp2r5c/Psmb10/Psmb3/Psmb6/Psmb8/Psmb9/Psmd2/Psmd8/Psme3/Rad23a/Rcn3/Rnf126/Rnf185/Rnf216/Rnf40/Rnf41/Rnf5/Sdf2/Sgta/Sharpin/Sirt2/Spsb2/Spsb3/Stub1/Syvn1/Tbx21/Tmem259/Tmub1/Tmub2/Tnfaip1/Trim72/Ube2c/Ube2g1/Ube2i/Ube2j2/Ube2s/Ubqln4/Ubr2/Usp19/Usp5/Wnt10b/Zer1/Zfand2b";92
"SF3A66";"SF3A66";"GO:0002819";"regulation of adaptive immune response";"50/2676";"213/23328";5.50621695094657e-07;0.000156350341326164;0.000137862424410918;"Ager/Alox15/Cd4/Cd40/Clcf1/Foxj1/Gm11127/Gm7030/Gm8909/H2-Ab1/H2-Bl/H2-D1/H2-DMa/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il12rb1/Il23a/Il27/Irf7/Jak3/Kmt5b/Kmt5c/Lta/Mad2l2/Nectin2/Nfkbid/Pagr1a/Ptpn6/Pycard/Spn/Stat6/Supt6/Tap2/Tbx21/Tnf/Tnfsf13/Tnfsfm13/Trpm4/Zbtb7b";50
"SF3A66";"SF3A66";"GO:0001913";"T cell mediated cytotoxicity";"23/2676";"69/23328";1.31312118973165e-06;0.000313205666174794;0.000276170119693036;"Ager/Gm11127/Gm7030/Gm8909/Gzmm/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Nectin2/Tap2";23
"SF3A66";"SF3A66";"GO:0001909";"leukocyte mediated cytotoxicity";"36/2676";"141/23328";2.64395026956396e-06;0.000583921313237403;0.000514874526178244;"Ager/Arrb2/Ceacam1/Coro1a/Elane/F2/Gfer/Gm11127/Gm7030/Gm8909/Gzmm/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Itgam/Lag3/Nectin2/Ptpn6/Tap1/Tap2/Tusc2/Tyrobp/Unc13d";36
"SF3A66";"SF3A66";"GO:0001910";"regulation of leukocyte mediated cytotoxicity";"29/2676";"105/23328";4.59005990076722e-06;0.000943811282354308;0.000832208682552895;"Ager/Arrb2/Ceacam1/Gfer/Gm11127/Gm7030/Gm8909/H2-Bl/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T10/H2-T22/H2-T23/H2-T24/H2-T3/Il23a/Itgam/Lag3/Nectin2/Tap1/Tap2/Tyrobp";29
