sep=;
"Cluster";"Purkinje";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0016442";"RISC complex";"25/1845";"120/23271";6.64384139471197e-06;0.00224561839141264;0.00204560379784553;"Dhx9/Mir21a/Mir29a/Mir331/Mir34c/Mir362/Mir455/Mir466d/Mir466g/Mir466m/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir500/Mir5128/Mir532/Mir669f/Mir669o";25
"PolII";"PolII";"GO:0031332";"RNAi effector complex";"25/1845";"120/23271";6.64384139471197e-06;0.00224561839141264;0.00204560379784553;"Dhx9/Mir21a/Mir29a/Mir331/Mir34c/Mir362/Mir455/Mir466d/Mir466g/Mir466m/Mir467a-1/Mir467a-10/Mir467a-2/Mir467a-3/Mir467a-4/Mir467a-5/Mir467a-6/Mir467a-7/Mir467a-8/Mir467a-9/Mir500/Mir5128/Mir532/Mir669f/Mir669o";25
"PolII";"PolII";"GO:0014069";"postsynaptic density";"55/1845";"400/23271";4.41065315026752e-05;0.00993867176526948;0.0090534459400228;"Abr/Actn2/Adam10/Adcy8/Add3/Adora1/Ank2/Anks1b/Arhgap32/Arhgef9/Atp2b2/Bcl11a/Cap2/Chmp4b/Chrm3/Ctnnd2/Dgki/Dlg2/Dlg5/Dnm3/Drd3/Dtnbp1/Epb41l1/Erc2/Gphn/Gria2/Grik1/Iqsec1/Itpr1/Kalrn/Kcnd1/Mapk10/Mapt/Met/Mtmr2/Nck2/Neurl1a/Nos1/Numb/P2rx6/Pdzd2/Plekha5/Ptch1/Pura/Rpl7/Shank2/Shisa6/Snap91/Sorcs2/Srgap2/Syn2/Syndig1/Syp/Tanc1/Zdhhc2";55
"PolII";"PolII";"GO:0032279";"asymmetric synapse";"55/1845";"405/23271";6.20407313873836e-05;0.0104848836044678;0.00955100733200511;"Abr/Actn2/Adam10/Adcy8/Add3/Adora1/Ank2/Anks1b/Arhgap32/Arhgef9/Atp2b2/Bcl11a/Cap2/Chmp4b/Chrm3/Ctnnd2/Dgki/Dlg2/Dlg5/Dnm3/Drd3/Dtnbp1/Epb41l1/Erc2/Gphn/Gria2/Grik1/Iqsec1/Itpr1/Kalrn/Kcnd1/Mapk10/Mapt/Met/Mtmr2/Nck2/Neurl1a/Nos1/Numb/P2rx6/Pdzd2/Plekha5/Ptch1/Pura/Rpl7/Shank2/Shisa6/Snap91/Sorcs2/Srgap2/Syn2/Syndig1/Syp/Tanc1/Zdhhc2";55
"PolII";"PolII";"GO:0034703";"cation channel complex";"34/1845";"222/23271";0.000159379779944363;0.015391533034627;0.0140206272582635;"Abhd6/Cacna1f/Cnga4/Cttn/Dlg2/Dpp10/Gria2/Grik1/Grik4/Hcn1/Kcnb2/Kcnd1/Kcnh1/Kcnip1/Kcnip4/Kcnj5/Kcnma1/Kcnmb1/Kcnq1/Kcnq3/Kcnv1/Mcub/Micu3/Pde4d/Porcn/Ryr2/Ryr3/Scn1a/Scn2a/Scn3a/Scn7a/Scn9a/Shisa6/Trpc6";34
"PolII";"PolII";"GO:1990351";"transporter complex";"44/1845";"319/23271";0.000227625224049437;0.0192343314321774;0.0175211521143317;"Abhd6/Ano1/Ano6/Cacna1f/Cftr/Cldn17/Cnga4/Cttn/Dlg2/Dpp10/Glra4/Glrb/Gria2/Grik1/Grik4/Hcn1/Kcnb2/Kcnd1/Kcnh1/Kcnip1/Kcnip4/Kcnj5/Kcnma1/Kcnmb1/Kcnq1/Kcnq3/Kcnv1/Mcub/Micu3/Pde4d/Pex12/Pex13/Porcn/Ryr2/Ryr3/Scn1a/Scn2a/Scn3a/Scn7a/Scn9a/Shank2/Shisa6/Timm10b/Trpc6";44
"PolII";"PolII";"GO:0034451";"centriolar satellite";"18/1845";"97/23271";0.000560450065130769;0.03788642440284;0.0345119250633158;"Ccdc66/Cep290/Cep55/Dcdc2a/Gsdmc/Gsdmc2/Gsdmc3/Gsdmc4/Kctd1/Klhl12/Nek6/Odf2l/Pcm1/Prkcq/Pxk/Ssx2ip/Taf1d/Wdr13";18
"SF3A66";"SF3A66";"GO:0042611";"MHC protein complex";"18/2680";"23/23271";2.28882334206819e-13;1.66168574634151e-10;1.26005748200175e-10;"H2-Aa/H2-Ab1/H2-D1/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-K1/H2-Oa/H2-Ob/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/H2-Q9/H2-T23";18
"SF3A66";"SF3A66";"GO:0042824";"MHC class I peptide loading complex";"13/2680";"15/23271";5.12130880218745e-11;1.85903509519404e-08;1.40970763344423e-08;"Abcb9/Calr/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Tap1/Tap2/Tapbp";13
"SF3A66";"SF3A66";"GO:0030141";"secretory granule";"82/2680";"401/23271";1.46074952189967e-07;3.53501384299721e-05;2.68060350860887e-05;"Abca3/Acr/Akt2/Ap2a1/Ap2a2/Ap2m1/Arsa/Atp8b3/Baiap2/Bsg/Calr/Capn11/Capzb/Cbarp/Cd177/Cep131/Dbh/Dkkl1/Dpep3/Elane/Eppin/Exoc3l/Flot2/Fstl3/Hgs/Hyal3/Izumo1/Kcnj11/Klk1/Klk15/Klk1b1/Klk1b11/Klk1b16/Klk1b21/Klk1b22/Klk1b24/Klk1b26/Klk1b27/Klk1b3/Klk1b4/Klk1b5/Klk1b8/Klk1b9/Klk4/Klk5/Klk6/Klk7/Klk8/Krtdap/Lrp1/Mpo/Napsa/Notch1/Pcsk4/Pomt1/Ppfia3/Prss57/Prtn3/Ptprn/Rab26/Rab3a/Resp18/Serpine1/Slc2a4/Spaca9/Stx4a/Sun1/Svs2/Sycn/Tbxa2r/Tcirg1/Tex101/Tmem190/Tmem95/Tnf/Tsks/Unc13d/Vamp2/Vegfa/Vgf/Vps33b/Zg16";82
