sep=;
"Cluster";"Purkinje";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"PolII";"PolII";"GO:0070273";"phosphatidylinositol-4-phosphate binding";"12/1784";"37/22669";1.56874960165124e-05;0.0160012459368426;0.0147462462555216;"Arfip2/Golph3/Gsdmc/Gsdmc2/Gsdmc3/Gsdmc4/Mbl2/Osbp/Osbpl5/Plekha5/Sh3pxd2a/Sh3pxd2b";12
"PolII";"PolII";"GO:1901681";"sulfur compound binding";"40/1784";"260/22669";3.36998085508893e-05;0.0171869023609535;0.015838910018918;"Acads/Acbd7/Adamts1/Adamts15/Adamts5/Adamts8/App/Bsph1/Bsph2/Ccdc80/Ccn1/Clec3b/Col25a1/Cxcl10/Dpysl3/Fgf1/Fgfbp3/Grem1/Gss/Gsta1/Gsta2/Gsta4/H1f1/Hbegf/Hnf4a/Insr/Lipc/Mmp7/Nav2/Nell1/Pcsk6/Psg17/Ptch1/Ryr2/Serpind1/Smoc2/Sult2a1/Sult2a5/Suv39h2/Thbs2";40
"PolII";"PolII";"GO:0042169";"SH2 domain binding";"12/1784";"44/22669";0.000106496539735485;0.0288065866184271;0.0265472464914917;"Adam10/Afap1/Arhgap5/Lax1/Ms4a2/Ptk2/Sh3pxd2b/Shcbp1/Slamf1/Snap91/Syk/Syp";12
"PolII";"PolII";"GO:0008237";"metallopeptidase activity";"30/1784";"187/22669";0.000144800701178068;0.0288065866184271;0.0265472464914917;"Adam10/Adam12/Adam24/Adam25/Adamts1/Adamts12/Adamts15/Adamts4/Adamts5/Adamts6/Adamts8/Aopep/Clca1/Clca2/Cpd/Cpxm2/Enpep/Ermp1/Ide/Lvrn/Metap2/Mmp10/Mmp1a/Mmp20/Mmp27/Mmp3/Mmp7/Mmp8/Nln/Pappa";30
"PolII";"PolII";"GO:0004222";"metalloendopeptidase activity";"21/1784";"112/22669";0.000157053661630676;0.0288065866184271;0.0265472464914917;"Adam10/Adam12/Adam24/Adam25/Adamts1/Adamts12/Adamts15/Adamts4/Adamts5/Adamts6/Adamts8/Ide/Mmp10/Mmp1a/Mmp20/Mmp27/Mmp3/Mmp7/Mmp8/Nln/Pappa";21
"PolII";"PolII";"GO:0019865";"immunoglobulin binding";"8/1784";"22/22669";0.00016982169296222;0.0288065866184271;0.0265472464914917;"Ambp/Fcer1g/Fcgr2b/Fcgr3/Fcgr4/Gria2/Ms4a1/Ms4a2";8
"PolII";"PolII";"GO:0005217";"intracellular ligand-gated ion channel activity";"9/1784";"28/22669";0.000197692261106853;0.0288065866184271;0.0265472464914917;"Cftr/Cnga4/Hcn1/Itpr1/Mcoln2/Mcoln3/Rasa3/Ryr2/Ryr3";9
"PolII";"PolII";"GO:0003712";"transcription coregulator activity";"56/1784";"441/22669";0.000262305450930422;0.0334439449936288;0.0308208904843246;"Actn2/Asah1/Bcl10/Bcl11a/Bicra/Birc2/Btaf1/Cnot7/Ctbp2/Dcaf6/Ddx1/Dhx9/Eny2/Fhl2/Fhl5/Foxp3/Gmnn/Hdac3/Hipk2/Kctd1/Kdm1a/Kdm5b/Maged1/Maml2/Med13l/Med17/Mier1/Myt1l/Ncoa1/Ncoa6/Ncoa7/Nrg1/Phf10/Pias1/Raly/Rcor3/Rsf1/Rybp/Scai/Sfmbt2/Ss18/Sub1/Tada1/Tada2b/Taf5/Tcerg1/Tle3/Trim28/Trip4/Ube2l3/Usp21/Yap1/Zcchc18/Zmiz1/Zmynd11/Zxdb";56
"PolII";"PolII";"GO:0015267";"channel activity";"57/1784";"461/22669";0.000457821209486171;0.0397220324682356;0.0366065789413151;"Ano1/Ano10/Ano4/Ano5/Ano6/Aqp4/Aqp9/Atp5j/Cacna1f/Calhm1/Calhm2/Cftr/Chrm5/Clca1/Clca2/Clcn4/Clcn5/Cldn17/Cnga4/Gjd2/Glra4/Glrb/Gria2/Grik1/Grik4/Hcn1/Itpr1/Kcnb2/Kcnd1/Kcnh1/Kcnip1/Kcnip4/Kcnj1/Kcnj5/Kcnma1/Kcnmb1/Kcnq1/Kcnq3/Kcnv1/Mcoln2/Mcoln3/P2rx6/Panx1/Rasa3/Ryr2/Ryr3/Scn1a/Scn2a/Scn3a/Scn7a/Scn9a/Slc17a3/Tmco1/Tmem266/Tomm40l/Trpc6/Vdac1";57
"PolII";"PolII";"GO:0022803";"passive transmembrane transporter activity";"57/1784";"461/22669";0.000457821209486171;0.0397220324682356;0.0366065789413151;"Ano1/Ano10/Ano4/Ano5/Ano6/Aqp4/Aqp9/Atp5j/Cacna1f/Calhm1/Calhm2/Cftr/Chrm5/Clca1/Clca2/Clcn4/Clcn5/Cldn17/Cnga4/Gjd2/Glra4/Glrb/Gria2/Grik1/Grik4/Hcn1/Itpr1/Kcnb2/Kcnd1/Kcnh1/Kcnip1/Kcnip4/Kcnj1/Kcnj5/Kcnma1/Kcnmb1/Kcnq1/Kcnq3/Kcnv1/Mcoln2/Mcoln3/P2rx6/Panx1/Rasa3/Ryr2/Ryr3/Scn1a/Scn2a/Scn3a/Scn7a/Scn9a/Slc17a3/Tmco1/Tmem266/Tomm40l/Trpc6/Vdac1";57
