paint name,start,ATRX,H4K8ac,HDAC2,H3K9ac,H3K9me3,H3K9me2,RNAPIISer2-P,H3,H3K36me2,UBTF,LaminB1,RNAPIISer5-P,RYBP,HP1beta,RING1B,H2A.X,H3K4me1,H4K20me2,H3K27me2,JARID2,SF3A66,CBP,H2AK119u1,EZH2,H3K4me2,BRG1,HP1alpha,Fibrillarin,KAP1,H3K27ac,H3K4me3,H3K36ac,H3K14ac,H4K20me1,HP1gamma,H4K20me3,H3K27me3,mH2A1,CHD4,KAT3B/p300,H3K56ac,H3K36me3,SUZ12,H4K16ac,HDAC1,SOX2,BRD4,CPSF6,rDNA,Telomere,MinSat,MajSat,Malat1_RNA,ITS1_RNA,Rnu2_RNA,polyA_RNA,n_rad_score,n_per_dist(um)
1,3000000,-0.051658,-0.45043,-0.2629,-0.29968,0.54365,0.46842,-0.26835,-0.24936,0.047468,-0.41262,0.0386769999999999,-0.4066,-0.32561,-0.26835,0.006953,0.38389,0.036204,0.28431,0.39203,-0.10793,-0.18937,-0.38622,0.18812,-0.0735659999999999,-0.4523399999999999,-0.4717,0.35141,-0.34309,0.1111299999999999,-0.50095,-0.3862,-0.2572,0.37668,-0.3832,-0.2137599999999999,0.4651899999999999,-0.15913,-0.10337,-0.29197,-0.22965,0.19802,-0.14605,-0.2686,0.32013,-0.097707,-0.071763,-0.19039,-0.49601,-0.24831,-0.23449,-0.15175,-0.1851,-0.43694,-0.19699,-0.42689,-0.33905,0.759862300638242,1.0151861068625327
2,4500000,-0.0340365,-0.4521349999999999,-0.199695,-0.301215,0.608015,0.537,-0.22646,-0.24851,0.083585,-0.42269,0.0030819999999999,-0.3611999999999999,-0.3053599999999999,-0.2928349999999999,0.0274104999999999,0.46796,0.0969945,0.3981849999999999,0.41476,0.006606,-0.1519499999999999,-0.36821,0.22997,-0.037115,-0.4609199999999999,-0.46153,0.46242,-0.368405,0.1984049999999999,-0.5048299999999999,-0.3369,-0.2334299999999999,0.436135,-0.421665,-0.2307649999999999,0.528715,-0.158355,-0.091334,-0.258945,-0.2110449999999999,0.3222549999999999,-0.146275,-0.298725,0.425995,-0.037079,-0.0677979999999999,-0.22562,-0.489235,-0.2530099999999999,-0.2359949999999999,-0.1428749999999999,-0.198705,-0.43188,-0.20282,-0.41271,-0.34839,0.7542825570957395,1.0515476747570216
3,6000000,0.19179,-0.083188,0.11197,-0.096074,0.54276,0.4701899999999999,-0.045904,-0.06573,0.1197599999999999,-0.11785,0.060569,0.007014,0.039691,-0.037107,0.20624,0.48306,0.31637,0.4729,0.51649,0.14658,-0.06722,-0.027324,0.35984,0.019206,-0.038324,-0.11567,0.4853,-0.12285,0.38072,-0.2206199999999999,-0.024339,0.14047,0.5340600000000001,-0.081252,-0.0328069999999999,0.54945,-0.05075,0.14519,0.089086,0.018506,0.40992,0.001275,-0.26383,0.48893,0.1416099999999999,0.01206,-0.13987,-0.10909,-0.25334,-0.26069,-0.19718,-0.32465,-0.26492,-0.18879,-0.19608,-0.18408,0.7414300909689362,1.0894647438954816
4,7500000,-0.20237,-0.784745,-0.514615,-0.563925,0.55802,0.52016,-0.419085,-0.3623099999999999,0.0794655,-0.65843,0.146615,-0.714995,-0.55535,-0.441755,-0.027349,0.40029,-0.10332,0.26429,0.16959,-0.2243649999999999,-0.245505,-0.61116,0.0199645,-0.0643145,-0.805605,-0.70073,0.3146549999999999,-0.524945,-0.0471009999999999,-0.7037549999999999,-0.6817200000000001,-0.58821,0.30926,-0.69282,-0.31426,0.43484,-0.35343,-0.4125999999999999,-0.54649,-0.385545,0.15816,-0.2122299999999999,-0.18596,0.225985,-0.226905,-0.092532,-0.257305,-0.769875,-0.25464,-0.24829,-0.1369949999999999,-0.0984405,-0.5855,-0.215335,-0.590465,-0.446395,0.7851547357388811,0.9114769363358468
5,9000000,-0.0593415,-0.357925,-0.198825,-0.34953,0.4361649999999999,0.41916,-0.2163749999999999,-0.141645,0.0948765,-0.3487849999999999,0.185295,-0.326325,-0.2363549999999999,-0.2122699999999999,0.165145,0.35766,0.0763705,0.3369,0.3653899999999999,0.0017889999999999,-0.16307,-0.3156449999999999,0.2054549999999999,0.0247335,-0.359075,-0.40076,0.35099,-0.288555,0.131475,-0.4226899999999999,-0.27432,-0.16305,0.365455,-0.308555,-0.1234299999999999,0.3602949999999999,-0.145095,-0.062187,-0.2434899999999999,-0.14854,0.2564899999999999,-0.0939625,-0.143465,0.2945649999999999,-0.0306029999999999,-0.0139079999999999,-0.13943,-0.39559,-0.2564099999999999,-0.268615,-0.221955,-0.357655,-0.436205,-0.1962499999999999,-0.395985,-0.255835,0.7802735943027591,0.9154605607967264
6,10500000,-0.14049,-0.61749,-0.36165,-0.45075,0.59108,0.57221,-0.3203,-0.2296,0.13264,-0.52733,0.23643,-0.5949399999999999,-0.44946,-0.30007,0.13014,0.52347,0.015247,0.36123,0.39757,-0.096211,-0.17044,-0.48002,0.19382,0.010222,-0.63723,-0.57625,0.42395,-0.40991,0.077236,-0.57182,-0.54203,-0.35654,0.47522,-0.54819,-0.23342,0.41644,-0.20649,-0.16857,-0.4109899999999999,-0.22518,0.25681,-0.094473,-0.11094,0.31892,-0.1147,-0.022213,-0.14162,-0.62246,-0.2605,-0.27242,-0.2158699999999999,-0.31436,-0.51491,-0.19798,-0.50664,-0.34918,0.7865687539451808,0.8937385781833589
7,12000000,-0.070654,-0.3633,-0.17051,-0.30359,0.5361199999999999,0.5273100000000001,-0.22488,-0.15578,0.10372,-0.37271,0.071078,-0.33724,-0.264,-0.2162099999999999,0.1557,0.52637,0.15768,0.40135,0.5081600000000001,0.041897,-0.14488,-0.28267,0.27302,-0.010874,-0.3927199999999999,-0.38923,0.44513,-0.28458,0.19765,-0.42378,-0.29423,-0.12279,0.50532,-0.31722,-0.18715,0.4492899999999999,-0.023331,0.0588399999999999,-0.1995,-0.093438,0.30448,-0.04607,-0.19917,0.3896199999999999,-0.005954,-0.01775,-0.17189,-0.42436,-0.25784,-0.27898,-0.23194,-0.37139,-0.39037,-0.19645,-0.36196,-0.26146,0.7696289027519921,0.9808517650910682
8,13500000,-0.067437,-0.3840599999999999,-0.2227549999999999,-0.34935,0.545095,0.5481799999999999,-0.246695,-0.172515,0.102935,-0.390075,0.095733,-0.387345,-0.310345,-0.224245,0.1443999999999999,0.532715,0.0927705,0.375545,0.5274449999999999,-0.0399265,-0.154385,-0.34299,0.2442949999999999,-0.0223365,-0.4237949999999999,-0.42729,0.456095,-0.2946999999999999,0.155405,-0.4499499999999999,-0.37187,-0.176475,0.503285,-0.3747849999999999,-0.172685,0.429725,-0.032487,0.0872255,-0.258885,-0.13087,0.2796849999999999,-0.075417,-0.1517,0.34906,-0.0474444999999999,-0.0263654999999999,-0.1904799999999999,-0.454685,-0.25926,-0.2830899999999999,-0.2436049999999999,-0.37148,-0.4476,-0.1916399999999999,-0.4321,-0.269845,0.7712810431098993,0.9574345090156412
9,15000000,0.0162809999999999,-0.236715,-0.1148899999999999,-0.27788,0.551115,0.4550799999999999,-0.132105,-0.0259585,0.137035,-0.24852,0.267255,-0.24131,-0.13209,-0.11779,0.2961,0.48977,0.18142,0.35829,0.5215449999999999,0.00045,-0.1417749999999999,-0.224565,0.2799,0.0351285,-0.2456049999999999,-0.287265,0.4386849999999999,-0.187685,0.224245,-0.33899,-0.2219449999999999,0.02161,0.49106,-0.20116,-0.041979,0.41398,-0.10377,0.0871464999999999,-0.118945,-0.083968,0.2699849999999999,0.0232204999999999,-0.0680335,0.333945,0.0460465,0.037376,-0.0848934999999999,-0.28934,-0.26286,-0.295555,-0.2639249999999999,-0.4128,-0.429335,-0.18963,-0.375185,-0.1852,0.7830889120004338,0.908342090296369
10,16500000,0.0240664999999999,-0.199595,-0.097816,-0.2580099999999999,0.53362,0.43098,-0.15609,-0.11636,0.0801239999999999,-0.262345,0.18539,-0.194375,-0.1361049999999999,-0.1435499999999999,0.1971,0.403835,0.163215,0.3431949999999999,0.468645,-0.006604,-0.15896,-0.19547,0.2428199999999999,0.0370189999999999,-0.21643,-0.2432149999999999,0.392865,-0.19885,0.21116,-0.307575,-0.22227,-0.0090305,0.462595,-0.18254,-0.089708,0.3953299999999999,-0.139935,0.0693975,-0.1057699999999999,-0.0832475,0.262545,-0.0072469999999999,-0.10465,0.31166,0.0232804999999999,-0.0131,-0.1259,-0.2618,-0.25985,-0.2836,-0.25754,-0.40405,-0.368295,-0.195525,-0.3339299999999999,-0.207055,0.783787689546162,0.90873625191605
11,18000000,-0.148425,-0.46365,-0.3654199999999999,-0.47922,0.553245,0.42386,-0.2885,-0.17204,0.1335049999999999,-0.4784349999999999,0.3576749999999999,-0.535105,-0.394,-0.28242,0.20764,0.3725549999999999,-0.015928,0.2420149999999999,0.334345,-0.23623,-0.2143299999999999,-0.46333,0.11925,0.061237,-0.5472349999999999,-0.49524,0.28255,-0.338385,0.0124515,-0.43794,-0.511735,-0.3024449999999999,0.35714,-0.4365699999999999,-0.1391299999999999,0.33123,-0.2148199999999999,-0.10092,-0.37956,-0.2236249999999999,0.1206,-0.0641264999999999,0.0034909999999999,0.1762,-0.12909,-0.0079104999999999,-0.098955,-0.5259800000000001,-0.25986,-0.2859,-0.2660349999999999,-0.38161,-0.53217,-0.192585,-0.51812,-0.27746,0.8048887532642803,0.8122109212981359
12,19500000,-0.0918335,-0.48028,-0.29522,-0.39853,0.59154,0.561355,-0.254025,-0.15844,0.160505,-0.44882,0.2734199999999999,-0.49835,-0.354655,-0.27271,0.18841,0.5207550000000001,0.104555,0.37626,0.450655,-0.110535,-0.170435,-0.412625,0.2474499999999999,0.0339649999999999,-0.517035,-0.481695,0.442885,-0.3481449999999999,0.1173649999999999,-0.4719249999999999,-0.47804,-0.2373799999999999,0.509255,-0.437615,-0.16168,0.4514849999999999,-0.1605349999999999,-0.0664009999999999,-0.3266099999999999,-0.16366,0.2350199999999999,-0.0291355,-0.079166,0.30754,-0.0545875,0.025367,-0.107945,-0.4997749999999999,-0.25909,-0.278465,-0.2509549999999999,-0.380855,-0.50074,-0.19848,-0.47779,-0.30054,0.7909706564000588,0.8579759128095812
13,21000000,0.061823,-0.038199,-0.015962,-0.15816,0.54793,0.4826,-0.12343,-0.066041,0.073386,-0.16789,0.17645,-0.10035,-0.068583,-0.045341,0.24331,0.46368,0.30166,0.36109,0.56087,0.063145,-0.12633,-0.11648,0.32194,-0.017205,-0.087742,-0.17046,0.42454,-0.13649,0.26644,-0.1693599999999999,-0.1774,0.15061,0.5715399999999999,-0.10735,-0.041818,0.46611,-0.037822,0.2419199999999999,-0.014112,-0.0291449999999999,0.28488,-0.003479,-0.16953,0.39989,0.046005,-0.004664,-0.12055,-0.15757,-0.2596199999999999,-0.29219,-0.2670099999999999,-0.42628,-0.31881,-0.18931,-0.28678,-0.1556,0.7687022346837777,0.9740571412314996
14,22500000,0.37966,0.6108100000000001,0.4628899999999999,0.17904,0.32915,0.30778,0.1106099999999999,0.1681099999999999,0.050726,0.29882,0.055191,0.53003,0.46643,0.24528,0.2983699999999999,0.33501,0.5865,0.3508199999999999,0.50241,0.26556,-0.0517549999999999,0.42116,0.38987,0.05862,0.55796,0.41373,0.39089,0.1764099999999999,0.51302,0.29768,0.25758,0.707,0.52094,0.4027699999999999,0.2122,0.41948,-0.070222,0.41601,0.53186,0.27236,0.35112,0.1904,-0.20155,0.46451,0.3112,0.018868,-0.033704,0.40031,-0.25959,-0.30228,-0.277,-0.44216,-0.038524,-0.1819,0.048408,0.061291,0.751561723029591,1.0550257331867865
