fov,cellID,rep,batch,leiden,umap_1,umap_2,x,y,z,nuc_volume(um3),doublet
0,42,1,1,0,6.8091545,10.963283,1882.598,1580.253,12.786,131.695,0
0,47,1,1,0,6.307696,10.393372,624.847,1731.403,13.59,163.495,0
0,69,1,1,0,6.173099,11.890781,1983.711,1591.343,14.482,109.238,0
0,72,1,1,0,9.671131,13.740751,1255.603,1677.512,13.784,117.001,0
0,73,1,1,0,10.064677,10.373851,1886.033,1829.907,13.43,137.986,0
0,100,1,1,0,9.556513,12.342956,655.072,1299.271,17.013,217.124,0
0,102,1,1,0,7.0695534,8.6142235,552.73,1418.799,16.434,155.443,0
0,104,1,1,0,8.402342,13.931387,1724.202,1535.181,14.662,120.823,0
0,108,1,1,0,5.8567476,12.217889,699.815,1746.355,15.695,130.39,0
0,120,1,1,0,9.327842,10.2256975,1304.718,1296.611,15.159,102.106,0
0,123,1,1,0,9.650861,12.627225,876.227,1409.527,18.072,198.996,0
0,139,1,1,0,8.514602,9.257143,1823.625,1291.029,17.587,188.803,0
0,144,1,1,0,9.678795,13.413545,1696.706,1490.853,19.948,156.894,0
0,145,1,1,0,10.468395,11.371607,864.259,1564.339,15.711,155.419,0
0,150,1,1,0,6.1326065,13.709416,1816.318,1740.79,12.705,110.564,0
0,152,1,1,0,8.942985,14.043946,726.363,1773.523,19.821,103.517,0
0,154,1,1,0,8.880949,13.828458,1742.064,1909.503,18.439,154.292,0
0,156,1,1,0,8.500842,11.467805,1220.686,1960.812,14.919,155.462,0
0,169,1,1,0,6.473761,9.775747,1635.217,1531.118,16.907,147.417,0
0,172,1,1,0,9.533045,13.065747,923.523,1614.959,18.022,151.52,0
0,173,1,1,0,8.223609,14.397111,1305.378,1643.096,20.043,172.858,0
0,177,1,1,0,9.763356,13.545543,1883.608,1917.196,14.973,138.522,0
0,195,1,1,0,9.290867,13.167236,1646.872,1388.179,18.989,160.517,0
0,197,1,1,0,6.4958215,10.113983,1132.311,1559.405,15.101,107.801,0
0,198,1,1,0,8.728044,12.401367,1516.244,1656.151,17.943,127.579,0
0,202,1,1,0,5.8907814,11.641867,1432.407,1758.022,20.016,217.002,0
0,205,1,1,0,7.7521677,8.623434,1527.825,1860.181,21.41,223.842,0
0,210,1,1,0,5.740103,11.819861,1650.639,1978.03,22.091,238.191,0
0,220,1,1,0,9.28672,10.418193,1667.795,1279.804,17.512,118.121,0
0,225,1,1,0,8.631601,10.53274,1017.595,1461.175,17.426,119.346,0
0,226,1,1,0,9.335233,9.904047,1934.155,1486.9,20.871,208.586,0
0,231,1,1,0,9.888812,12.2264385,303.66,1618.419,20.535,196.871,0
0,241,1,1,0,9.038197,13.265119,1127.828,1930.834,16.32,117.68,0
0,254,1,1,0,9.484418,12.241086,1209.703,1374.571,20.145,116.513,0
0,257,1,1,0,9.739398,12.298204,1964.455,1534.298,22.277,182.897,0
0,258,1,1,0,10.129608,10.303304,1770.313,1542.252,24.752,225.054,0
0,262,1,1,0,6.1958885,9.177481,1073.454,1672.144,20.394,166.675,0
0,264,1,1,0,5.968269,13.796938,405.403,1761.229,19.269,185.143,0
0,267,1,1,0,10.023981,12.644341,448.554,1865.246,18.489,150.054,0
0,277,1,1,0,6.4334617,8.742967,1078.863,1233.971,23.728,182.26,0
0,278,1,1,0,5.464208,9.944553,1390.075,1303.241,18.887,219.025,0
0,281,1,1,0,9.606666,9.663659,597.637,1456.042,25.48,237.284,0
0,284,1,1,0,8.421321,10.837147,336.1,1528.106,17.425,122.696,0
0,289,1,1,0,10.161712,12.51837,1758.484,1606.622,15.974,164.779,0
0,291,1,1,0,7.2973075,12.23951,1886.66,1717.697,20.464,211.002,0
0,292,1,1,0,6.953844,11.167276,892.416,1752.297,19.246,151.725,0
0,293,1,1,0,8.304054,14.096044,1179.961,1785.385,15.657,103.687,0
