baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ank2	60.0331166547098	2.99762208235418	0.118614949547866	25.2718741927595	6.51197239345879e-141	8.48379763419811e-137
Luzp2	29.9182715920161	2.53238627502055	0.104925073156352	24.1351871277418	1.06832443438012e-128	6.9590653655521e-125
Meg3	95.5874933191755	-8.06596344456949	0.340461644898625	-23.6912544053859	4.43759592463185e-124	1.92709999020346e-120
Snhg11	86.3208645926	-8.03167226440153	0.361680061590506	-22.2065662925456	2.9676928412881e-109	9.66577558407536e-106
Qk	27.9075771116387	3.65595440288701	0.16640195898883	21.9706211699852	5.501105746913e-107	1.43336811341565e-103
Cacna1d	16.5328717953053	-3.81292157810722	0.173970495947207	-21.917058736582	1.78632483406073e-106	3.87870665635721e-103
Gabrb1	16.8012754802664	6.06018194721443	0.281445613527636	21.5323375314192	7.75232063497307e-103	1.44281761760613e-99
Unc5c	43.0132853168131	-5.63062408949946	0.263939977951514	-21.3329717354671	5.61264598712624e-101	9.14019399003508e-98
Paqr8	5.44685341266622	4.09779200368961	0.19419556119962	21.1013680146755	7.72680588785223e-99	1.11849807896599e-95
Slc4a4	18.2621098544762	8.29512672579096	0.394358357758696	21.0344894753484	3.1716852042507e-98	4.13207148409781e-95
Anks1b	62.0023061041149	-6.10621199823876	0.295153303652241	-20.6882725779458	4.41757729977358e-95	5.23201791467729e-92
Erc2	9.85295700210602	-4.11837852903978	0.206719933485867	-19.9225031645115	2.59679227791667e-88	2.81925081639153e-85
Inpp4b	29.0459289880528	-6.91540013601848	0.347422593717765	-19.9048658926205	3.69278637002978e-88	3.70074006374984e-85
Wdr17	12.8235182523529	6.46681650043514	0.330117567906053	19.5894345806991	1.90291792648094e-85	1.77080105329955e-82
Frmpd4	19.8949718828557	-8.14517725997033	0.425431999993992	-19.1456619626294	1.0519328619893e-81	9.13638755066439e-79
Gm3764	11.5724195812318	3.22066688818422	0.169960962036393	18.9494508009115	4.46215822181148e-80	3.63331233211e-77
Map2k6	4.48859397859621	5.27627857774118	0.281888514146695	18.7176075396793	3.55775961103414e-78	2.72649954191487e-75
Hdac8	10.8680156343277	2.61476434929137	0.140540451080075	18.6050658667771	2.92332185727085e-77	2.1158353975847e-74
Mpp6	5.16043734732666	3.96350477578007	0.213121580788266	18.5973882190643	3.37347934312696e-77	2.31314152011885e-74
Slc1a3	11.2306869288255	8.67516132525995	0.468399328680799	18.5208662653141	1.4016355294685e-76	9.13025383895784e-74
Dtna	10.4048277947455	2.31179467116251	0.126091262756295	18.3342970847287	4.40675801928956e-75	2.73386873691926e-72
Fgf14	85.2904105570312	-4.55989815709702	0.253000949074936	-18.0232452635837	1.28009331253047e-72	7.5804798525668e-70
Gpc6	15.7425747331077	5.45488874702223	0.303126027410364	17.9954482748442	2.11503780437148e-72	1.19803097892833e-69
Gpm6b	13.1110980485427	4.67339484502846	0.26280205707811	17.7829462104987	9.58102673769212e-71	5.2009006807772e-68
Kcnma1	32.8637019520367	-6.43292170004948	0.366534017929099	-17.5506812066045	5.87708771889364e-69	3.06266795206985e-66
Lama2	7.17818644214182	5.61902890680918	0.321176520258653	17.495142242291	1.56022465555045e-68	7.81792569711971e-66
Nrcam	8.68762069588769	3.81877385241824	0.220501590442291	17.3185773615437	3.40676264656773e-67	1.64382606516609e-64
Nrxn1	63.6961232414426	-6.10437344907266	0.355028077746537	-17.1940582497554	2.94199216545486e-66	1.36886692612664e-63
Ccser1	22.7704875610589	-4.86844519676823	0.284995029464974	-17.0825617762802	2.0013563785302e-65	8.99092099982462e-63
Esrrg	15.6743930756971	-5.06944026007172	0.298334888657499	-16.9924485965557	9.3407093380104e-65	4.05635870851998e-62
Myt1l	10.2120005616546	-4.80879182062584	0.283725868807559	-16.9487253341974	1.96671641107433e-64	8.26528432370204e-62
Dab1	20.791502074051	-5.5454456313956	0.327281161282152	-16.943980550762	2.13197803149147e-64	8.67981556070966e-62
