baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Luzp2	29.9182715920161	6.84926224117756	0.16549384577776	41.386809334139	0	0
Gria4	53.8549273967484	7.78784827237891	0.212282866758494	36.6861838230159	1.21293419977045e-294	8.14788548695798e-291
Ank2	60.0331166547098	3.91384653431253	0.117165624398038	33.404392751037	1.18372023233895e-244	5.30109377382459e-241
Dtna	10.4048277947455	5.75253807521246	0.185098063798313	31.0783265754771	4.72805369381767e-212	1.58803503441101e-208
Slc1a3	11.2306869288255	8.89227569871402	0.294475097832953	30.1970379300403	2.59047139900819e-200	6.960596649135e-197
Qk	27.9075771116387	7.34693202108493	0.253983602397945	28.9267966582097	5.49656517387693e-184	1.23077255185061e-180
Hdac8	10.8680156343277	3.94029836548819	0.136864168881767	28.7898461495214	2.87441532753201e-182	5.51682427505607e-179
Nfia	17.8302445008112	6.22062511033478	0.216680703668514	28.7087175046806	2.96972578935403e-181	4.98728324749642e-178
Anks1b	62.0023061041149	-8.11067937067833	0.294123408654887	-27.57576966679	2.17305623771712e-167	3.2438900615255e-164
Itpr1	16.4836474389437	-6.59292469908785	0.24000204442712	-27.4702855753793	3.9773412860545e-166	5.34355801781422e-163
Map2k6	4.48859397859621	6.27567056059045	0.231240228727056	27.1391815997463	3.39761301499614e-162	4.1497209869521e-159
Gabrb1	16.8012754802664	6.77516919187694	0.253873235442103	26.6872133254947	6.62471245245803e-157	7.4169176498978e-154
Slc4a4	18.2621098544762	9.88346336664195	0.381425928083817	25.9118812826749	4.89307599408459e-148	5.05680584465588e-145
Npas3	22.1407412682527	5.58556046480827	0.215845559458619	25.8775787596367	1.19102156038684e-147	1.14295533312838e-144
Paqr8	5.44685341266622	6.75021354670741	0.261934809878835	25.7705860089001	1.89524235207064e-146	1.69750540000461e-143
Trpm3	63.5206155255148	8.45938119984141	0.335009699737676	25.2511530456145	1.10001360928944e-140	9.23667677550229e-138
Plcb1	33.4091853400275	4.55385754451348	0.181753858340739	25.0550804592893	1.53688827524811e-138	1.21459376340931e-135
Zbtb20	42.7815169392071	4.36551525955209	0.175099164004466	24.9316739138786	3.37516061108402e-137	2.51918237832855e-134
Plce1	5.22015605759636	6.69192555971858	0.271184901041408	24.6766156007217	1.90682732587207e-134	1.34832763805744e-131
Tcf12	13.0542729793722	3.54308262815881	0.149152382097658	23.7547840559393	9.80521316215787e-125	6.58665194167955e-122
Gpm6b	13.1110980485427	8.7577344082731	0.384300778863981	22.7887500883073	5.92834844092462e-115	3.7927314906582e-112
Mapk4	6.56853938648605	4.1848129835932	0.184387793707173	22.6957159118631	4.93839627751912e-114	3.0157888176577e-111
Lama2	7.17818644214182	7.29967488485784	0.325534036567009	22.4236917338604	2.31192713045732e-111	1.35046699989974e-108
Adgrl3	27.2225624507914	7.35705636961007	0.328393036717707	22.4032045354674	3.66262698704905e-111	2.0503080654585e-108
Phlpp1	11.9199249751995	4.24318684941059	0.189746310122782	22.362420890635	9.14171701073563e-111	4.91275872156933e-108
Mcc	7.34333449397788	6.61250545053445	0.29888906897632	22.1236108539598	1.8731882375238e-108	9.67933998889701e-106
Snhg11	86.3208645926	-7.8807213041079	0.361414697432998	-21.8052042711099	2.07080172660528e-105	1.03041559988674e-102
Cdk19	5.39375868820557	4.35294666146779	0.20171625545783	21.5795531777447	2.79556237377066e-103	1.34137073184317e-100
Negr1	36.0365765529226	4.75538965971355	0.220673907798848	21.5493970589774	5.3640894021015e-103	2.48505314197358e-100
Meg3	95.5874933191755	-7.31249007399345	0.34029757195793	-21.4885167470354	1.99379410448112e-102	8.92887459790127e-100
Ntrk2	10.7486852489843	5.33851866640145	0.258894394305343	20.6204490472866	1.798812147223e-94	7.7958197412713e-92
Tcf4	28.1247137566587	7.22122932610741	0.352490218482829	20.4863254282308	2.85117509793338e-93	1.19704804502297e-90
