baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Frmpd4	19.8949718828557	-5.67011643162853	0.147450977357658	-38.4542478675816	0	0
Gria3	12.2301631522773	-7.14444927409759	0.194484466816896	-36.7353207740954	1.99458603053537e-295	1.29927334029074e-291
Shisa6	6.28481698679372	-6.87408013349767	0.211935553182042	-32.4347662781863	8.88313183235122e-231	3.85764805039572e-227
Slc24a3	13.8961567387132	-6.20596804238596	0.192553052446954	-32.2299125540771	6.72695690018277e-228	2.19096986238953e-224
Kcnma1	32.8637019520367	-7.51181183449097	0.247359084522831	-30.3680450992195	1.45185715329537e-202	3.78295899862641e-199
Grid1	8.48859018947379	-6.5280680452954	0.216542762509189	-30.1467847258039	1.18193381021518e-199	2.5663722799139e-196
Luzp2	29.9182715920161	-3.76003367776999	0.125041319490901	-30.0703294965116	1.18418788734954e-198	2.20394282805569e-195
Nos1ap	4.06195640969734	-4.52289174199682	0.152860696946931	-29.5883234365144	2.11189532763786e-192	3.43922154105826e-189
Galnt18	3.3588618166277	-5.23107210804574	0.18684442002818	-27.9969404880102	1.77028281540853e-172	2.56258272434915e-169
Shank2	6.61693062821423	-6.035533501535	0.215821335080162	-27.9654163907995	4.28167575320647e-172	5.57816717127739e-169
Erc2	9.85295700210602	-2.56287619863727	0.093126453203213	-27.5203887884012	1.00119209626877e-166	1.18577551183541e-163
Esrrg	15.6743930756971	-6.32580695218532	0.231784288339129	-27.2917849501942	5.30939123893518e-164	5.76422908840396e-161
March11	4.48869830322799	-7.2626472593174	0.268715034058507	-27.0273201674906	7.05811749695262e-161	7.07331959617682e-158
Mdga2	37.5491567787741	-6.21068867134965	0.234760209110909	-26.4554572296172	3.15761870587522e-154	2.93838975001017e-151
Grm8	9.31054759807166	-5.77334802588981	0.223467046341446	-25.8353440492002	3.55544465076577e-147	3.08802219401177e-144
Grik3	5.48343408720641	-6.65437190082148	0.257689915653012	-25.8231754392043	4.87078948917083e-147	3.96604034155734e-144
Slc6a1	8.37643174773771	-7.15923130858571	0.284521348419463	-25.1623695316916	1.03478483251455e-139	7.93010399882328e-137
Mgat5	7.54261875105322	-2.85544780079058	0.113566538773547	-25.1433902241609	1.6691757599628e-139	1.20811232226641e-136
