baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cntn6	8.90812863580563	4.1267926042892	0.108969954192056	37.8709217131162	0	0
Itpr1	16.4836474389437	-6.29072011396153	0.122108271870162	-51.5175591105773	0	0
Nell1	1.95328688090224	-5.63418477173547	0.143917033784997	-39.1488389077875	0	0
Cntnap5b	3.61829883940239	-7.03095326981014	0.197404829057839	-35.6169264114106	7.66399410450116e-278	2.73010629987592e-274
Cadps2	4.86343903183541	6.77479953500036	0.191526581028951	35.3726333890766	4.50051398140286e-274	1.28255647442019e-270
Shisa6	6.28481698679372	-7.19654661328725	0.208070404975003	-34.587074572916	3.95240800894433e-262	9.38631028657462e-259
Scn2a1	4.24859141861227	4.75978601127462	0.138490962563317	34.3689286519219	7.34574825621129e-259	1.49527952718221e-255
Frmpd4	19.8949718828557	-4.86588084489028	0.146933344684605	-33.1162463859717	1.73465727786133e-240	3.08964144403076e-237
Cntnap5c	1.47937006946447	-4.88832020708853	0.151609689904797	-32.2427953659039	4.43899997094603e-228	7.02792339844555e-225
Gpr63	1.43166244288943	-5.33876959035643	0.167136846317236	-31.9425052464083	6.86566911849289e-224	9.78289192694052e-221
Syne1	9.97598278969534	3.20968364369335	0.100857701290189	31.8238825854104	3.0257103150037e-222	3.91939511622616e-219
Pclo	9.47979702898367	3.60079639862248	0.115251609208744	31.2429164620227	2.7862301756058e-214	3.30841614768392e-211
Caln1	9.35065797385322	2.69184560481534	0.0865975823943575	31.0845352767116	3.89751423194178e-212	4.27197540699526e-209
Bicd1	4.82440439335949	2.61648358126225	0.0842466205895961	31.0574307070231	9.05552567235389e-212	9.21658466466933e-209
Mctp1	6.15522802287772	5.39303917821936	0.175952153736131	30.6506005394348	2.59443096240027e-206	2.46453645221609e-203
Inadl	4.94139655603656	4.63369530381338	0.152046271150002	30.4755602933661	5.49413488430487e-204	4.89287049790375e-201
Gria3	12.2301631522773	-5.8928728022616	0.194156311355741	-30.3511781878903	2.42412535642548e-202	2.03184483551215e-199
Stxbp5l	7.77230122634282	6.76792169228792	0.223676341604891	30.2576555201488	4.13759632637154e-201	3.27536722524822e-198
Aff1	4.07437744774026	-3.96096238679245	0.132073360582311	-29.9906231607085	1.30048813093261e-197	9.75297651455721e-195
Syndig1	6.1293384867127	-3.17588267199808	0.106626871053449	-29.785012357777	6.10856465825239e-195	4.35204689077192e-192
Akt3	10.3056227275195	3.1693186793343	0.106797852264177	29.6758653113605	1.57329822522864e-193	1.06752030529918e-190
Lpp	6.62745057019813	2.85101023776264	0.0973832490158857	29.2761872968272	2.08485018208628e-188	1.35031955657033e-185
Kcnma1	32.8637019520367	-7.20151552772221	0.246509463814376	-29.2139515306602	1.28958999772174e-187	7.98929038153788e-185
Prkce	7.44882729648029	6.1070292314963	0.209294966701793	29.179054459526	3.57651634610103e-187	2.12340755898306e-184
Chd7	5.55904841330676	4.24688803451116	0.14582681945212	29.1228187686392	1.84605663319998e-186	1.05217843865866e-183
Usp3	2.93492603056899	3.83046756285687	0.132284553020132	28.9562724853742	2.33972094652284e-184	1.28225706796169e-181
Ptprm	17.2581311256087	-6.45509213144188	0.223278310411572	-28.9105203257008	8.80548284577969e-184	4.64701203961166e-181
