baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Luzp2	30.6753308531644	-2.36108978494223	0.143652455590618	-16.4361254754383	1.05448676249521e-60	1.11617423810118e-56
Grid2	309.843131921545	2.1722280734777	0.142807621966068	15.210869304958	2.99538982565024e-52	1.58531006522539e-48
Cadm1	10.2124713392842	-3.38408478720153	0.226400542110622	-14.9473351770863	1.62107418429492e-50	5.71969008025392e-47
Grid1	8.51326901942629	3.48377595313686	0.268746533165463	12.9630544889372	1.98195373696181e-38	5.2447450764352e-35
Ptprk	12.6218889735313	4.92351938636491	0.382940419481557	12.8571420928368	7.84228940309396e-38	1.66021266663499e-34
Cntn6	7.96177384352212	-1.74175439424082	0.135977586813963	-12.8091285854616	1.45762268706677e-37	2.5714893571003e-34
Adgrl3	30.2269998532578	3.68106591109509	0.289750631572412	12.7042550041005	5.60001797629383e-37	8.46802718272432e-34
Cdh22	3.41610558824725	-7.03869743875104	0.562221778730778	-12.5194321974524	5.8451792510577e-36	7.66995874638651e-33
Socs2	2.06205733127457	2.72199156409344	0.217572402277767	12.5107391176311	6.52145760202916e-36	7.66995874638651e-33
Frmpd4	29.9715316448629	2.21480265059858	0.178151582647695	12.4321244733396	1.74922882845885e-35	1.85155871492369e-32
Galnt18	3.94810390004482	4.85438937936555	0.395473557276727	12.2748772706661	1.23579056611511e-34	1.18916755839349e-31
Dpp6	30.1545998228712	-2.11811828587156	0.173219386758726	-12.2279516485175	2.20427124978574e-34	1.94435093158184e-31
Grm8	9.79413325582325	5.32463116380937	0.437813216863294	12.161878533402	4.96047029509713e-34	4.03896754412332e-31
Grin2b	6.37839482878013	-2.16940433830751	0.179451289185927	-12.0890986526144	1.20602558390841e-33	9.11841486119321e-31
Sorcs3	7.43309276145321	6.53023954546003	0.589151532426344	11.0841425101045	1.49778604541939e-28	1.05693768605095e-25
Grin3a	5.15430043096746	-2.67040896325602	0.244957542470684	-10.9015176112636	1.13350731911456e-27	7.05774998401623e-25
Nxph1	18.8660634976932	-5.84127026769853	0.535577595599454	-10.9064873431843	1.07323587850129e-27	7.05774998401623e-25
Ryr2	8.45108842482194	-2.23414715200999	0.214433690013001	-10.4188252875494	2.03450473517104e-25	1.19640181232142e-22
Mgat5	8.34365132434149	1.97774592596896	0.195185195716593	10.1326635901251	3.9572034439742e-24	2.20457886602457e-21
Il1rapl1	31.0105460345572	2.85599210336627	0.284737138294198	10.0302760661147	1.12202448690515e-23	5.93831459694549e-21
Pcdh9	120.451366259354	-2.06321975332588	0.206311099589303	-10.0005271526014	1.51587949482723e-23	7.64075450130775e-21
Ptprt	7.57472610781456	-3.50009751091114	0.354622586921027	-9.8699226727219	5.62079246267562e-23	2.70436764624643e-20
Cacna2d2	3.15964318795747	-2.12362754580301	0.219302022196259	-9.68357484593792	3.54112632864504e-22	1.62968792124816e-19
Lmo4	1.70145987066358	-4.61461785393594	0.481967192092297	-9.57454766558515	1.02304140545125e-21	4.5120388652923e-19
