baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Luzp2	29.9182715920161	-2.50430950015385	0.108122071799116	-23.1618711932075	1.10378829768681e-118	1.25820828053319e-114
Cntn6	8.90812863580563	-1.97356821923521	0.127000191942027	-15.5398837517986	1.8632109583407e-54	1.06193708570628e-50
Adgrl3	27.2225624507914	4.48107943051972	0.321599749478801	13.9337155510287	3.95247011123372e-44	1.5018068932651e-40
Grin2b	6.97820168928022	-2.34279775114592	0.175274206044167	-13.3664719071987	9.49382377964082e-41	2.70550243160314e-37
Frmpd4	19.8949718828557	1.99479028815354	0.152946293490625	13.0424232103134	7.01901975040035e-39	1.60019612269627e-35
Grid1	8.48859018947379	5.53961931916351	0.428438470435148	12.9297896931084	3.05653774583811e-38	5.80691229413478e-35
Cadm1	10.212021455159	-3.66437054801146	0.284962429849264	-12.8591356760602	7.64264551048066e-38	1.2445502310567e-34
Grid2	178.250974584135	2.02426063460422	0.162635487796872	12.4466108967096	1.45910480358641e-35	2.07904195701019e-32
Cdh22	4.81349483882892	-7.2340254942765	0.590691625783359	-12.2467039966631	1.7496324692618e-34	2.21600672412392e-31
Nxph1	24.7771237504167	-5.99869016325311	0.512906385815701	-11.6954873816069	1.34413296814359e-31	1.53217717038688e-28
Galnt18	3.3588618166277	4.74112651952895	0.418139252226489	11.3386305980211	8.44556574549468e-30	8.75190944844489e-27
Socs2	1.88724219589336	2.37197990118211	0.215822989864649	10.9903949651966	4.25061901495933e-28	4.03773384596012e-25
Pcdh9	105.959269418989	-2.07631006979816	0.190837022651995	-10.8800171001644	1.43536036365626e-27	1.2585902142552e-24
Ptprk	10.9784473662194	5.61907295192744	0.524534738116967	10.7124896476817	8.89373173249246e-27	7.24140342990583e-24
Kcnc1	2.75612475017625	-2.57531170895118	0.244169937322044	-10.5472104272793	5.23276631465852e-26	3.97655354805283e-23
Dpp6	35.6709585325544	-2.26877317132201	0.216367616607202	-10.4857335256448	1.0046303356768e-25	7.15736324773741e-23
Grm8	9.31054759807166	5.69905582571701	0.545831422797748	10.4410548526239	1.61011492365894e-25	1.0796294126346e-22
Mgat5	7.54261875105322	1.88568667644976	0.188387711446046	10.0096055203145	1.38302901426261e-23	8.75841540754415e-21
Tspan9	3.8358236472935	-2.60378246357758	0.265632872040422	-9.8021846602681	1.10176507268364e-22	6.61001055974777e-20
Ptprt	9.27557521126525	-3.63636271281846	0.37147588878562	-9.7889602598596	1.25580567694427e-22	7.15746445574387e-20
Adarb2	24.2263516358212	4.1263913755779	0.422294307434195	9.77136395858451	1.49426644035887e-22	8.11102054935751e-20
Grin3a	5.50394006818853	-2.94354498406731	0.302256450453708	-9.73856795991894	2.06442974175165e-22	1.06965611937396e-19
Ptchd4	5.65193576253998	-1.85171037089925	0.19226748137937	-9.63090772092432	5.92041471966725e-22	2.93420901693422e-19
Sorcs3	6.8896377289146	7.48803595481261	0.777958648821547	9.62523646488859	6.25628603041693e-22	2.97147518586344e-19
Gm11417	2.55711305313102	7.37916181294872	0.776205736652192	9.50670867852041	1.96790355230119e-21	8.97285303707251e-19
Kcnd3	6.56108205660144	-1.31896227224557	0.139528345857399	-9.45300586873992	3.29237481197914e-21	1.44345309545193e-18
Cacna2d2	2.78608648432805	-2.11076277457364	0.226362253915425	-9.32471177532221	1.11285644580242e-20	4.69831504655622e-18
Afap1l2	2.84961018911433	-3.94700992444468	0.428205997434105	-9.21754937599181	3.03967618805521e-20	1.23747388813005e-17
Etl4	14.5932057587416	3.3083369904139	0.364259541859312	9.08236191570153	1.06243826157073e-19	4.17611508401545e-17
Asic2	17.9394977353448	5.33713987859624	0.598268374048033	8.92097946358726	4.62182311828069e-19	1.75613872417605e-16
Fam135b	4.68028524744257	-5.0747114050838	0.579082535043016	-8.76336462937332	1.89507440636578e-18	6.96837198650436e-16
Lmo4	2.26750134766239	-4.52430821468296	0.524454470676702	-8.62669396038373	6.3150861698234e-18	2.24955210155678e-15
Megf11	10.6326945179838	7.47890984211796	0.874034868856577	8.55676370429243	1.16080122973215e-17	4.00968885385356e-15
Il1rapl1	26.4346032092261	2.76722145332676	0.323576556894478	8.55198374037085	1.20990825219345e-17	4.05639534316267e-15
Arhgef26	2.00749469319245	6.20066682762757	0.743018540810914	8.34523835819804	7.10703965252167e-17	2.31466128568841e-14
Clmp	4.31589062068553	3.03358238709645	0.364662262247647	8.31888215796868	8.87967794405401e-17	2.81165135789644e-14
Gldc	1.29418409954722	3.98061032332172	0.483318691088497	8.23599500022824	1.7807137201535e-16	5.48604208000805e-14
Prkcg	1.54555897800233	3.28003269052447	0.405468699084287	8.08948433734124	5.99178583695583e-16	1.79737807251209e-13
Whrn	1.84494694438991	2.33389677563488	0.294154734976796	7.93424853697828	2.11773632104056e-15	6.18976315988239e-13
Zfpm2	16.7415662354609	-1.37631820720182	0.17679099056741	-7.78500195504606	6.97121294289868e-15	1.98662140840255e-12
Nrcam	8.68762069588769	-1.92541937642772	0.25542066513942	-7.53822865262973	4.76398022803738e-14	1.3245026980341e-11
Spock1	7.67226188856596	1.8236823587952	0.243571183952348	7.48726647053611	7.03228356643493e-14	1.90859524699504e-11
