baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ryr2	10.683028223928	-3.73955264039076	0.244282895989038	-15.3082868337969	6.73137030129007e-53	8.4956624572582e-49
Grid2	178.250974584135	2.72647497079161	0.193760395845129	14.0713738682226	5.69521227137924e-45	3.59396370385387e-41
Kcnb2	3.19219620463906	-4.43927943047826	0.322677442486901	-13.7576379565438	4.58255665495976e-43	1.92788158474157e-39
Ptprd	19.688708683591	-4.25466419537588	0.320451814514353	-13.2770794318137	3.14420026486335e-40	9.92073788571009e-37
Frmpd4	19.8949718828557	3.43594593430698	0.266396482192379	12.8978652646986	4.62738862864336e-38	1.16804543764216e-34
Opcml	21.8641808808376	-4.11224889450617	0.323986600784435	-12.6926511298604	6.49494293920915e-37	1.36621124726265e-33
Rgs6	23.6308722310104	-5.21491466869831	0.417327843561938	-12.4959662987939	7.85361966500992e-36	1.41600762560129e-32
Kcnd2	56.8121086294801	-4.54849744999946	0.364721300919495	-12.4711593168052	1.07254186401304e-35	1.69206885821357e-32
Luzp2	29.9182715920161	-1.75621452517654	0.147181160134781	-11.932332396132	8.02918160727819e-33	1.12595890072731e-29
Grik2	18.7444520853407	-4.89278715712931	0.413760731353244	-11.8251607423618	2.89348323680249e-32	3.65186519316843e-29
Pcdh9	105.959269418989	-2.3107522776697	0.204107382500464	-11.3212577093553	1.02983712259854e-29	1.18159766584692e-26
Mgat4c	12.7987540735504	-2.69863746648271	0.240062850549778	-11.2413789151568	2.55362080824046e-29	2.6857706850669e-26
Pcdh15	15.7074937555568	-4.71845967190094	0.428187600870817	-11.0196083733038	3.07393527440752e-28	2.98431823833056e-25
Robo2	4.61652363027433	-5.30805772019367	0.488701009813811	-10.861564870136	1.75712000818469e-27	1.58404368737849e-24
Shisa9	4.2577124855677	-8.43694494085216	0.781802978756905	-10.7916510554452	3.76955676954117e-27	3.17170506589194e-24
Pex5l	10.717153947314	-5.12521040806666	0.477068129882519	-10.74314146562	6.38345875017045e-27	4.73915487564125e-24
Snrpn	1.77482746245789	-3.76089381459042	0.349901712174575	-10.7484292980939	6.02793352451385e-27	4.73915487564125e-24
Zmat4	3.35506197795598	-8.42380650784368	0.789312769075103	-10.6723302065853	1.37143238114373e-26	9.61602671245278e-24
Ak5	4.04620979321462	-4.31206162749806	0.406458645482896	-10.6088569536394	2.71044554898332e-26	1.8004491196694e-23
Cdh7	3.13549502333061	-2.32320387208048	0.224694540709096	-10.339387262142	4.67517169827192e-25	2.95026710019449e-22
Rora	115.495046633302	2.8216352691662	0.273500979687126	10.3167281974421	5.92064041170255e-25	3.55830488743323e-22
Cdh22	4.81349483882892	-6.39910760148087	0.625474850711271	-10.2307991987272	1.44323376604989e-24	8.27956970968891e-22
Nxph1	24.7771237504167	-5.36721850926684	0.525729260550309	-10.2090922305688	1.80546004866187e-24	9.90726577137456e-22
Lrrtm3	11.384535430718	-5.84913759327788	0.580139657410234	-10.0822922869791	6.61642293968966e-24	3.4794114134093e-21
Ppp2r2b	11.3139324037685	-4.96190453474184	0.497032448960222	-9.98305954696118	1.80803986401714e-23	9.12770844950411e-21
Gm2163	10.8170840606523	-2.31900613341383	0.232925519055651	-9.95599856475911	2.3742720147973e-23	1.15252642687526e-20
Abr	5.79250584508623	-4.27983076340135	0.439829346518239	-9.73066212448349	2.23135747815533e-22	1.04303565673327e-19
Klhl1	1.64031205949472	-5.27155249485525	0.547868137599056	-9.62193661773611	6.46032060229962e-22	2.91198951148655e-19
Lmo4	2.26750134766239	-5.34253979414252	0.560999940385289	-9.52324485181464	1.67854274492684e-21	7.30513378749021e-19
