fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g15,chr7-g16,chr7-g17,chr7-g18,chr7-g19,chr7-g20,chr7-g21,chr7-g22,chr7-g23,chr7-g24,chr7-g25,chr7-g26,chr7-g27,chr7-g28,chr7-g29,chr7-g30,chr7-g31,chr7-g32,chr7-g33,chr7-g34,chr7-g35,chr7-g36,chr7-g49,chr7-g50,chr7-g51,chr7-g52,chr7-g53,chr7-g54,chr7-g55,chr7-g56,chr7-g57,chr7-g58,chr7-g59,chr7-g60,chr7-g61
1,94,1,2,,,,,,,,-0.50108,-0.52079,-0.52079,,,,,,-0.52079,-0.48383,-0.21281,-0.57992,-0.39102666666666663,,-0.6218,,,,-0.34093,,,,,,,,,-0.13396
3,741,2,1,0.12638,0.22255666666666665,0.26177,0.185195,,1.2028633333333334,1.2051,0.575835,0.393835,0.3638699999999999,0.6479699999999999,,1.0142,0.44155,,,,,0.53699,0.73233,,-0.47734,,4.7564,3.4172366666666663,,,5.198,7.2023,6.4055,0.71234,4.5255,,0.037596,4.4523
0,407,1,2,,,2.1326,1.8523,,1.1914,,,,-0.28393,0.95828,,,0.21472,,,1.6281,2.9087,2.5516,,,-0.44032,,,2.5841,,2.2772,,,,,,1.1914,,
2,636,2,1,1.4825,2.8707,,,,-0.4204699999999999,1.3371400000000002,,0.415705,-0.17125,0.125725,-0.19221,,0.57409,,0.6664666666666667,,1.161,,,0.27246499999999996,-0.1037,,1.3043,1.1618233333333334,1.6921,1.46035,1.6478,,1.80275,,0.80934,,-0.1433,1.571
1,77,2,1,1.2416,,,1.172,,,,,,,,,,,,,1.081215,0.524425,0.55771,0.64547,0.54712,-0.032373,,0.11288,-1.7088,-0.5074666666666666,1.0631,-0.71929,1.3807999999999998,-0.02229333333333335,,-0.10197499999999995,-0.41970999999999997,0.09068999999999998,-0.17157
0,352,1,1,,,1.699,,,,2.43195,0.8962650000000001,0.081711,0.28505,1.1562999999999999,1.3679,0.7185133333333334,0.5404,,0.8745599999999999,0.010779,0.3347,1.0968433333333334,0.88383,1.3927550000000002,0.003685,,,3.0821,,3.0821,,,,,3.33985,5.2562,4.19695,
0,648,2,1,,,,,,,,,,1.3396,1.4416,,0.4125399999999999,0.54845,0.6843600000000001,1.1098833333333333,,,0.70378,1.2523,0.17632000000000003,0.1116,,,,0.24265,,,,,,,,,0.048497
1,831,1,1,,0.04088,,,,,,,,,,,,,,0.34958,0.47038,1.0005,1.0005,,0.53077,0.1751,,,0.3026,1.0609,,,0.7388100000000001,,,,,,
3,353,2,1,,0.72633,0.21524,1.4686,1.1299,1.0082499999999999,1.1887,0.6066699999999999,0.6756300000000001,0.24566,,,,,0.6736,0.59856,,,,,,0.22538,,,,,,,,,,,,,
1,142,2,1,0.4136080000000001,0.033868,0.12278,0.274268,0.8699100000000001,0.18107239999999997,0.167488,0.3354372,0.10024500000000003,1.2469683333333332,0.8335,1.727,2.0836511428571427,2.621633333333333,,2.0533,0.664925,1.023675,0.3466125,0.295176,0.17359042857142856,0.4413899999999999,,,,,3.74318,,,0.9082,,3.6742060000000003,0.090674,5.8325,3.87695
1,713,1,1,0.40495,0.3277133333333333,,1.2799,,0.51215,1.22626,1.4666,0.048752,4.6136,3.6591,2.46431325,,3.4251,1.8816,3.57435,-0.05845499999999999,3.5339199999999997,,2.4972,2.4937,0.7231,,,,,1.0793,,5.7513,,,,-0.1345299999999999,-0.079202,1.4406534999999998
2,80,2,2,0.61552,0.41620933333333326,,,0.50598,0.092328,,0.61036,,0.79078,0.914465,1.4763,0.70057,,,0.6172366666666667,-0.33679,0.757275,0.17609,-0.0902922857142857,0.6211133333333333,0.85521,,,4.5111,1.216,,5.8474,,6.5575,,,,,2.6039
1,233,1,1,1.6103,,,,2.0539,2.052,0.46031,,,1.305035,,,0.46031,0.6411100000000001,2.0045,,,0.56109,1.407315,,1.4414,0.93158,,,,,1.1005,1.6429,,,,,,2.2446,
