200kb name,genes,overlap_pct,gene,chrom_id,200kb bin
chr1-g16,"['Xkr4', 'Xkr4', 'Xkr4', 'Xkr4', 'Xkr4', 'Xkr4', 'Xkr4', 'Xkr4']","[0.42076, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Xkr4,1,16
chr1-g17,"['Xkr4', 'Xkr4', 'Xkr4', 'Xkr4', 'Xkr4', 'Xkr4', 'Xkr4', 'Xkr4']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Xkr4,1,17
chr1-g18,"['Xkr4', 'Xkr4', 'Xkr4']","[1.0, 1.0, 0.85992]",Xkr4,1,18
chr1-g32,"['St18', 'St18', 'St18', 'St18', 'St18']","[0.5108, 1.0, 1.0, 1.0, 1.0]",St18,1,32
chr1-g33,"['St18', 'St18', 'St18', 'St18', 'St18', 'St18', 'St18', 'St18']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",St18,1,33
chr1-g34,"['St18', 'St18', 'St18']","[1.0, 1.0, 0.4376]",St18,1,34
chr1-g41,"['Sntg1', 'Sntg1']","[0.61048, 1.0]",Sntg1,1,41
chr1-g42,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Sntg1,1,42
chr1-g43,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Sntg1,1,43
chr1-g44,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Sntg1,1,44
chr1-g45,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Sntg1,1,45
chr1-g46,"['Sntg1', 'Sntg1', 'Sntg1', 'Sntg1']","[1.0, 1.0, 1.0, 0.99508]",Sntg1,1,46
chr1-g51,"['Cpa6', 'Cpa6', 'Cpa6', 'Cpa6']","[0.01128, 1.0, 1.0, 1.0]",Cpa6,1,51
