fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g179,chr7-g180,chr7-g181,chr7-g182,chr7-g183,chr7-g184,chr7-g185,chr7-g186,chr7-g187,chr7-g188,chr7-g189,chr7-g190,chr7-g191,chr7-g192,chr7-g193,chr7-g194,chr7-g195,chr7-g196,chr7-g197,chr7-g198,chr7-g199,chr7-g200,chr7-g201,chr7-g202,chr7-g203,chr7-g204,chr7-g205,chr7-g206,chr7-g207,chr7-g208,chr7-g209,chr7-g210,chr7-g211,chr7-g212,chr7-g213,chr7-g214,chr7-g215,chr7-g216,chr7-g217,chr7-g218,chr7-g219,chr7-g220,chr7-g221,chr7-g222,chr7-g223,chr7-g224,chr7-g225,chr7-g226,chr7-g227,chr7-g228,chr7-g229,chr7-g230,chr7-g231,chr7-g232,chr7-g233,chr7-g234,chr7-g235,chr7-g236,chr7-g237,chr7-g238,chr7-g239,chr7-g240,chr7-g241,chr7-g242
2,18,1,1,,,,,,,0.49649,,-0.35454,,-0.019657,0.038717,,,,,,,-0.32381,,-0.24393,-0.101071,-0.075724,-0.16405,-0.14767,,,0.1370299999999999,-0.047307,,,,-0.38219,,-0.30845,-0.6433300000000001,-0.36375,-0.66791,,-0.6633,,,,,,-0.33303,,,,,,,-0.36683,-0.054989999999999956,,,,,-0.29616,0.16775,0.115525,-0.25315,-0.52505,-0.35146
0,190,1,2,,1.4331,2.2551,,3.6422,,,1.7316,3.1896,,4.2098,,4.898833333333333,6.7736,,,1.7512,,,2.1132,,,,1.8343,,,,,,-0.30139,,,,,,,,,,,,,,,0.21236,,,0.13897,-0.2231,-0.4163699999999999,,,0.39584,0.32550375,0.457,,,,5.022,5.2202,,,,0.37871
3,157,2,3,,,,,,,,,,,,,,,,,,,,,,-0.25453,,,,-0.26218,,-0.24994,-0.31115,,,-0.24535,-0.34176,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.096908,,,
1,94,1,2,,,,-0.48383,,,,,,,,,,,,,,,0.2159,,,,,-0.342155,,-0.40991,-0.040336,,,,,-0.3088955,-0.25223,-0.49615,-0.18324,,,,,,,,,,,,,,,,0.18387,,,,,,,,,,,,,
2,210,2,3,,,,,,,,,,-0.41798,-0.69558,-0.13032,,,,,,,-0.4682699999999999,,-0.19067,,-0.1584799999999999,-0.41496500000000003,-0.24498,-0.071984,0.0507265,,,,,-0.15143999999999996,-0.001578,,,,-0.6171300000000001,-0.27516,,,,,,,,,,,-0.3355045,,-0.6251800000000001,,-0.58897,,,,-0.11423,,-0.13837,,,,-0.25705,
0,89,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,181,2,2,,,,,,,,,,,,,,,,,,,,0.13702,,0.073292,,,,,,,0.037123,-0.011103,,,,,-0.15406,,,,,-0.23156,,,,,,,,,,,,,,,,,,,,,,,,
1,194,1,1,,-0.14176,-0.1015399999999999,-0.6332300000000001,,-0.378555,,,,,,,0.7816166666666667,,,,,,,0.60439,,0.3061545,,0.21121,,,,,0.16653500000000002,,0.014622,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27579,,0.12185,-0.021120499999999993,,
1,81,1,2,,,,,,,,,,,,,0.08953199999999994,,,,,,0.43417,,,,0.43417,,,,,,0.16562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,2,2,-0.156085,-0.09764233333333333,-0.2477599999999999,-0.40378,0.0648073333333333,0.114134,0.007439000000000001,0.009585,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17204,,,,,,,0.0465779999999999,,,,,,,-0.24455,,,-0.20755,-0.28154,,,,-0.62253,,,,,,0.29749,0.054621
1,142,2,3,-0.099505,,-0.16372,,-0.1655755,,,,,,,,,,,,,,-0.218675,,,,,,0.15366,,,,0.2117,,,,,,,,,,,-0.16125,,,,,,,,,,,,,,,,,,,,,,,,
1,77,2,1,,,,-0.3259,1.1478,1.346,0.07354,,,0.9234887500000001,0.680275,1.032805,0.96018,1.0408633333333333,1.173505,,,,1.0419,,-0.16855,0.725645,0.760455,1.00919,1.19823,-0.97348,,,,,,,,,,1.21585,0.4295966666666667,,,1.5351,0.1280099999999999,,,,,0.2853699999999999,,0.77559,,0.8119,,0.63942,,,0.591,0.67119,2.8121,,,,,2.43695,2.05865,0.35192499999999993
0,89,2,2,,-0.34514,-0.089144,,,,,,,,0.001521,,,,,,,-0.012701,-0.17981,,,0.0548539999999999,0.067298,,,,,,,0.5099600000000001,0.2824,0.34996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
