fov,cellID,rep,dbscan_ldp_nbr_allele,chr19-g165,chr19-g166,chr19-g167,chr19-g168,chr19-g169,chr19-g170,chr19-g171,chr19-g172,chr19-g173,chr19-g174,chr19-g175,chr19-g176,chr19-g177,chr19-g178,chr19-g179,chr19-g180,chr19-g181,chr19-g182,chr19-g183,chr19-g184,chr19-g185,chr19-g186,chr19-g187,chr19-g188,chr19-g189,chr19-g190,chr19-g191,chr19-g192,chr19-g193,chr19-g194,chr19-g195,chr19-g196,chr19-g197,chr19-g198,chr19-g199,chr19-g200,chr19-g201,chr19-g202,chr19-g203,chr19-g204,chr19-g205,chr19-g206,chr19-g207,chr19-g208,chr19-g209,chr19-g210,chr19-g211,chr19-g212,chr19-g213,chr19-g214,chr19-g215,chr19-g216,chr19-g217,chr19-g218,chr19-g219,chr19-g220,chr19-g221,chr19-g222,chr19-g223,chr19-g224,chr19-g225,chr19-g226,chr19-g227,chr19-g228,chr19-g229
3,157,2,4,-0.18241,,,-0.48175,,-0.34143,,-0.48175,-0.2011195,-0.2011185,-0.23854,-0.29934,,-0.42562,-0.2666,-0.098224,,,,,,,,,,,,,,,,,,,,,,,0.10757,,,,,,,,,,,,,,,,,,,1.108465,,,,,,,
1,98,1,1,,,,,,,,,,,,,,-0.18316,,,-0.99253,,,,,,,,,,-1.1061,-0.33225,0.264115,-0.1902599999999999,-1.1984,,-1.0777,,0.1185715,,-0.9380866666666666,,,-0.27900499999999995,-1.2268,-1.2765,,,-0.43875,,,,-0.083767,-0.303855,,,-0.94993,0.47355,1.453295,0.48777499999999996,-0.54525,,,,,-0.64464,,,-0.6967066666666666
2,603,2,1,-0.31754,,,,2.3006,0.8025899999999999,0.1053193333333333,,0.33025,0.41122,0.8835865,0.9555533333333334,1.3784166666666666,,1.241215,,0.046842,0.10082,,,,,,1.5044,0.1683,1.7248,,,1.4639,0.8430865000000001,,,,,-0.41201,0.22228,-0.5919433333333334,-0.33103499999999997,0.17504999999999998,0.060337,-0.41201,-0.14209666666666668,-0.5604566666666666,,0.1683,,,,,,,,,,,-0.03863333333333333,,-0.91134,,,-0.61444,,,,
3,718,2,1,1.7299,,,,0.264314,0.7576,,,,,0.55742,1.535396,1.072145,8.2641,2.9166000000000003,,,,1.2294,2.3518,,2.9881,2.06585,,,2.89515,-0.21467333333333335,,2.2017,0.35725999999999997,0.91487,-0.42199400000000004,-0.7579799999999999,-0.436265,-1.0726,0.1427733333333334,1.7442,,0.7433,1.9157,,,,0.37155,,,,,0.854824,0.60747,0.46091249999999995,0.17138,,,,-0.5864199999999999,-0.715094,-0.78659,-1.1011,-0.8866799999999999,-0.94387,-0.4934845,,,
3,28,2,1,,,,,,,,,,,,1.1528,,,,,,,,,,,,,,,,-0.19835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,89,2,3,0.3321799999999999,,,-0.15963,,,,,,,,,,,,,,1.0408,1.2101,0.44587999999999994,,,-0.008037000000000016,,,,,0.55958,,,,,,,,,,,,0.61247,,0.40093,,-0.313,0.1153599999999999,,,,0.3268966666666666,0.7499600000000001,,1.2735,0.53314,,,,,,,,,,,,
1,713,1,1,,,,0.035884,,,,0.255675,0.91505,0.40744,0.73712,,,,,0.6481650000000001,,0.25568,1.093,0.60106,,,,,,,,,0.47547,,,,,0.53827,,,,,1.3128,,,0.78946,,0.11961,0.64293,,-0.3409,-0.28857099999999997,-0.3095,-0.4665,-0.3409,-0.241473,,,,-0.5293,,,,,,,-0.05831499999999995,,
0,55,2,1,-0.111062,0.186715,0.19839,,0.046585,-0.11105999999999998,0.48155,0.011553,,,,,,,,,,0.2991095,0.8873700000000001,,0.20423,-0.1227395,,0.06994,1.6055,,-0.31542,1.036235,,1.277095,3.1061,0.70053,0.70053,,1.7807,,,,,0.68011,-0.222,-1.2438,0.64798,,,,,0.56623,0.20423,-0.49642,0.014472,-0.03808,-0.07252679999999997,-0.56065,,,0.5604,,,,,,,-0.0877059999999999,
2,711,2,1,,-1.2411,,,,-1.0682099999999999,,,-0.7357600000000001,,-0.60278,,-0.436555,-0.8975483333333333,-0.350105,-0.70916,,0.86,,,,,,,,,0.235,,1.5249,,,,,,1.5249,,2.2563,,,-1.00173,-1.1879,-1.3342,,-1.281,,,,,,,,,,,,,,,,,-0.17724,-0.20384000000000002,,-1.2544,-0.97513
3,27,2,1,,,,,0.2406,,,,,,1.1553,,,,1.2577,,,,,,,,,,1.2031,,1.14505,,,,,,,,,,,,,,,,0.015338,,,,,,,,,,,,,,,,0.50681,,,,,,
