200kb name,category,Bergmann_mean,MLI1_mean,gene,chrom,chrom_id,group,log2FC_B2M
chr1-g16,MLI1,0.6463674284747912,53.151513742875544,Xkr4,chr1,1,16,-6.361612469609911
chr1-g17,MLI1,0.6463674284747912,53.151513742875544,Xkr4,chr1,1,17,-6.361612469609911
chr1-g18,MLI1,0.6463674284747912,53.151513742875544,Xkr4,chr1,1,18,-6.361612469609911
chr1-g41,MLI1,0.8091200900252281,22.76571315132746,Sntg1,chr1,1,41,-4.8143649991388395
chr1-g42,MLI1,0.8091200900252281,22.76571315132746,Sntg1,chr1,1,42,-4.8143649991388395
chr1-g43,MLI1,0.8091200900252281,22.76571315132746,Sntg1,chr1,1,43,-4.8143649991388395
chr1-g44,MLI1,0.8091200900252281,22.76571315132746,Sntg1,chr1,1,44,-4.8143649991388395
chr1-g45,MLI1,0.8091200900252281,22.76571315132746,Sntg1,chr1,1,45,-4.8143649991388395
chr1-g46,MLI1,0.8091200900252281,22.76571315132746,Sntg1,chr1,1,46,-4.8143649991388395
chr1-g54,Bergmann,61.932191639680624,0.08626988433064237,Prex2,chr1,1,54,9.487616763688342
chr1-g55,Bergmann,61.932191639680624,0.08626988433064237,Prex2,chr1,1,55,9.487616763688342
chr1-g56,Bergmann,61.932191639680624,0.08626988433064237,Prex2,chr1,1,56,9.487616763688342
chr1-g63,Bergmann,7.883448510031052,0.07791329204352763,Sulf1,chr1,1,63,6.660813571622742
chr1-g64,Bergmann,7.883448510031052,0.07791329204352763,Sulf1,chr1,1,64,6.660813571622742
chr1-g70,Bergmann,1.042835972658409,0.05,Eya1,chr1,1,70,4.382440349540884
chr1-g71,Bergmann,1.042835972658409,0.05,Eya1,chr1,1,71,4.382440349540884
chr1-g84,MLI1,0.05,3.0288912579431067,Jph1,chr1,1,84,-5.920717878883199
chr1-g85,"MLI1,MLI1",0.14790258658403774,5.213036878814064,"Jph1,Gdap1",chr1,1,85,-5.139404877848922
chr1-g96,MLI1,0.022687290631621875,10.089521642974782,Tfap2b,chr1,1,96,-8.796757731384776
chr1-g104,Bergmann,29.155254643557093,1.6222246883151035,Paqr8,chr1,1,104,4.167710362553916
chr1-g106,MLI1,0.35891843732294276,4.785519961424259,Kcnq5,chr1,1,106,-3.736947746330209
chr1-g107,MLI1,0.35891843732294276,4.785519961424259,Kcnq5,chr1,1,107,-3.736947746330209
chr1-g108,MLI1,0.35891843732294276,4.785519961424259,Kcnq5,chr1,1,108,-3.736947746330209
chr1-g109,MLI1,0.35891843732294276,4.785519961424259,Kcnq5,chr1,1,109,-3.736947746330209
chr1-g118,MLI1,0.28457932528712004,2.0842021474883214,B3gat2,chr1,1,118,-2.8725924530312765
chr1-g119,MLI1,0.28457932528712004,2.0842021474883214,B3gat2,chr1,1,119,-2.8725924530312765
chr1-g160,MLI1,0.12967572093708374,4.6461961689654725,Khdrbs2,chr1,1,160,-5.163069772501218
chr1-g161,MLI1,0.12967572093708374,4.6461961689654725,Khdrbs2,chr1,1,161,-5.163069772501218
chr1-g162,MLI1,0.12967572093708374,4.6461961689654725,Khdrbs2,chr1,1,162,-5.163069772501218
chr1-g163,MLI1,0.12967572093708374,4.6461961689654725,Khdrbs2,chr1,1,163,-5.163069772501218
chr1-g169,MLI1,0.23860481263612374,6.6231068920099885,Bend6,chr1,1,169,-4.794813094982469
chr1-g182,MLI1,0.18099265115563462,2.2656307609772774,Cnnm3,chr1,1,182,-3.6459097325953063
chr1-g263,MLI1,0.05517587023799925,0.8422803289918793,Mfsd6,chr1,1,263,-3.932191089030216
chr1-g269,MLI1,0.10379671607541338,10.474847041072605,Hecw2,chr1,1,269,-6.657024566527121
chr1-g270,MLI1,0.10379671607541338,10.474847041072605,Hecw2,chr1,1,270,-6.657024566527121
chr1-g275,Bergmann,3.2954649308363253,0.07402096831524149,Rftn2,chr1,1,275,5.476404199121564
chr1-g276,Bergmann,3.2954649308363253,0.07402096831524149,Rftn2,chr1,1,276,5.476404199121564
chr1-g308,Bergmann,10.949551304304297,0.5529021651105112,Pard3b,chr1,1,308,4.307703720245836
chr1-g309,Bergmann,10.949551304304297,0.5529021651105112,Pard3b,chr1,1,309,4.307703720245836
chr1-g310,Bergmann,10.949551304304297,0.5529021651105112,Pard3b,chr1,1,310,4.307703720245836
chr1-g311,Bergmann,10.949551304304297,0.5529021651105112,Pard3b,chr1,1,311,4.307703720245836
chr1-g312,Bergmann,10.949551304304297,0.5529021651105112,Pard3b,chr1,1,312,4.307703720245836
chr1-g313,"Bergmann,MLI1",10.972238594935918,2.431098104604222,"Pard3b,Nrp2",chr1,1,313,2.1741778813059662
chr1-g314,MLI1,0.022687290631621875,1.8781959394937109,Nrp2,chr1,1,314,-6.371319437904478
chr1-g360,MLI1,0.05,0.9498697829891412,Mreg,chr1,1,360,-4.247729748904371
chr1-g361,"MLI1,MLI1",0.022687290631621875,2.215047348625256,"Mreg,Tmem169",chr1,1,361,-6.609309398445807
chr1-g362,MLI1,0.020938939657552374,4.36423167777137,March4,chr1,1,362,-7.703395493355074
chr1-g369,Bergmann,1.111500450029021,0.0357323901754825,Tns1,chr1,1,369,4.9591323017924145
chr1-g370,Bergmann,1.111500450029021,0.0357323901754825,Tns1,chr1,1,370,4.9591323017924145
chr1-g376,MLI1,0.06396368498150712,4.578207462234289,Ptprn,chr1,1,376,-6.161385974483924
