200kb name,category,Granule_mean,Bergmann_mean,gene,chrom,chrom_id,group,log2FC_G2B
chr1-g16,Granule,13.693955369364337,0.6463674284747912,Xkr4,chr1,1,16,4.405040905238597
chr1-g17,Granule,13.693955369364337,0.6463674284747912,Xkr4,chr1,1,17,4.405040905238597
chr1-g18,Granule,13.693955369364337,0.6463674284747912,Xkr4,chr1,1,18,4.405040905238597
chr1-g24,Bergmann,1.7898076451953302,12.453579094094493,Rgs20,chr1,1,24,-2.79868397383307
chr1-g25,Bergmann,1.7898076451953302,12.453579094094493,Rgs20,chr1,1,25,-2.79868397383307
chr1-g32,Granule,10.961785337793136,0.22870206019178752,St18,chr1,1,32,5.582869615993812
chr1-g33,Granule,10.961785337793136,0.22870206019178752,St18,chr1,1,33,5.582869615993812
chr1-g34,Granule,10.961785337793136,0.22870206019178752,St18,chr1,1,34,5.582869615993812
chr1-g54,Bergmann,0.19080269779078426,61.932191639680624,Prex2,chr1,1,54,-8.342464120445666
chr1-g55,Bergmann,0.19080269779078426,61.932191639680624,Prex2,chr1,1,55,-8.342464120445666
chr1-g56,Bergmann,0.19080269779078426,61.932191639680624,Prex2,chr1,1,56,-8.342464120445666
chr1-g57,Granule,0.8060310201619287,0.11766237944736864,A830018L16Rik,chr1,1,57,2.7761822452410034
chr1-g58,Granule,0.8060310201619287,0.11766237944736864,A830018L16Rik,chr1,1,58,2.7761822452410034
chr1-g63,Bergmann,0.13191354831311816,7.883448510031052,Sulf1,chr1,1,63,-5.90116220481954
chr1-g64,Bergmann,0.13191354831311816,7.883448510031052,Sulf1,chr1,1,64,-5.90116220481954
chr1-g70,Bergmann,0.0323562305898041,1.042835972658409,Eya1,chr1,1,70,-5.010324896800858
chr1-g71,Bergmann,0.0323562305898041,1.042835972658409,Eya1,chr1,1,71,-5.010324896800858
chr1-g76,Granule,13.831339440830025,0.181384094176926,Kcnb2,chr1,1,76,6.252749115586283
chr1-g77,Granule,13.831339440830025,0.181384094176926,Kcnb2,chr1,1,77,6.252749115586283
chr1-g78,Granule,13.831339440830025,0.181384094176926,Kcnb2,chr1,1,78,6.252749115586283
chr1-g84,Granule,8.19792829069494,0.05,Jph1,chr1,1,84,7.35718746530513
chr1-g85,"Granule,Granule",10.366298551496081,0.14790258658403774,"Jph1,Gdap1",chr1,1,85,6.1311097559885495
chr1-g104,Bergmann,3.3420179384976887,29.155254643557093,Paqr8,chr1,1,104,-3.124964541100352
chr1-g106,Bergmann,0.1360430669614876,0.6075257484409858,Tmem14a,chr1,1,106,-2.1588821192796748
chr1-g111,Granule,107.98170375366333,2.41979953569426,Rims1,chr1,1,111,5.47975554018502
chr1-g112,Granule,107.98170375366333,2.41979953569426,Rims1,chr1,1,112,5.47975554018502
chr1-g113,Granule,107.98170375366333,2.41979953569426,Rims1,chr1,1,113,5.47975554018502
chr1-g114,Granule,107.98170375366333,2.41979953569426,Rims1,chr1,1,114,5.47975554018502
chr1-g118,Granule,1.1391507101738458,0.28457932528712004,B3gat2,chr1,1,118,2.001055870041308
chr1-g119,Granule,1.1391507101738458,0.28457932528712004,B3gat2,chr1,1,119,2.001055870041308
chr1-g121,Granule,3.5168552003453213,0.13303903110762025,Col19a1,chr1,1,121,4.724364463955468
chr1-g122,Granule,3.5168552003453213,0.13303903110762025,Col19a1,chr1,1,122,4.724364463955468
chr1-g160,Granule,1.8805033280327086,0.12967572093708374,Khdrbs2,chr1,1,160,3.858138564045165
chr1-g161,Granule,1.8805033280327086,0.12967572093708374,Khdrbs2,chr1,1,161,3.858138564045165
chr1-g162,Granule,1.8805033280327086,0.12967572093708374,Khdrbs2,chr1,1,162,3.858138564045165
chr1-g163,Granule,1.8805033280327086,0.12967572093708374,Khdrbs2,chr1,1,163,3.858138564045165
chr1-g169,Granule,10.942962360057273,0.23860481263612374,Bend6,chr1,1,169,5.519236389181374
chr1-g181,Bergmann,0.0759252247642483,0.6167944237785784,Arid5a,chr1,1,181,-3.022138543038392
chr1-g182,Granule,1.81421360586222,0.18099265115563462,Cnnm3,chr1,1,182,3.32534130319578
chr1-g187,Granule,2.4975871165007653,0.22254022070745175,Mgat4a,chr1,1,187,3.4883969908792953
chr1-g193,Granule,1.9051127618722488,0.4968366833221814,Lonrf2,chr1,1,193,1.9390327898303872
chr1-g194,Granule,1.9051127618722488,0.4968366833221814,Lonrf2,chr1,1,194,1.9390327898303872
chr1-g195,Bergmann,0.3247929417918332,1.769617709032667,Npas2,chr1,1,195,-2.4458455420077265
chr1-g196,"Bergmann,Granule",3.4160029987272935,2.077761592684737,"Npas2,Tbc1d8",chr1,1,196,0.7172791159517645
chr1-g197,Granule,3.09121005693546,0.30814388365207,Tbc1d8,chr1,1,197,3.3264956325050137
chr1-g200,Granule,0.7305311343922918,0.07583902712744313,Gm16894,chr1,1,200,3.26793339793912
chr1-g213,"Bergmann,Bergmann",0.22390458115126327,3.821289501551351,"Pantr1,Pou3f3",chr1,1,213,-4.093103609105845
chr1-g226,Bergmann,0.06661902665369082,1.6111629877865992,Col5a2,chr1,1,226,-4.596024361030351
chr1-g227,Bergmann,0.06661902665369082,1.6111629877865992,Col5a2,chr1,1,227,-4.596024361030351
chr1-g230,Bergmann,0.1715257315629944,4.392158647946266,Dnah7b,chr1,1,230,-4.678433241733141
chr1-g231,Bergmann,0.1715257315629944,4.392158647946266,Dnah7b,chr1,1,231,-4.678433241733141
chr1-g254,Granule,16.64570825176125,1.3981379131577027,Tmeff2,chr1,1,254,3.573571675309376
chr1-g255,Granule,16.64570825176125,1.3981379131577027,Tmeff2,chr1,1,255,3.573571675309376
chr1-g260,"Granule,Granule",12.722856642360437,1.2861752522663672,"Stat1,Gls",chr1,1,260,3.306263492384792
chr1-g261,Granule,11.97815692126365,1.207678678123505,Gls,chr1,1,261,3.3100973785888375
chr1-g262,Granule,2.25567611265605,0.40107410089767537,Nab1,chr1,1,262,2.4916192161778494
chr1-g263,Granule,2.2451060707029122,0.05517587023799925,Mfsd6,chr1,1,263,5.346602317927241
chr1-g265,Granule,1.8429047908882463,0.32556349932538237,Pms1,chr1,1,265,2.5009706741433697
chr1-g266,Granule,1.8429047908882463,0.32556349932538237,Pms1,chr1,1,266,2.5009706741433697
chr1-g268,Bergmann,0.03736779987990324,0.33418138641709016,Stk17b,chr1,1,268,-3.1607638497533572
chr1-g269,Granule,14.217147156112874,0.10379671607541338,Hecw2,chr1,1,269,7.097727389051356
chr1-g270,Granule,14.217147156112874,0.10379671607541338,Hecw2,chr1,1,270,7.097727389051356
chr1-g272,Granule,1.8725716415819915,0.38530600621613237,Pgap1,chr1,1,272,2.2809443346707
chr1-g275,Bergmann,0.047383863123585133,3.2954649308363253,Rftn2,chr1,1,275,-6.119942383912618
chr1-g276,Bergmann,0.047383863123585133,3.2954649308363253,Rftn2,chr1,1,276,-6.119942383912618
chr1-g277,Bergmann,1.8153690490601126,7.703800792703338,Plcl1,chr1,1,277,-2.0853075323568624
chr1-g278,Bergmann,1.8153690490601126,7.703800792703338,Plcl1,chr1,1,278,-2.0853075323568624
chr1-g292,Granule,4.080196438476974,0.7533088468919891,Fam126b,chr1,1,292,2.437325233892871
chr1-g295,Granule,12.752314357948375,0.7944012329758366,Als2,chr1,1,295,4.004747426553767
chr1-g296,Granule,12.752314357948375,0.7944012329758366,Als2,chr1,1,296,4.004747426553767
chr1-g308,Bergmann,0.40965603262566586,10.949551304304297,Pard3b,chr1,1,308,-4.740314881181716
chr1-g309,Bergmann,0.40965603262566586,10.949551304304297,Pard3b,chr1,1,309,-4.740314881181716
chr1-g310,Bergmann,0.40965603262566586,10.949551304304297,Pard3b,chr1,1,310,-4.740314881181716
chr1-g311,Bergmann,0.40965603262566586,10.949551304304297,Pard3b,chr1,1,311,-4.740314881181716
chr1-g312,Bergmann,0.40965603262566586,10.949551304304297,Pard3b,chr1,1,312,-4.740314881181716
chr1-g313,Bergmann,0.40965603262566586,10.949551304304297,Pard3b,chr1,1,313,-4.740314881181716
chr1-g317,Granule,6.270701873346027,0.7711110280018618,Adam23,chr1,1,317,3.0236164255986075
chr1-g325,Bergmann,0.07518102944736044,1.2726119009396308,Idh1,chr1,1,325,-4.081280037811704
chr1-g332,Granule,15.257494452762824,3.2332068659501845,Unc80,chr1,1,332,2.238480344327383
chr1-g333,Granule,15.257494452762824,3.2332068659501845,Unc80,chr1,1,333,2.238480344327383
chr1-g347,Bergmann,1.1503854770330957,5.845999938605544,Ikzf2,chr1,1,347,-2.3453324461980776
chr1-g348,Bergmann,1.1503854770330957,5.845999938605544,Ikzf2,chr1,1,348,-2.3453324461980776
chr1-g349,Bergmann,0.35622324498523794,2.055879833354007,Spag16,chr1,1,349,-2.528902374921179
chr1-g360,Granule,1.367067461041147,0.05,Mreg,chr1,1,360,4.773012532643404
chr1-g361,"Granule,Granule",2.064348619888788,0.022687290631621875,"Mreg,Tmem169",chr1,1,361,6.507658489002774
