fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g404,chr7-g405,chr7-g406,chr7-g407,chr7-g408,chr7-g409,chr7-g410,chr7-g411,chr7-g412,chr7-g413,chr7-g414,chr7-g415,chr7-g416,chr7-g417,chr7-g418,chr7-g419,chr7-g420,chr7-g421,chr7-g422,chr7-g423,chr7-g424,chr7-g425,chr7-g426,chr7-g427,chr7-g428,chr7-g429,chr7-g430,chr7-g431,chr7-g432,chr7-g433,chr7-g434,chr7-g435,chr7-g436,chr7-g437,chr7-g438,chr7-g439,chr7-g440,chr7-g441,chr7-g442,chr7-g443,chr7-g444,chr7-g445,chr7-g446,chr7-g447,chr7-g448,chr7-g449,chr7-g450,chr7-g451,chr7-g452,chr7-g453,chr7-g454,chr7-g455,chr7-g456,chr7-g457,chr7-g458,chr7-g459,chr7-g460,chr7-g461,chr7-g462,chr7-g463,chr7-g464,chr7-g465,chr7-g466
3,455,2,1,2.0834,0.577365,0.17356,,3.2730499999999996,,,,,,,,,,,,,,,,-0.95054,0.37001,,,-0.6231300000000001,0.50097,-0.011969,0.009858,,,,,-0.14293,-0.14293,,,,-0.066538,,,,,,,,-0.15385,,,,-0.50308,-0.16476,0.65376,,0.9266,,-0.4376,,,,,,,
1,612,2,1,,,,,,,,,,,,-0.13161,,-1.1566,,,,,,,,,-0.7570399999999999,,,,,,,-0.34008,,,,,,,,,,,-0.87865,,,-1.2609,-1.1219,,-1.1045,,,,,-0.79178,-0.9655266666666665,,,,,,,-0.8265299999999999,,,
2,181,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.97406,,,,,,,,,,,,,,,,,,,,,,,,,-0.82075,,
1,144,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.83352,,-0.7775400000000001,,,,,,,,,,,,,-0.41678666666666664,0.080804,,,-0.32038,-0.3577,-0.7962,,,,,,
0,5,2,1,,,,,-0.7722600000000001,,,,,,,-0.81886,,,-0.7909,,,,,,,,,,,,,,-0.5625899999999999,,,,,,-0.54861,-0.0780049999999999,,-0.49735,0.8305899999999999,,-0.36689,,,,,,,,,,,,,,,,,,,,,,
3,937,2,1,,,,,,0.8364799999999999,,0.5831916666666667,0.22274266666666667,0.17159825,,,,,0.3542599999999999,,-0.2887,0.52961,,1.494,0.8437600000000001,,0.500385,0.8364799999999999,1.494,0.90954,0.54422,,,,0.5223,,,,,,,,0.32503,0.43706533333333336,,0.346955,0.48577000000000004,0.45655,0.29581,,0.47116,,0.7195699999999999,-0.376375,-0.025672,1.421,,0.73419,,,,,,,,0.69035,0.20326
1,94,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71637,,,,,,,,,,,,,,,,,,1.0105,1.0177,,,,,,,,,,,0.55138,,,,,
0,55,2,1,,,,,,,,,,,,,,,,,,,,,-0.37381,,,-0.51977,,,,-0.63655,,0.4261,0.516605,,,,,,,,,,,,,,,,-0.71245,,,,-0.48357520000000004,-0.73289,,,,-0.7007800000000001,,,,,,,
1,94,1,3,,-0.42422,-0.63942,0.042057,,-0.3273775,,-0.38118,-0.42278399999999994,-0.30944499999999997,-0.287925,-0.5461699999999999,,-0.650185,,,,,-0.051199999999999996,,-0.162385,,0.02771,0.28596,,,0.28237,-0.4027,0.00619,-0.2090199999999999,-0.2090199999999999,,-0.2090199999999999,-0.21619,-0.4600899999999999,,,,,,,,,,,,,,,,,,-0.431393,-0.729095,-0.8833200000000001,,-0.76855,-0.32379,-0.37401,,-0.32379,-0.48878,
0,99,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.395,-1.3371,,,,,,,,,,-0.95667,,-1.1056,-0.692,,,,,,,,-1.1965,-0.6837300000000001,-1.1138,,,-0.49349,,
2,230,2,3,,,,,,,,-0.55281,-0.66995,,,-0.552805,,,,,,,,,,0.7797449999999999,0.98963,0.81392,,0.8269333333333334,0.5112800000000001,,,,0.70653,-0.504,-0.33803500000000003,-0.59186,-0.46495,,,,0.5112800000000001,,0.21841,,,,,,,,,-0.59186,,,,,,,,,,,,-0.20461666666666667,
2,210,2,3,,,,-1.164,,,,,,-1.4883,,-0.29155,,,,,,,,,-0.43695,,,-0.6271,-0.42577,-0.30272999999999994,,,,,0.18941,-0.08462350000000005,0.41310500000000006,,-0.10886033333333334,0.1223,-0.06785,0.70392,,,,,,,,,,,,,,,,,,,,,-0.079033,,,,
1,142,2,2,,,,,-0.007883,,,,,-0.2117099999999999,,,,,,,,,,,,,,,,-1.0066,-1.027,,,,-0.08262,0.42016,,0.2299199999999999,0.2299199999999999,,,,,,,,,,,-0.014677,-0.28645,-0.42573,-0.40648,-0.4631,-0.4970699999999999,,-0.36798,-0.7076899999999999,-0.52425,-0.4970699999999999,,,,,,,
0,55,2,2,,,,,-0.44387,,,-0.16653,-0.23951,,,-0.076029,,,,,-0.45555,,,,-0.59957,-0.56065,-0.53145,,,,,,-0.01472000000000001,0.63046,,-0.35629,-0.5081,,,-0.6044350000000001,-0.27455,,-0.3446099999999999,-0.3446099999999999,-0.27455,,-0.14025,-0.30374,-0.11106,,-0.3193066666666666,-0.27746499999999996,-0.3679699999999999,-0.41468,-0.22492,-0.029319,-0.017641,-0.40884,0.05388400000000002,-0.07018975,-0.18404499999999996,-0.076029,,-0.12858,-0.13442,0.15752,
2,578,2,1,,,,,1.082015,1.14725,,,1.3430149999999998,0.37878,,,,,-0.39698,,0.29903,,,0.7992600000000001,0.35703,0.11052,-0.0634779999999999,,,,0.081524,0.22652499999999998,0.71952,0.202361,0.56728,0.47303,3.68485,2.7061,1.7635,2.213,,1.5653333333333332,,0.79203,1.517,,,,,,,,,0.009023,,-0.57098,-0.5999800000000001,,,-0.15048,,,,-0.45498,,,
