fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g170,chr7-g171,chr7-g172,chr7-g173,chr7-g174,chr7-g175,chr7-g176,chr7-g177,chr7-g178,chr7-g179,chr7-g180,chr7-g181,chr7-g182,chr7-g183,chr7-g184,chr7-g185,chr7-g186,chr7-g187,chr7-g188,chr7-g189,chr7-g190,chr7-g191,chr7-g192,chr7-g193,chr7-g194,chr7-g195,chr7-g196,chr7-g197,chr7-g198,chr7-g199,chr7-g200,chr7-g201,chr7-g202,chr7-g203,chr7-g204,chr7-g205,chr7-g206,chr7-g207,chr7-g208,chr7-g209,chr7-g210,chr7-g211,chr7-g212,chr7-g213,chr7-g214,chr7-g215,chr7-g216,chr7-g217,chr7-g218,chr7-g219,chr7-g220,chr7-g221,chr7-g222,chr7-g223,chr7-g224
2,30,1,1,4.32895,-0.15258,-1.5442,-1.5442,0.35758500000000004,0.86225,,1.2720500000000001,,0.49372,0.07155999999999998,0.008307499999999995,0.342461,-0.04737750000000002,2.3171,0.09402166666666667,,,,,,,3.0184,,,,,,,-1.5442,,,,,,,,,,,,6.657,3.6744,2.9503749999999997,4.6741,,3.7693,,,-0.17321,-0.25434,-0.32035,,-0.064575,-0.3286
1,53,1,3,,,,,,,,,,-0.75026,,,,,,,-0.81043,,,,,,,,,-0.6391899999999999,,,-0.7086100000000001,-0.73407,,-0.73407,-0.663485,,,,,,,,,,,,,,,,,,,,-0.44943,,-0.4772
2,730,2,1,,,,,0.17377,,,0.17377,,-0.012053500000000002,0.09467333333333333,0.24238,0.6140300000000001,0.1709099999999999,0.5254,,0.1594799999999999,0.15662,,1.2144,,,,,,,,-0.39513,,,2.5437,-0.418,,,,,,1.508845,3.5871750000000002,1.6432,3.1069,2.5209,,,,,,-0.0091939999999999,,,,,,,-0.59525
2,210,2,3,,,,,-0.5769,,,,,,,,,,,,,,-0.41798,-0.69558,-0.13032,,,,,,,-0.4682699999999999,,-0.19067,,-0.1584799999999999,-0.41496500000000003,-0.24498,-0.071984,0.0507265,,,,,-0.15143999999999996,-0.001578,,,,-0.6171300000000001,-0.27516,,,,,,,,
2,18,1,1,,,,,,,,,,,,,,,,0.49649,,-0.35454,,-0.019657,0.038717,,,,,,,-0.32381,,-0.24393,-0.101071,-0.075724,-0.16405,-0.14767,,,0.1370299999999999,-0.047307,,,,-0.38219,,-0.30845,-0.6433300000000001,-0.36375,-0.66791,,-0.6633,,,,,,-0.33303
1,94,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24484,-0.3039699999999999,,,,,,,,,,,,,,,,,,,,,,,,
1,142,2,3,,,-0.29709,-0.20940999999999996,0.053627,,,-0.0130599999999999,-0.1217299999999999,-0.099505,,-0.16372,,-0.1655755,,,,,,,,,,,,,,-0.218675,,,,,,0.15366,,,,0.2117,,,,,,,,,,,-0.16125,,,,,,
2,792,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1704099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,2,1,4.234366666666667,1.8287,0.73177,0.52589,,0.14468999999999999,0.14898216666666667,0.71488,,0.35057,1.5714,0.31036233333333335,0.7896700000000001,0.1245885,1.1403266666666665,1.9968,1.03575,,0.55645,1.2239,,,,,,,,,-0.1030099999999999,,0.1093099999999999,,,,1.0277,1.277,,,2.1976,1.998572,2.04266,,,1.8335,2.144,2.076025,1.9370266666666665,2.7005,,1.42017,0.4216634,-0.21237866666666663,,-0.1786,-0.20513999999999996
0,89,2,2,,,,,,,,,,,-0.34514,-0.089144,,,,,,,,0.001521,,,,,,,-0.012701,-0.17981,,,0.0548539999999999,0.067298,,,,,,,0.5099600000000001,0.2824,0.34996,,,,,,,,,,,,,,
3,157,2,2,-0.06783,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1709,-0.0012599999999999972,-0.01886033333333333,,,,,,,,,,,,,,,,,,,,,,,,
