fov,cellID,rep,dbscan_ldp_nbr_allele,chr11-g340,chr11-g341,chr11-g342,chr11-g343,chr11-g344,chr11-g345,chr11-g346,chr11-g347,chr11-g348,chr11-g349,chr11-g350,chr11-g351,chr11-g352,chr11-g353,chr11-g354,chr11-g355,chr11-g356,chr11-g357,chr11-g358,chr11-g359,chr11-g360,chr11-g361,chr11-g362,chr11-g363,chr11-g364,chr11-g365,chr11-g366,chr11-g367,chr11-g368,chr11-g369,chr11-g370,chr11-g371,chr11-g372,chr11-g373,chr11-g374,chr11-g375,chr11-g376,chr11-g377,chr11-g378,chr11-g379,chr11-g380,chr11-g381,chr11-g382,chr11-g383,chr11-g384,chr11-g385,chr11-g386,chr11-g387,chr11-g388,chr11-g389,chr11-g390,chr11-g391,chr11-g392,chr11-g393,chr11-g394,chr11-g395,chr11-g396,chr11-g397,chr11-g398,chr11-g399
2,118,1,1,,,,,,,,,,,,,,-1.2449750000000002,-1.2210999999999999,-1.2258,,,,,,,,,,,,,,,,,,0.35345,-0.18893433333333332,,,,-1.2546,,,,,,-0.16341,-0.2431566666666667,,0.2481699999999999,0.937295,,,,1.1957,0.47470333333333325,1.200535,0.066309,0.5401045,-0.63241,,
1,826,1,1,,,,,,,,,,,,,,,,,,,,,,,,-0.8877299999999999,,,,,,,,,,,-0.6685800000000001,,-0.43513499999999994,,,,-0.33509,,,,-0.5066,,,-0.1159299999999999,-0.45896,,,,,-0.58282,,-0.43037,,,-0.458955,-0.48754
1,53,1,2,-1.2646000000000002,-0.91935,,,-1.052675,,,,,,,,,,,,,,-0.80312,,-1.2612,-1.4048,,,,,,,,,,,-1.0515166666666667,,,,,-0.38605,-0.69372,,,,-0.69372,,,,-1.0082,,,,,,,,-0.29717,,,,,
0,37,1,1,,-0.2852,-0.7467699999999999,,,,-0.86895,,-1.0997,,,-0.0374495,-0.7976749999999999,-0.98096,-0.48205000000000003,-0.9164766666666666,-1.1608,-0.6212,,,-0.8553799999999999,,,,,,,,,,,,,-0.7196199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
2,603,2,1,,-1.0733,0.5596699999999999,,-0.638045,-1.5456,,-0.918105,-1.4916,-1.4512,,-1.1273,-0.6954100000000001,-0.66842,-0.87085,,-0.18258,-0.5280760000000001,,,-0.36701999999999996,,,-0.5537099999999999,,,,,,,,,,,-0.95183,,,,,,,,,,-1.20825,-1.2487,-0.7763800000000001,,,-0.96532,-0.64818,,-1.2487300000000001,-1.7076,-0.7224,,-1.08005,,-1.0193,
2,1001,1,3,,,,,,,,,,,,,,,,,-0.2934845,,,,-0.162,,,,,-1.3453499999999998,,-0.001307,,,,,-1.097,,,,,,-0.088959,,,,-0.015915,,,,,,,-0.0597419999999999,,,,,,,,,,
2,841,2,1,-0.94823,,,,,,,-0.7522399999999999,-0.5282399999999999,,,,,,,,,1.2917,0.46574,,,-0.23425,,,,,,,,,,-0.4722399999999999,,,,,,,,,,,,,-0.89223,,,,-0.86424,,,,,,,,-0.55624,-0.6542399999999999,,
3,86,2,2,,,,,,0.43673,,,-0.61847,,-0.64507,-0.49876,-0.52093,-0.36353625,,-0.34359,-0.170675,-0.263782,,-0.1219099999999999,-0.34359,-0.5564,,,,,,,1.1993,,,,,,,,,,,-0.4204333333333334,-0.34359,,-0.37905,,,,-0.21058,,,,,,-0.67167,-0.38791900000000007,,,,0.46333,0.39239,
2,711,2,2,-0.86874,-0.68257,-0.4565,,,,-0.76236,-0.42991,0.08871999999999997,-0.7490600000000001,,,,-0.19497333333333336,,,,,,,,,,,-0.5495899999999999,,,,,,,,-0.41661,0.1818,-0.98842,-0.13735,,-0.84215,,-0.76901,,,,,,,-0.8222,-1.0017,,,,,-0.69587,-0.82885,-0.81555,,,,,
3,157,2,3,,,,,,,,,,-0.28531,,-0.74366,,,,,,-0.66883,,,,,,,,,,,,,,-0.19177,-0.29466,-0.47239,-0.29466,,,,,,,,,,,,,,-0.32272,,,-0.97752,,,,,,,,
0,613,1,1,-0.3847,1.016865,,,-0.014512500000000012,-0.02837,,,,,,0.066653,-0.1352695,,-0.37679,-0.23425,,,,,-0.70936,,,,,,,,,,,,,0.16168,-0.2976,,,,,,,,,,-0.661855,,-0.73906,,-0.13923,-0.8756550000000001,,-0.004614,,-0.2025799999999999,-0.214455,-0.40054,,-0.5985050000000001,,
2,792,2,1,,,-0.821045,-0.09957500000000001,,,,-1.1529333333333334,-0.9942,,,-0.57575,,,,,-0.1428635,0.91046,0.7769975,-0.099577,0.13129,0.69404,-0.1140099999999999,0.21787000000000004,,,0.57139,0.982635,,,-0.14287,,,,,,,,1.1124794999999998,,-0.4747399999999999,,,0.564175,0.42950333333333335,,,,,,-0.30159,,,,,,-0.784955,-1.2972,,
2,80,2,1,-0.5972949999999999,-0.36748,,-0.31473,,-0.5784600000000001,-0.36748,,-0.69902,-0.46166499999999994,-0.5709249999999999,-0.5307366666666666,0.1449099999999999,-0.393847,,-0.30719,-0.48804000000000003,-0.680185,-0.7442300000000001,,,,,1.0416,1.3505,,,,0.031886,0.046956,,,0.046956,,-0.043465,,,,,,,-0.20924,,,,-0.6312,,,-0.56339,,,,-0.48427000000000003,-0.472965,-0.67642,-0.83465,-0.47045333333333333,-0.56339,-0.83465,
2,569,2,2,,,-0.28381,-0.23512,,1.6149,,,,,,,,,,,,,-0.36901,0.27607,,,,0.08133,,-0.17427,,1.8218,,,,,-0.40552,,0.53167,,,,-0.07081350000000004,,,,,-0.25947,,,-0.39335,,,,-0.18644,,,,,,,,,
0,750,1,1,,0.1979,,-0.56471,,-0.43351,-0.40891,,-0.59751,-0.5537766666666667,,0.066695,-0.70001,-0.95831,-0.6713100000000001,-0.1875099999999999,,,-0.0973059999999999,0.2758,,,,,,,,,,,,,,1.0425,,,,,,0.7145,,,,,-0.63031,0.4521,,,,,,,,,,,,,,3.0105
3,157,2,1,-0.21983,,,,-0.72496,,-0.70625,,-0.23854,,0.042089,0.0327355,-0.042098,,,,,,,,,,,,,,,,,,,,,-0.78108,,,,,,,,,,,,,-0.3695,,,-0.52852,,,,,,,,,-0.80914,
2,730,2,1,-0.59906,,-0.2316,,,,,-0.6331,-1.021,-1.0482,,-0.95293,,,-0.28604,-0.5174,-0.5174,,,,-0.7079300000000001,,-0.97106,,,-0.29965,,,,,,-0.5105995,-0.29965,,-1.1888333333333332,,,,,,,-1.157,-1.1843,,,,-1.2115,,,,,-1.0754,,-0.68072,-0.8984700000000001,,-0.21799,,,-0.84403
2,569,2,1,,0.36127,-0.6246,0.66961,0.09959000000000001,0.51341,0.39778,,,,,-0.49072,,0.032644,,-0.01604,0.71424,-0.089068,,-0.28381,1.4202,0.056987,,-0.47855,,,,-0.795,-0.76457,,,,,,,,,-0.29598,,,,-0.11341,-0.43596999999999997,-0.6732899999999999,,,,,-1.0628,,,,,,-0.332495,,0.15436,-0.8802,-0.78283,
2,199,2,2,,,0.4636699999999999,,,,,,-0.783235,-0.9444,0.0989309999999999,0.8750800000000001,,-0.47362975,,-0.8256499999999999,-0.72103,,,-0.74931,-0.90199,-0.7238600000000001,,,,,,-0.62207,-0.8426100000000001,-0.39304500000000003,0.24313,,,-0.97833,-0.40153,-1.025,,,,,,-0.13858,-0.50332,,,-0.96703,,,,,,,,,,-0.974075,,-1.0462,-0.81717,
2,852,2,2,,,-0.1834299999999999,,,,0.99953,0.41744,,,,,0.32355,0.58644,,,,,,,,-0.40876,,,,,,,,,,,,-0.52142,0.34233,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,1,1,-0.9222433333333333,-0.7719699999999999,-0.22189,-0.58097,-1.0139366666666667,,-0.890395,-1.1998,-0.9018533333333334,-1.175,-0.777705,-1.1196,-0.368576,-1.1132466666666667,-1.4596,,,,,,,-1.2533,,-1.2075,,,-1.2787333333333333,-1.238,-1.3373,-0.85601,-0.9935233333333332,-0.9909833333333333,,-1.036318,,-0.59625,-0.8789299999999999,-0.3161133333333333,-0.6611899999999999,-0.06653733333333334,0.15248,,,,,,,,-0.84073,,,,-0.65928,-0.68793,-0.8292725000000001,-1.0776,-0.3899675,-0.6675733333333334,-1.3144,-1.0547
2,566,1,2,,,,,,-0.97207,-0.13591,-0.8160700000000001,-0.6600699999999999,,-0.92215,,-0.28567,,-0.6600699999999999,-0.58519,0.52553,0.75017,-0.43127000000000004,-0.5269533333333333,,-1.009525,,-1.0594,,,,,,,,,,,-0.92215,-0.64759,-0.51031,,,,,,,,,,,1.0622,3.1838,2.697,0.97481,,,,0.66281,,-0.44791,0.41321,,-0.8971899999999999
2,805,2,1,,,-1.3643,-1.5138,-1.2297,,-0.96062,,-0.91577,-1.2148,-0.87092,-0.8858775,-1.2447,-0.893335,-1.0204,-1.0354,,-0.2280599999999999,-0.49717,-0.8559700000000001,-0.19816,,-0.8260700000000001,,,-0.75132,-1.3942,,,,0.11579,-1.1699,,-0.07856,-0.39252,,,,,-0.6990049999999999,-0.74385,,,,,-0.24301,-0.24301,,,-1.3792,-1.2596,-1.1699,0.17559,-1.1998,-0.6018066666666666,-0.456055,-1.3344,-0.95316,,0.13074
1,94,1,1,-0.19467,-0.65737,0.44377,1.405,0.4447937142857143,0.35769,,0.3935599999999999,0.2644349999999999,,,-0.96941,,-0.76855,0.156835,-0.20184,0.354105,0.12455499999999996,0.25726,,0.31465,,,,,,0.8885299999999999,,,1.2687,,1.161115,,,,,0.69485,0.798835,0.8598399999999999,,0.8598399999999999,,,-0.5461699999999999,-0.13011,,,-0.6681199999999999,,,,,-0.73268,-1.0627,-1.0627,-1.3137,-1.285,-1.2133,,
0,190,1,2,,,-0.26777,,,,,,-0.3885699999999999,-0.000273,0.086015,0.75043,,,,1.0927233333333335,-1.2601,0.0946429999999999,,,-0.3583705,-0.750995,,-0.500745,-0.7121500000000001,-0.66038,-0.7941199999999999,,-1.122,0.0817,-0.026160000000000017,,,-0.86315,-0.9667,-0.99259,-0.63881,,,,,,,,,,,,,,,0.70729,-0.15559,,-0.4662299999999999,,-0.8070649999999999,,-0.43171,-0.56977
2,1229,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.09263,,,-0.11322,,1.1869,,1.0785,,,,,,,,,,,,0.6885100000000001,1.8153,,,,,,,,,,,,-0.23240000000000002,1.2736,
1,1034,2,1,,,,,,,,,-0.0562519999999999,,,,-0.2407099999999999,0.78837,-0.52225,-0.697,-0.7778999999999999,-0.66787,-0.80379,,-0.22129,0.0699559999999999,-0.8620399999999999,-0.68729,-0.4834199999999999,,,,,,-0.44458,0.18646,-0.5028349999999999,,,1.0117,-0.352355,,1.3806,,,,,,,,,,,,-0.83291,,,,,1.1476,-0.44458,,,0.21558
1,144,1,1,0.146115,0.14611,,0.82719,-0.423,,,,-0.74022,0.15544,,,,-0.11978999999999995,,,0.23474699999999998,,-0.06847333333333333,,,,1.219,-0.39502,,,0.8551799999999999,0.78054,,-0.096462,-0.32038,,0.50997,-0.05914500000000003,-0.13067099999999995,0.071474,,,,,,,,0.29539,,0.071474,,-0.44166,0.03882,,-0.14311,,,0.4353399999999999,,,,0.32338,,
3,718,2,2,,,,,,,,-0.24327,-0.8723799999999999,-0.92957,,-0.81519,0.0712899999999999,,,,,,,,,,,,,,-1.3299,-1.2298,,,,,,,,,,-1.2298,,,,-0.94387,,,-1.144,,,-0.5864199999999999,,-0.0716909999999999,-1.0297,,,,,-0.20037,,-0.17178,-0.07884000000000001,-0.41484
0,164,1,1,,,0.15828,,,,,,0.42618,,-0.2100699999999999,,-0.7709699999999999,0.29223,,,,,,,,,,,0.14572250000000006,,2.8121,1.7322,,,-0.1431,,,0.14991,0.27549,,,-0.12635,-0.22682,,,,,,,,,,,0.40943,,,0.19176666666666672,,,,-0.5742400000000001,,0.027126666666666688,
3,86,2,1,-0.15737,-0.6140349999999999,-0.48546,-0.4499899999999999,,,,,-0.5120600000000001,,-0.35245,-0.33028499999999994,-0.4056599999999999,-0.5120600000000001,,,-0.5564,-0.5652699999999999,-0.62734,,,,,,,,,,,,,,0.42786,-0.1041695,-0.35245,0.25938,-0.07756849999999996,,-0.61847,,-0.583,-0.40122499999999994,-0.39679,,,,,,,,,,,,,,,,,
1,144,1,2,,,,,,,,,,,,,,,,,,,-0.96413,,-1.04345,,,,,,-0.53496,,,,,,,,,,,,,-0.68424,,-1.1601,,,,,,-0.67491,,,,,,,-1.2254,,-1.05745,,,-0.33904
0,406,1,1,0.18352,0.6356,,,,,,-0.79974,,,-1.12,-0.42678,1.1027,,,0.25134,,,,,,,,,,,1.1706,,,,-0.19321,,0.74862,1.2986,,,1.3439,,1.8185,,,0.37942,,,,,,,-0.28362,-0.79598,,,,,0.010228000000000001,,,,,
1,98,1,2,,,,,,,,-0.7227399999999999,,-0.48135,-0.6162449999999999,,0.48137359999999996,,-0.3038599999999999,,-0.54525,,,-0.45295,,,,,-0.53105,,,-0.6410899999999999,,,0.6049,,,-0.51685,-0.60914,-0.3784,,-0.38905,,,,,,,0.2073199999999999,-0.12636,,-0.1547599999999999,0.104375,,,-1.0493,-0.758235,-0.8292299999999999,,,,-1.0493,-1.1132,
2,244,2,1,,,-0.6736566666666667,-0.585985,,-1.2357,,,-1.1121699999999999,-0.5949266666666667,-1.01553,-0.7524325000000001,,-0.3577849999999999,-0.994065,,-0.73095,-0.698735,-0.34436333333333335,-0.2477199999999999,,-0.9672,-1.1068,0.4153899999999999,-0.53766,0.19255,-0.9618450000000001,-0.98868,,2.9202,,-0.95647,,-0.19133499999999998,-0.29605250000000005,-1.1068,,-1.2142,,,0.02075000000000002,,,-0.73095,0.67581,,,-0.38195,-1.0065666666666668,,-0.7792749999999999,-1.01014,-1.0424,-0.508125,-0.8920299999999999,,-1.182,,,-0.59135
1,339,2,1,-0.07410066666666663,-0.17199999999999993,0.36432,,-0.15284899999999998,0.42817,-0.22308,,-0.86156,-0.15923266666666663,0.22385750000000001,,-0.87433,-0.57424,-0.5487,,-0.733865,-0.176258,-0.30224999999999996,,,-0.6380925,-0.5448718,-0.22308,-0.3124699999999999,,,-0.69555,-0.82325,-0.77217,-0.756848,-0.8445333333333332,,-0.15923199999999996,,-0.44016,,0.09616,-0.1400795,,-0.47208500000000003,-0.55509,-0.37631,-0.40185,0.04508000000000004,-0.29331149999999995,0.05784999999999999,,-0.6189399999999999,-0.22308,-0.2997,-0.6891700000000001,-0.472085,-0.6125499999999999,-0.23584800000000003,0.057851,-0.27415833333333334,-0.1720025,-0.13795000000000002,-0.306083
2,591,2,1,,0.577485,0.98935,0.78052,0.46146999999999994,,-0.71612,1.3606,0.31645,-0.034507499999999997,0.27004,-0.144725,-0.31005,-0.03161,,-0.54209,,-0.54209,,-0.51888,,,,,,,,-0.455075,0.34738666666666657,,,,,-0.01421,,,-0.66971,,,,,,0.20043,,-1.0061499999999999,-0.4202665,-0.69291,-0.80893,,,,,-0.12442,0.0264009999999999,,,,-0.1592299999999999,0.13082,-0.94815
0,620,2,1,,,-0.44982,,,-0.37219,-0.2875,-0.3110233333333333,,,,,,,,,,0.13594,-0.34396,,,0.61585,,,,,,,,0.48880999999999997,0.35472,1.124,,0.5617500000000001,0.28767999999999994,-0.23457,-0.008730000000000002,1.131,,0.82757,,0.57348,0.4253,0.83813,0.696985,,,,,,0.34767,0.7005349999999999,,,0.6229,1.2510000000000001,1.1828100000000001,,,-0.09694750000000005
1,63,2,2,,,,-0.0221325,,0.65225,,-0.1398813333333333,-0.0670915,2.0845,-0.09599500000000001,,-0.01571,-0.2983099999999999,-0.17628,-0.1859095,-0.009285000000000002,0.57518,,,0.31185,-0.16985,,0.36965,,,,,,,,,,0.327905,,,,-0.31758,-0.16343,-0.1570099999999999,-0.47172,-0.28064500000000003,,0.45957,,,0.22193,0.14486,0.8770399999999999,0.76786,,,,-0.29188,-0.49099000000000004,,,-0.5809033333333333,-0.4653,-0.50383
1,53,1,1,0.11077333333333332,0.7283999999999999,0.45491,0.87198,,,-0.030525000000000024,,0.47200349999999996,,0.12673,,0.41389,0.181425,,-0.840725,-0.28520500000000004,-0.044198,-0.85098,-0.49088666666666664,-0.30742650000000005,,,,-0.71424,-0.39631,0.5346799999999999,-0.18264649999999993,-0.04908157142857143,-0.20999725000000002,-0.41681999999999997,-0.21056666666666665,-0.22880000000000003,-0.74158,0.40021,,,,,,,-0.98772,,,,0.39338,,-0.3518699999999999,,,-0.46809999999999996,,-1.0493,-0.60826,-0.8076866666666667,-0.44075,,,-0.892,
