fov,cellID,rep,dbscan_ldp_nbr_allele,chr12-g85,chr12-g86,chr12-g87,chr12-g88,chr12-g89,chr12-g90,chr12-g103,chr12-g104,chr12-g105,chr12-g106,chr12-g107,chr12-g108,chr12-g109,chr12-g110,chr12-g111,chr12-g121,chr12-g122,chr12-g123,chr12-g124,chr12-g125,chr12-g126,chr12-g127,chr12-g128,chr12-g129,chr12-g130,chr12-g131,chr12-g132,chr12-g133,chr12-g134,chr12-g135
2,117,1,1,0.3045465,,0.54974,-0.5092705000000001,0.27846,,-0.97357,-1.41175,-0.5583020000000001,-0.34755,-0.7231525,-1.1666,,-1.224,,,-0.7475066666666667,-0.9318299999999999,,-0.83793,-1.0362,-1.0779,,,-0.9527,,1.8226,0.6993033333333334,0.09326999999999996,
0,18,2,1,-0.5810299999999999,0.86292,,-0.50164,,,,,-0.89106,-0.98439,,-0.8620899999999999,-0.817035,-0.93933,,,-0.50808,-0.21843,-0.6400300000000001,-0.67543,-0.5885349999999999,,,-0.64003,,-0.77842,-0.22701333333333337,-0.53704,,
0,27,2,1,-0.7953566666666667,,,,,,-0.37689,-1.0182,,-0.855135,-0.82253,-1.0725,-0.8660100000000001,-0.73014,,,,-0.5888399999999999,-0.83883,,-0.57797,,-0.40950333333333333,-0.039951,-0.012780000000000014,,-0.039951,0.55242,0.81871,-0.16495
3,741,2,1,-0.24809,-0.871065,-0.6743349999999999,-0.78581,,,,,,-0.75958,,,-0.51039,-0.56285,,,-0.3582536,-0.54318,-0.72024,-0.47629200000000005,-0.35301,-0.54974,,,-1.074365,,,,,
0,250,1,1,1.0015,0.31668,,,,,-0.3919,-0.23751899999999998,,,-0.6083066666666667,,,-0.6056699999999999,,,-0.12271499999999999,-0.16626175,-0.32065,-0.61358,-0.5106390000000001,-1.1282,-0.50274,,-0.64525,,0.075211,-0.46316,,
2,244,2,1,-1.1283,-0.8741233333333334,-1.11755,,,,,,,-0.9672,,,-0.32289,-0.6987399999999999,,,-0.47323,,-0.20475949999999998,,-0.97794,-0.43027,,-0.473225,,-0.5806100000000001,,,,0.18899
0,55,2,1,,,1.4888,,0.4611399999999999,,,,,,,,,-0.5372899999999999,,,-0.40884,0.37939,,,,0.58959,,0.37939,,2.1077,,0.19255,,
2,172,2,1,0.32538449999999997,0.25906,0.9120550000000001,0.12132000000000001,,-0.46537,-0.5776,0.17744,-0.13376500000000002,0.49628,-0.36333,,-0.46536500000000003,-0.31232,,,0.208049,,,-0.36333,,,,,0.8243242000000001,1.87115,1.8507850000000001,,,0.82024
2,584,2,1,,,-0.21529,,,,,,,,,,,-0.47195,,,,,,,-0.4462899999999999,-0.77995,,-0.97244,,,,,,
1,339,2,2,,-0.8360200000000001,,,,,,,,-0.65725,,,,-0.095384,,,-0.044306,,-0.69555,,,,,-0.587015,,-0.8998700000000001,,-0.92541,,-0.8019666666666666
