200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,Purkinje_pol_ass,Purkinje_spk_ass,Granule_pol_ass,Granule_spk_ass,log2FC_G2P
chr1-g24,chr1,4800000,5000000,0.40512,"Lypla1, Tcea1, Rgs20",3.0,"38913, 39582, 160710",160710.0,38913.0,79735.0,39582.0,1,0,0,0,0,4.050245897585049
chr1-g25,chr1,5000000,5200000,0.4072749999999999,"Rgs20, Atp6v1h",2.0,"160710, 79464",160710.0,79464.0,120087.0,120087.0,1,0,0,0,0,4.050245897585049
chr1-g31,chr1,6200000,6400000,0.391825,"Rb1cc1, Alkal1",2.0,"61443, 35401",61443.0,35401.0,48422.0,48422.0,1,0,0,0,0,2.388062815751337
chr1-g32,chr1,6400000,6600000,0.400595,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0,6.435658556971023
chr1-g33,chr1,6600000,6800000,0.3847250000000001,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0,6.435658556971023
chr1-g34,chr1,6800000,7000000,0.39825,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0,6.435658556971023
chr1-g41,chr1,8200000,8400000,0.38193,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-2.4126829455444336
chr1-g42,chr1,8400000,8600000,0.370575,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-2.4126829455444336
chr1-g43,chr1,8600000,8800000,0.385165,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-2.4126829455444336
chr1-g44,chr1,8800000,9000000,0.38213,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-2.4126829455444336
chr1-g45,chr1,9000000,9200000,0.3801249999999999,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-2.4126829455444336
chr1-g46,chr1,9200000,9400000,0.38951,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-2.4126829455444336
chr1-g57,chr1,11400000,11600000,0.386425,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1,0,0,0,0,2.946687296773712
chr1-g58,chr1,11600000,11800000,0.390115,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1,0,0,0,0,2.946687296773712
chr1-g67,chr1,13400000,13600000,0.432875,Tram1,1.0,25218,25218.0,25218.0,25218.0,25218.0,1,0,0,0,0,2.0382006221176447
chr1-g76,chr1,15200000,15400000,0.40198,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,6.480674273663745
chr1-g77,chr1,15400000,15600000,0.40193,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,6.480674273663745
chr1-g78,chr1,15600000,15800000,0.4077449999999999,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,6.480674273663745
chr1-g79,chr1,15800000,16000000,0.415935,"Terf1, Sbspon",2.0,"38407, 38861",38861.0,38407.0,38634.0,38634.0,1,0,0,0,0,2.437723471321227
chr1-g84,chr1,16800000,17000000,0.407195,Jph1,1.0,102950,102950.0,102950.0,102950.0,102950.0,1,0,0,0,0,3.76302291149356
chr1-g85,chr1,17000000,17200000,0.40005,"Jph1, Gdap1",2.0,"102950, 18898",102950.0,18898.0,60924.0,60924.0,1,0,0,0,0,3.76302291149356
chr1-g104,chr1,20800000,21000000,0.439695,"Mcm3, Paqr8, 6720483E21Rik, Efhc1",4.0,"17345, 49103, 1824, 39216",49103.0,1824.0,26872.0,28280.5,1,0,0,0,0,3.863619389657303
chr1-g111,chr1,22200000,22400000,0.39374,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,0,0,7.0033159758344325
chr1-g112,chr1,22400000,22600000,0.313335,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,1,0,7.0033159758344325
chr1-g113,chr1,22600000,22800000,0.391615,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,1,0,7.0033159758344325
chr1-g114,chr1,22800000,23000000,0.39441,"Rims1, Gm7759",2.0,"520031, 6695",520031.0,6695.0,263363.0,263363.0,1,0,0,0,0,7.0033159758344325
chr1-g118,chr1,23600000,23800000,0.4204800000000001,B3gat2,1.0,85933,85933.0,85933.0,85933.0,85933.0,1,0,0,0,0,1.8643147663924036
chr1-g119,chr1,23800000,24000000,0.415275,"B3gat2, Smap1, Sdhaf4",3.0,"85933, 76757, 9702",85933.0,9702.0,57464.0,76757.0,1,0,0,0,0,1.8643147663924036
chr1-g121,chr1,24200000,24400000,0.404475,"Col9a1, Col19a1",2.0,"75129, 329755",329755.0,75129.0,202442.0,202442.0,1,0,0,0,0,2.059769866375939
chr1-g122,chr1,24400000,24600000,0.3896,Col19a1,1.0,329755,329755.0,329755.0,329755.0,329755.0,1,0,0,0,0,2.059769866375939
chr1-g123,chr1,24600000,24800000,0.40515,Lmbrd1,1.0,87758,87758.0,87758.0,87758.0,87758.0,1,0,0,0,0,2.959345224973381
chr1-g160,chr1,32000000,32200000,0.37056,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,-2.829684245816975
chr1-g161,chr1,32200000,32400000,0.37549,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,-2.829684245816975
chr1-g162,chr1,32400000,32600000,0.377715,"Khdrbs2, Gm9839, Gm5415",3.0,"485848, 1437, 3748",485848.0,1437.0,163677.66666666666,3748.0,1,0,0,0,0,-2.829684245816975
chr1-g163,chr1,32600000,32800000,0.3855,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,-2.829684245816975
chr1-g167,chr1,33400000,33600000,0.4174,Prim2,1.0,215987,215987.0,215987.0,215987.0,215987.0,1,0,0,0,0,2.312934889412129
chr1-g168,chr1,33600000,33800000,0.4374099999999999,"Prim2, 1700001G17Rik, Rab23, Gm32229, Bag2",5.0,"215987, 889, 22146, 5666, 12267",215987.0,889.0,51391.0,12267.0,1,0,0,0,0,2.312934889412129
chr1-g169,chr1,33800000,34000000,0.430625,"Zfp451, Gm15455, Bend6, Dst",4.0,"12636, 3016, 55716, 400438",400438.0,3016.0,117951.5,34176.0,1,0,0,0,0,2.5139527996958053
chr1-g170,chr1,34000000,34200000,0.438845,"Dst, Mir6896",2.0,"400438, 73",400438.0,73.0,200255.5,200255.5,1,0,0,0,0,2.3858087771091787
chr1-g171,chr1,34200000,34400000,0.4405349999999999,Dst,1.0,400438,400438.0,400438.0,400438.0,400438.0,1,0,0,0,0,2.3858087771091787
