200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,MLI1_pol_ass,MLI1_spk_ass,Bergmann_pol_ass,Bergmann_spk_ass,log2FC_B2M
chr1-g16,chr1,3200000,3400000,0.3847649999999999,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,1,0,0,0,-6.361612469609911
chr1-g17,chr1,3400000,3600000,0.383925,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,1,0,0,0,-6.361612469609911
chr1-g18,chr1,3600000,3800000,0.389235,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,1,0,0,0,-6.361612469609911
chr1-g41,chr1,8200000,8400000,0.38193,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-4.81436499913884
chr1-g42,chr1,8400000,8600000,0.370575,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-4.81436499913884
chr1-g43,chr1,8600000,8800000,0.385165,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-4.81436499913884
chr1-g44,chr1,8800000,9000000,0.38213,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-4.81436499913884
chr1-g45,chr1,9000000,9200000,0.3801249999999999,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-4.81436499913884
chr1-g46,chr1,9200000,9400000,0.38951,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-4.81436499913884
chr1-g54,chr1,10800000,11000000,0.40343,"Mir467e, Prex2",2.0,"157488, 310218",310218.0,157488.0,233853.0,233853.0,1,0,0,1,0,9.487616763688342
chr1-g55,chr1,11000000,11200000,0.39033,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1,0,0,1,0,9.487616763688342
chr1-g56,chr1,11200000,11400000,0.3876349999999999,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1,0,0,1,0,9.487616763688342
chr1-g63,chr1,12600000,12800000,0.4185499999999999,"Gm17644, Sulf1",2.0,"5528, 167943",167943.0,5528.0,86735.5,86735.5,1,0,0,1,0,6.660813571622742
chr1-g64,chr1,12800000,13000000,0.43009,"Sulf1, Slco5a1",2.0,"167943, 124586",167943.0,124586.0,146264.5,146264.5,1,0,0,0,0,6.660813571622742
chr1-g70,chr1,14000000,14200000,0.414065,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1,0,0,0,0,4.382440349540884
chr1-g71,chr1,14200000,14400000,0.40052,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1,0,0,0,0,4.382440349540884
chr1-g84,chr1,16800000,17000000,0.407195,Jph1,1.0,102950,102950.0,102950.0,102950.0,102950.0,1,0,0,0,0,-5.920717878883199
chr1-g85,chr1,17000000,17200000,0.40005,"Jph1, Gdap1",2.0,"102950, 18898",102950.0,18898.0,60924.0,60924.0,1,0,0,0,0,-5.139404877848922
chr1-g96,chr1,19200000,19400000,0.40071,Tfap2b,1.0,29932,29932.0,29932.0,29932.0,29932.0,1,0,0,0,0,-8.796757731384776
chr1-g104,chr1,20800000,21000000,0.439695,"Mcm3, Paqr8, 6720483E21Rik, Efhc1",4.0,"17345, 49103, 1824, 39216",49103.0,1824.0,26872.0,28280.5,1,0,0,0,0,4.167710362553916
chr1-g106,chr1,21200000,21400000,0.431165,"Tmem14a, Gsta3, Gm4956, Khdc1a, Khdc1c, Khdc1b, Kcnq5",7.0,"11593, 24991, 13067, 2523, 1413, 2829, 564252",564252.0,1413.0,88666.85714285714,11593.0,1,0,0,0,0,-3.736947746330209
chr1-g107,chr1,21400000,21600000,0.398215,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0,-3.736947746330209
chr1-g108,chr1,21600000,21800000,0.37926,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0,-3.736947746330209
chr1-g109,chr1,21800000,22000000,0.3846449999999999,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0,-3.736947746330209
chr1-g118,chr1,23600000,23800000,0.4204800000000001,B3gat2,1.0,85933,85933.0,85933.0,85933.0,85933.0,1,0,0,0,0,-2.8725924530312765
