fov,cellID,rep,dbscan_ldp_nbr_allele,chr9-g68,chr9-g69,chr9-g70,chr9-g71,chr9-g72,chr9-g73,chr9-g74,chr9-g75,chr9-g76,chr9-g77,chr9-g78,chr9-g79,chr9-g80,chr9-g81,chr9-g82,chr9-g83,chr9-g84,chr9-g85,chr9-g86,chr9-g87,chr9-g88,chr9-g89,chr9-g90,chr9-g91,chr9-g92,chr9-g93,chr9-g94,chr9-g95,chr9-g96,chr9-g97,chr9-g98,chr9-g99,chr9-g100,chr9-g101,chr9-g102,chr9-g103,chr9-g104,chr9-g105,chr9-g106,chr9-g107,chr9-g108,chr9-g109,chr9-g110,chr9-g111,chr9-g112,chr9-g113,chr9-g114,chr9-g115,chr9-g116,chr9-g117,chr9-g118,chr9-g119,chr9-g120,chr9-g121,chr9-g122,chr9-g123,chr9-g124,chr9-g125,chr9-g126,chr9-g127,chr9-g128
2,711,2,2,,,,,,,,0.5009600000000001,,,,,-0.097455,,0.2793293333333333,,,0.35468,,1.8308,,1.2855,,,1.1526,-0.16395,,,,,,,,,,,,,0.5009600000000001,,,-0.8820399999999999,,,0.38127666666666665,,0.2084,0.235,,-0.12405,0.04217,-0.017670000000000036,0.2217,,,,,,,,
3,455,2,1,0.053512,,2.3672,1.2322,,2.651,,,0.79564,,,,,0.32635499999999995,1.7015,0.04805499999999996,2.4545,2.4545,1.16669,0.74107,2.1708,-0.28481,-0.15385,0.34818,0.03168499999999999,,-1.0269,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37212,0.5282549999999999,0.40275,,0.27178,0.135365,0.29906849999999996,1.0685
2,569,2,1,0.056987,,,,,,,,0.72641,,,,-0.003869999999999957,,0.28824,,,,-0.27164,,,,,,,,,,,,,,,,-0.17427,0.069158,,,0.300415,,-1.2697,,,,,,,,0.28824,,0.81161,0.39778,0.27607,,,,0.31258549999999996,,,,1.7488
2,841,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.93423,,,,-0.010255,,,,,,,,,,,,,,,,,-0.36025,,,,,,,
1,53,1,3,,,,,,,,,,,,0.18143,,-0.16043,,,,,-0.7450049999999999,-1.1655,-0.91251,,-0.99456,,-1.1586,,,,,,,-0.6048399999999999,,,-0.61852,,,-0.74842,,,,,,,,,,,,,-0.47494,,,,,-0.892,,,,,
2,260,1,1,,1.3485,1.2576,,1.0890066666666667,0.48478,0.2972599999999999,0.17225,0.075646,1.3352733333333333,0.3730266666666667,0.6382066666666666,0.62684,0.16466666666666666,0.11542,0.4336399999999999,-0.6914899999999999,-0.10430333333333326,-0.10051,,,0.66662,,0.047231999999999996,0.27169,0.68367,0.85414,0.5558125,,,1.09279,0.763215,3.9113499999999997,1.854245,2.0929,,,,,,,0.7064,,,-0.13839766666666667,,,0.445,,,0.34271999999999997,1.0587066666666667,-0.441465,0.3086235,,0.3313556666666666,0.013137,,,,0.058597
2,648,2,1,,,,,,,,,-0.73938,-0.50447,-0.48489499999999996,,,-0.56972,,,,,,-0.41312,-0.7785299999999999,,,,,,,,-0.98733,,,,,,,,,,,,,,,-1.5919666666666668,-1.4114499999999999,,-1.3136,,,-1.5093,,,-1.5485,,,,,,,,
1,713,1,1,,,,,,,,,,0.020184,0.067281,,,,,,,,,,,,,,,,,,,,,,,,,0.19288,,,,,,,,,,,,,,,,,,,,,,,,,
1,826,1,1,1.1799,,,,0.5796399999999999,,,0.046049,,0.20803499999999997,0.08892499999999999,,0.17945,,,0.49388,0.40177666666666667,0.1699165,0.58917,0.37001300000000004,-0.3065,-0.3732,,0.30332,,-0.07782,,,,,2.3329,0.879785,0.8178679999999999,,-0.049235,,,,,,,,1.0656,,,,,,,,,0.32237,,,,,,1.3736666666666668,1.5992,,-0.2302699999999999
1,194,1,1,-0.00792499999999996,0.2472599999999999,,,1.2873,,,0.858765,,-1.0816,,,-0.8649800000000001,,,-0.45571,,-0.4171899999999999,,-0.88905,-0.43645,-0.6772,,-0.49744000000000005,-0.8216399999999999,-0.18928900000000004,-0.44928999999999997,-0.96609,-0.8216399999999999,0.28578,0.88282,1.6917,,,,,,2.0288,0.1220715,0.76726,,,0.65171,0.6806,0.1991099999999999,,,,,,,,,,,,,,,,
