fov,cellID,rep,dbscan_ldp_nbr_allele,chr17-g157,chr17-g158,chr17-g159,chr17-g160,chr17-g161,chr17-g162,chr17-g163,chr17-g164,chr17-g165,chr17-g166,chr17-g167,chr17-g168,chr17-g169,chr17-g170,chr17-g171,chr17-g172,chr17-g173,chr17-g174,chr17-g175,chr17-g176,chr17-g177,chr17-g178,chr17-g179,chr17-g180,chr17-g181,chr17-g182,chr17-g183,chr17-g184,chr17-g185,chr17-g186,chr17-g187,chr17-g188,chr17-g189,chr17-g190,chr17-g191,chr17-g192,chr17-g193,chr17-g194,chr17-g195,chr17-g196,chr17-g197,chr17-g198,chr17-g199,chr17-g200,chr17-g201,chr17-g202,chr17-g203,chr17-g204,chr17-g205,chr17-g206,chr17-g207,chr17-g208,chr17-g209,chr17-g210,chr17-g211,chr17-g212,chr17-g213,chr17-g214,chr17-g215,chr17-g216,chr17-g217,chr17-g218,chr17-g219,chr17-g220,chr17-g221,chr17-g222,chr17-g223,chr17-g224,chr17-g225,chr17-g226,chr17-g227,chr17-g228,chr17-g229,chr17-g230,chr17-g231,chr17-g232,chr17-g233,chr17-g234,chr17-g235,chr17-g236,chr17-g237,chr17-g238,chr17-g239,chr17-g240,chr17-g241,chr17-g242,chr17-g243,chr17-g244,chr17-g245,chr17-g246,chr17-g247,chr17-g248,chr17-g249,chr17-g250
1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,-0.77558,-0.92439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.91116,-0.57222,-0.27792,-0.45152,-0.735905,-0.9160999999999999,,,,-0.97397,,,,,,,,,,,,,,,,,,,,
2,181,2,1,,,,,,,,,,,,,,,-0.56914,,,,,,,-0.68023,,,-0.60359,,,,,,,,-0.49163,,,,,-0.43996,,,,,,,,,,,,,,,,,-0.54847,,,,,,,,,,,,,-0.37796,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,-0.50774,,-0.2432,,,,,,,,-0.742515,-0.3060199999999999,,,,0.11393500000000006,-0.0447899999999999,-0.43499,-0.52427,-0.697875,-0.682995,,,,,,,,,,,,,,,,,-0.25973,-0.7822,,,,-0.76566,,-0.86156,,,,,,,,,,,,,,,,-0.55072,-0.42837,,,,,,,
0,610,2,1,,,,,,,,1.6367,,,,,,,,,1.5579,1.5579,,,1.61215,1.3498649999999999,,1.159,1.75,0.085453,,,,,,,-1.781,,-0.62863,,-2.0100499999999997,,-2.042,,,,,,,,,,1.2034,0.0706789999999999,,,,,,,0.31692,,,,-0.081988,-0.013042000000000054,,,-0.3824,-0.7763800000000001,,1.22634,-0.59416,,,,,,,,,,1.1442866666666667,,,,,0.62225,,0.052619999999999965,-0.067214,,0.16917549999999995,-0.11646,,-0.03602466666666663,-1.2910249999999999,-1.4166
2,805,2,1,,,-0.27496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37475,,,,,,,,,,,,,,,,,-0.27496,-0.45413499999999996,-0.2942404999999999,-0.35207,,,,,,,-0.079909,,,
1,53,1,2,,,,,,,,,,,,,,,,,,,,,,,-0.6924100000000001,,,,,,,,,,,,,,,,,,,,,,,,,-0.29439,,,,,,,,-0.44943,,,,,,,,,,,,,,,,-0.55125,,,,,,,,,,,,,,,,,,,,,,
2,30,1,1,,,-0.14708,0.012430500000000004,,,-0.45786,0.05781000000000003,,,,,,,,,,,,,,,,,,,,,,-0.68888,-0.72738,,,,,,,-0.72738,,,-0.10720499999999998,0.33696,-0.2937613333333333,-0.3629765,-0.25159,,,,,-0.51378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54587,,,-0.46611,,,,-0.46886,-0.435855,-0.40698,-0.38085,,-0.5101100000000001,,-0.39185,-0.58437
1,142,2,3,,,,,,,,,,,,,,,,,,,,,-0.27116,,-0.18903499999999995,,-0.39712,,-0.39712,-0.39712,,-0.2662199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.071101,,,,-0.015529,,0.022753,,
3,353,2,1,,,-0.5514,-0.51388,,-0.4074,-0.4175399999999999,-0.26543,-0.36480999999999997,-0.2978799999999999,-0.41146,,,,,,,,-0.5169199999999999,-0.58182,-0.3425,-0.67309,-0.7319100000000001,,-0.48853,-0.46825,,,,-0.50171,,-0.099124,-0.099124,-0.27152,,,0.0529865,,-0.029153,,-0.32628,0.07124,,-0.18633,0.11079049999999999,-0.288755,,-0.2918,-0.3871199999999999,-0.458105,-0.5225,-0.65281,-0.5230100000000001,,-0.576755,-0.40943,-0.38509,-0.44255666666666665,,-0.25123,-0.17619,-0.37292,-0.53416,-0.58182,,,-0.52909,-0.51489,,,,,,,,,,,,,,,,,-0.040308,,,,,,,,,
2,244,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31893,,-0.37722,,-0.28476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5179199999999999,
1,189,2,2,,,,,,,,,,,-0.2951349999999999,-0.12347,,,,,,,,,,,,,,,,-0.22341,-0.29835999999999996,-0.057385,-0.35075,-0.047713,-0.018699,0.069954,-0.2298599999999999,-0.12266550000000001,,-0.15087,0.0635059999999999,-0.17828,-0.065444,-0.19117,,,-0.6038100000000001,-0.62638,-0.518385,-0.063832,-0.7440399999999999,-0.233075,-0.45391,-0.499035,-0.24489999999999998,-0.48936499999999994,-0.36364,-0.37976,-0.46197,-0.3416133333333333,,,,,,-0.0009689999999999,,,-0.12025,,,,,,-0.45391,,,,,-0.20366249999999997,-0.22340499999999996,,-0.223405,-0.45552,-0.13314,-0.30723,,,,-0.37573,-0.4490699999999999,-0.26129,,,,
2,244,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29079,,,,-0.30285,-0.28878,-0.34305,-0.19029,,,,,,,,-0.10989,,,-0.24054,,,,-0.17622,-0.28978499999999996,,,-0.24858,,,-0.31893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,2,2,-0.7240300000000001,,-0.27413,-0.18227,-0.12809450000000006,,-0.20111300000000001,-0.1328,,,,,,,,,,-1.0514,,,-0.80177,-0.686345,-0.34715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13987,,,,-0.2482199999999999,-0.51675,,-0.34126500000000004,0.098035,-0.15046799999999988,,,,,,,,,,,,,,,,,,,,0.83295,0.5190795,,,1.4218,1.1321
0,116,1,3,,,,,,,-0.08776499999999995,0.0270389999999999,,,,,,,,,,,,,,,,,,,,,,,,,-0.36903,,0.1590599999999999,-0.19396,,,,,,,,,,-0.42644,-0.11934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05574,,,,,,,0.17054,,,0.65559,
1,81,1,1,,,,,-0.037283,-0.2163199999999999,,,,,,,,,,,,,,-0.055187,,,0.046266,,,,,,,,,,0.037314,,-0.15067,,,,,,-0.44309,,,-0.35358,,-0.48188,,-0.1148599999999999,-0.061155249999999994,-0.016396,0.091024,-0.001477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27003,,0.15369,-0.173051,-0.37148,,,,,-0.49382,-0.24914,,
2,10,2,1,0.77877,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7632933333333334,-0.760545,-0.2199566666666666,-0.49084,-0.21289000000000002,,0.5502900000000001,0.2935395,0.75993,,0.41367,-0.024451,0.40896,,,-0.4798466666666667,0.059169,-0.18697999999999998,-0.76879,-0.6251033333333333,-0.24469050000000003,-0.25058,-0.38013,0.1192299999999999,0.43016,,-0.25529,,,,,-0.31182,,,,,-0.6262800000000001,,-0.01974,,-0.005604999999999999,,0.068591,,,,,,-0.4178199999999999,,,,,,,,,,,,,,,,,,
1,942,2,1,0.9131699999999999,,,,,,,,,0.8173199999999999,,,,1.0272,,,0.8173199999999999,,0.60741,,,,,,,,,0.89946,,,,,,,,,,,,,,,,,-0.35089,,-0.39652,,-0.6338199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62566,,,0.78994,,,,,,,,,,,1.91255,,1.7939,,
1,713,1,1,,-0.2694,,,,-0.40773,-0.41465,-0.35932,-0.28669,-0.35585666666666665,-0.29015,-0.31436,,0.093708,-0.162197,,0.093708,,,,,-0.33165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.099951,,,,,,,,,,,,,,,,-0.264215,,,-0.17949,,,,-0.27113,,,-0.30744,,,,0.000337,0.14904,0.1040799999999999,,,,0.16633,-0.020412,
0,55,2,2,,,,,-0.339445,,-0.18610733333333332,-0.037059999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04671,,-0.24133000000000002,,,-0.072445,,,,,,,,,,,-0.048319,,,-0.048319,,,,,,,,,,,,,,,,,0.0900059999999999,0.093223,-0.099788,,,,,,,,,-0.094963,,,,,-0.14482,,,,,,
1,144,1,2,,,,,,,,,-0.10048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044357,-0.2195599999999999,,,,,,-0.02645,,,,,,,,,,,,,,,,,,,,,,,,,-0.20347,,,,,-0.0811669999999999,,,,,
3,921,2,1,,,,,,,0.0029639999999999497,-0.018307,-0.013991,,,,0.11425,,0.026701,0.011287,,,,,-0.057148,,,,-0.04975,,,,-0.038036,,,-0.033103,-0.067013,0.024234,-0.05529866666666666,,-0.0281709999999999,-0.0170729999999999,-0.0620805,,-0.041118,,-0.1077,,,,,,-0.0657799999999999,,,,-0.039269,,0.034099,,,,,-0.064547,,,-0.0830429999999999,-0.037419,-0.1114,,-0.0263209999999999,-0.1015399999999999,,,,,,-0.0010429999999999,-0.0830429999999999,,,,,,,,,,-0.009675,,,,,,,,,
