fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g692,chr4-g693,chr4-g694,chr4-g695,chr4-g696,chr4-g697,chr4-g698,chr4-g699,chr4-g700,chr4-g701,chr4-g702,chr4-g703,chr4-g704,chr4-g705,chr4-g706,chr4-g707,chr4-g708,chr4-g709,chr4-g710,chr4-g711,chr4-g712,chr4-g713,chr4-g714,chr4-g715,chr4-g716,chr4-g717,chr4-g718,chr4-g719,chr4-g720,chr4-g721,chr4-g722,chr4-g723,chr4-g724,chr4-g725,chr4-g726,chr4-g727,chr4-g728,chr4-g729,chr4-g730,chr4-g735,chr4-g736,chr4-g737,chr4-g738,chr4-g739,chr4-g740,chr4-g741,chr4-g742,chr4-g743,chr4-g744,chr4-g745,chr4-g746,chr4-g747,chr4-g748,chr4-g749,chr4-g750,chr4-g751,chr4-g752,chr4-g753,chr4-g754
1,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37404,,,,,,,,,,,,,,,,,,,,,,,
1,53,1,1,-0.963805,,,,,,-1.0629,,,,,,1.1591,,,,,,,,,,,,,,,,,,,-0.85098,,-1.104,,,,,,,,,,,,,,,-1.3774,,-1.3706,-1.1997,,-0.74842,,,,-1.4663,-1.3638
0,646,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.48086,,,,,,,,,,,,,,,,,,,,,,,,,-0.3049699999999999,
1,53,1,2,-0.69372,,0.22381600000000001,0.35006999999999994,-0.850975,-0.74672,-0.6492785,0.79677,-0.6920225,-0.43846999999999997,-0.505705,-0.505715,-0.76893,0.32727,-0.553565,-1.0526849999999999,,,0.23612450000000001,0.27715,,,0.48453999999999997,0.03784499999999999,,-0.146755,,,-0.47494,-0.39289,-0.66638,,,,,,,,,,,-0.457845,,-0.73475,,,,,-0.44075,,,-1.0185,-1.0389950000000001,,-1.3296,-0.81679,,,
2,244,2,2,,,,,,,,,,,,,,-1.1712,,,,,,,,,,,,-1.1283,,,-0.859835,,-0.65578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,455,2,1,,0.6974199999999999,,,,,0.8683933333333332,,,,,,,-0.95054,,,,,,,,,-1.1142,0.07534,,,,,,,,,,,,,,0.49006,,,,0.61011,,0.66468,2.0944,,,1.1093925,0.7028725,0.32635,,0.5519033333333333,1.275825,,1.0175566666666667,1.035725,,0.99207,0.38092
3,921,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47812,,,,,,,,,,,,,,,,,,0.5736,0.743045,,,,,,
2,181,2,2,,,,,,,,,,-0.81117,,-0.5141399999999999,,,-0.98364,,,,,-0.5716249999999999,-0.1117099999999999,,,,-1.1369,,,,,-1.1274,,,,,,,,,,,,-0.8015899999999999,,-0.90699,,-1.35735,,-0.6099600000000001,,,,,,,,,,,
2,244,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51618,-1.0531,-0.45175,,,,,,,,,-0.98868,,,,,,,,,,,,,,,,
1,94,1,4,,,-0.70399,-0.655208,,-0.25206,1.7924,,,,,,,,,0.009775000000000006,0.47247,,,,0.2668269999999999,-0.36683,-0.58204,-0.18749499999999997,-0.5174749999999999,-0.78289,-0.77572,,-0.9024533333333333,-0.86898,-0.653775,-0.25923,,,,,,,,,,,,,,,,-0.768545,,,,,,,,-1.2133,,,
1,142,2,2,-1.0678,,,,-1.1629,,-1.1493,,,-1.1629,,-1.07795,,,,,,,,,,,,,,,,,,-1.1357,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.064375,,
