200kb name,category,MLI1_mean,Purkinje_mean,gene,chrom,chrom_id,group,log2FC_M2P
chr1-g16,MLI1,53.151513742875544,6.0782108584966625,Xkr4,chr1,1,16,3.128392150759481
chr1-g17,MLI1,53.151513742875544,6.0782108584966625,Xkr4,chr1,1,17,3.128392150759481
chr1-g18,MLI1,53.151513742875544,6.0782108584966625,Xkr4,chr1,1,18,3.128392150759481
chr1-g24,MLI1,1.866258388469939,0.10803409889382165,Rgs20,chr1,1,24,4.11059009657646
chr1-g25,MLI1,1.866258388469939,0.10803409889382165,Rgs20,chr1,1,25,4.11059009657646
chr1-g41,MLI1,22.76571315132746,3.7067955997273065,Sntg1,chr1,1,41,2.618618184145948
chr1-g42,MLI1,22.76571315132746,3.7067955997273065,Sntg1,chr1,1,42,2.618618184145948
chr1-g43,MLI1,22.76571315132746,3.7067955997273065,Sntg1,chr1,1,43,2.618618184145948
chr1-g44,MLI1,22.76571315132746,3.7067955997273065,Sntg1,chr1,1,44,2.618618184145948
chr1-g45,MLI1,22.76571315132746,3.7067955997273065,Sntg1,chr1,1,45,2.618618184145948
chr1-g46,MLI1,22.76571315132746,3.7067955997273065,Sntg1,chr1,1,46,2.618618184145948
chr1-g48,MLI1,0.811556175347335,0.1594663938910735,Sgk3,chr1,1,48,2.3474385395532824
chr1-g49,MLI1,0.811556175347335,0.1594663938910735,Sgk3,chr1,1,49,2.3474385395532824
chr1-g50,MLI1,5.6424251579225135,1.2006342919181445,Arfgef1,chr1,1,50,2.232518598191551
chr1-g51,MLI1,5.6424251579225135,1.2006342919181445,Arfgef1,chr1,1,51,2.232518598191551
chr1-g57,MLI1,0.642870944698139,0.10454673920892492,A830018L16Rik,chr1,1,57,2.6203810826540517
chr1-g58,MLI1,0.642870944698139,0.10454673920892492,A830018L16Rik,chr1,1,58,2.6203810826540517
chr1-g76,MLI1,0.9553715623503564,0.15487698697966923,Kcnb2,chr1,1,76,2.62493914269322
chr1-g77,MLI1,0.9553715623503564,0.15487698697966923,Kcnb2,chr1,1,77,2.62493914269322
chr1-g78,MLI1,0.9553715623503564,0.15487698697966923,Kcnb2,chr1,1,78,2.62493914269322
chr1-g80,MLI1,1.6698617155395818,0.287026532442346,Rpl7,chr1,1,80,2.540472625846519
