fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g750,chrX-g751,chrX-g752,chrX-g753,chrX-g754,chrX-g755,chrX-g756,chrX-g757,chrX-g758,chrX-g759,chrX-g760,chrX-g761,chrX-g762,chrX-g763,chrX-g764,chrX-g765,chrX-g766,chrX-g767,chrX-g768,chrX-g769,chrX-g770,chrX-g771,chrX-g772,chrX-g773,chrX-g774,chrX-g775,chrX-g776,chrX-g777,chrX-g778,chrX-g779,chrX-g780,chrX-g781,chrX-g782,chrX-g783,chrX-g784,chrX-g785,chrX-g786,chrX-g787,chrX-g788,chrX-g789,chrX-g790,chrX-g791,chrX-g792,chrX-g793,chrX-g794,chrX-g795,chrX-g796,chrX-g797,chrX-g798,chrX-g799,chrX-g800,chrX-g801,chrX-g802,chrX-g803,chrX-g804
1,194,1,1,,,-0.94598,,,,,0.3944,,,,-1.223,,-1.1649,,,0.72949,0.35419999999999996,-0.5185333333333334,,,,,,,,,,,-1.1872,,,,,,-0.8834299999999999,,0.55524,,0.08759666666666666,-0.3093,,-1.1314,-0.2947925,-0.3889800000000001,-1.2141,,,0.59545,,,-1.3079,-1.2945,,0.33631
0,750,1,2,0.84231,,,,,,,,,,0.0084099999999999,,-0.038206,,,,,,,,,,,,,,-1.7319,,0.39687,-1.151775,,,,,,,,,,,,,,,,,-0.88764,,,-1.3124,-1.3564,-1.1104,-1.27262,,-1.5385333333333333
3,28,2,1,,,,,,,,,,,,,,,,,,,,,,,,-0.76107,,,,,,,,,,,,,,,,,,,,,,,,,0.15142,,,,,,
1,144,1,2,,,,,,-0.47705,,-0.61545,,,,,,,,,,,,,,,,,,-0.6186699999999999,,,,,,,,,,,,,,,,,-0.34187,,,,,,,,,,,,
2,808,2,1,3.3103,3.15355,1.10055,2.5966,,1.7820649999999998,,1.1495,,0.46938,,0.024347,,-0.24715,,,,,0.4469899999999999,,,,,,,,,-0.653,-0.18277,-0.453712,,,,-0.0008439999999999,,0.29864,0.46938,0.4413899999999999,,,0.45818,0.4246,,,,0.28465,,,,,,,,,
2,181,2,2,,-0.48991,,-0.52264,-0.56225,-0.5045499999999999,,-0.59842,,,,,,,,,,,,,,,,-0.33146,,-0.51402,,,,-0.3842733333333333,-0.43221,-0.359015,,,-0.42274,,,-0.418435,-0.34696,,-0.3745199999999999,,-0.32054999999999995,,,-0.20573,,,,,,,,,
3,157,2,1,1.20465,1.2896,,,0.6858495,,,,,,,,-0.354,,,,,,-0.12598,-0.24076,,,-0.20709500000000003,-0.1703599999999999,,,,,-0.6432399999999999,-0.58049,-0.49326,-0.18873,,-0.22545499999999996,-0.21474,,-0.15965,,,,,,,,,,-0.15659,,0.042352,-0.1474099999999999,0.07295850000000001,-0.069362,-0.20709,,-0.07012624999999997
0,18,2,2,,,,,1.1265,,,,0.53872,,0.17298049999999998,-0.1691599999999999,,0.2008665,0.24913,,,,-0.406195,-0.1627299999999999,-0.50594,,-0.38153000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,210,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.56282,,-0.10216,-0.27113,,-0.7599600000000001,-0.44816,,-0.8142699999999999,-0.19167499999999998,-0.56282,-0.73079,,,,,-0.56282,,,,-0.90479,,,,-0.8766299999999999,-0.80924,,
1,942,2,1,,,,,,,,,,0.66217,,,,,,,,,,,,,,-0.39652,-0.2596199999999999,,,,,,,0.2149655,0.192145,0.5800299999999999,0.507015,1.8486,0.0963185,,,,,,,,,,,,0.48876,,,,,,
