fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g25,chr7-g26,chr7-g27,chr7-g28,chr7-g29,chr7-g30,chr7-g31,chr7-g32,chr7-g33,chr7-g34,chr7-g35,chr7-g36,chr7-g49,chr7-g50,chr7-g51,chr7-g52,chr7-g53,chr7-g54,chr7-g55,chr7-g56,chr7-g57,chr7-g58,chr7-g59,chr7-g60,chr7-g61,chr7-g62,chr7-g63,chr7-g64,chr7-g65,chr7-g66,chr7-g67,chr7-g68,chr7-g69,chr7-g70,chr7-g71,chr7-g72,chr7-g73,chr7-g74,chr7-g75,chr7-g76,chr7-g77,chr7-g78,chr7-g79,chr7-g80,chr7-g81,chr7-g82,chr7-g83,chr7-g84,chr7-g85,chr7-g86,chr7-g87,chr7-g88,chr7-g89,chr7-g90,chr7-g91,chr7-g92,chr7-g93,chr7-g94,chr7-g95,chr7-g96,chr7-g97,chr7-g98
1,53,1,3,,,,,-0.54662,-0.72018,,-0.53505,-0.74795,,,,,,,,-0.8752200000000001,-0.8891100000000001,,,,,,,,,,-0.6901,,,,,,,,-0.78035,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,1,2,,,,,,,,-0.30133,-0.32447,,,,,,,,,,,,,,,,,,,,,,-0.66233,,,,,,-0.40315,,,,,,,,,,,,,,,-0.39158,,,,,-0.41935,,,,-0.53505,
2,852,2,1,,,,0.27571,0.57601,0.10802,,,,,1.3365,,,,,,,,,,,,,,-0.5159699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,210,2,2,-0.2329099999999999,,,,,-0.4039,,,,,,,,,,,,,,,,,,-0.4763199999999999,-0.48034,,,-0.53264,,,,,,-0.5728800000000001,-0.52862,-0.45721,,,,,,,,,,,,,,,-0.4904,,-0.51454,,,,,,,,,
2,578,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,98,1,2,,,,,,,0.19915,,0.16419,0.16419,,,,,0.1169,,,-0.7324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,157,2,3,-0.21474,-0.32952,,-0.27596,,,,,,,,,,,,,,-0.14282,,,,,,,,,,,,,,,,,-0.29738,,,,,,,,,,,,,,,,-0.15353,,,,-0.090787,,,,,,,
1,94,1,2,,,,,,-0.52079,-0.48383,-0.21281,-0.57992,-0.39102666666666663,,-0.6218,,,,-0.34093,,,,,,,,,-0.13396,,-0.17092,-0.21773,-0.14628,,-0.050191,,,,,,,,,,,,,-0.43948,-0.36064,,,,,,,,,,-0.19679,,,,,,,-0.4247
2,181,2,2,,,,,-0.022296999999999997,,,,,,,,,,,,-0.11789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11444,,,,,,,,
1,94,1,3,,,,,,,,,,,,,,,,-0.10439550000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26025,,,,,,,,,,,,,,,,
3,157,2,2,,,,,,,-0.1015005,0.12193,,,,,,,,,,,,,,,,,,0.028579,,,,,,,,-0.14435,,,,,,,,,,0.0040939999999999,-0.04793850000000006,,-0.066301,0.0928529999999999,0.045413,,,,0.10356699999999994,0.045413,0.036231,,0.074489,,,,,
0,55,2,2,-0.0016739999999999498,0.027277,0.11092,-0.00730399999999995,,-0.014542,,0.059446,,,,,,0.33127,,,,0.28060499999999994,,,,,,,-0.135975,,-0.1528633333333333,-0.12552366666666662,-0.15287,0.040145,,,,-0.14,,,,,,,,,,,,,-0.1786,,,,,,,,,,-0.18664,,-0.0258009999999999,,-0.11266,
0,89,2,2,,,,,0.18996,,,,,,,,,,0.22729,0.006854,,-0.17092,0.022854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1153,,,,,
1,144,1,2,,,,-0.2646199999999999,,,-0.0618549999999999,0.054013,,-0.14554,,,,,,,,,,,,,,,,,,,,-0.045763,0.099072,,,,,,0.0636679999999999,,,,,,,,,,,,,,,,,,,,,,,,,
2,210,2,4,,,,,,,,,,,,,,,,0.048713,,,,,,,,,,,-0.12428549999999994,,,0.10000800000000004,,,,,,0.24183,,,,,,,,,,,,,,,,,,,,,,,,,,
2,244,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,648,2,1,1.4416,,0.4125399999999999,0.54845,0.6843600000000001,1.1098833333333333,,,0.70378,1.2523,0.17632000000000003,0.1116,,,,0.24265,,,,,,,,,0.048497,,,,,0.1116,,,,,,,,,,,,,,,,,,0.8785200000000001,,,0.55816,,,,,,,,,,,
0,99,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,116,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10786,,,,,-0.16669050000000007,0.48912,,,-0.181042,,0.66994,,,,,,,,,,,,,,,,,,,,,,,,,
1,142,2,2,,,,,,,0.10055,0.0770899999999999,0.20058,0.22188499999999997,0.11167,,,,,,,,,,,0.30185,0.22405,,,,0.0647409999999999,,-0.004415,,,,,,,,,,,,,,,,,,,,,,,0.24134,,0.13143,0.62293,,,,,,,
