fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g548,chrX-g549,chrX-g550,chrX-g551,chrX-g552,chrX-g553,chrX-g554,chrX-g555,chrX-g556,chrX-g557,chrX-g558,chrX-g559,chrX-g560,chrX-g561,chrX-g562,chrX-g563,chrX-g564,chrX-g565,chrX-g566,chrX-g567,chrX-g568,chrX-g569,chrX-g570,chrX-g571,chrX-g572,chrX-g573,chrX-g574,chrX-g575,chrX-g576,chrX-g577,chrX-g578,chrX-g579,chrX-g580,chrX-g581,chrX-g582,chrX-g583,chrX-g584,chrX-g585,chrX-g586,chrX-g587,chrX-g588,chrX-g589,chrX-g590,chrX-g591,chrX-g592,chrX-g593,chrX-g594,chrX-g595,chrX-g596,chrX-g597,chrX-g598,chrX-g599,chrX-g600,chrX-g601,chrX-g602,chrX-g603,chrX-g604,chrX-g605,chrX-g606,chrX-g607,chrX-g608,chrX-g609,chrX-g610,chrX-g611,chrX-g612,chrX-g613,chrX-g614,chrX-g615,chrX-g630,chrX-g631,chrX-g632,chrX-g633,chrX-g634,chrX-g635,chrX-g636,chrX-g637,chrX-g638,chrX-g639
2,947,1,1,,,0.17218,-1.069685,,,,,,-0.1332,,,,,,,,,,,,,,,,,,,,,,,,-1.1511,-1.2529,-1.2733,-1.110405,,-1.1511,,,-0.0517669999999999,-0.15356,,,,,-0.11284,,,0.55899,,,,,,,,,,,,,,,,,,,,,,,,-1.1308,-0.21464,,
1,144,1,2,,,-0.40435,,,-0.56295,-0.037372999999999997,,,,,-0.96413,,-0.6096,,,,,,,,,,-0.2364099999999999,-0.7308899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2644,,,,,,,,,,,,,,-0.6469199999999999,-0.99212
0,215,1,2,-0.77777,,,,,,,,,,,-0.81377,,0.02158,,-0.8785799999999999,,,,,-0.36009,,,,,-0.88579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,2,1,,,-0.12384,,-0.12384,,-0.12384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3462,,,,,,,,,,,,,,,,,,,,,,
1,194,1,1,,-0.55201,-0.6820124999999999,-0.61749,-0.7317666666666667,-0.5231250000000001,-0.72534,-0.83368,,,,-0.90831,,-0.51348,0.045033000000000004,-0.88905,,0.43022,0.016145,0.83467,0.6228199999999999,0.82985,1.7302,1.2391,0.73195,,,,,,,,,,,,,,,-0.31127,0.3917,1.0369,,,,,,,,,,,,,0.8154100000000001,,,,,,,,,,0.90208,0.536152,1.0369,,-0.24386,,,,,,,,,0.5120750000000001
1,663,1,1,,,-0.55877,,-0.34529,,-0.31617,,,,,,0.48923,,0.18356500000000006,0.37279,0.77064,,,,,,,,,0.023453,0.7803399999999999,,,,,0.5183399999999999,,0.7803399999999999,1.3237,,,,1.6633699999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.316175,-0.8207700000000001,-1.0148,-1.141,0.091379,
2,210,2,2,,,-1.0857,,,,,,,,,,,,,,,,,,,,,,,-1.164,,,,,,,,,,,,,,,,,,-0.6159100000000001,-0.6159100000000001,-0.75013,,,,,,-1.0633,-0.6159100000000001,,,,,,,,,,,,,,,,,,,,,-0.5488,-0.37356999999999996,,,
2,808,2,1,,,,,,,,,,,-0.8393200000000001,-0.4258399999999999,,-0.3845,-0.16397,,,0.37355,-0.095062,-0.27424,-0.3018,-0.260455,,0.18059,-0.267345,,0.27707,,,,-0.19154,,,,-0.41206,0.71811,0.86972,,,,-0.35693,,,,-0.067496,-0.067496,,-0.45341,-0.81174,-1.0047,-1.0874,-1.1839,-1.0185,-0.17776,-0.15019,0.8835,,,,1.7656,,,,,-0.49476,-0.66704,-0.19154000000000004,,,-1.1012,,-0.2466699999999999,-0.3845,-0.54989,-0.60502,-0.8668899999999999,,-0.41206
1,942,2,1,,,2.1412,1.6594,1.291,,,,,,1.9853,,,,,1.6736,,,,,,,,,,,,0.15757,,,,,-1.0467,,,,,,2.10575,,,2.0561,,,,2.0561,,-1.2876,,,,,1.6736,,1.4186,,,,,0.27092,,,,,,,0.2284199999999999,,,0.79515,2.7646,,,,,,0.79515,
3,853,2,1,,,,,,-1.0998,-0.434475,,,,,,,,,,,,,,,,-0.079661,,,-0.47884333333333334,,-1.0222,0.20864,,,,,-0.63408,,,,-0.29773,,,-0.34578,,-0.48993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39714,,
