fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g179,chr7-g180,chr7-g181,chr7-g182,chr7-g183,chr7-g184,chr7-g185,chr7-g186,chr7-g187,chr7-g188,chr7-g189,chr7-g190,chr7-g191,chr7-g192,chr7-g193,chr7-g194,chr7-g195,chr7-g196,chr7-g197,chr7-g198,chr7-g199,chr7-g200,chr7-g201,chr7-g202,chr7-g203,chr7-g204,chr7-g205,chr7-g206,chr7-g207,chr7-g208,chr7-g209,chr7-g210,chr7-g211,chr7-g212,chr7-g213,chr7-g214,chr7-g215,chr7-g216,chr7-g217,chr7-g218,chr7-g219,chr7-g220,chr7-g221,chr7-g222,chr7-g223,chr7-g224,chr7-g225,chr7-g226,chr7-g227,chr7-g228,chr7-g229,chr7-g230,chr7-g231,chr7-g232,chr7-g233,chr7-g234,chr7-g235,chr7-g236,chr7-g237,chr7-g238,chr7-g239,chr7-g240,chr7-g241,chr7-g242
2,18,1,1,,,,,,,1.7962,,-0.38194,,-0.27612,-0.17912,,,,,,,4.4329,,3.1542,4.1507000000000005,2.87641,4.4064,5.252966666666667,,,3.1807,-0.0733,,,,2.9249,,0.10307,1.4258,0.0854299999999999,2.6604,,0.482255,,,,,,0.57926,,,,,,,0.30589,-0.483355,,,,,4.38,3.1718,1.1172,0.56162,-0.38634999999999997,-0.099755
0,190,1,2,,0.51746,-0.12971,,-0.28502,,,-0.19874,-0.40583,,-0.52663,,-0.8200099999999999,-1.0357,,,-0.26777,,,0.40528,,,,-0.13833,,,,,,-0.8459,,,,,,,,,,,,,,,-0.336795,,,-0.02616,-0.09519,-0.18148,,,-0.44897,-0.6452775,-0.54389,,,,-0.46623,-0.47486,,,,1.8635
3,157,2,3,,,,,,,,,,,,,,,,,,,,,,-0.95881,,,,-0.73431,,-0.8746200000000001,-0.76237,,,-0.69689,-0.29466,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5846399999999999,,,
1,94,1,2,,,,-0.051198,,,,,,,,,,,,,,,-0.28075,,,,,0.5155099999999999,,0.40791,-0.4313899999999999,,,,,-0.28075000000000006,0.44377,0.5083300000000001,0.40073,,,,,,,,,,,,,,,,-1.1631,,,,,,,,,,,,,
2,210,2,3,,,,,,,,,,-0.86198,-0.9291,-0.78369,,,,,,,-0.53762,,-0.94028,,-0.67184,-0.6998,-0.91791,-0.7725,-0.912315,,,,,-0.81165,-0.79487,,,,-0.42577,-0.45932,,,,,,,,,,,-1.28145,,-1.164,,-1.4101,,,,-1.0298,,-1.1975,,,,-0.95147,
0,89,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.70962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,181,2,2,,,,,,,,,,,,,,,,,,,,-1.1274,,-1.0507,,,,,,,-1.2903,-1.1944,,,,,-1.3094,,,,,-0.98364,,,,,,,,,,,,,,,,,,,,,,,,
1,194,1,1,,1.9421,1.3643,1.2295,,1.3258,,,,,,,0.47836999999999996,,,,,,,-0.012744,,-0.08015249999999999,,-0.3160815,,,,,-0.5183019999999999,,0.016145,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3513,,-1.2839,-1.3898000000000001,,
1,81,1,2,,,,,,,,,,,,,-0.625085,,,,,,-0.17392,,,,-0.17392,,,,,,-1.0762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,2,2,-0.5402100000000001,-0.35239666666666664,-0.35629,-0.78252,-0.6268166666666667,-0.595675,-0.1558233333333333,-0.7007800000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.61319,,,,,,,-0.584,,,,,,,-0.49642,,,-0.36213,-0.4789,,,,-0.02348,,,,,,0.12833,-0.23367
1,142,2,3,-1.0202,,-1.326,,-1.04739,,,,,,,,,,,,,,-1.35655,,,,,,-0.79602,,,,-0.6533399999999999,,,,,,,,,,,-1.1425,,,,,,,,,,,,,,,,,,,,,,,,
1,77,2,1,,,,1.6087,2.0002,0.9595,2.5529,,,1.66948375,2.0145999999999997,2.7112499999999997,2.5846,2.3216666666666668,1.38269,,,,-0.6108600000000001,,1.0387,1.8937,1.53815,0.63105,0.9820766666666666,0.76807,,,,,,,,,,1.5122,2.0856,,,0.77095,-0.19343,,,,,-0.43813,,-0.8382799999999999,,0.1836799999999999,,0.62989,,,-0.76343,0.37512,-0.31722,,,,,-0.02502499999999999,-0.331615,0.7234349999999999
0,89,2,2,,-0.79424,-0.8471200000000001,,,,,,,,-0.64088,,,,,,,-0.59328,-0.17021,,,-0.6197199999999999,-0.3553,,,,,,,-0.85241,-0.81539,-0.97404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,455,2,1,-0.92871,,,,-1.0815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13202,,,,,,,,,,,,,,,,,,,,,-0.514,,,,
0,648,2,1,-0.96345,-0.92852,,-0.80977,,-0.537335,-1.0123,,,-0.41858,,-0.86565,,-0.8237399999999999,,,,,,,,,,,,-1.1451,,,,,,,,,,-0.4605,-0.7608699999999999,-0.42906,,-0.71197,-0.6327999999999999,-0.57226,-0.7643599999999999,-0.48145,,,,,,,,,,,,,,,,,,,,
2,578,2,1,-1.4845,-0.8609899999999999,,-0.1069799999999999,-1.093,,-1.1365,,0.067024,0.023523,0.110526,0.41503,0.41503,,,,,,,-1.412,,,-1.2525,,-0.8754900000000001,,,,,,,-0.0924779999999999,,-0.8609899999999999,,,,,,,,-1.0494999999999999,-0.4296095,0.2337760000000001,0.2410265,0.60352075,0.32803,0.58903,-0.80299,0.08877500000000002,0.24103,-0.07072999999999996,,,,,-0.048978,,-0.23748,,-0.41148,-1.0495,,0.44040250000000003
2,569,2,1,-0.61243,-0.852815,-1.01814,-0.84369,-0.92888,,-1.0789866666666665,-0.9045449999999999,,-0.941065,,-0.98974,,,,,-0.47855,,-0.6509733333333334,-0.2381525,-0.6854600000000001,-0.40552,-0.843685,-0.8071740000000001,-0.5475166666666665,,,,,3.5258,-0.38118,-0.8436899999999999,-0.34467,,,-0.36901,-1.3670499999999999,,-1.3671,,-0.022150000000000003,-1.14795,-1.1236,,,,,,-1.02625,0.111755,0.86029,-0.192525,-0.44204,-0.22295,,0.854205,,,,0.580345,1.2680500000000001,,0.706134,1.146305
0,620,2,1,-0.31573,-0.45335000000000003,0.17123,,,-0.21693,-0.80269,,,,,,0.079485,,,,,,0.015969,,-0.195752,,,,,,,,,,,,,,,,2.4861,,,,,,,,,,,,,,,,,,,,0.36884,,-0.44276,,,,,
1,831,1,1,,-0.54174,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57239,,,,-0.34763,,-0.37827999999999995,,-0.36806,,,,,,,,,,,,,,,,,,,,,,,1.522,,,
2,1001,1,2,-0.0597419999999999,0.57209775,-0.03783,0.816785,-0.24966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24966,,-0.4395699999999999,,,,,,,0.086346,,,,,,,,-0.26426,-0.26426,,,-0.45418,,,,,,,,
2,947,1,1,,,,,,-0.17392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.54038,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,853,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.6058,,,,2.86985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
