fov,cellID,rep,dbscan_ldp_nbr_allele,chr19-g165,chr19-g166,chr19-g167,chr19-g168,chr19-g169,chr19-g170,chr19-g171,chr19-g172,chr19-g173,chr19-g174,chr19-g175,chr19-g176,chr19-g177,chr19-g178,chr19-g179,chr19-g180,chr19-g181,chr19-g182,chr19-g183,chr19-g184,chr19-g185,chr19-g186,chr19-g187,chr19-g188,chr19-g189,chr19-g190,chr19-g191,chr19-g192,chr19-g193,chr19-g194,chr19-g195,chr19-g196,chr19-g197,chr19-g198,chr19-g199,chr19-g200,chr19-g201,chr19-g202,chr19-g203,chr19-g204,chr19-g205,chr19-g206,chr19-g207,chr19-g208,chr19-g209,chr19-g210,chr19-g211,chr19-g212,chr19-g213,chr19-g214,chr19-g215,chr19-g216,chr19-g217,chr19-g218,chr19-g219,chr19-g220,chr19-g221,chr19-g222,chr19-g223,chr19-g224,chr19-g225,chr19-g226,chr19-g227,chr19-g228,chr19-g229
3,157,2,4,-0.53764,,,-0.32799,,-0.51775,,-0.32799,-0.34099499999999994,-0.32263,-0.4213399999999999,-0.3234,,-0.14435,-0.471075,-0.4657199999999999,,,,,,,,,,,,,,,,,,,,,,,-0.48867,,,,,,,,,,,,,,,,,,,-0.60804,,,,,,,
1,98,1,1,,,,,,,,,,,,,,-0.53293,,,-0.43833,,,,,,,,,,-0.80643,-0.14632333333333336,-0.12575999999999996,-0.59873,-0.84139,,-0.80848,,0.451065,,-0.5829633333333334,,,-0.528815,-0.70772,-0.7036100000000001,,,-0.2841,,,,-0.24914,0.06651499999999999,,,-0.2861599999999999,-0.15454499999999996,-0.39205999999999996,-0.6069599999999999,-0.51647,,,,,0.083994,,,-0.13604066666666662
2,603,2,1,-0.3736,,,,-0.6581600000000001,-0.48403,-0.25043333333333334,,-0.044444,0.002275,-0.3767885,-0.3028166666666667,-0.4550066666666666,,-0.299275,,-0.46492,-0.37785,,,,,,-0.4670399999999999,-0.1846,-0.66949,,,-0.60083,-0.528625,,,,,-0.033826,-0.55198,-0.7565566666666667,-0.427755,-0.48297,0.078724,-0.15699,-0.2674233333333333,-0.32405,,-0.23769,,,,,,,,,,,-0.51234,,-0.5711,,,-0.57534,,,,
3,718,2,1,-0.2228699999999999,,,,-0.13472800000000004,-0.051348,,,,,-0.51589,-0.2628932,-0.14306449999999998,-0.1109,-0.46883749999999996,,,,-0.56115,0.03679500000000002,,0.4703699999999999,0.18807000000000001,,,-0.0918465,-0.4523633333333333,,-0.49683,-0.4102733333333333,-0.3920099999999999,-0.18475350000000004,-0.14346166666666663,-0.256223,0.084441,-0.02355666666666671,-0.38486,,-0.47301,-0.59212,,,,-0.51589,,,,,-0.453472,-0.49683,-0.375335,-0.58021,,,,-0.5945,0.002491999999999983,-0.5825899999999999,-0.405115,-0.3634199999999999,-0.30863,-0.362235,,,
3,28,2,1,,,,,,,,,,,,-0.15622,,,,,,,,,,,,,,,,-0.27875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,89,2,3,-0.09269949999999999,,,-0.17092,,,,,,,,,,,,,,-0.33092,-0.2687,-0.31847000000000003,,,-0.13773433333333332,,,,,-0.29714,,,,,,,,,,,,-0.1904799999999999,,-0.053589,,0.053076,-0.17981,,,,-0.18277333333333334,-0.33625,,-0.29003,-0.17981,,,,,,,,,,,,
1,713,1,1,,,,-0.08266,,,,0.15941,-0.37661,0.22512000000000001,-0.09994833333333335,,,,,-0.20888400000000001,,-0.1241599999999999,0.1040799999999999,0.27353,,,,,,,,,0.05221,,,,,-0.27978,,,,,-0.43194,,,0.1040799999999999,,0.22858,-0.2313599999999999,,0.99284,0.911575,0.83031,0.56402,0.99284,0.74731,,,,-0.041161,,,,,,,0.26489,,
0,55,2,1,-0.314515,-0.11104899999999997,0.098048,,-0.2300699999999999,-0.13892866666666667,-0.22364,-0.25902,,,,,,,,,,-0.10220225,-0.38448,,-0.070837,-0.27296366666666666,,-0.011325,-0.5212,,-0.1416099999999999,-0.202727,,-0.20915999999999996,-0.21077,-0.18504,-0.18504,,-0.29119,,,,,-0.14804,0.31519,2.3064,-0.22685,,,,,0.36183,0.1093099999999999,0.31519,0.50659,-0.34426999999999996,0.14276399999999995,-0.26063,,,-0.051536,,,,,,,-0.10461,
2,711,2,1,,0.8124100000000001,,,,0.63112,,,0.90306,,0.6335,,0.31623999999999997,0.18862416666666668,0.750375,-0.055889,,-0.43756,,,,,,,,,-0.12745,,0.058612,,,,,,-0.25627,,-0.20856,,,-0.281311,-0.17278,-0.2992,,-0.048733,,,,,,,,,,,,,,,,,0.28761,0.2566,,-0.43517,-0.5616
3,27,2,1,,,,,-1.1274,,,,,,-0.30432,,,,-0.1146099999999999,,,,,,,,,,-0.23719,,-0.15693000000000001,,,,,,,,,,,,,,,,0.66466,,,,,,,,,,,,,,,,-0.067914,,,,,,
1,53,1,1,,,0.006441,0.51785,0.17537,0.024953,0.19851,,,0.62661,,,-0.20761249999999998,,,,,,,,-0.24811,,,0.08627499999999999,,-0.8567100000000001,-0.15092,-0.205875,-0.588275,-0.24579,-0.044469,0.26272674999999995,-0.21339799999999998,0.22165,0.2176,,-0.304805,0.050408,,,-0.55819,,,-0.59291,-0.87754,,,,0.2401599999999999,,,,,-0.07686500000000002,,-0.561665,,-0.7086100000000001,-0.71324,-0.4552149999999999,,-0.71787,,,0.11751749999999996
1,94,1,3,,,,-0.41731,,,,0.033578,,,,,,,,-0.40745,,,,,,,,,0.033581999999999994,,-0.15736799999999995,0.005861749999999999,,,-0.22512,,,,,,,,,,,,,,,,,,,,-0.0354079999999999,-0.10686,-0.21281,,,,,,,,,0.28489,0.038506,,
1,826,1,1,0.052697,,,,,,,,,,,0.21085,-0.54576,,-0.418165,-0.57272,-0.29596,,,0.45167,,,0.0023755,,,,,-0.008407,0.29711,,,,-0.24923,,,,,-0.5224,,,-0.24204,,,,,,,,,0.63498,0.84345,,,0.4840166666666667,,0.67452,0.64217,,0.7679699999999999,,-0.45411,,,0.259371,-0.29955
0,407,1,1,,,0.8668100000000001,,,,0.95533,,,0.22653,0.47733,,,0.42717,,,0.1129255,0.3357,,,0.40652,-0.0402116,,,,0.017032,,,,,,0.084896,,-0.43294,,-0.080339,,,,,,,,0.18227,,,,-0.03312999999999999,,,-0.28983,,,,0.05981499999999999,,,,,0.40061,,,,-0.40491,
0,250,1,3,1.5921333333333336,,,,,,2.8836000000000004,2.0633,,1.9547500000000002,,1.43415,2.4697,2.4053,2.0633,1.9977,1.6897,,,,,,,,,,,,,,,,,,,,,-0.089755,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,1,1,0.47578666666666675,,-0.49676,0.66394,0.235095,0.021282,-0.22063,0.41958,-0.054469,-0.22796,-0.003154,0.5148833333333334,0.8032199999999999,-0.24506700000000003,,1.0036,0.44646,,0.5613100000000001,0.5075533333333333,-0.000711,,,0.21677,0.18317,-0.21207999999999994,0.21676666666666664,-0.257285,-0.32244999999999996,-0.27683,0.12146899999999995,0.15350544444444444,-0.2133,0.28926,0.028615,0.3821133333333333,-0.40096799999999994,,-0.22308,,,,-0.33548,,,,0.34872,-0.32326,-0.2646199999999999,,,-0.03919499999999996,,,,,-0.017816,,,,,,-0.282945,-0.064243,
1,831,1,1,,,,,,,,-0.49599,1.0341,,,,,,,,,,,,,,,,,,,,,-0.039651,,,,,,,,,,,,,0.82605,,,,,,,0.5374800000000001,,,,,,,,,,,,,,0.6180100000000001,
1,94,1,2,,,,,,,,,,,-0.23744,,,,,,,,,,,,,,,,0.031116,,-0.1610599999999999,,,,,0.0286519999999999,,,,,,,,,,,,,-0.37049,,,,-0.19802,,,-0.32121,,,,,,,,-0.3015,,,
3,91,2,1,-0.37823,,,,,,,-0.03567950000000006,,,,0.26328,0.11224,,0.11224,-0.10419,0.25626999999999994,,,,-0.35955,-0.062666,,-0.22057924999999998,-0.24120999999999995,-0.1501235,,,,-0.1509,,0.1620685,-0.413265,-0.1298785,0.258605,0.10523500000000001,0.2165699999999999,0.23681,-0.254445,0.24459,0.032833,0.032833,,-0.34086,0.018430000000000023,,0.1138,,-0.023221,,-0.060591000000000006,,,-0.054362,,-0.20228,,-0.3138733333333333,,-0.26300999999999997,-0.24588000000000002,0.077988,0.07175866666666667,,-0.15661
