fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g534,chr4-g535,chr4-g536,chr4-g537,chr4-g538,chr4-g539,chr4-g540,chr4-g541,chr4-g542,chr4-g543,chr4-g544,chr4-g545,chr4-g546,chr4-g547,chr4-g548,chr4-g549,chr4-g550,chr4-g551,chr4-g552,chr4-g553,chr4-g554,chr4-g555,chr4-g556,chr4-g557,chr4-g558,chr4-g559,chr4-g560,chr4-g561,chr4-g562,chr4-g563,chr4-g564,chr4-g565,chr4-g566,chr4-g567,chr4-g568,chr4-g569,chr4-g570,chr4-g571,chr4-g572,chr4-g573,chr4-g574,chr4-g575,chr4-g576,chr4-g577,chr4-g578,chr4-g579,chr4-g580,chr4-g581,chr4-g582,chr4-g583,chr4-g584,chr4-g585,chr4-g586,chr4-g587,chr4-g588,chr4-g589,chr4-g590,chr4-g591,chr4-g592,chr4-g593,chr4-g594,chr4-g595,chr4-g596
1,53,1,1,,,-0.8806066666666666,,,,-1.3296,-1.2065,,0.99504,,,,,,,-1.1586,,-0.80312,-0.90568,,,-0.92619,-0.85098,,,-1.04583,,,,,,,,,,,,-0.76893,,-0.96721,-1.0219,,,-0.7301866666666667,-0.5433100000000001,,,,,,,,,,,,,,,,-1.2202,-1.186
1,98,1,4,,,,,,-1.1913,,,,,,,,,,,,,,,,,-0.99253,,,,,-0.48845,,,,,,,,,,,,-0.8434299999999999,,-0.8576299999999999,,-0.8599966666666665,,,,,,,,,,,,,,,,,,-0.63754,
1,942,2,1,,,,,1.0218,,,,,,,1.6736,,,,,,0.5967899999999999,0.32287,,,0.02439019999999998,0.5967899999999999,-0.30998,-0.026616,,,,0.55429,,,,,,,,,,,,,,,,,,,,0.33703999999999995,0.93684,,,,,,,,,,,,,
0,648,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7479899999999999,,,,,,,,,,,,,,,,,,,-0.3557099999999999,,,,,,,,2.4734,2.3407,1.44655,,,0.36379,0.838805,-0.2509305,0.314893
2,181,2,1,-0.035055,,,,,,,,,,,,,,,,0.15897475000000003,-0.46623,,,,,,,,,-0.365625,,,,,,,-0.56205,-0.19794,,,,,,,,,,,,,,,,,,,,0.31947,,,,,0.13742,,,
2,244,2,2,,-0.6772600000000001,,,-0.45175,,-0.17254,-0.62357,,,-0.94573,,,,,,-0.5484,,,,,,,,-0.48933499999999996,,,,0.1227675,-0.29783,-0.011465,,,,,,,,,,,,,,,,,,,,-1.1283,-0.87056,,,,,,,,,,,
2,45,2,1,,-0.3038599999999999,0.23173,,,,,0.058024,0.137637,0.196988,0.10788133333333337,,0.328225,-0.13016,-0.18323,-0.014353,0.6129100000000001,0.18348,0.6129100000000001,0.072499,,-0.23631,0.34753,0.0700865,,,,,,-0.24113,,,,,,,,,-0.2507849999999999,-2.1519,,,-2.1519,-0.1960966666666667,-2.1519,-0.59819,0.25103,,-0.062605,0.14487300000000006,,-0.077079,,,,,,,,,,,
1,663,1,1,-0.3938,,0.0913785,,-0.1124,0.1399,,,,0.1593,,,,,-0.14151,,,1.0909,,0.1301933333333333,,,-0.1221,,,,,,,,,,,,0.4116,,,,,,,,,,,,,,-0.015361,,,,,,1.4596,,,,,,,,
1,144,1,3,,,,,,,,,-0.41367,,,,,,,,-0.56295,,-0.4167833333333333,-0.76821,-0.8832733333333334,,-0.67491,,,-1.0947,-0.7962,,,,,,,,,-0.90815,,-1.2347000000000001,-0.8894799999999999,,,-1.1414,,-1.0388,,,,,,0.37313999999999997,0.1834299999999999,,,,,,,,,,,,-0.40435
0,55,2,1,-0.6715800000000001,,,,,2.0901,,,,,-0.7591600000000001,,,-0.7942,-0.7168325,-0.7095349999999999,,,,,,,,,-0.64239,,0.90488,,-0.5372899999999999,,,,,,,-0.69494,-0.69494,-0.46723,,-0.02348,-0.32126,-0.54897,-0.3679699999999999,,,,-0.63071,,,,,,-0.52561,-0.4321899999999999,,-0.64239,-0.66574,-0.64239,,,-0.57816,,0.15168
1,94,1,4,,,,,,,,,,,,,,,,,-0.96223,,,,,-0.7900699999999999,,0.70919,,,1.362,,,,-1.3066,,-0.30227,-0.6466,,-0.8797250000000001,-0.4457399999999999,-0.8151949999999999,-1.0483,,,,,,,,,,,,,-1.1129,,,,,,,,,,-0.2664,
2,244,2,4,,,,,,,,,,,,,,-0.56987,-0.263825,-0.43027,-0.2155,,,,-0.63431,,-0.88934,,,,,,0.095921,0.54694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,94,1,1,,-0.090654,,,,,,,,,,,,0.32182,,,,,0.042057,,,,-0.1157599999999999,,,-0.12293,0.26444,,,-0.63942,0.31465,,,,,,,,,,,,,,,,,,,,-0.19467,-0.022504,,,,,,,,,,,
0,89,2,3,,,,,,,,,,,,,,,,,,,,,,,,,-0.8629899999999999,,,,-1.0111,-0.4504899999999999,,,,-0.66996,,-0.84183,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,181,2,2,-1.3573,,,,,,-0.2746,,,0.18532,,,-0.24105999999999994,,0.8560399999999999,,-0.37041,-0.88782,,,,-0.73452,,-0.8399200000000001,,,,-0.10689499999999996,-0.14045,,,,-0.97406,,,-0.57163,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,636,2,1,,,0.689825,,0.70115,0.2624675,0.31624,0.406785,0.81436,0.28228,0.95021,0.5336038,0.91624,1.11152325,1.5955050000000002,,0.910575,1.575112,2.54833,0.85964,2.4370333333333334,0.4332266666666667,2.0313499999999998,,,1.0067949999999999,0.47473499999999996,,1.0974,0.7860400000000001,1.3464,,2.2181,0.055861499999999994,1.2048999999999999,1.12377,1.3012,,1.3076128571428571,1.4115199999999999,0.7124699999999999,0.8936099999999999,,0.32756,2.175675,1.35775,2.1388875,2.6653000000000002,2.0237933333333333,1.5238000000000003,,-0.091307,0.62191,,0.74643,0.80304,,0.3841699999999999,0.25964,,0.28228,1.84172975,
1,142,2,2,,,,-0.36798,,,,-0.5559533333333334,-0.334005,,,,,,,,,,,,,,,-1.1765,,,,,,,-0.8945350000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2988,,-1.4279,,
0,89,2,2,,,,,,,,,,,,,-0.84183,,,,,,,,,,,0.1312299999999999,-0.45578,,,-0.14906,-0.331505,-0.20194,,,,-0.46636,,,-0.41348,,,,,,,,,,,,,,,,,,,,,,,,,,
3,157,2,2,,,,,,,,,-0.5191600000000001,-0.48175,,,,,-0.94946,-0.79043,-0.99623,-0.6875399999999999,,,-0.98687,-0.9026649999999999,,-1.0056,,,,,,,,-0.37885,,,,,,,,,,,,,,,,-0.75302,-0.83721,,,,,,,,,,,,,-0.70625,
0,610,2,1,,,,,,,,,,1.2856,,0.2817699999999999,0.081002,0.8356299999999999,,,-0.37593,-0.3136199999999999,,,-0.085154,,,,,,,,,,-0.2097699999999999,,,,,,,,,,,,,,,,-1.2759,-0.902105,,-0.32746,-0.07361666666666666,-0.3366933333333333,-0.29285,,,,,,,,,,
1,98,1,2,,,,,-0.7653399999999999,,,,-0.40325,,,,-1.0848,,-0.8647299999999999,-0.7262850000000001,,,,,,,,,,,-1.0706,-1.028,,,,,,,,,,,,,,,,,,,-0.10507,,,,,,,,,,,,,,,0.104375,
2,172,2,1,,,,,,,,,,,0.12642,,,-0.016424,,0.5141399999999999,,,,,,-0.006221,,,,,-0.37354,,,,,,,,,0.85085,,,,,-0.5776,,,,,,0.014186,-0.6388199999999999,,,,,,,,,,,,,,,
2,181,2,4,,,,,,-0.1692,,-0.36721999999999994,-0.61954,,,,,,,,0.81292,0.65483,,,,3.621966666666667,,,,-0.20273,-0.2618186666666667,-0.20752300000000004,-0.2793899999999999,-0.0542179999999999,-0.164408,0.11825,0.11825,-0.32250449999999997,-0.22668799999999997,-0.2650166666666666,0.041599,-0.2075199999999999,-0.5093449999999999,,-0.15962,,,0.33863000000000004,,0.26198,,,1.27285,,1.7567,,,,,,,,-0.6099600000000001,-0.37760000000000005,-0.42550999999999994,-0.4279,-0.34167
2,569,2,1,,-1.70175,-1.6774,-1.08712,,,-1.57395,-1.58615,,0.08943999999999998,-1.029295,,,-0.64895,-0.50289,-0.74632,-0.466375,-0.44203400000000004,-0.1377475,-0.46638,-0.80109,-0.398218,-0.417695,,-0.53332,-1.0019,0.11378333333333335,,-0.137752,-0.618515,1.2558799999999999,,-0.14992,,,,,-0.40552,,-0.38523666666666667,-0.6063449999999999,-0.91671,1.0915499999999998,0.19087,,-0.034294999999999964,0.13001,,-0.545478,-0.31727949999999994,-0.8801950000000001,-0.38117999999999996,,-0.247297,,-0.6854600000000001,,,,-1.0384,,,
2,730,2,1,-0.27243,0.23112,,,,,-0.78959,0.017904000000000003,,,-0.98012,-0.8032,-1.089,-0.19077,-0.5174,-0.63989,-0.3677,,-0.11728159999999996,,-0.408525,-0.28604,,-0.40853,-0.13634,-0.7555700000000001,-0.1227299999999999,,-0.452755,-0.46296,,,0.12905,,,,,-0.8032,-0.980105,-0.7532833333333334,-0.68979,-0.30418666666666666,-0.78959,-0.514682,-0.21799,-0.77598,,,-0.59906,-0.000241,-0.38131,-0.4221399999999999,-0.10912,-0.095508,-1.402,,,,-1.2931,,,,
1,831,1,1,,,,,,,,1.0214,,,,,,,,,,,,,,,-0.13308,,,,,,,-0.76651,,,,,-0.78694,,,,,,,,-0.57239,,,,-0.40893,,,-0.11264,,,,,,,,,,-0.39871,,,
2,210,2,1,-0.011922,,,,,,,,,,,,-0.89554,,,,,,,,,,,,,,,,,,,,,,,,-0.38103,,,,,-0.4816899999999999,,-0.4034,,,,,,,,,,,,,,,,,,,
2,711,2,1,,-0.31022,,,-0.383365,-0.96183,-1.2544,,-1.148,-0.92193,-1.2278,,-0.93523,-0.017667500000000003,-0.975115,1.20575,-0.2969275,,-0.38668,0.30148,-0.07085999999999998,-0.2614633333333334,-0.044263,0.5208900000000001,,0.9770179999999999,0.1951,-0.5495899999999999,0.59404,,0.09203999999999998,,0.74032,,-0.35012,0.022228,,-0.12405,,,-0.44322,0.1419099999999999,,0.651668,,,0.32805999999999996,-1.1081,,-1.0194533333333333,-0.7357566666666666,,,,,,,-1.0416,,,,-0.6160699999999999,-0.25038499999999997
1,144,1,1,,-0.34836666666666666,,,,,,,,-0.82419,-0.99212,,,,-1.0108,,,,,,,,,,,,,-0.6096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,770,2,1,0.46229,,,,,,-0.42086,-0.93699,-1.109,,,,,,,,4.1555,,,0.014978,-0.0022300000000000098,-0.0022300000000000098,1.0128,0.33231666666666665,,,,-1.4302,,,,,,,,,,,1.0243,,,,0.39347,-0.6234966666666667,0.037917,0.65727,,-0.26411333333333337,-0.56997,-0.8337700000000001,0.25584,,0.32082999999999995,,-0.46215399999999995,1.0816,0.6744749999999999,,,,0.88093,-0.61585,
0,99,2,2,,,,,,-0.17919,0.031730000000000036,0.64793,-0.22054,-0.526575,,,,,,,0.90434,1.0863,,0.6148399999999999,,2.18635,,0.80922,0.25642666666666664,0.23437,0.8960600000000001,0.05653999999999999,0.2123153333333333,,0.25918,0.21783,0.610715,-0.12129,,,,0.0606769999999999,,0.99532,0.80508,0.40806533333333334,0.8712499999999999,0.86298,0.79681,,-0.5431199999999999,-0.21641,-0.23708,-0.79125,,-0.79125,-0.81606,-0.80779,,,,,,0.06481299999999995,,0.10203,
0,164,1,1,,0.61035,1.5061,0.19177,,-0.19333,,,,,,0.392685,-0.15984,,,,,0.36757,-0.034266,,0.20014,0.6271,0.13317,,,,,,,,,,0.375945,,0.1834,,,,0.91173,,,,,,,-0.067753,,,0.19177,,-0.030085,0.19177,,,,,,,,,-0.381695,,1.121
2,648,2,1,-0.59582,,-0.3478699999999999,0.5917399999999999,-0.38702250000000005,-0.10644299999999995,-0.04336666666666664,,0.72225,,,,,0.16760999999999998,,,1.0658966666666665,0.82012,0.748345,0.918,0.7875,0.80055,0.7875,,0.95715,,,,,,,,1.2051,1.1921,1.701,0.95715,2.2491,2.1839,0.95715,1.0746,,,,0.25244,0.50039,,-0.021615499999999947,1.46612,0.77445,0.31769,-0.0999169999999999,0.683095,0.5656399999999999,,,,,,,-0.8633549999999999,-0.8959799999999999,,
2,244,2,3,,,,3.9404,4.7994,,0.70802,2.5121,,,,,,,,,1.9644,,2.909466666666667,3.2155,2.8128,3.36045,3.75245,1.40605,3.8115,2.104,,2.5014,2.9416766666666665,2.6553,1.1537,,0.015379999999999991,,,,0.40734,1.4275099999999998,0.3321699999999999,,,,,,,,-0.64504,,-0.27456100000000006,-0.65578,0.5576800000000001,,,-0.14033,,-0.011465,0.2462599999999999,,,,,,2.6839
