fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g15,chr7-g16,chr7-g17,chr7-g18,chr7-g19,chr7-g20,chr7-g21,chr7-g22,chr7-g23,chr7-g24,chr7-g25,chr7-g26,chr7-g27,chr7-g28,chr7-g29,chr7-g30,chr7-g31,chr7-g32,chr7-g33,chr7-g34,chr7-g35,chr7-g36,chr7-g49,chr7-g50,chr7-g51,chr7-g52,chr7-g53,chr7-g54,chr7-g55,chr7-g56,chr7-g57,chr7-g58,chr7-g59,chr7-g60,chr7-g61
1,94,1,2,,,,,,,,-0.22336,-0.17315,-0.17315,,,,,,0.077925,0.827555,0.65898,0.70919,0.7857066666666667,,0.48681,,,,0.58007,,,,,,,,,-0.6179
3,741,2,1,-0.54974,0.027336666666666693,-0.45793,0.23718250000000002,,0.7967633333333334,0.49949,0.29619999999999996,0.545395,0.28964,0.23718,,-0.98254,0.13226,,,,,-0.24809,-0.67433,,-0.74647,,0.21095,-0.597827,,,0.092912,0.0535659999999999,-0.13660700000000006,-1.153,0.22407,,-1.2317,0.6831
0,407,1,2,,,-0.22464,-0.24063,,-0.69635,,,,-1.0401,-1.0241,,,-1.1361,,,-1.0082,-1.0721,-1.0162,,,-0.032762,,,-1.1601,,-1.1361,,,,,,-0.64039,,
2,636,2,1,-0.5894199999999999,-0.73659,,,,-0.78188,-0.6980999999999999,,-0.31206,-0.35168,-0.6913050000000001,-0.8611200000000001,,-0.64603,,-0.5177200000000001,,-0.8950799999999999,,,-0.7026300000000001,-0.82716,,-0.29507999999999995,-0.4271566666666667,-0.1479099999999999,-0.006399999999999996,-0.65735,,-0.88375,,-0.9064,,-0.8611200000000001,-0.617725
1,77,2,1,-0.73752,,,-0.25389,,,,,,,,,,,,,-0.5575975,-0.66843,-0.8497899999999999,-0.8497899999999999,-0.65404,-0.87282,,0.91489,0.18656,1.0674333333333335,0.37944,0.9811,1.8461499999999997,1.5559,,1.54104,2.8019,2.6181666666666668,3.1287
0,352,1,1,,,-0.53694,,,,-0.9627600000000001,-0.83537,-0.72619,-0.76259,0.005355000000000054,-0.005563,-0.05653333333333336,-0.95184,,-0.0977636666666667,-0.8208200000000001,-1.0028,-1.1508,-0.20756500000000003,-1.031935,-1.1702,,,-0.10747,,-0.10747,,,,,-0.02012,-0.18390199999999995,-0.83173,
0,648,2,1,,,,,,,,,,-0.67006,-0.73293,,-0.8796200000000001,-0.69102,-0.711975,-0.6956733333333333,,,-0.673555,-0.63513,-0.6491033333333334,-0.5163800000000001,,,,-0.70499,,,,,,,,,-0.78183
1,831,1,1,,-0.55196,,,,,,,,,,,,,,-0.90954,-0.80738,-0.32719,-0.32719,,-0.43958,-0.90954,,,-0.64391,-0.32719,,,-0.48044,,,,,,
3,353,2,1,,0.6118349999999999,0.61851,0.0313209999999999,-0.07544,0.004629999999999995,0.12474,-0.95622,-0.54252,-0.72936,,,,,1.5393,-0.60925,,,,,,0.17812,,,,,,,,,,,,,
1,142,2,1,-0.38156499999999993,-0.17774,-0.40874,0.07817000000000006,0.74628,-0.320418,-0.323137,-0.325854,0.184065,-0.16075333333333333,0.304655,0.37939,0.09985571428571427,0.30465499999999995,,0.302955,1.6329250000000002,0.64437,-0.17264000000000002,-0.02690600000000003,-0.21850571428571428,-0.2117099999999999,,,,,-0.4834833333333333,,,-1.1221,,-0.4046596,-0.8232,-0.16754849999999996,-0.07242825000000003
1,713,1,1,0.67433,-0.21879666666666672,,-0.59209,,-0.28857,-0.75956,-0.75956,-0.3723,-0.12111,-0.11064,-0.06877974999999997,,-0.40719,0.4964,0.10914500000000006,-0.16820999999999997,-0.25298799999999994,,-0.3513699999999999,0.067283,0.26614,,,,,-0.8328200000000001,,-0.4979,,,,0.18241,-0.005981,-0.33566899999999994
