fov,cellID,rep,dbscan_ldp_nbr_allele,chr17-g157,chr17-g158,chr17-g159,chr17-g160,chr17-g161,chr17-g162,chr17-g163,chr17-g164,chr17-g165,chr17-g166,chr17-g167,chr17-g168,chr17-g169,chr17-g170,chr17-g171,chr17-g172,chr17-g173,chr17-g174,chr17-g175,chr17-g176,chr17-g177,chr17-g178,chr17-g179,chr17-g180,chr17-g181,chr17-g182,chr17-g183,chr17-g184,chr17-g185,chr17-g186,chr17-g187,chr17-g188,chr17-g189,chr17-g190,chr17-g191,chr17-g192,chr17-g193,chr17-g194,chr17-g195,chr17-g196,chr17-g197,chr17-g198,chr17-g199,chr17-g200,chr17-g201,chr17-g202,chr17-g203,chr17-g204,chr17-g205,chr17-g206,chr17-g207,chr17-g208,chr17-g209,chr17-g210,chr17-g211,chr17-g212,chr17-g213,chr17-g214,chr17-g215,chr17-g216,chr17-g217,chr17-g218,chr17-g219,chr17-g220,chr17-g221,chr17-g222,chr17-g223,chr17-g224,chr17-g225,chr17-g226,chr17-g227,chr17-g228,chr17-g229,chr17-g230,chr17-g231,chr17-g232,chr17-g233,chr17-g234,chr17-g235,chr17-g236,chr17-g237,chr17-g238,chr17-g239,chr17-g240,chr17-g241,chr17-g242,chr17-g243,chr17-g244,chr17-g245,chr17-g246,chr17-g247,chr17-g248,chr17-g249,chr17-g250
1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,-1.1762,-0.60549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0957,-1.2567,-1.0591499999999998,-1.1323,-1.01526,-1.33715,,,,-1.4323000000000001,,,,,,,,,,,,,,,,,,,,
2,181,2,1,,,,,,,,,,,,,,,-1.0603,,,,,,,-1.2711000000000001,,,-0.94531,,,,,,,,-1.3477,,,,,-1.7023,,,,,,,,,,,,,,,,,-1.1274,,,,,,,,,,,,,-1.2807,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4445199999999999,,-0.7591399999999999,,,,,,,,-0.331108,0.14815,,,,-0.129892,-0.22501,-0.69329,-0.729865,-0.879875,-1.4323000000000001,,,,,,,,,,,,,,,,,0.66765,-0.59817,,,,-0.8835299999999999,,-0.93475,,,,,,,,,,,,,,,,-1.0957,-1.0006,,,,,,,
0,610,2,1,,,,,,,,-0.92286,,,,,,,,,-0.58362,-0.58362,,,-0.770545,-0.7740075,,-0.68055,-0.74285,0.16408,,,,,,,3.1272,,-0.1474599999999999,,1.4586999999999999,,2.4626,,,,,,,,,,-0.1751599999999999,0.17793,,,,,,,-0.5697800000000001,,,,-0.60439,-0.652855,,,-0.29977,0.6140899999999999,,-0.07130733333333333,-0.026308999999999992,,,,,,,,,,-0.08053666666666667,,,,,-0.085154,,-0.43823666666666666,-0.3067,,-0.42785000000000006,-0.12669,,-0.4705433333333333,0.7698499999999999,1.0087
2,805,2,1,,,-1.3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21311,,,,,,,,,,,,,,,,,-0.91577,-1.16245,-1.1474925,-1.2297,,,,,,,-0.94567,,,
1,53,1,2,,,,,,,,,,,,,,,,,,,,,,,-1.268,,,,,,,,,,,,,,,,,,,,,,,,,-0.87149,,,,,,,,-0.61852,,,,,,,,,,,,,,,,-0.33136,,,,,,,,,,,,,,,,,,,,,,
2,30,1,1,,,-0.7832600000000001,-0.941765,,,-0.1164099999999999,-0.679405,,,,,,,,,,,,,,,,,,,,,,0.17875,-0.6958,,,,,,,-0.6958,,,-0.49355499999999997,0.39739,1.6035433333333333,0.83469,0.4848399999999999,,,,,0.5795733333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0675,,,-1.3736,,,,-1.343525,-1.0073750000000001,-1.3244,-1.32985,,-0.92537,,-0.8597799999999999,-0.95817
1,142,2,3,,,,,,,,,,,,,,,,,,,,,-0.95229,,-1.0813949999999999,,-0.5446300000000001,,-0.5446300000000001,-0.5446300000000001,,-0.99985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.80961,,,,-0.97267,,-0.87755,,
3,353,2,1,,,-0.11548,-0.38904999999999995,,-0.062095,-0.87615,-1.2632,0.371625,0.1580985,-0.70267,,,,,,,,-0.71601,-0.84946,-0.26227,0.098047,-1.1431,,-0.7360399999999999,-0.11548,,,,-0.45577949999999995,,-0.99626,-0.99626,-1.1564,,,-1.26315,,-1.26985,,-0.62259,-1.1564,,-0.99626,-1.4500000000000002,-1.45665,,0.20481,1.139,0.5918429999999999,0.19147150000000002,0.33826,-0.44911,,-0.42242,1.1924,0.67189,0.4361266666666667,,-0.39573,-0.062095,0.058012,-0.08210999999999999,-0.28896,,,-0.12215000000000001,-0.3023099999999999,,,,,,,,,,,,,,,,,-0.98291,,,,,,,,,
2,244,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0424,,-0.99942,,-1.0746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6772600000000001,
