fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g25,chr7-g26,chr7-g27,chr7-g28,chr7-g29,chr7-g30,chr7-g31,chr7-g32,chr7-g33,chr7-g34,chr7-g35,chr7-g36,chr7-g49,chr7-g50,chr7-g51,chr7-g52,chr7-g53,chr7-g54,chr7-g55,chr7-g56,chr7-g57,chr7-g58,chr7-g59,chr7-g60,chr7-g61,chr7-g62,chr7-g63,chr7-g64,chr7-g65,chr7-g66,chr7-g67,chr7-g68,chr7-g69,chr7-g70,chr7-g71,chr7-g72,chr7-g73,chr7-g74,chr7-g75,chr7-g76,chr7-g77,chr7-g78,chr7-g79,chr7-g80,chr7-g81,chr7-g82,chr7-g83,chr7-g84,chr7-g85,chr7-g86,chr7-g87,chr7-g88,chr7-g89,chr7-g90,chr7-g91,chr7-g92,chr7-g93,chr7-g94,chr7-g95,chr7-g96,chr7-g97,chr7-g98
1,53,1,3,,,,,0.26347,0.010499,,-0.48177,-0.42708,,,,,,,,-0.12624,-0.68689,,,,,,,,,,-0.77577,,,,,,,,-0.49545,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,1,2,,,,,,,,-0.76893,-0.93986,,,,,,,,,,,,,,,,,,,,,,-1.1108,,,,,,-0.68689,,,,,,,,,,,,,,,-1.0151,,,,,-1.2133,,,,-1.2339,
2,852,2,1,,,,-0.63408,-0.16465,-0.42753,,,,,0.43622,,,,,,,,,,,,,,-0.72797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,210,2,2,-1.1864,,,,,-1.5443,,,,,,,,,,,,,,,,,,-1.5443,-1.589,,,-1.3877,,,,,,-1.5778,-1.4772,-1.287,,,,,,,,,,,,,,,-1.4995,,-1.7456,,,,,,,,,
2,578,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.87549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,98,1,2,,,,,,,-1.1061,,-0.97833,-0.97833,,,,,-0.97833,,,-0.18316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,157,2,3,-0.24789,-0.47239,,-0.17306,,,,,,,,,,,,,,-0.3040199999999999,,,,,,,,,,,,,,,,,-0.17306,,,,,,,,,,,,,,,,-0.83721,,,,-0.63141,,,,,,,
1,94,1,2,,,,,,0.077925,0.827555,0.65898,0.70919,0.7857066666666667,,0.48681,,,,0.58007,,,,,,,,,-0.6179,,-0.35966,-0.42422,0.00619,,0.23574,,,,,,,,,,,,,0.34334,-0.022504,,,,,,,,,,0.41508,,,,,,,-0.48161
2,181,2,2,,,,,-1.03155,,,,,,,,,,,,-0.9549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.88782,,,,,,,,
1,94,1,3,,,,,,,,,,,,,,,,0.085096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1353099999999999,,,,,,,,,,,,,,,,
3,157,2,2,,,,,,,-0.481745,-1.0898,,,,,,,,,,,,,,,,,,-0.3975599999999999,,,,,,,,-0.8652700000000001,,,,,,,,,,-0.76237,-0.15435000000000001,,-0.22918,-0.72496,-1.1272,,,,-0.81382,-1.1272,-1.1833,,-0.91204,,,,,
0,55,2,2,-0.22492,-0.20448,-0.4789,-0.18988249999999998,,-0.3387699999999999,,-0.44971,,,,,,-0.60736,,,,-0.68034,,,,,,,-0.855505,,-0.8428533333333333,-0.7630533333333333,-0.61903,-0.72413,,,,-0.92265,,,,,,,,,,,,,-0.93433,,,,,,,,,,0.84649,,0.7122,,0.37939,
0,89,2,2,,,,,-0.31035,,,,,,,,,,-0.75722,-0.6461600000000001,,-0.69376,-0.73607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5192399999999999,,,,,
1,144,1,2,,,,-1.1974,,,-0.83352,-0.83352,,-0.46032,,,,,,,,,,,,,,,,,,,,-1.0574,-1.0015,,,,,,-1.1507,,,,,,,,,,,,,,,,,,,,,,,,,
