fov,cellID,rep,dbscan_ldp_nbr_allele,chr5-g519,chr5-g520,chr5-g521,chr5-g522,chr5-g523,chr5-g524,chr5-g525,chr5-g526,chr5-g527,chr5-g528,chr5-g529,chr5-g530,chr5-g531,chr5-g532,chr5-g533,chr5-g534,chr5-g535,chr5-g536,chr5-g537,chr5-g538,chr5-g539,chr5-g540,chr5-g541,chr5-g542,chr5-g543,chr5-g544,chr5-g545,chr5-g546,chr5-g547,chr5-g548,chr5-g549,chr5-g550,chr5-g551,chr5-g552,chr5-g553,chr5-g554,chr5-g555,chr5-g556,chr5-g557,chr5-g558,chr5-g559,chr5-g560,chr5-g561,chr5-g562,chr5-g563,chr5-g564,chr5-g565,chr5-g566,chr5-g567,chr5-g568,chr5-g569,chr5-g570,chr5-g571,chr5-g572,chr5-g573,chr5-g574
1,13,1,1,,,0.200799,,,,,,,,,,,,,,,,,,,-0.57243,,,,,,,,-0.9604600000000001,,-0.65866,-0.5570833333333334,-0.5494399999999999,-0.1221,0.92804,,,,,0.67508,,,-0.37409599999999993,1.6754,0.35889,-0.037779999999999994,-0.45745,-0.9806033333333333,0.10594,,,,,,
2,31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.58292,,,,-0.38503,,0.95554,0.875725,0.12567,1.2747,0.72573,,,0.44485,0.45761333333333337,-0.002008,,-1.16066,,0.31717,0.163965,0.023529333333333343,,0.16396500000000003,0.50868,
0,158,2,2,0.1854,,,,,,,,,,,,,-0.23179666666666657,,,-0.30827,,,,,,-0.16078,,,,-0.36972,,,,,,,,,,,,0.039964,,,,,,,,,,,,,,0.007189,,,
2,641,2,1,,,,,,,,,,,,,,,,,,,,,,,,,-0.015553,,,,-0.34812,,,,,2.0067,0.47257,,,,,,0.39747,,,0.1131799999999999,-0.09333,-0.2873266666666666,-0.17647,,-0.42321,,,,,,,
2,43,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.302395,,,,,-0.4359,,,,-0.2053,,,,,-0.18466,0.089629,,,-0.3485066666666667,-0.57365,,,,-0.43104,,,-0.38310500000000003,
2,244,2,1,-0.1008475,-0.128316,0.042863,-0.15612249999999997,-0.25461,,-0.10051366666666667,,,,-0.191295,,-0.25461,,,-0.5159100000000001,,-0.25059,,,,,2.085,-0.21374,0.750365,,,-0.19732499999999997,,,,,1.082,,-0.64454,,-0.52194,-0.26265,-0.35109,-0.30787499999999995,-0.20134499999999994,-0.001356,,,,-0.36918,-0.2465699999999999,0.038843,0.11723,-0.069694,,,,-0.26868,-0.38325,
2,172,2,1,-0.34099999999999997,-0.1467,-0.215134,-0.20688000000000004,-0.07907083333333333,0.011489,0.085426,-0.04955149999999995,,-0.2412699999999999,,-0.0435329999999999,-0.2808199999999999,,,,-0.85856,-0.30833,,,,,,,,-0.413215,,,-0.2137599999999999,0.047598,,-0.42181,,,,0.008049333333333334,,,,,0.1542,,,,-0.43213,,,,,,,,,,,
1,53,1,2,,0.7781849999999999,0.04925199999999995,0.22165,1.242155,,1.7027,,,,,,,0.3558699999999999,0.27719,1.2491,,,,,,0.013383,,,,0.30727,,,-0.51423,0.53405,,0.14220066666666675,,,,0.13834,-0.0109145,0.015697,,,,,,-0.21803,-0.11389,-0.10001,-0.1648,,,,0.068921,-0.29902,-0.19257,,,
2,730,2,1,,1.4517,0.0050995,0.9113433333333334,1.3344,,,,0.74839,1.8004,1.8405,,0.070852,-0.13355,0.2195099999999999,0.039407000000000005,0.005100000000000021,,-0.17501,0.11373,,0.10801666666666669,,0.521115,0.7466728,0.26811,,0.13375,,,,-0.40085,,-0.232754,-0.13498500000000002,-0.1893,,-0.1292599999999999,-0.18644,0.9785100000000001,,,,-0.134984,-0.11497,0.21379,-0.052077,0.039404999999999954,-0.020629999999999996,0.23095,,,-0.40371,,0.1637615,
3,62,2,1,,,0.03232366666666667,0.052823,,0.74302,0.8960899999999999,0.12253,0.33437,,0.044623,,,-0.15219,-0.08385,,-0.20412,,-0.262205,,-0.24376,,,,,,-0.23419,0.42731,,0.62412,0.42731,0.07924766666666663,,,,,,0.26011,-0.10298,-0.055148,-0.0291805,-0.000479,,-0.18089,,,0.369905,0.2141,-0.0975169999999999,,-0.024397,,0.0910909999999999,0.043257000000000004,-0.13169,
