fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g605,chrX-g606,chrX-g607,chrX-g608,chrX-g609,chrX-g610,chrX-g611,chrX-g612,chrX-g613,chrX-g614,chrX-g615,chrX-g630,chrX-g631,chrX-g632,chrX-g633,chrX-g634,chrX-g635,chrX-g636,chrX-g637,chrX-g638,chrX-g639,chrX-g640,chrX-g641,chrX-g642,chrX-g643,chrX-g644,chrX-g645,chrX-g646,chrX-g647,chrX-g648,chrX-g649,chrX-g650,chrX-g651,chrX-g652,chrX-g653,chrX-g654,chrX-g655,chrX-g656,chrX-g657
0,750,1,1,,,,,,,,,,,,-1.5532,,,,,,,,,,-0.22985,,-0.3023575,,,,,,,,,,,,,,,0.5021733333333332
2,584,2,2,,-0.4394699999999999,,,7.5283,,,,,,,-0.61263,,,,5.6528,4.6865,,,,1.3252,,,5.92525,,4.386,,4.5286,0.65803,,6.1685,,,-0.049872,,,,,
2,808,2,1,,,-0.20517,,,,,-0.54384,-0.585825,-0.595615,,,-0.43188,,-0.1715799999999999,-0.26115,-0.43468000000000007,0.120911,-0.55503,,0.074728,,,,,,-0.465465,-0.23595,,,-0.3927,,-0.706175,-0.56903,-0.49066,,-0.49066,,
0,190,1,1,,,-0.1546,,,,-0.0004799999999999,,11.6542,0.36893,,,,-0.37478,,0.7579100000000001,,0.2368199999999999,-0.18885,,0.15609,,0.0900379999999999,0.026431,1.8392180000000002,0.916915,0.43498,,0.0215379999999999,0.8826866666666667,1.5970199999999999,2.5365,0.48146,,0.34691,,,0.0680195,
1,942,2,1,,,-1.4278,,,,,,,-1.1084,,,0.1784599999999999,-0.89849,,,,,,0.1784599999999999,,0.14195,5.5632,0.74431,9.4603,3.099,0.38837,,,0.20584,,0.52527,0.24691000000000002,,,0.99073,,,
2,591,2,1,,0.28168,,,,2.4752666666666667,,4.3842,3.6489,,,-0.3369,,,-0.28438,,,0.1533,,0.1202299999999999,,9.0411,,,,-0.4516699999999999,-0.022747999999999997,0.04242,0.053603999999999985,0.472315,0.26029,0.00935033333333333,-0.265898,,0.48593,0.1202299999999999,0.1202299999999999,0.052145499999999956,0.07062400000000005
3,157,2,2,,,,,,,,,,,,,-0.24535,,,,-0.253,-0.16118,,,,,,,,,,,-0.27596,,,,,,,10.6812,12.2162,11.26585,11.6101
0,544,1,1,10.613,,,,,,,,,,,-0.78138,0.48128,,,0.941135,6.7127,,,,,,,,-0.13487,,,,,,-0.95743,,,1.9139,,,-0.441435,-0.34734,-0.8087249999999999
0,885,1,1,,,,,,,,-0.33,-0.33,,,-0.0260129999999999,-0.0260129999999999,-0.141317,,0.6815399999999999,,,2.4688,0.650095,,,0.39852,,-0.22518,,,,,,,,,0.37756,-0.1518,-0.078424,,,
2,841,2,1,,0.16137,,0.064871,0.1024,,-0.22999999999999998,,,,,,-0.0128669999999999,,,,-0.24072,,-0.42300000000000004,,,,,,,,,,,,,,,,,,,,
2,578,2,2,,,,,,,,8.4588,,,,,0.01165900000000005,,,0.040197,,,,,,,,,6.05095,,,,,,,,,,,,,,
2,30,1,1,,,,,,,,,,,,,0.031682,,,,,,,,,,,,,,,,,,,,,,,,,,
1,137,1,2,0.547755,2.0725,1.2553999999999998,1.2848333333333333,0.93508,,,,0.37289,,,,,0.085259,1.0527,1.8078,0.256855,1.6738,1.1180933333333334,1.1606,,,,,,,,1.4613,,,,0.28791,2.3373,,0.591885,0.703015,0.8206800000000001,0.6719649999999999,0.65072
1,144,1,1,,,4.141555,5.9408,,,,7.315099999999999,6.3045,,,0.1055099999999999,,,7.196,2.6706935,3.7457,0.1055099999999999,0.21172,,,,0.08619500000000002,2.7512,0.31310499999999997,,,0.95199,,,,,,-0.000703,,1.4444,7.2893,,6.4171
2,1001,1,1,,,,,,,,,,-0.48401,,,0.22011999999999998,0.001799999999999996,,0.227985,0.53482,,0.38796,,-0.082775,,0.066706,0.1040765,-0.43287,-0.33847,-0.1234223333333333,,-0.21652,0.003766,,,-0.14965,-0.14965,,,,0.2555199999999999,
3,718,2,1,,,,,0.16782,,,,,0.13327999999999995,,0.13209,0.2917,0.144,,0.32743,,0.034413,,,-0.22524999999999995,,,,,,-0.1109,-0.077553,,,-0.082317,0.0129729999999999,,,-0.087082,-0.166885,,,
2,852,2,1,,1.2468,,,,,,,,,,,0.3381099999999999,0.088518,,,,0.59551,1.3326,,,0.9348,,0.16652,-0.1025799999999999,0.973805,,,,-0.21567999999999998,-0.007029999999999995,0.014419499999999998,-0.09283,,-0.28001999999999994,-0.2858699999999999,-0.3014699999999999,-0.019379999999999998,-0.29367
0,353,1,1,,,,,,,,,,,,,0.33528,0.11731,,-0.17032,0.083606,,0.1645,,,,,-0.32087,,,,,,7.4991,-0.4624399999999999,-0.023135000000000044,-0.32087,,-0.2152599999999999,,-0.062457,-0.004032,
0,99,2,1,,0.29608,,2.89127,0.29139699999999996,0.5543366666666666,,0.638545,0.14262,5.380715,0.73212,,0.236195,,,,0.071507,,0.19315,10.3175,11.1784,,5.8317,,8.6277,,10.9913,,,,-0.30839,-0.23727499999999996,-0.15555899999999998,-0.290615,-0.19938075,-0.061364,5.34331,2.8518286666666666,-0.24663
2,569,2,1,-0.45601,4.758675,0.064191,,-0.096171,,,,,,,0.40252,,0.085703,,1.9564619999999997,0.5335449999999999,0.505185,0.5518,-0.22133,0.50225,0.09254999999999995,,-0.09486666666666665,0.163925,0.21281849999999994,0.3106,0.30278,0.14046099999999997,0.56875,,-0.46774,,-0.65157,0.32820499999999997,0.35264999999999996,0.35558,0.12286,1.78829
3,157,2,1,0.31169,,,,,0.14488,,,0.18161,0.13417,,,0.014806,0.47391,,-0.07586799999999996,0.06275666666666667,0.04158949999999995,-0.0953775,,,,-0.070892,,,,,-0.17189,,,,,,,,,,,
1,142,2,1,0.1443935,0.44798,0.1339,1.2824,0.19935,3.2064,0.32777999999999996,0.30185,0.16354,0.24010039999999994,2.9408700000000003,,0.25368,,0.3290166666666667,0.39487999999999995,0.48832000000000003,,0.40435,0.47597,,,,5.164402,8.006387142857141,12.0337,-0.15755,,0.43522,0.107345,0.0659759999999999,0.26047750000000003,0.0066989999999999,,10.043,4.3132075,4.8299245,7.0686,5.1116308
