200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,Purkinje_pol_ass,Purkinje_spk_ass,Bergmann_pol_ass,Bergmann_spk_ass,log2FC_B2P
chr1-g24,chr1,4800000,5000000,0.40512,"Lypla1, Tcea1, Rgs20",3.0,"38913, 39582, 160710",160710.0,38913.0,79735.0,39582.0,1,0,0,0,0,6.848929871418119
chr1-g25,chr1,5000000,5200000,0.4072749999999999,"Rgs20, Atp6v1h",2.0,"160710, 79464",160710.0,79464.0,120087.0,120087.0,1,0,0,0,0,6.848929871418119
chr1-g54,chr1,10800000,11000000,0.40343,"Mir467e, Prex2",2.0,"157488, 310218",310218.0,157488.0,233853.0,233853.0,1,0,0,1,0,9.959361314422733
chr1-g55,chr1,11000000,11200000,0.39033,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1,0,0,1,0,9.959361314422733
chr1-g56,chr1,11200000,11400000,0.3876349999999999,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1,0,0,1,0,9.959361314422733
chr1-g63,chr1,12600000,12800000,0.4185499999999999,"Gm17644, Sulf1",2.0,"5528, 167943",167943.0,5528.0,86735.5,86735.5,1,0,0,1,0,7.284306926676501
chr1-g64,chr1,12800000,13000000,0.43009,"Sulf1, Slco5a1",2.0,"167943, 124586",167943.0,124586.0,146264.5,146264.5,1,0,0,0,0,7.284306926676501
chr1-g70,chr1,14000000,14200000,0.414065,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1,0,0,0,0,4.452304901333037
chr1-g71,chr1,14200000,14400000,0.40052,Eya1,1.0,141242,141242.0,141242.0,141242.0,141242.0,1,0,0,0,0,4.452304901333037
chr1-g104,chr1,20800000,21000000,0.439695,"Mcm3, Paqr8, 6720483E21Rik, Efhc1",4.0,"17345, 49103, 1824, 39216",49103.0,1824.0,26872.0,28280.5,1,0,0,0,0,6.988583930757655
chr1-g160,chr1,32000000,32200000,0.37056,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,-6.68782280986214
chr1-g161,chr1,32200000,32400000,0.37549,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,1,0,0,0,-6.68782280986214
chr1-g162,chr1,32400000,32600000,0.377715,"Khdrbs2, Gm9839, Gm5415",3.0,"485848, 1437, 3748",485848.0,1437.0,163677.66666666666,3748.0,1,0,0,0,0,-6.68782280986214
chr1-g163,chr1,32600000,32800000,0.3855,Khdrbs2,1.0,485848,485848.0,485848.0,485848.0,485848.0,1,0,0,0,0,-6.68782280986214
chr1-g173,chr1,34600000,34800000,0.461045,"AA619741, Arhgef4",2.0,"2676, 134557",134557.0,2676.0,68616.5,68616.5,1,0,0,0,0,4.843823111675299
chr1-g174,chr1,34800000,35000000,0.454225,"Arhgef4, Fam168b, Plekhb2",3.0,"134557, 29833, 29627",134557.0,29627.0,64672.333333333336,29833.0,1,0,0,0,0,4.843823111675299
chr1-g194,chr1,38800000,39000000,0.442335,"Lonrf2, Chst10, Nms, Pdcl3",4.0,"43019, 34288, 11128, 9423",43019.0,9423.0,24464.5,22708.0,1,0,0,0,0,6.634904269184478
chr1-g213,chr1,42600000,42800000,0.440615,"Pantr1, Pou3f3, 2900092D14Rik, Pantr2, Dalir",5.0,"46626, 4442, 2841, 6392, 2175",46626.0,2175.0,12495.2,4442.0,1,0,0,0,0,5.742727875951419
chr1-g258,chr1,51600000,51800000,0.418825,Myo1b,1.0,166221,166221.0,166221.0,166221.0,166221.0,1,0,0,0,0,-6.405139054649859
chr1-g259,chr1,51800000,52000000,0.4334100000000001,"Myo1b, Stat4",2.0,"166221, 120042",166221.0,120042.0,143131.5,143131.5,1,0,0,0,0,-6.405139054649859
chr1-g269,chr1,53800000,54000000,0.4101249999999999,"Mir7681, Hecw2",2.0,"72, 264220",264220.0,72.0,132146.0,132146.0,1,0,0,0,0,-6.337873105066032
chr1-g270,chr1,54000000,54200000,0.412155,Hecw2,1.0,264220,264220.0,264220.0,264220.0,264220.0,1,1,0,0,0,-6.337873105066032
chr1-g275,chr1,55000000,55200000,0.430025,"Sf3b1, Coq10b, Hspe1, Hspd1, Mob4, Rftn2",6.0,"42309, 19933, 3170, 10411, 23655, 56623",56623.0,3170.0,26016.83333333333,21794.0,1,0,0,0,0,9.500399175633191
chr1-g276,chr1,55200000,55400000,0.401785,"Rftn2, Mars2, Boll",3.0,"56623, 2882, 64019",64019.0,2882.0,41174.66666666666,56623.0,1,0,0,0,0,9.500399175633191
chr1-g277,chr1,55400000,55600000,0.410835,Plcl1,1.0,348340,348340.0,348340.0,348340.0,348340.0,1,0,0,0,0,6.79724883005984
chr1-g278,chr1,55600000,55800000,0.413115,Plcl1,1.0,348340,348340.0,348340.0,348340.0,348340.0,1,0,0,0,0,6.79724883005984
chr1-g325,chr1,65000000,65200000,0.4241199999999999,"Akr1cl, Cryge, Crygc, Crygd, Crygb, Cryga, D630023F18Rik, Idh1, Pikfyve",9.0,"19682, 2607, 2008, 1603, 2069, 2975, 15902, 27864, 92012",92012.0,1603.0,18524.666666666668,2975.0,1,0,0,0,0,4.359876749909557
chr1-g340,chr1,68000000,68200000,0.368585,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,5.501427322462899
chr1-g341,chr1,68200000,68400000,0.358245,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,5.501427322462899
chr1-g342,chr1,68400000,68600000,0.36232,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,5.501427322462899
chr1-g343,chr1,68600000,68800000,0.36027,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,5.501427322462899
chr1-g344,chr1,68800000,69000000,0.3519049999999999,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,5.501427322462899
chr1-g345,chr1,69000000,69200000,0.374545,Erbb4,1.0,1075873,1075873.0,1075873.0,1075873.0,1075873.0,1,0,0,0,0,5.501427322462899
chr1-g362,chr1,72400000,72600000,0.44965,"March4, Smarcal1",2.0,"110048, 53540",110048.0,53540.0,81794.0,81794.0,1,0,0,0,0,-6.562361132734656
chr1-g369,chr1,73800000,74000000,0.483085,"6030407O03Rik, Mir6351, Tns1",3.0,"246086, 99, 214317",246086.0,99.0,153500.66666666666,214317.0,1,0,0,0,0,4.8097497304005365
chr1-g370,chr1,74000000,74200000,0.494215,"Tns1, Rufy4, Cxcr2, Cxcr1",4.0,"214317, 22690, 7253, 2846",214317.0,2846.0,61776.5,14971.5,1,0,0,0,0,4.8097497304005365
chr1-g371,chr1,74200000,74400000,0.48077,"Mir1928, Arpc2, Pnkd, Gpbar1, Aamp, Tmbim1, Catip, Slc11a1, Mir26b, Ctdsp1",10.0,"67, 31693, 68659, 990, 4899, 16090, 7214, 10849, 85, 5677",68659.0,67.0,14622.3,6445.5,1,0,0,0,0,3.087781756678811
chr1-g376,chr1,75200000,75400000,0.486245,"Glb1l, Stk16, Tuba4a, A630095N17Rik, Dnajb2, Ptprn, Resp18, Dnpep, Des, Gm15179, Speg",11.0,"12544, 4778, 4323, 11999, 9270, 17168, 6219, 9073, 8288, 6806, 57010",57010.0,4323.0,13407.09090909091,9073.0,1,0,1,0,0,-4.785371450230269
chr1-g390,chr1,78000000,78200000,0.419485,Pax3,1.0,95870,95870.0,95870.0,95870.0,95870.0,1,0,0,0,0,7.942352213847919
chr1-g393,chr1,78600000,78800000,0.421915,"Utp14b, Acsl3, Gm29536",3.0,"9162, 49919, 432889",432889.0,9162.0,163990.0,49919.0,1,0,0,0,0,4.55727279993101
