fov,cellID,rep,dbscan_ldp_nbr_allele,chr17-g65,chr17-g66,chr17-g67,chr17-g68,chr17-g69,chr17-g70,chr17-g71,chr17-g72,chr17-g73,chr17-g74,chr17-g75,chr17-g76,chr17-g77,chr17-g78,chr17-g79,chr17-g80,chr17-g81,chr17-g82,chr17-g83,chr17-g84,chr17-g85,chr17-g86,chr17-g87,chr17-g88,chr17-g89,chr17-g90,chr17-g91,chr17-g92,chr17-g93,chr17-g94,chr17-g95,chr17-g96,chr17-g97,chr17-g98,chr17-g99,chr17-g100,chr17-g101,chr17-g102,chr17-g103,chr17-g104,chr17-g105,chr17-g106,chr17-g107,chr17-g108,chr17-g109,chr17-g110,chr17-g111,chr17-g112,chr17-g113,chr17-g114,chr17-g115,chr17-g116,chr17-g117,chr17-g118,chr17-g119,chr17-g120,chr17-g121,chr17-g122,chr17-g123,chr17-g124,chr17-g125,chr17-g126,chr17-g127,chr17-g128,chr17-g129,chr17-g130,chr17-g131
1,53,1,2,,,,,,,,,,,,,,,,,-0.63903,,-0.69372,,,,-0.46126,-0.49545,-0.13308,,,,,,,,,,,-0.9467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7074,,
2,244,2,1,-0.5269199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2571,,,,,,-1.0102,,,,-0.99942,,-0.51618,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,181,2,1,-1.2232,,,,,,,,,,,,,,,,,-1.4915,,,,,,,,,,,,,-1.2998,,,-1.5777,,,,,,-1.4052,,,,,,,,,,,,,,-0.37041,,,-1.2711,,,-0.98364,,-1.1082,-0.88782,,,-0.55247,
1,189,2,2,-1.0027,,,,-0.8650399999999999,,,,-0.92174,,,,-0.1806355,-0.28188,-0.16039,,,,,,,,,,,,0.24459,-1.1161,,,,,,,,,,,,,,,,,-1.3186,,-0.68685,,,-1.3105,,,,,,,,,,,,,,,,-0.26568,
1,194,1,1,,,,,,,,1.1621,1.1621,,,,,0.98875,,-0.7446,0.9406,0.98875,,1.7591,,1.9806,0.8443,,,,-0.5295423333333333,-0.7012700000000001,-0.62905,0.3820699999999999,,,,,,,,,,,,,1.4702,0.50726,,,,,0.17985,,,,-0.022374,,,,,,,,,-0.012744,,,0.70949,0.20874,2.3947
0,620,2,1,0.91226,0.46058,,,0.79581,,0.83461,,0.35472,,,0.73582,,1.4063,,0.59467,1.5757,,1.035765,1.1734,0.9686949999999999,1.591182,1.1381,1.4468450000000002,1.4110000000000003,,,,,1.6109,,,,,0.66525,1.4204,,,1.5686,,1.2581,-0.12517899999999998,0.41118,1.47685,0.60173,0.60173,1.3357,1.8544,,2.105,,,2.4437,,1.4344999999999999,,,1.244,,,,,,-0.66154,-0.5556800000000001,,-0.62625
0,55,2,2,,-0.82339,-0.8701,,,,,,,,,,-0.0877059999999999,,-0.16945,-0.13442,-0.1636099999999999,-0.72997,,,,-0.604435,,,,,,,,,,,,,-1.1212,,-0.7358100000000001,,,-1.0686,,,,,,,,,,,,,-0.64239,,,,,,,,,,,,,,
0,884,1,1,,,-0.54246,,,,,-0.47913,0.3758,,,,,-0.61635,0.12249,,,0.49191,,,,,,,,,,,,,,,,1.083,-0.33137,0.12952666666666665,0.57635,0.2966435,0.02749499999999999,,,,,1.4313,,,,,,,,,,-0.6163449999999999,,,,,,,,,,,0.68189,,0.34414
3,921,2,1,-0.68846,-0.7468899999999999,-0.8403799999999999,,,,,,-0.20935,,,,,,,,,0.094483,0.024368,0.3866250000000001,0.67877,0.33209333333333335,,,,0.62034,,,0.515165,,0.97091,,,0.9008,,,,,0.50738,,0.71383,-0.0457459999999999,1.4734,0.71383,0.43337,,,,0.012683,0.29314,,0.33988,,,0.15291,,,1.0293,,,,,,,,0.64371,0.573595
1,94,1,2,,1.7422,0.56572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020537,0.14249,,,,,,,0.020537,,0.15683,-0.065545,,,,,,,,,,,,,,,,,,,,,,
