fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g711,chr4-g712,chr4-g713,chr4-g714,chr4-g715,chr4-g716,chr4-g717,chr4-g718,chr4-g719,chr4-g720,chr4-g721,chr4-g722,chr4-g723,chr4-g724,chr4-g725,chr4-g726,chr4-g727,chr4-g728,chr4-g729,chr4-g730,chr4-g735,chr4-g736,chr4-g737,chr4-g738,chr4-g739,chr4-g740,chr4-g741,chr4-g742,chr4-g743,chr4-g744,chr4-g745,chr4-g746,chr4-g747,chr4-g748,chr4-g749,chr4-g750,chr4-g751,chr4-g752,chr4-g753,chr4-g754,chr4-g755,chr4-g756,chr4-g757,chr4-g758,chr4-g759,chr4-g760,chr4-g761,chr4-g762,chr4-g763,chr4-g764
1,53,1,2,-0.30827,,,-0.27202,-0.51423,,-0.22612,,,-0.34299,0.024953,-0.4910899999999999,,,,,,,,,,,-0.8011750000000001,,-0.8821700000000001,,,,,-0.63456,,,-0.47951999999999995,-0.3626535,,-0.80812,0.001813,,,,-0.60448,,,-0.7086100000000001,-0.543155,,,0.021481999999999994,0.078177,-0.02827
2,792,2,1,0.69514,0.65667,,,0.27198,,0.071395,,,1.8574,,0.074143,,-0.096219,,,,,,,1.8574,,,,-0.25834,0.6291899999999999,,-0.47266,-0.31054,-0.44519,-0.34901,,,,,,,,,-0.39298,-0.31329,,-0.090723,,-0.2803199999999999,-0.28856,-0.027525,-0.27757,,-0.32978
0,55,2,1,-0.22203,-0.152865,,-0.086118,,0.061054,,,,,,,,,,,,,,,,,-0.15287,,,,,-0.06762,,-0.14322,,,-0.17056,,,-0.17378,,,,,,,,-0.18584,,-0.23329,,,,
2,172,2,2,2.930255,,0.8471533333333333,-0.65738,,4.729705,,,9.1504,9.1504,7.5187,9.22005,,8.3165,2.613,,,,,,,-0.26534,,,0.006760000000000002,-0.40118,0.52733,0.40697,,2.663735,-0.048692,,,-0.1100176666666667,-0.4023233333333333,-0.24299,-0.519825,,,0.17312,0.260811,,1.0157,,,-0.19427000000000003,,-0.26792499999999997,-0.04639833333333337,-0.4905899999999999
1,94,1,1,,,,,,,,,,,,,,,,,,,,,,,0.08121466666666667,,-0.28426,-0.01077,-0.11672,-0.11672,,,,,,,,,,0.11735,,,,,,,,0.11735,0.13706,-0.0428,,
0,89,2,3,,,,,,,,,,,,,,,,,,,,,,,,,-0.071366,,0.0681845,,0.24685,,,,,,,,,,,,,,,,,,,,,
2,244,2,4,,,,,,,,,,,,,0.16748,-0.2264699999999999,-0.057635,,,,,,,,,0.12125,,,,,,,,,,,,,,,,,,,,,,,,,,
0,116,1,1,,,,,-0.63595,,,,,,,3.0435,,,,,,,,,,,0.2767266666666667,,,,,1.8467,,,-0.19109,,,,,,,,,,,,,,,-0.1997,,,-0.053326666666666696,
2,181,2,2,0.02937050000000005,0.0250659999999999,,,,0.28686,,,,,-0.045549,,,,,,,,,,,,0.31442,,0.24725,,0.07156899999999995,,0.25586,,,,,,,,,,,,,,,,,0.0560679999999999,,,,
2,770,2,1,,-0.14599,,,,2.0694,1.0046,,,8.8176,,,,0.63265,,,,,,,,,,0.56317,0.0420269999999999,0.29544,,0.058376,,1.1272,,,-0.15825,,-0.086725,,0.7236185,1.6279,,,,,,-0.004978,0.10435649999999999,,,,-0.3105049999999999,-0.22024999999999997
0,164,1,1,,-0.27107,,,,1.128,1.6061,,,,1.0928,-0.041348,1.1756,,,,,,-0.0754965,,,,,,0.30635,,0.6250600000000001,,-0.4345699999999999,,,,,,,1.306,1.1694,,,,,,,,-0.18829,,,,0.013496999999999999,
2,172,2,1,,,0.3038,,,,,,,0.24878,,,,,,,,,,,0.3124,0.31583,,,,0.34678,,0.069951,,,,,,0.023526,,,,,0.5514,,,,,,,,,-0.13295,,
1,81,1,2,,,,,,,,,0.15667,0.061185,,,-0.0701059999999999,,,0.070137,,,,,,0.29691,0.49385,,,,,,,,,,,,-0.3356699999999999,,,-0.52963,,,,,,,-0.022364,,0.08803866666666667,,,
2,117,1,1,,0.0667649999999999,0.20810533333333328,0.36239,0.18621,0.057807,,,0.057807,2.2068,,,-0.32142,,,,,1.8226,,,,0.8341799999999999,0.48331999999999997,0.13843,0.1727705,,,,,,,,0.5654399999999999,0.216066,,,,,0.20711,-0.016844,,,-0.15122,,,-0.2826,-0.1534545,-0.049691,0.07174000000000003,
2,198,2,1,,,2.3115,1.504,1.90515,2.1579675,3.221,,2.3036833333333333,,,3.21575,,,,,,,,,,,,0.308345,0.5527,0.33578499999999994,,0.42203,,,0.2155699999999999,,,0.35669,0.15023,,0.8375600000000001,0.18159,,,,1.46085,0.820545,,1.6939,,,,,
3,455,2,1,,,,0.1168599999999999,0.60151,,,,,,,,,,,,,,-0.16625,,,,0.6303,,0.6111,0.47195,,,1.0429975,1.1353225,0.923,,0.39357,1.5732,,1.7515333333333334,1.5948,,1.016595,1.1389,,,0.98538,1.0718,,1.2469000000000001,,0.91341,1.0381550000000002,
