fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g711,chr4-g712,chr4-g713,chr4-g714,chr4-g715,chr4-g716,chr4-g717,chr4-g718,chr4-g719,chr4-g720,chr4-g721,chr4-g722,chr4-g723,chr4-g724,chr4-g725,chr4-g726,chr4-g727,chr4-g728,chr4-g729,chr4-g730,chr4-g735,chr4-g736,chr4-g737,chr4-g738,chr4-g739,chr4-g740,chr4-g741,chr4-g742,chr4-g743,chr4-g744,chr4-g745,chr4-g746,chr4-g747,chr4-g748,chr4-g749,chr4-g750,chr4-g751,chr4-g752,chr4-g753,chr4-g754,chr4-g755,chr4-g756,chr4-g757,chr4-g758,chr4-g759,chr4-g760,chr4-g761,chr4-g762,chr4-g763,chr4-g764
1,53,1,2,0.27715,,,0.48453999999999997,0.03784499999999999,,-0.146755,,,-0.47494,-0.39289,-0.66638,,,,,,,,,,,-0.457845,,-0.73475,,,,,-0.44075,,,-1.0185,-1.0389950000000001,,-1.3296,-0.81679,,,,-1.1997,,,-0.18778,-0.39288999999999996,,,-0.65954,-0.057872,0.29766
2,792,2,1,-0.92205,-0.7633300000000001,,,-0.27273,,-0.2150099999999999,,,-0.92205,,-0.5036,,-0.2871599999999999,,,,,,,-0.87877,,,,-0.96534,-0.87877,,-1.0808,-0.9942,-1.1818,-1.1241,,,,,,,,,-0.9942,-1.0663,,-1.1385,,-0.96534,-0.57575,-0.66232,-0.79219,,-0.7056100000000001
0,55,2,1,-0.51394,-0.554805,,-0.884695,,-0.14025,,,,,,,,,,,,,,,,,0.046585,,,,,-0.6891,,-0.4789,,,-0.23367,,,-0.30374,,,,,,,,-0.5489700000000001,,0.23926,,,,
2,172,2,2,0.7794300000000001,,0.20804666666666663,-0.057237,,-0.37861999999999996,,,-0.47557,-0.47557,-0.087847,-0.18477849999999998,,1.0651,0.24886,,,,,,,0.0243889999999999,,,-0.5393395,1.0141,-0.74085,-0.70004,,-0.59291,-0.48577,,,-0.4891733333333333,-1.3394333333333333,-0.54699,-0.17457349999999994,,,0.22845,-0.74085,,-1.0776,,,-1.5503033333333331,,-0.2204925,-0.5367866666666666,-3.8018
1,94,1,1,,,,,,,,,,,,,,,,,,,,,,,-0.5653,,-0.5461699999999999,-0.71116,-0.8402799999999999,-0.8402799999999999,,,,,,,,,,0.8885299999999999,,,,,,,,-0.33814,-0.5461699999999999,-0.2951,,
0,89,2,3,,,,,,,,,,,,,,,,,,,,,,,,,-0.9952,,-0.8391949999999999,,-0.75722,,,,,,,,,,,,,,,,,,,,,
2,244,2,4,,,,,,,,,,,,,-0.51618,-1.0531,-0.45175,,,,,,,,,-0.98868,,,,,,,,,,,,,,,,,,,,,,,,,,
0,116,1,1,,,,,-0.066165,,,,,,,-0.65096,,,,,,,,,,,0.15042666666666668,,,,,-0.010469,,,-0.094012,,,,,,,,,,,,,,,-0.37249,,,-0.38486333333333334,
2,181,2,2,-0.5716249999999999,-0.1117099999999999,,,,-1.1369,,,,,-1.1274,,,,,,,,,,,,-0.8015899999999999,,-0.90699,,-1.35735,,-0.6099600000000001,,,,,,,,,,,,,,,,,-0.7824300000000001,,,,
2,770,2,1,,-0.76495,,,,0.12967,0.33613,,,0.93254,,,,-1.2352,,,,,,,,,,-1.0861,-0.42086,-0.78789,,-0.7420100000000001,,-0.93699,,,0.1067299999999999,,0.29025,,-0.12265500000000001,-0.87965,,,,,,-0.1685299999999999,-0.0022260000000000005,,,,-1.051685,-0.4820533333333333
0,164,1,1,,0.10805,,,,0.22526,0.4512899999999999,,,,0.26711,-0.69563,0.63547,,,,,,1.4851999999999999,,,,,,-0.28542,,1.1378,,-0.25193,,,,,,,2.2931,0.97034,,,,,,,,-0.084496,,,,0.7401095000000001,
2,172,2,1,,,-0.14907,,,,,,,0.065202,,,,,,,,,,,-0.16947,-0.23069,,,,0.075405,,-0.29191,,,,,,-0.0266269999999999,,,,,-0.77146,,,,,,,,,-0.6388199999999999,,
1,81,1,2,,,,,,,,,-0.62508,-0.60953,,,-1.0529,,,-0.64842,,,,,,-0.60175,-0.81177,,,,,,,,,,,,-0.92845,,,-1.2785,,,,,,,-0.67953,,-0.4332066666666667,,,
2,117,1,1,,-0.5562199999999999,-0.6014366666666667,-0.97357,-0.35798,0.88361,,,0.88361,-0.81706,,,-0.9214,,,,,-1.0675,,,,-0.9214,-1.030935,-0.54579,-0.890115,,,,,,,,0.2576,-0.7440249999999999,,,,,-0.33712,-0.5562199999999999,,,0.42454,,,-0.66056,-0.026714999999999975,-0.72316,-0.04845333333333333,
2,198,2,1,,,-0.043245,0.27559,0.155215,-0.26122,-0.12133,,-0.42931333333333327,,,-0.37509499999999996,,,,,,,,,,,,0.174735,1.5704,0.665995,,0.13243999999999995,,,0.43175,,,0.00881,0.2625699999999999,,-0.062765,0.11292,,,,-0.32628999999999997,-0.1115655,,-0.3924433333333333,,,,,
3,455,2,1,,,,-1.1142,0.07534,,,,,,,,,,,,,,0.49006,,,,0.61011,,0.66468,2.0944,,,1.1093925,0.7028725,0.32635,,0.5519033333333333,1.275825,,1.0175566666666667,1.035725,,0.99207,0.38092,,,0.7629,1.0467,,0.9757150000000001,,-0.17567,0.11354,
3,741,2,1,-0.13005,0.56506,,-0.5978266666666666,-0.5464600000000001,-0.3431725,-0.350388,-0.40547,-0.5300683333333333,-0.4054688333333334,-0.43826,-0.6415466666666667,,-0.35301,-0.10381666666666667,-0.72024,-0.2612,,,,,-0.051354,-0.4207716666666667,,,,,-0.40547,-0.084146,-0.80767,,,-0.57597,-0.96943,-0.96287,-0.7639566666666667,,-0.65466,-0.19562,,-0.58908,,,,-0.64155,,,,,
2,1001,1,2,,,-0.07435,,,,0.55383,-0.51261,,,-0.58566,0.1740005,-0.68792,-0.59295,-0.7609600000000001,,,,,,,,,-1.1116,-0.80479,,,,,,,-1.433,,,,,,,,,0.21783,-0.26426,0.51,,,,,-0.77557,,
3,353,2,1,0.525095,0.20481,0.25818800000000003,0.18613499999999994,-0.23558,0.21815499999999996,0.7119300000000001,0.67189,,-0.6759733333333333,,0.058012,0.09137500000000001,0.7052575,0.68524,0.56513,,,,,,,,-1.0096,-0.9362299999999999,-1.0763,-0.8961699999999999,-0.8794900000000001,-0.9206366666666667,-0.5024875,,,-1.063,-0.5825549999999999,-0.24893,,,,,,,,,,,0.098047,-0.8227700000000001,-1.2231,-0.90284,
1,77,2,2,-0.50434,,-0.061011,-0.2380555,-0.37192,,,,,,,,-1.0628,,,,,,,,,-0.19775500000000007,,,-0.96495,,,,,,-1.0859,-1.2154,,,,,,,,,,,,,,,,,,
3,86,2,1,-0.34359,,-0.6894100000000001,-0.583,-0.37018666666666666,-0.1972755,-0.1263385,,0.10421,0.3214566,,0.95101875,,,,,,,,,,-0.28594949999999997,,,-0.60369,-0.37905,-0.6509833333333334,-0.5031966666666666,-0.66724,,-0.6096,,,,,-0.2371795,-1.42538,0.1973099999999999,-0.13964,-0.28151,,-0.48546,,,-0.26378,-0.15737,,,,
2,555,1,1,-0.77959,,,-0.55025,,,,-0.98599,-0.8369233333333334,,-0.5875165,-0.4699749999999999,-0.808255,-0.84839,-0.8675033333333334,-0.8445666666666667,-0.49291,-0.66492,,-0.56171,,-0.65345,-0.72225,-0.79106,-0.46998,-0.22917500000000005,-0.1489,-0.46998,-0.40118,-0.2177,,,,,,,,-0.34957499999999997,,,,-0.739455,0.0575049999999999,,-0.57318,-0.96306,-0.6993199999999999,,-0.78341,-0.8254600000000001
1,142,2,1,,0.4903633333333333,,-0.49367000000000005,-0.055440000000000045,-0.53104,0.02609000000000004,0.28200333333333333,-0.51066,-0.21511,-0.05997333333333336,-0.018075000000000008,0.91614,,-0.44271666666666665,-0.16415,,,,,,,-0.014677,,-0.2253,-0.42233,-0.42233,-0.014675000000000049,0.0023050000000000015,-0.4766899999999999,-0.61257,-0.598985,-0.6171033333333332,-0.72128,-0.8571700000000001,-0.75865,-0.55142,-0.4597049999999999,-0.072425,-0.6941,0.2842699999999999,-0.5831333333333334,-0.516092,-0.51745,-0.18453,0.06910999999999996,-0.71449,,,
