fov,cellID,rep,dbscan_ldp_nbr_allele,chr6-g626,chr6-g627,chr6-g628,chr6-g629,chr6-g630,chr6-g631,chr6-g632,chr6-g633,chr6-g634,chr6-g635,chr6-g636,chr6-g637,chr6-g638,chr6-g639,chr6-g640,chr6-g641,chr6-g642,chr6-g643,chr6-g644,chr6-g645,chr6-g646,chr6-g647,chr6-g648,chr6-g649,chr6-g650,chr6-g651,chr6-g652,chr6-g653,chr6-g654,chr6-g655,chr6-g656,chr6-g657,chr6-g658,chr6-g659,chr6-g660,chr6-g661,chr6-g662,chr6-g663,chr6-g664,chr6-g665,chr6-g666,chr6-g667,chr6-g668,chr6-g669,chr6-g670,chr6-g671,chr6-g672,chr6-g673,chr6-g674,chr6-g675,chr6-g676,chr6-g677,chr6-g678,chr6-g679,chr6-g680
0,750,1,1,0.099495,0.7145,-0.12190799999999995,0.3455,0.5669,-0.2039099999999999,,,,,-0.76151,-0.6631100000000001,-0.53191,-0.7943100000000001,,,,,,,,,,,,,-0.59751,,,,,,,,,,,,,,,,,,,,,,,,,,-0.84351,,
1,53,1,3,,,-1.03898,,,,,,,,,,,,,,,,,-0.18094,,,,,,,-0.84414,,,,,,,,,-0.8783299999999999,,,,,,,,-1.1176,,,,,,,,,,-0.83047,-0.85782
2,770,2,1,-0.759215,-0.54703,,,,,,,,,-0.84524,-0.7840633333333334,-0.92552,-1.0000850000000001,-1.132,-1.2008,,,,,,,,,,,,,,-0.14559499999999995,,,,,,,,,,,,,,,,,,,,,,,,,
1,194,1,1,,,,,,,,,0.17342666666666662,,,,,,-0.007930000000000048,,,,,-0.04645000000000005,,,1.6628,0.24726000000000004,,0.2472599999999999,,,,,0.4205899999999999,,-0.29200649999999995,,,0.20874,,,,,,,,,0.34596249999999995,0.569855,0.25047,0.37244666666666665,0.23762849999999996,0.46874,0.2183699999999999,0.07392349999999995,,,
2,244,2,3,,,,,,,,,,,,,-0.72022,,,,,-0.55914,,,,,,,,,,-1.3431,,,,-0.38732,,,,-0.75243,,,,,,,,,,,0.36439,,,-0.87056,,,,,
3,455,2,1,,0.23904,,,-0.20841500000000002,,,,,,,,,,,,,,,,,,,,,-0.79775,-0.9942,-0.2084099999999999,,,0.56645,-0.202959,-0.48126,-0.86869,,,,,,,,,,,,-0.7759199999999999,,,,,,,,,0.877515
0,55,2,1,,-1.0044,,-0.791275,-1.10365,-0.946,-0.92557,-1.0044,,,,,,,,,-0.75332,,,,,,,,,,-0.42635,,,,,,,,,,,,,,,,,,,-0.4613899999999999,,,,-0.92265,,,,,
2,792,2,1,-0.7489,,,0.73009,,,-0.40259,,0.4631699999999999,,,,,,,,-0.8932,-0.73447,-0.2583,,,0.73733,,,,,,-0.59018,,-1.1096,,,0.001429,-0.20058,-0.82105,-0.20058,-1.1385,,-0.6479,,,,-1.40545,-1.2539,-0.9870000000000001,-1.1241,,,,,,,,,-0.23424999999999999
3,853,2,1,,0.646625,1.4505,,0.646625,0.5302,-0.34578,1.0624,,,1.0292,0.65217,,,,-0.33469,,,,,,,,,,,2.2045,,,,,,,,,,,0.657715,0.807415,,0.76305,,,0.408225,0.11438699999999999,,,0.20864,0.30288999999999994,0.264075,0.20864,0.8628450000000001,,1.95505,
0,620,2,1,0.4535275000000001,0.7381733333333335,1.0322,,1.01107,1.1452,,,,,,,,,,,,,,,,,,0.4676399999999999,,0.17123,0.10066,-0.075777,,0.5170399999999999,0.6334899999999999,0.69348,0.22769,0.24886,,0.4182399999999999,0.23475,-0.73211,,,,,0.4253,,0.35472,,0.277095,,,,,,-0.32279,-0.453345,-0.40747
0,164,1,2,-0.4612199999999999,,0.024335,0.38432,0.3006,-0.21844,,,-0.51982,,0.024335,,,,,,,,,,,0.882455,,0.5126833333333334,0.13317,,,,,0.20014,0.5140800000000001,,0.3257149999999999,0.4512899999999999,,,,-0.1096115,-0.599355,0.20014,1.2591700000000001,1.7154,1.28844,1.0708,,,,,,,,,1.0666,2.2219,
0,158,2,1,-1.0833,,,-0.911815,,-0.762985,,,,,,,,,,,,,,,,-0.6303300000000001,,-0.921525,-1.0639,,-1.0186,-1.1221,-0.7791600000000001,,,,,,,,,-1.5557,0.4222666666666666,,,,,,,,,-0.8697600000000001,-0.61415,,-0.39737,-0.75975,,,
0,406,1,2,,-0.27609,,,-0.19697,-0.27609,-0.8788600000000001,,,-1.135,-1.1576,,,,,,,,,,,,-1.12,,,,,,,-1.4666,-1.2894999999999999,,-1.3234,,,,-1.1501,,,-1.0748,-1.2631,-1.1501,,-1.1878,-1.1802,-0.72063,,,-0.91653,-0.62268,-0.6151399999999999,-0.58501,-0.72816,,
0,215,1,1,-0.777765,-0.49331499999999995,-0.80657,-0.564608,,-0.9722,,,,,,,,,,,,,,,,,-0.82097,,,,,-0.80297,,-1.1162,,,,,,,,,,,,,,,,,0.51127,-0.44651,,,,,,,
1,94,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8905,,,,,,,,,,-0.1372799999999999,-0.56052,-0.74703,-0.45291,-0.24488,,-0.68247,,,,,,,,,,-1.0483,
3,718,2,1,-0.007350000000000023,0.58602,-0.30403499999999994,-0.4291425,-0.18893619999999997,,0.3715495000000001,,0.65751,1.0579,0.0569919999999999,-0.18607,-0.37195,-0.043094,,0.65751,,1.1007,0.729,1.7585,,,,0.729,1.3009,,1.0721399999999999,1.0101633333333333,0.99349,1.1007,,,1.15075,1.0387899999999999,1.9729,1.5869,2.2303,1.6155,1.6155,,,2.65925,,2.7164,,,,,,,,,-0.507785,,
2,569,2,1,-0.21078,0.2213,-0.10124,-0.089068,-0.06472474999999997,-0.356835,,,,,,0.54384,0.008302,,,,,,0.7629199999999999,,,,0.446465,,,,-0.11341,0.53167,0.330841,0.531665,0.46269333333333335,-0.11645000000000001,0.03264425000000003,0.7203200000000001,-0.25947,-0.0403829999999999,-0.12558,,-0.18644,,-0.15600999999999998,-0.076897,0.130015,-0.20773999999999998,,-0.37509499999999996,,,,-0.137756,0.336925,2.3817,0.71424,3.5867,
2,591,2,1,-0.49568,-0.6001,-0.27525,-0.47248,-0.478275,-0.449275,-0.42607,,,-0.455075,-0.5072800000000001,,,,0.60649,1.6275,,,,0.4788699999999999,,0.37446,0.049605,,1.1518,1.0938,0.6180899999999999,1.0938,,,,1.19817,0.7534566666666667,,,0.31064499999999995,,-0.008404,0.21203,,,,0.159825,0.8617299999999999,1.1479099999999998,-0.02580500000000001,,,0.664496,0.058306250000000004,,,,,
2,260,1,2,,,,0.9715533333333334,,1.0246000000000002,,1.3087,,2.0816,,-0.18858499999999995,0.7480733333333333,-0.66876,,0.55865,2.7862,,0.99052,,1.75198,1.50765,2.4452333333333334,2.6271,,1.035995,0.65715,0.621145,2.814575,,,-0.25962,-0.009593,-0.10051,,,0.83141,-0.15165499999999998,-0.6233,0.49046500000000004,0.7177600000000001,,-0.4073699999999999,0.280215,-0.08460000000000002,-0.055053,-0.2596199999999999,0.20066050000000002,0.058595000000000064,,-0.12324,,0.2518,,
2,68,1,1,2.1514,3.7138,2.4343,,3.0852500000000003,1.513955,1.2984,1.56782,3.7138,1.6307,1.478,,,,,,,-0.35369,-0.15315666666666666,-0.219,0.17607,0.8046,1.7503666666666666,0.50831,0.59808,,0.3938075,,0.1581105,,,,1.0739725,0.81358,,,1.1727,0.17607,1.0291,0.0773035,-0.057383,0.13118,,0.036898499999999994,,,1.033585,0.00547,0.8539775,,,1.9449,2.5016,2.0616499999999998,1.7249249999999998
1,63,2,1,,0.700399,0.13843,0.4114,0.6800933333333333,-0.0007226666666666678,,0.276525,,,,0.75502,-0.04782333333333333,-0.327211,,,,,1.1211,1.20461,,,1.2239,1.5407266666666668,0.79355,,1.3972766666666667,0.9830350000000001,,,0.10632,2.5212,1.9946,2.51165,1.6349,,1.2752,2.02025,1.2624,1.0569,1.021555,,2.3607,1.7569499999999998,0.26475,,0.857775,0.045305,0.599265,-0.118475,0.27973,-0.1441599999999999,-0.1441599999999999,0.22193,
1,208,2,2,,,-0.0031473333333333305,0.35481,0.06233125,-0.055534,-0.46588,,0.45958,0.45958,,,,1.9438,,,,,,,0.511965,0.8728333333333333,0.381,0.608,0.5119600000000001,0.78262,0.8553700000000001,,,,,,1.756095,0.39846,,1.4374,,-0.15157,1.0445,0.31989,0.878645,-0.029342,,-0.151574,-0.5968399999999999,-0.1734,-0.49207,-0.54446,-0.6143,2.0049,0.70404,0.80299,0.6225600000000001,1.454885,2.747
2,569,2,2,,,,,,,1.4202,,0.53167,0.0326445,0.032644,,,,,,,,,,,,0.3491,-0.36901,,,-0.271635,-0.082982,,,,,,1.7731,1.3471,,,,0.32475,,0.1665299999999999,,,0.6412100000000001,,,,,,,,,-0.10124,,
0,190,1,1,0.89712,1.9498,1.3933,,0.24996233333333331,1.1646,0.97478,,,,,,,,,,,-0.27208,,,,-0.28502,0.38802050000000005,-0.108135,-0.40583,0.62963,,0.6037399999999999,0.04574666666666666,0.14641649999999995,,,1.2423,0.3362515,,,0.318992,,-0.30228,,,0.30173,0.37077,,-0.14121266666666668,-0.16422,-0.4230899999999999,,,1.6306,,,0.51746,1.74705,1.7255
